Symbol,Date,Open,High,Low,Close,Volume
HUSI,05-Aug-2021,11.06,11.06,11.06,11.06,500
HUSI,09-Aug-2021,13.06,13.06,13.06,13.06,1000
HUSI,11-Aug-2021,14.06,14.06,14.06,14.06,500
HUSI,12-Aug-2021,15.11,15.11,15.11,15.11,1500
HUSI,13-Aug-2021,16.24,16.24,16.24,16.24,500
HUSI,16-Aug-2021,17.45,17.45,17.45,17.45,500
HUSI,17-Aug-2021,18.75,18.75,18.75,18.75,500
HUSI,20-Aug-2021,20.15,20.15,20.15,20.15,3500
HUSI,23-Aug-2021,21.66,21.66,21.66,21.66,500
HUSI,24-Aug-2021,23.28,23.28,23.28,23.28,1000
HUSI,25-Aug-2021,25.02,25.02,25.02,25.02,500
HUSI,26-Aug-2021,26.89,26.89,26.89,26.89,6500
HUSI,27-Aug-2021,28.90,28.90,28.90,28.90,500
HUSI,30-Aug-2021,31.06,31.06,31.06,31.06,1500
HUSI,31-Aug-2021,33.38,33.38,33.38,33.38,8500
HUSI,01-Sep-2021,35.88,35.88,35.88,35.88,3500
HUSI,02-Sep-2021,38.57,38.57,38.57,38.57,1000
HUSI,03-Sep-2021,41.46,41.46,41.46,41.46,500
HUSI,06-Sep-2021,44.56,44.56,44.56,44.56,500
HUSI,07-Sep-2021,47.90,47.90,47.90,47.90,17500
HUSI,08-Sep-2021,51.49,51.49,47.90,51.49,35500
HUSI,09-Sep-2021,55.35,55.35,55.34,55.35,27000
HUSI,10-Sep-2021,59.50,59.50,59.50,59.50,500
HUSI,13-Sep-2021,63.96,63.96,63.96,63.96,28500
HUSI,14-Sep-2021,68.75,68.75,59.17,59.17,64500
HUSI,15-Sep-2021,54.74,54.74,54.74,54.74,1500
HUSI,16-Sep-2021,51.42,51.42,51.42,51.42,500
HUSI,21-Sep-2021,42.90,48.51,41.75,41.75,83500
HUSI,22-Sep-2021,38.62,38.66,38.62,38.62,8500
HUSI,23-Sep-2021,35.73,35.73,35.73,35.73,2500
HUSI,24-Sep-2021,33.06,36.99,33.06,35.89,54000
HUSI,27-Sep-2021,34.02,34.02,33.20,33.20,7000
HUSI,28-Sep-2021,31.04,34.00,30.73,32.46,10500
HUSI,29-Sep-2021,33.99,33.99,31.00,31.25,12000
HUSI,30-Sep-2021,32.90,32.90,32.90,32.90,500
HUSI,01-Oct-2021,32.25,35.36,31.50,35.36,30500
HUSI,04-Oct-2021,38.01,38.01,37.50,37.50,1000
HUSI,05-Oct-2021,34.85,40.31,34.85,40.31,22500
HUSI,06-Oct-2021,43.33,43.33,41.01,43.25,18000
HUSI,07-Oct-2021,45.00,45.00,45.00,45.00,500
HUSI,08-Oct-2021,46.00,47.00,46.00,46.50,1000
HUSI,12-Oct-2021,43.02,46.50,43.02,43.02,18000
HUSI,13-Oct-2021,43.02,43.02,39.80,39.80,1000
HUSI,14-Oct-2021,36.82,38.05,36.82,38.05,13000
HUSI,15-Oct-2021,38.75,38.75,35.21,37.51,1500
HUSI,20-Oct-2021,37.49,38.00,37.49,38.00,1000
HUSI,21-Oct-2021,39.00,39.00,39.00,39.00,500
HUSI,25-Oct-2021,38.50,40.00,38.50,39.00,1500
HUSI,28-Oct-2021,37.00,39.00,37.00,39.00,1000
HUSI,29-Oct-2021,38.50,40.00,37.00,37.00,4000
HUSI,01-Nov-2021,34.50,34.50,34.50,34.50,500
HUSI,02-Nov-2021,33.25,33.25,32.02,32.14,2500
HUSI,04-Nov-2021,30.75,31.99,30.75,31.99,1500
HUSI,05-Nov-2021,32.90,32.90,32.90,32.90,500
HUSI,08-Nov-2021,33.49,34.38,33.49,34.38,1000
HUSI,09-Nov-2021,32.01,32.01,32.01,32.01,500
HUSI,10-Nov-2021,33.50,33.50,33.50,33.50,500
HUSI,12-Nov-2021,31.00,31.00,31.00,31.00,1500
HUSI,17-Nov-2021,29.01,30.00,28.68,29.95,3000
HUSI,18-Nov-2021,28.50,28.50,28.01,28.01,1500
HUSI,19-Nov-2021,28.75,28.75,28.75,28.75,500
HUSI,22-Nov-2021,26.75,27.50,26.75,27.50,1500
HUSI,24-Nov-2021,26.51,26.51,25.45,26.25,2000
HUSI,25-Nov-2021,25.15,25.15,25.00,25.00,2500
HUSI,26-Nov-2021,24.99,24.99,23.15,23.94,2000
HUSI,29-Nov-2021,25.73,25.73,25.73,25.73,1000
HUSI,30-Nov-2021,25.85,25.85,25.85,25.85,500
