Symbol,Date,Open,High,Low,Close,Volume
IBFL,01-Jan-2014,70.50,72.97,70.50,72.97,17000
IBFL,02-Jan-2014,75.00,76.61,75.00,76.61,4000
IBFL,03-Jan-2014,73.00,79.00,72.78,74.89,3000
IBFL,06-Jan-2014,78.00,78.63,75.00,78.63,7500
IBFL,07-Jan-2014,82.00,82.56,78.60,82.56,14500
IBFL,08-Jan-2014,86.68,86.68,86.68,86.68,27000
IBFL,09-Jan-2014,91.01,91.01,91.01,91.01,13500
IBFL,10-Jan-2014,95.56,95.56,92.10,93.99,55000
IBFL,13-Jan-2014,90.00,98.68,89.30,98.61,31500
IBFL,15-Jan-2014,97.10,103.54,97.10,102.01,36500
IBFL,16-Jan-2014,105.00,105.00,98.10,100.50,26500
IBFL,17-Jan-2014,100.10,105.10,98.10,99.58,22500
IBFL,20-Jan-2014,97.00,100.00,96.50,98.98,27500
IBFL,21-Jan-2014,98.05,100.00,98.05,100.00,11500
IBFL,22-Jan-2014,100.00,102.00,100.00,100.00,13000
IBFL,23-Jan-2014,100.00,100.00,98.50,98.50,29500
IBFL,24-Jan-2014,98.00,98.00,98.00,98.00,1000
IBFL,27-Jan-2014,97.00,97.00,93.25,94.50,12500
IBFL,29-Jan-2014,92.01,93.00,91.75,92.12,29000
IBFL,30-Jan-2014,91.01,94.00,90.15,92.69,7000
IBFL,31-Jan-2014,93.00,97.32,93.00,96.43,11500
IBFL,03-Feb-2014,96.00,96.00,92.00,96.00,20500
IBFL,04-Feb-2014,95.01,96.00,95.01,95.01,13000
IBFL,06-Feb-2014,95.00,95.00,95.00,95.00,5000
IBFL,07-Feb-2014,91.25,99.50,91.15,96.24,39000
IBFL,10-Feb-2014,95.10,98.60,95.00,95.00,12000
IBFL,11-Feb-2014,98.90,98.90,95.00,96.10,12500
IBFL,12-Feb-2014,95.80,98.50,95.80,98.50,1500
IBFL,14-Feb-2014,94.10,94.10,94.05,94.05,6500
IBFL,17-Feb-2014,90.60,93.90,90.10,90.10,7000
IBFL,18-Feb-2014,94.59,94.59,85.60,85.99,26500
IBFL,19-Feb-2014,85.00,85.50,84.05,84.06,40000
IBFL,20-Feb-2014,82.00,82.00,80.50,80.88,2000
IBFL,21-Feb-2014,81.20,83.80,81.00,82.98,9500
IBFL,24-Feb-2014,82.00,84.99,81.20,84.99,3000
IBFL,25-Feb-2014,81.00,86.49,81.00,86.49,1000
IBFL,26-Feb-2014,82.17,84.90,82.17,82.17,1500
IBFL,27-Feb-2014,80.05,81.00,80.05,81.00,5500
IBFL,28-Feb-2014,80.00,83.00,80.00,83.00,4500
IBFL,06-Mar-2014,81.50,84.99,81.10,84.00,11000
IBFL,12-Mar-2014,84.00,84.01,84.00,84.01,3000
IBFL,14-Mar-2014,80.50,82.30,80.11,81.00,2000
IBFL,18-Mar-2014,78.20,81.00,78.20,81.00,2500
IBFL,24-Mar-2014,78.10,81.40,78.10,79.75,2000
IBFL,25-Mar-2014,78.50,78.50,78.50,78.50,1000
IBFL,26-Mar-2014,78.00,78.00,78.00,78.00,500
IBFL,27-Mar-2014,75.50,81.90,75.50,81.76,39500
IBFL,28-Mar-2014,83.90,85.84,83.79,84.97,37500
IBFL,31-Mar-2014,81.00,81.00,81.00,81.00,5000
IBFL,01-Apr-2014,84.49,85.00,80.00,84.58,34500
IBFL,03-Apr-2014,82.00,86.00,82.00,86.00,4000
IBFL,07-Apr-2014,82.20,86.40,82.20,86.40,4000
IBFL,08-Apr-2014,84.00,84.00,83.50,83.53,1500
IBFL,09-Apr-2014,80.20,87.70,80.20,86.26,35500
IBFL,10-Apr-2014,82.50,86.50,82.50,85.00,8000
IBFL,11-Apr-2014,83.50,86.50,81.05,85.00,5500
IBFL,14-Apr-2014,81.15,83.30,81.01,81.01,6500
IBFL,15-Apr-2014,77.65,77.65,77.50,77.50,2000
IBFL,16-Apr-2014,79.30,79.30,79.30,79.30,500
IBFL,17-Apr-2014,75.50,75.50,75.34,75.34,45000
IBFL,18-Apr-2014,74.50,74.50,72.05,72.77,4500
IBFL,21-Apr-2014,69.60,75.70,69.60,74.00,5000
IBFL,22-Apr-2014,75.00,75.00,71.49,72.00,2500
IBFL,23-Apr-2014,74.00,74.00,72.00,72.20,5500
IBFL,24-Apr-2014,70.00,73.25,70.00,72.94,6000
IBFL,28-Apr-2014,72.00,73.50,70.00,73.47,67000
IBFL,30-Apr-2014,71.20,73.80,71.20,73.80,2000
IBFL,02-May-2014,74.98,77.49,74.98,76.86,23500
IBFL,05-May-2014,77.20,77.21,77.20,77.21,2000
IBFL,07-May-2014,79.90,79.90,79.90,79.90,1000
IBFL,08-May-2014,79.00,79.00,79.00,79.00,500
IBFL,09-May-2014,80.45,82.95,80.45,81.73,7000
IBFL,12-May-2014,78.00,78.00,77.65,77.65,2500
IBFL,15-May-2014,74.10,80.20,74.10,80.20,1000
IBFL,16-May-2014,78.00,81.41,78.00,81.41,3000
IBFL,20-May-2014,77.34,80.98,77.34,80.98,1000
IBFL,21-May-2014,82.50,82.50,82.50,82.50,500
IBFL,22-May-2014,79.00,79.00,79.00,79.00,500
IBFL,23-May-2014,76.50,80.00,75.05,75.05,3000
IBFL,27-May-2014,75.50,75.50,72.00,73.89,10500
IBFL,30-May-2014,71.50,71.50,70.20,70.20,2000
IBFL,04-Jun-2014,73.49,73.70,73.49,73.68,15000
IBFL,06-Jun-2014,70.51,74.20,70.50,74.20,5500
IBFL,09-Jun-2014,72.20,74.00,72.20,74.00,4000
IBFL,12-Jun-2014,73.99,74.00,72.00,72.00,8000
IBFL,13-Jun-2014,73.50,73.50,73.50,73.50,2000
IBFL,19-Jun-2014,69.90,69.90,69.85,69.85,2000
IBFL,24-Jun-2014,69.00,71.89,69.00,71.86,4000
IBFL,01-Jul-2014,71.50,71.50,71.50,71.50,2000
IBFL,04-Jul-2014,74.00,74.00,74.00,74.00,500
IBFL,14-Jul-2014,72.00,72.00,72.00,72.00,1000
IBFL,16-Jul-2014,68.51,68.51,68.50,68.50,1500
IBFL,17-Jul-2014,67.00,69.99,67.00,69.99,4000
IBFL,18-Jul-2014,69.99,73.48,69.99,71.97,10500
IBFL,21-Jul-2014,72.00,72.00,72.00,72.00,500
IBFL,22-Jul-2014,70.00,70.00,68.40,69.76,9500
IBFL,24-Jul-2014,70.00,70.00,70.00,70.00,500
IBFL,28-Jul-2014,66.65,70.20,66.65,70.20,6000
IBFL,04-Aug-2014,66.69,66.90,66.69,66.90,1500
IBFL,05-Aug-2014,63.56,65.00,63.56,65.00,4000
IBFL,07-Aug-2014,62.50,63.95,62.50,63.95,3000
IBFL,08-Aug-2014,61.00,63.98,60.77,61.95,2000
IBFL,13-Aug-2014,60.50,62.45,60.50,62.45,1500
IBFL,15-Aug-2014,60.10,60.25,60.00,60.14,2500
IBFL,19-Aug-2014,58.00,60.85,58.00,60.85,3500
IBFL,20-Aug-2014,60.00,60.00,60.00,60.00,1000
IBFL,02-Sep-2014,57.50,57.50,57.50,57.50,500
IBFL,03-Sep-2014,60.00,60.00,60.00,60.00,500
IBFL,05-Sep-2014,59.55,59.55,59.50,59.50,1000
IBFL,08-Sep-2014,60.50,60.50,60.00,60.17,1500
IBFL,09-Sep-2014,59.93,59.93,59.93,59.93,500
IBFL,11-Sep-2014,60.10,62.40,60.10,62.10,7000
IBFL,12-Sep-2014,64.00,64.00,64.00,64.00,500
IBFL,15-Sep-2014,63.00,64.00,62.00,62.00,3500
IBFL,16-Sep-2014,62.90,64.30,62.10,62.50,15000
IBFL,17-Sep-2014,65.49,65.62,65.49,65.62,5000
IBFL,18-Sep-2014,65.50,65.50,64.02,65.00,5000
IBFL,19-Sep-2014,66.99,68.25,66.99,68.25,4500
IBFL,22-Sep-2014,71.00,71.00,66.01,68.45,7500
IBFL,23-Sep-2014,69.70,69.70,69.70,69.70,500
IBFL,24-Sep-2014,69.00,71.20,68.00,68.00,6500
IBFL,26-Sep-2014,64.60,66.00,64.60,64.60,12000
IBFL,29-Sep-2014,61.37,61.37,61.37,61.37,2500
IBFL,30-Sep-2014,60.00,64.43,60.00,62.14,7000
IBFL,10-Oct-2014,60.10,60.10,60.00,60.00,10000
IBFL,13-Oct-2014,60.10,62.60,60.10,62.60,1500
IBFL,14-Oct-2014,65.00,65.70,65.00,65.50,2000
IBFL,15-Oct-2014,64.01,65.40,63.20,64.30,2500
IBFL,20-Oct-2014,61.09,62.50,61.09,61.58,2000
IBFL,23-Oct-2014,60.00,62.80,60.00,62.60,3000
IBFL,24-Oct-2014,60.00,63.50,59.48,60.00,4000
IBFL,27-Oct-2014,59.01,59.01,58.00,58.52,3000
IBFL,05-Nov-2014,56.07,56.07,56.07,56.07,500
IBFL,06-Nov-2014,56.00,58.80,56.00,58.80,1000
IBFL,07-Nov-2014,59.50,61.69,59.50,61.65,2000
IBFL,10-Nov-2014,64.70,64.73,64.70,64.73,3500
IBFL,11-Nov-2014,67.89,67.96,67.89,67.96,2000
IBFL,12-Nov-2014,71.30,71.33,67.50,70.00,7500
IBFL,13-Nov-2014,73.50,73.50,69.10,70.50,30000
IBFL,14-Nov-2014,71.50,74.00,71.50,74.00,8000
IBFL,17-Nov-2014,77.70,77.70,75.10,77.02,24000
IBFL,18-Nov-2014,74.06,74.06,73.17,73.17,7000
IBFL,19-Nov-2014,70.00,76.25,70.00,71.28,17500
IBFL,20-Nov-2014,70.00,70.00,70.00,70.00,2000
IBFL,24-Nov-2014,70.00,70.00,70.00,70.00,5000
IBFL,25-Nov-2014,70.50,70.50,70.50,70.50,2000
IBFL,26-Nov-2014,70.00,74.02,70.00,73.68,28500
IBFL,27-Nov-2014,73.60,77.36,73.60,77.10,25500
IBFL,28-Nov-2014,76.55,80.95,76.55,80.95,5500
IBFL,01-Dec-2014,80.00,80.00,78.00,78.00,11500
IBFL,03-Dec-2014,75.30,75.40,75.30,75.40,1000
IBFL,04-Dec-2014,78.99,79.17,78.99,79.17,23000
IBFL,05-Dec-2014,82.44,83.12,82.44,83.12,27500
IBFL,08-Dec-2014,82.00,87.27,82.00,85.68,6500
IBFL,09-Dec-2014,83.55,89.96,83.55,89.96,10000
IBFL,10-Dec-2014,90.00,94.45,90.00,94.45,512500
IBFL,11-Dec-2014,99.16,99.17,89.73,97.36,34500
IBFL,12-Dec-2014,92.50,92.50,92.50,92.50,1500
IBFL,15-Dec-2014,93.00,93.90,87.88,87.88,15000
IBFL,16-Dec-2014,83.55,92.27,83.55,91.46,7500
IBFL,17-Dec-2014,95.85,96.03,90.00,95.70,27500
