Symbol,Date,Open,High,Low,Close,Volume
IBLHL,01-Jan-2014,73.84,75.00,73.75,74.82,26500
IBLHL,02-Jan-2014,75.50,75.85,74.15,74.79,33500
IBLHL,03-Jan-2014,74.89,74.90,73.00,73.00,9000
IBLHL,06-Jan-2014,73.40,73.40,72.05,72.05,5000
IBLHL,07-Jan-2014,72.00,72.85,71.53,71.53,7000
IBLHL,08-Jan-2014,71.60,74.00,71.50,71.68,46500
IBLHL,09-Jan-2014,72.05,72.05,70.60,71.00,7000
IBLHL,10-Jan-2014,73.44,74.55,71.00,74.55,91500
IBLHL,13-Jan-2014,77.25,78.27,76.00,78.27,23500
IBLHL,15-Jan-2014,82.15,82.18,80.80,82.18,96000
IBLHL,16-Jan-2014,84.30,84.40,80.00,80.01,62500
IBLHL,17-Jan-2014,83.50,84.01,83.40,84.01,63000
IBLHL,20-Jan-2014,86.00,88.21,85.65,88.21,91500
IBLHL,21-Jan-2014,91.80,92.62,90.10,92.62,33000
IBLHL,22-Jan-2014,96.69,97.25,96.69,97.25,108000
IBLHL,23-Jan-2014,99.48,99.90,94.10,94.74,38000
IBLHL,24-Jan-2014,92.50,95.00,92.15,93.14,15500
IBLHL,27-Jan-2014,89.00,89.50,88.49,88.49,20000
IBLHL,28-Jan-2014,87.01,88.75,86.05,87.21,17000
IBLHL,29-Jan-2014,84.20,84.50,82.85,82.85,22500
IBLHL,30-Jan-2014,80.50,86.00,79.60,83.50,15000
IBLHL,31-Jan-2014,81.02,82.51,81.01,81.84,8500
IBLHL,03-Feb-2014,82.75,85.93,82.75,85.93,11500
IBLHL,04-Feb-2014,88.00,90.22,86.95,90.21,59500
IBLHL,06-Feb-2014,94.72,94.72,94.72,94.72,28500
IBLHL,07-Feb-2014,99.45,99.45,98.98,99.45,135500
IBLHL,10-Feb-2014,102.99,103.00,94.48,94.48,52500
IBLHL,11-Feb-2014,90.01,90.96,89.76,89.76,15500
IBLHL,12-Feb-2014,91.00,93.99,90.00,92.33,25000
IBLHL,13-Feb-2014,90.40,90.99,87.72,87.79,28500
IBLHL,14-Feb-2014,85.00,85.00,83.41,83.74,4500
IBLHL,17-Feb-2014,83.00,83.00,79.56,79.80,23500
IBLHL,18-Feb-2014,78.00,80.50,75.81,80.50,21500
IBLHL,19-Feb-2014,80.00,80.00,76.48,76.56,31000
IBLHL,20-Feb-2014,78.60,78.98,75.75,78.59,6000
IBLHL,21-Feb-2014,79.30,82.51,79.00,82.18,23500
IBLHL,24-Feb-2014,84.75,85.00,81.00,82.62,11500
IBLHL,25-Feb-2014,82.20,82.20,81.00,81.00,2500
IBLHL,26-Feb-2014,80.00,81.87,79.90,81.87,3500
IBLHL,27-Feb-2014,80.80,81.00,79.26,79.26,17000
IBLHL,28-Feb-2014,82.73,82.73,80.15,81.25,2000
IBLHL,03-Mar-2014,82.49,82.49,81.00,81.50,3500
IBLHL,04-Mar-2014,81.25,81.25,81.10,81.10,1500
IBLHL,05-Mar-2014,81.25,81.25,81.25,81.25,1000
IBLHL,06-Mar-2014,81.50,83.00,81.00,82.50,16000
IBLHL,07-Mar-2014,81.60,82.00,81.25,82.00,4000
IBLHL,10-Mar-2014,80.25,81.89,78.00,81.89,11000
IBLHL,11-Mar-2014,81.99,84.87,80.25,83.82,31500
IBLHL,12-Mar-2014,84.80,88.01,84.80,88.01,70500
IBLHL,13-Mar-2014,90.70,90.70,86.01,87.50,46000
IBLHL,18-Mar-2014,89.44,89.50,88.50,88.50,13000
IBLHL,19-Mar-2014,88.00,91.00,88.00,90.00,33000
IBLHL,20-Mar-2014,88.15,88.15,87.02,87.18,7500
IBLHL,21-Mar-2014,85.11,85.11,83.00,83.58,12000
