Symbol,Date,Open,High,Low,Close,Volume
ICL,01-Jan-2014,39.50,39.60,39.00,39.11,26000
ICL,02-Jan-2014,39.50,39.60,39.17,39.60,9500
ICL,03-Jan-2014,39.45,39.49,38.65,38.91,28000
ICL,06-Jan-2014,38.70,39.25,38.70,39.25,4500
ICL,07-Jan-2014,39.10,39.45,39.00,39.00,4500
ICL,08-Jan-2014,38.81,39.50,38.80,39.50,10500
ICL,09-Jan-2014,39.05,39.78,39.05,39.25,24000
ICL,10-Jan-2014,39.75,40.95,39.10,39.64,45000
ICL,13-Jan-2014,40.00,41.20,39.50,41.00,59000
ICL,15-Jan-2014,41.80,43.05,41.05,42.07,200500
ICL,16-Jan-2014,42.40,42.60,40.45,40.66,30500
ICL,17-Jan-2014,40.25,41.00,40.00,41.00,12000
ICL,20-Jan-2014,41.30,41.61,41.30,41.50,19000
ICL,21-Jan-2014,42.00,42.95,41.60,42.38,53500
ICL,22-Jan-2014,42.50,42.75,42.20,42.20,8500
ICL,23-Jan-2014,42.00,42.49,42.00,42.00,12000
ICL,24-Jan-2014,42.00,42.00,41.50,42.00,3500
ICL,27-Jan-2014,41.30,41.30,40.01,40.01,10000
ICL,28-Jan-2014,41.00,41.00,39.01,40.63,28500
ICL,29-Jan-2014,39.86,39.86,39.85,39.85,1500
ICL,30-Jan-2014,39.90,40.00,39.00,39.00,23500
ICL,31-Jan-2014,39.25,40.60,39.25,39.57,6000
ICL,03-Feb-2014,39.12,40.39,39.12,40.10,2500
ICL,06-Feb-2014,39.20,41.69,39.00,40.08,103000
ICL,07-Feb-2014,40.35,40.95,39.00,39.21,20000
ICL,10-Feb-2014,38.62,38.62,37.30,38.50,16500
ICL,11-Feb-2014,37.25,39.50,36.62,38.11,11500
ICL,12-Feb-2014,38.50,40.01,38.50,39.70,30000
ICL,13-Feb-2014,39.90,40.25,39.05,39.41,11500
ICL,14-Feb-2014,39.90,39.90,39.10,39.10,1000
ICL,17-Feb-2014,39.05,39.05,38.80,38.80,2500
ICL,18-Feb-2014,37.25,37.50,37.00,37.35,4500
ICL,19-Feb-2014,38.60,38.95,37.60,38.24,5500
ICL,20-Feb-2014,38.50,39.49,36.33,36.47,116500
ICL,21-Feb-2014,38.28,38.29,37.75,38.29,73500
ICL,24-Feb-2014,39.05,40.20,39.05,40.20,56500
ICL,25-Feb-2014,40.74,40.80,39.50,39.51,23000
ICL,26-Feb-2014,39.98,40.00,39.00,39.07,19000
ICL,28-Feb-2014,38.50,38.50,38.20,38.20,3000
ICL,03-Mar-2014,39.10,39.10,39.00,39.00,1500
ICL,04-Mar-2014,39.00,39.75,38.05,39.75,5500
ICL,05-Mar-2014,39.00,39.50,39.00,39.50,7000
ICL,06-Mar-2014,39.90,41.20,39.85,40.04,38000
ICL,07-Mar-2014,40.70,40.75,39.70,39.74,23500
ICL,10-Mar-2014,39.60,40.20,39.50,39.61,6000
ICL,11-Mar-2014,40.00,40.99,40.00,40.71,59500
ICL,12-Mar-2014,41.45,42.40,41.00,41.74,58000
ICL,13-Mar-2014,42.20,42.20,41.10,41.10,21000
ICL,14-Mar-2014,41.01,41.01,41.01,41.01,500
ICL,17-Mar-2014,40.70,41.35,40.00,41.35,24000
ICL,18-Mar-2014,40.35,40.35,40.05,40.05,5000
ICL,19-Mar-2014,40.00,40.98,39.60,40.98,4000
ICL,20-Mar-2014,39.30,40.10,39.30,40.10,5000
ICL,21-Mar-2014,40.60,40.90,40.60,40.90,2000
ICL,24-Mar-2014,39.52,39.52,38.87,39.03,60000
ICL,25-Mar-2014,38.38,40.00,38.38,40.00,4500
ICL,26-Mar-2014,39.99,40.00,39.00,39.00,23500
ICL,27-Mar-2014,39.50,39.50,39.01,39.20,16000
ICL,28-Mar-2014,39.20,39.20,39.20,39.20,3500
ICL,31-Mar-2014,39.98,39.98,39.30,39.30,4500
ICL,01-Apr-2014,39.50,39.50,39.21,39.21,2000
ICL,02-Apr-2014,39.75,40.00,39.50,39.70,4500
ICL,03-Apr-2014,39.60,40.00,39.50,39.57,13500
ICL,04-Apr-2014,39.05,40.00,39.05,39.95,3500
ICL,07-Apr-2014,39.40,39.40,39.20,39.20,4500
ICL,08-Apr-2014,39.12,39.45,39.00,39.03,42000
ICL,09-Apr-2014,39.00,39.00,37.75,37.99,142000
ICL,10-Apr-2014,38.70,39.00,38.15,38.75,14000
ICL,11-Apr-2014,38.15,38.15,38.00,38.00,35000
ICL,14-Apr-2014,38.99,38.99,37.80,38.00,31500
ICL,15-Apr-2014,38.65,38.65,38.00,38.01,3000
ICL,16-Apr-2014,38.00,38.12,38.00,38.00,6500
ICL,17-Apr-2014,37.60,37.85,37.60,37.75,4000
ICL,18-Apr-2014,37.90,38.20,37.80,38.20,13000
ICL,21-Apr-2014,38.85,38.85,38.16,38.16,1500
ICL,22-Apr-2014,38.60,38.60,38.50,38.50,1000
ICL,23-Apr-2014,38.05,38.05,37.91,37.96,18000
ICL,24-Apr-2014,37.75,38.00,37.75,37.76,2500
ICL,28-Apr-2014,36.00,36.50,35.88,35.88,82000
ICL,29-Apr-2014,35.15,36.00,34.09,34.09,101500
ICL,30-Apr-2014,33.65,35.00,33.00,35.00,13500
ICL,02-May-2014,35.30,35.40,35.00,35.00,6000
ICL,05-May-2014,35.00,35.00,35.00,35.00,500
ICL,06-May-2014,34.25,34.50,34.25,34.50,1000
ICL,08-May-2014,34.00,34.00,34.00,34.00,2500
ICL,09-May-2014,35.60,35.60,34.11,34.95,5000
ICL,12-May-2014,34.20,34.20,33.21,33.21,24000
ICL,13-May-2014,34.49,34.49,33.00,33.87,5500
ICL,14-May-2014,34.79,34.79,33.00,34.58,4000
ICL,15-May-2014,35.94,35.94,34.25,34.89,3500
ICL,16-May-2014,35.10,35.10,34.00,34.00,7000
ICL,20-May-2014,34.00,34.69,34.00,34.69,9000
ICL,21-May-2014,35.94,35.94,34.75,34.99,4000
ICL,22-May-2014,35.15,35.15,34.36,34.36,2500
ICL,23-May-2014,33.01,34.99,33.01,34.50,7000
ICL,27-May-2014,35.00,35.50,35.00,35.50,4500
ICL,29-May-2014,34.23,35.00,34.23,35.00,1500
ICL,30-May-2014,35.00,35.00,35.00,35.00,2000
ICL,02-Jun-2014,34.30,34.50,34.25,34.50,2000
ICL,03-Jun-2014,33.75,33.75,33.75,33.75,1500
ICL,04-Jun-2014,33.75,34.50,33.50,34.50,8000
ICL,05-Jun-2014,34.50,34.50,34.00,34.03,5500
ICL,06-Jun-2014,33.85,34.30,33.80,33.80,5000
ICL,10-Jun-2014,33.82,33.82,33.55,33.73,5000
ICL,11-Jun-2014,33.25,34.15,33.22,33.96,4500
ICL,12-Jun-2014,33.96,34.00,33.96,34.00,2000
ICL,13-Jun-2014,33.50,33.65,33.50,33.65,5000
ICL,17-Jun-2014,33.55,33.55,33.55,33.55,1000
ICL,18-Jun-2014,33.40,34.90,33.40,34.90,3500
ICL,19-Jun-2014,33.21,33.90,33.16,33.59,9500
ICL,20-Jun-2014,33.00,33.00,32.02,32.26,7500
ICL,23-Jun-2014,32.95,32.95,32.90,32.93,1500
ICL,24-Jun-2014,33.00,33.00,33.00,33.00,6500
ICL,25-Jun-2014,32.99,32.99,32.99,32.99,28000
ICL,27-Jun-2014,32.01,32.50,32.01,32.02,6000
ICL,30-Jun-2014,32.30,32.30,32.30,32.30,2500
ICL,01-Jul-2014,32.50,32.50,32.50,32.50,500
ICL,02-Jul-2014,32.00,32.00,32.00,32.00,4000
ICL,07-Jul-2014,32.10,32.10,32.10,32.10,500
ICL,08-Jul-2014,32.90,32.90,32.90,32.90,500
ICL,09-Jul-2014,32.25,32.25,31.75,31.75,10000
ICL,10-Jul-2014,33.30,33.30,32.50,32.50,2500
ICL,11-Jul-2014,33.85,33.85,33.85,33.85,500
ICL,14-Jul-2014,33.50,33.50,33.50,33.50,3000
ICL,15-Jul-2014,32.60,32.60,32.60,32.60,1000
ICL,16-Jul-2014,33.25,33.25,33.25,33.25,500
ICL,17-Jul-2014,32.90,32.90,32.90,32.90,500
ICL,18-Jul-2014,32.50,32.50,32.50,32.50,500
ICL,21-Jul-2014,33.00,33.01,33.00,33.00,7500
ICL,04-Aug-2014,31.36,31.36,31.35,31.35,5000
ICL,05-Aug-2014,31.99,31.99,31.99,31.99,2000
ICL,06-Aug-2014,31.00,31.00,31.00,31.00,1000
ICL,11-Aug-2014,29.60,29.61,29.45,29.45,4000
ICL,12-Aug-2014,28.21,28.21,28.10,28.10,6000
ICL,13-Aug-2014,29.39,29.39,29.39,29.39,500
ICL,15-Aug-2014,29.75,29.75,29.75,29.75,500
ICL,18-Aug-2014,30.39,30.39,30.39,30.39,1000
ICL,19-Aug-2014,29.00,29.00,28.88,28.88,1000
ICL,20-Aug-2014,29.98,29.98,29.98,29.98,500
ICL,21-Aug-2014,30.48,30.50,30.30,30.50,13500
ICL,22-Aug-2014,30.05,30.05,30.05,30.05,500
ICL,25-Aug-2014,29.50,29.50,29.50,29.50,1000
ICL,26-Aug-2014,30.89,30.89,30.89,30.89,500
ICL,27-Aug-2014,31.98,31.98,29.35,29.35,10500
ICL,28-Aug-2014,28.11,28.11,28.11,28.11,2000
ICL,29-Aug-2014,28.75,29.38,28.75,29.38,4000
ICL,01-Sep-2014,29.74,29.75,29.74,29.75,1000
ICL,02-Sep-2014,30.10,31.23,30.10,31.23,18500
ICL,03-Sep-2014,32.50,32.79,32.50,32.79,21500
ICL,04-Sep-2014,32.79,34.34,32.70,34.34,11000
ICL,05-Sep-2014,34.00,34.34,34.00,34.34,4000
ICL,08-Sep-2014,34.80,34.80,32.63,32.63,11500
ICL,09-Sep-2014,33.82,34.10,31.00,31.01,21000
ICL,10-Sep-2014,31.00,31.50,30.75,31.50,60000
ICL,11-Sep-2014,31.90,33.07,31.90,33.07,34500
ICL,12-Sep-2014,34.72,34.72,34.00,34.72,179500
ICL,15-Sep-2014,34.85,35.61,34.30,35.44,30500
ICL,16-Sep-2014,35.35,35.35,34.94,35.06,14500
ICL,17-Sep-2014,34.60,35.00,34.50,34.50,20500
ICL,18-Sep-2014,34.00,35.05,33.90,34.80,27500
ICL,19-Sep-2014,34.99,35.00,34.75,34.97,10000
ICL,22-Sep-2014,34.50,35.00,34.49,35.00,8500
ICL,23-Sep-2014,34.99,34.99,34.50,34.90,20000
ICL,24-Sep-2014,34.15,34.85,34.05,34.75,12500
ICL,25-Sep-2014,34.50,34.70,34.30,34.70,8500
ICL,26-Sep-2014,34.00,34.70,34.00,34.40,42500
ICL,29-Sep-2014,34.00,34.00,34.00,34.00,500
ICL,01-Oct-2014,33.33,34.00,33.33,33.90,10500
ICL,02-Oct-2014,34.20,34.20,34.20,34.20,1500
ICL,03-Oct-2014,33.75,34.00,33.50,34.00,16500
ICL,09-Oct-2014,34.00,34.00,32.60,34.00,27000
ICL,13-Oct-2014,33.51,33.95,33.50,33.95,3500
ICL,14-Oct-2014,33.50,34.80,33.50,34.00,30000
ICL,15-Oct-2014,34.00,34.49,33.00,34.45,12500
ICL,16-Oct-2014,34.99,34.99,34.00,34.00,3500
ICL,17-Oct-2014,34.50,34.50,33.70,33.70,7000
ICL,20-Oct-2014,34.45,34.45,33.50,33.58,4500
ICL,21-Oct-2014,33.90,33.95,33.16,33.16,24000
ICL,22-Oct-2014,33.50,34.40,33.50,34.14,18500
ICL,23-Oct-2014,33.90,34.50,33.66,33.79,25500
ICL,24-Oct-2014,33.95,34.00,33.35,33.85,4000
ICL,27-Oct-2014,33.00,33.00,32.75,32.75,2000
ICL,28-Oct-2014,31.50,31.50,31.12,31.12,29000
