Symbol,Date,Open,High,Low,Close,Volume
IDSM,01-Jan-2014,21.10,21.52,21.10,21.52,1500
IDSM,02-Jan-2014,22.59,22.59,22.59,22.59,500
IDSM,06-Jan-2014,23.71,23.71,23.71,23.71,1500
IDSM,07-Jan-2014,24.89,24.89,24.89,24.89,4000
IDSM,08-Jan-2014,25.00,25.00,23.65,23.65,3000
IDSM,09-Jan-2014,23.00,23.00,22.60,22.60,2000
IDSM,13-Jan-2014,23.70,23.70,23.00,23.70,4000
IDSM,15-Jan-2014,24.87,24.88,24.87,24.88,2500
IDSM,16-Jan-2014,26.12,26.12,24.00,24.00,3000
IDSM,17-Jan-2014,23.00,23.90,22.80,23.90,8500
IDSM,20-Jan-2014,23.80,23.90,23.80,23.90,2500
IDSM,21-Jan-2014,23.80,23.80,23.80,23.80,1000
IDSM,22-Jan-2014,23.25,23.85,23.25,23.40,7000
IDSM,28-Jan-2014,23.00,23.00,22.25,22.25,2000
IDSM,30-Jan-2014,22.00,22.99,22.00,22.99,9000
IDSM,31-Jan-2014,22.00,22.40,22.00,22.40,5000
IDSM,03-Feb-2014,22.85,22.85,22.00,22.00,3000
IDSM,07-Feb-2014,21.90,21.90,21.90,21.90,500
IDSM,10-Feb-2014,21.10,21.10,20.81,20.81,1500
IDSM,18-Mar-2014,18.25,18.26,18.25,18.25,307000
IDSM,19-Mar-2014,18.25,18.50,17.25,18.50,532000
IDSM,20-Mar-2014,18.28,18.80,17.55,18.80,102000
IDSM,21-Mar-2014,17.80,17.80,17.80,17.80,1500
IDSM,31-Mar-2014,17.69,17.69,17.69,17.69,500
IDSM,02-Apr-2014,16.61,16.61,16.61,16.61,500
IDSM,08-Apr-2014,17.21,17.21,17.21,17.21,500
IDSM,14-Apr-2014,17.80,17.80,17.80,17.80,500
IDSM,29-Apr-2014,16.95,18.20,16.95,18.20,1500
IDSM,16-May-2014,16.51,16.51,16.51,16.51,2500
IDSM,10-Sep-2014,14.60,14.60,14.60,14.60,16500
IDSM,11-Sep-2014,15.60,15.60,15.60,15.60,500
IDSM,16-Sep-2014,16.60,16.60,16.58,16.58,1000
IDSM,23-Sep-2014,15.58,15.78,15.58,15.78,1000
IDSM,24-Sep-2014,14.78,14.78,14.78,14.78,500
IDSM,25-Sep-2014,15.45,15.45,15.45,15.45,500
IDSM,26-Sep-2014,16.40,16.40,16.40,16.40,500
IDSM,03-Oct-2014,16.00,17.08,15.50,17.08,47500
IDSM,09-Oct-2014,17.10,17.11,17.10,17.11,20000
IDSM,10-Oct-2014,16.50,17.90,16.50,17.90,3000
IDSM,15-Oct-2014,17.00,17.00,17.00,17.00,11000
IDSM,22-Oct-2014,16.50,16.50,16.50,16.50,1000
IDSM,27-Oct-2014,16.00,16.00,15.50,15.50,1500
IDSM,12-Nov-2014,15.00,15.00,15.00,15.00,500
IDSM,02-Mar-2015,13.50,13.50,13.50,13.50,1000
IDSM,04-Mar-2015,12.50,12.50,12.50,12.50,1000
IDSM,10-Mar-2015,11.50,11.50,11.50,11.50,500
IDSM,24-Mar-2015,12.25,12.25,12.25,12.25,1000
IDSM,16-Apr-2015,13.10,13.10,13.10,13.10,1000
IDSM,20-Apr-2015,12.10,12.10,12.10,12.10,1000
IDSM,08-Jun-2015,12.10,12.10,12.10,12.10,1000
IDSM,23-Jun-2015,12.00,12.00,12.00,12.00,500
IDSM,25-Jun-2015,11.00,11.00,11.00,11.00,1500
IDSM,26-Jun-2015,10.00,10.00,10.00,10.00,500
IDSM,10-Sep-2015,10.00,11.00,10.00,11.00,30500
IDSM,09-Oct-2015,10.00,10.00,10.00,10.00,2500
IDSM,02-Nov-2015,10.00,10.00,10.00,10.00,500
IDSM,06-Nov-2015,9.00,9.00,9.00,9.00,1000
IDSM,11-Nov-2015,8.01,8.01,8.01,8.01,500
IDSM,20-Nov-2015,9.01,9.01,9.01,9.01,2000
IDSM,22-Dec-2015,8.20,8.20,8.20,8.20,500
IDSM,01-Feb-2016,8.00,8.00,8.00,8.00,500
IDSM,02-Mar-2016,10.00,10.00,10.00,10.00,500
IDSM,20-Apr-2016,11.00,11.00,11.00,11.00,500
IDSM,03-Jun-2016,11.90,11.99,11.90,11.99,1000
IDSM,06-Jun-2016,12.90,12.98,12.90,12.98,1000
IDSM,09-Jun-2016,13.90,13.96,13.90,13.96,2000
IDSM,25-Jul-2016,12.00,12.00,11.76,11.76,3000
IDSM,25-Aug-2016,11.00,11.00,11.00,11.00,500
IDSM,29-Aug-2016,11.00,11.00,11.00,11.00,500
