Symbol,Date,Open,High,Low,Close,Volume
IDYM,03-Jan-2014,1150.00,1150.00,1150.00,1150.00,120
IDYM,08-Jan-2014,1150.00,1205.37,1150.00,1205.37,700
IDYM,13-Jan-2014,1145.20,1225.00,1145.20,1211.70,120
IDYM,15-Jan-2014,1151.50,1151.50,1151.50,1151.50,80
IDYM,16-Jan-2014,1199.95,1199.95,1199.95,1199.95,100
IDYM,21-Jan-2014,1200.00,1200.00,1200.00,1199.95,20
IDYM,22-Jan-2014,1200.00,1259.00,1200.00,1250.00,3400
IDYM,23-Jan-2014,1200.00,1200.00,1187.50,1197.92,140
IDYM,24-Jan-2014,1138.03,1170.00,1138.03,1144.50,180
IDYM,30-Jan-2014,1087.28,1087.28,1087.28,1087.28,40
IDYM,31-Jan-2014,1129.99,1129.99,1129.99,1087.28,20
IDYM,11-Feb-2014,1080.00,1080.00,1080.00,1087.28,100
IDYM,13-Feb-2014,1033.00,1099.99,1033.00,1093.33,160
IDYM,17-Feb-2014,1100.00,1100.00,1100.00,1093.33,120
IDYM,19-Feb-2014,1119.99,1119.99,1119.99,1093.33,20
IDYM,26-Feb-2014,1142.90,1142.90,1142.90,1093.33,20
IDYM,28-Feb-2014,1099.99,1099.99,1099.99,1093.33,20
IDYM,04-Mar-2014,1120.00,1120.00,1120.00,1120.00,40
IDYM,06-Mar-2014,1144.90,1144.90,1144.00,1144.45,40
IDYM,07-Mar-2014,1087.23,1087.23,1087.23,1087.23,20
IDYM,11-Mar-2014,1120.00,1120.00,1120.00,1120.00,40
IDYM,18-Mar-2014,1070.00,1070.00,1070.00,1070.00,100
IDYM,20-Mar-2014,1070.00,1070.00,1070.00,1070.00,20
IDYM,21-Mar-2014,1070.00,1070.00,1070.00,1070.00,20
IDYM,24-Mar-2014,1070.00,1070.00,1070.00,1070.00,20
IDYM,27-Mar-2014,1100.00,1100.00,1100.00,1100.00,100
IDYM,31-Mar-2014,1100.00,1100.00,1100.00,1100.00,20
IDYM,23-Apr-2014,1100.00,1100.00,1100.00,1100.00,20
IDYM,30-Apr-2014,1100.00,1100.00,1100.00,1100.00,20
IDYM,20-May-2014,960.94,960.94,960.94,960.94,20
IDYM,29-May-2014,999.99,999.99,999.99,999.99,100
IDYM,02-Jun-2014,940.50,941.25,940.50,940.50,260
IDYM,03-Jun-2014,893.48,893.48,893.48,893.48,320
IDYM,04-Jun-2014,848.81,848.81,848.81,848.81,400
IDYM,05-Jun-2014,808.00,879.95,807.00,879.95,540
IDYM,06-Jun-2014,869.99,889.99,869.99,873.99,100
IDYM,17-Jun-2014,831.00,831.50,831.00,831.50,280
IDYM,23-Jun-2014,772.17,772.17,772.17,772.17,120
IDYM,24-Jun-2014,733.57,733.57,733.57,733.57,160
IDYM,25-Jun-2014,702.00,702.00,701.10,701.55,40
IDYM,26-Jun-2014,670.00,730.00,666.48,719.41,420
IDYM,27-Jun-2014,700.00,755.00,683.44,706.88,2840
IDYM,30-Jun-2014,672.00,741.00,671.54,720.98,1340
IDYM,02-Jul-2014,690.00,690.00,685.10,687.00,200
IDYM,07-Jul-2014,655.00,699.00,653.00,675.35,850
IDYM,08-Jul-2014,690.00,690.00,690.00,690.00,1500
IDYM,11-Jul-2014,656.00,656.00,656.00,656.00,50
IDYM,15-Jul-2014,624.10,624.10,624.10,624.10,50
IDYM,21-Jul-2014,655.30,655.30,655.30,655.30,200
IDYM,23-Jul-2014,683.00,683.00,682.00,682.00,250
IDYM,05-Aug-2014,713.99,713.99,713.99,713.99,100
IDYM,06-Aug-2014,678.30,678.30,678.30,678.30,100
IDYM,11-Aug-2014,698.00,698.00,698.00,698.00,50
IDYM,12-Aug-2014,716.00,716.00,713.00,714.50,100
IDYM,18-Aug-2014,679.00,689.99,679.00,689.99,150
IDYM,20-Aug-2014,680.00,680.00,680.00,680.00,100
IDYM,22-Aug-2014,688.99,699.03,688.99,699.03,100
IDYM,29-Aug-2014,699.00,733.98,699.00,717.22,450
IDYM,04-Sep-2014,749.99,750.00,749.50,749.90,250
