Symbol,Date,Open,High,Low,Close,Volume
IGIBL,01-Jan-2014,1.65,1.75,1.64,1.71,466500
IGIBL,02-Jan-2014,1.77,1.89,1.72,1.79,2232000
IGIBL,03-Jan-2014,1.76,1.90,1.67,1.70,2862000
IGIBL,06-Jan-2014,1.73,1.85,1.70,1.80,1305000
IGIBL,07-Jan-2014,1.83,1.88,1.70,1.75,394500
IGIBL,08-Jan-2014,1.72,1.78,1.66,1.72,494500
IGIBL,09-Jan-2014,1.74,1.75,1.60,1.61,943500
IGIBL,10-Jan-2014,1.60,1.68,1.53,1.58,1010500
IGIBL,13-Jan-2014,1.62,1.66,1.58,1.59,1182000
IGIBL,15-Jan-2014,1.65,1.65,1.59,1.61,430000
IGIBL,16-Jan-2014,1.70,2.00,1.60,1.95,4959000
IGIBL,17-Jan-2014,1.95,1.99,1.81,1.85,1356500
IGIBL,20-Jan-2014,1.86,1.86,1.70,1.74,616000
IGIBL,21-Jan-2014,1.70,1.75,1.68,1.70,987000
IGIBL,22-Jan-2014,1.78,1.85,1.67,1.81,945500
IGIBL,23-Jan-2014,1.80,1.92,1.76,1.80,1704500
IGIBL,24-Jan-2014,1.80,1.89,1.71,1.74,225000
IGIBL,27-Jan-2014,1.72,1.82,1.71,1.79,260500
IGIBL,28-Jan-2014,1.86,1.91,1.75,1.81,1123500
IGIBL,29-Jan-2014,1.82,1.82,1.70,1.71,813500
IGIBL,30-Jan-2014,1.78,1.78,1.70,1.73,656000
IGIBL,31-Jan-2014,1.72,1.74,1.60,1.65,693000
IGIBL,03-Feb-2014,1.74,1.74,1.61,1.65,457500
IGIBL,04-Feb-2014,1.70,1.70,1.60,1.64,656000
IGIBL,06-Feb-2014,1.67,1.68,1.59,1.62,491500
IGIBL,07-Feb-2014,1.61,1.70,1.60,1.62,774000
IGIBL,10-Feb-2014,1.60,1.65,1.57,1.62,122000
IGIBL,11-Feb-2014,1.60,1.65,1.60,1.62,168000
IGIBL,12-Feb-2014,1.67,1.67,1.60,1.62,215500
IGIBL,13-Feb-2014,1.65,1.67,1.60,1.62,185500
IGIBL,14-Feb-2014,1.60,1.64,1.54,1.55,319500
IGIBL,17-Feb-2014,1.52,1.59,1.46,1.50,523500
IGIBL,18-Feb-2014,1.47,1.54,1.47,1.54,235500
IGIBL,19-Feb-2014,1.57,1.58,1.50,1.51,449000
IGIBL,20-Feb-2014,1.51,1.55,1.48,1.50,323000
IGIBL,21-Feb-2014,1.50,1.55,1.48,1.53,257000
IGIBL,24-Feb-2014,1.54,1.54,1.47,1.52,207500
IGIBL,25-Feb-2014,1.49,1.52,1.49,1.52,76500
IGIBL,26-Feb-2014,1.57,1.57,1.51,1.51,120500
IGIBL,27-Feb-2014,1.52,1.55,1.49,1.54,265500
IGIBL,28-Feb-2014,1.54,1.55,1.51,1.52,95000
IGIBL,03-Mar-2014,1.50,1.53,1.50,1.53,53000
IGIBL,04-Mar-2014,1.51,1.56,1.48,1.54,217000
IGIBL,05-Mar-2014,1.50,1.59,1.50,1.56,145500
IGIBL,06-Mar-2014,1.52,1.65,1.52,1.59,381000
IGIBL,07-Mar-2014,1.53,1.65,1.53,1.63,304500
IGIBL,10-Mar-2014,1.68,1.70,1.61,1.65,142500
IGIBL,11-Mar-2014,1.61,1.68,1.60,1.61,119000
IGIBL,12-Mar-2014,1.60,1.65,1.60,1.61,275500
IGIBL,13-Mar-2014,1.67,1.70,1.63,1.65,407500
IGIBL,14-Mar-2014,1.65,1.70,1.57,1.60,541500
IGIBL,17-Mar-2014,1.60,1.63,1.56,1.60,113500
IGIBL,18-Mar-2014,1.60,1.60,1.56,1.60,137000
IGIBL,19-Mar-2014,1.55,1.60,1.55,1.59,120500
IGIBL,20-Mar-2014,1.60,1.69,1.60,1.63,201000
IGIBL,21-Mar-2014,1.67,1.67,1.61,1.65,93000
IGIBL,24-Mar-2014,1.65,1.65,1.55,1.57,234500
IGIBL,25-Mar-2014,1.54,1.64,1.54,1.58,533000
IGIBL,26-Mar-2014,1.63,1.64,1.56,1.62,162500
IGIBL,27-Mar-2014,1.60,1.64,1.58,1.62,480000
IGIBL,28-Mar-2014,1.66,1.71,1.62,1.64,451500
IGIBL,31-Mar-2014,1.60,1.69,1.60,1.66,499500
IGIBL,01-Apr-2014,1.70,1.74,1.67,1.70,494000
IGIBL,02-Apr-2014,1.69,1.73,1.67,1.68,131000
IGIBL,03-Apr-2014,1.70,1.84,1.67,1.78,1955500
IGIBL,04-Apr-2014,1.82,1.85,1.75,1.78,666500
IGIBL,07-Apr-2014,1.84,1.86,1.76,1.84,1176000
IGIBL,08-Apr-2014,1.85,1.92,1.80,1.80,574000
IGIBL,09-Apr-2014,1.85,1.85,1.75,1.81,966000
IGIBL,10-Apr-2014,1.75,2.16,1.75,2.00,9363000
IGIBL,11-Apr-2014,2.03,2.03,1.88,1.90,1395000
IGIBL,14-Apr-2014,1.86,2.05,1.86,1.96,1937500
IGIBL,15-Apr-2014,2.00,2.00,1.90,1.99,1416500
IGIBL,16-Apr-2014,1.95,2.05,1.95,2.00,1222500
IGIBL,17-Apr-2014,1.99,2.02,1.88,1.91,1140000
IGIBL,18-Apr-2014,1.91,2.10,1.88,1.91,2012500
IGIBL,21-Apr-2014,1.88,1.88,1.80,1.81,335500
IGIBL,22-Apr-2014,1.78,1.86,1.77,1.79,423500
IGIBL,23-Apr-2014,1.77,1.78,1.70,1.70,715000
IGIBL,24-Apr-2014,1.70,1.80,1.70,1.72,385500
IGIBL,25-Apr-2014,1.70,1.78,1.65,1.68,383500
IGIBL,28-Apr-2014,1.66,1.85,1.66,1.80,1211500
IGIBL,29-Apr-2014,1.77,1.78,1.66,1.72,105500
IGIBL,30-Apr-2014,1.77,1.77,1.67,1.72,143000
IGIBL,02-May-2014,1.70,1.71,1.61,1.66,384000
IGIBL,05-May-2014,1.70,1.70,1.61,1.65,351500
IGIBL,06-May-2014,1.62,1.70,1.61,1.69,181000
IGIBL,07-May-2014,1.66,1.70,1.65,1.68,111500
IGIBL,08-May-2014,1.70,1.70,1.63,1.65,268000
IGIBL,09-May-2014,1.65,1.68,1.63,1.64,93000
IGIBL,12-May-2014,1.65,1.65,1.60,1.61,125500
IGIBL,13-May-2014,1.60,1.65,1.60,1.63,159000
IGIBL,14-May-2014,1.62,1.64,1.60,1.63,137500
IGIBL,15-May-2014,1.65,1.69,1.65,1.65,91000
IGIBL,16-May-2014,1.69,1.75,1.63,1.70,500500
IGIBL,19-May-2014,1.73,1.74,1.68,1.70,99000
IGIBL,20-May-2014,1.70,1.70,1.65,1.66,341000
IGIBL,21-May-2014,1.65,1.71,1.65,1.66,64500
IGIBL,22-May-2014,1.65,1.73,1.65,1.67,84000
IGIBL,23-May-2014,1.65,1.70,1.65,1.65,6500
IGIBL,26-May-2014,1.69,1.70,1.61,1.64,143000
IGIBL,27-May-2014,1.70,1.70,1.61,1.67,101000
IGIBL,28-May-2014,1.70,1.75,1.65,1.72,420000
IGIBL,29-May-2014,1.75,1.81,1.70,1.75,1521500
IGIBL,30-May-2014,1.78,1.81,1.70,1.72,564000
IGIBL,02-Jun-2014,1.71,1.77,1.70,1.77,240500
IGIBL,03-Jun-2014,1.71,1.77,1.53,1.64,961500
IGIBL,04-Jun-2014,1.66,1.70,1.61,1.65,304500
IGIBL,05-Jun-2014,1.69,1.69,1.61,1.66,137000
IGIBL,06-Jun-2014,1.61,1.65,1.61,1.63,47500
IGIBL,09-Jun-2014,1.62,1.70,1.60,1.68,90500
IGIBL,10-Jun-2014,1.62,1.63,1.55,1.59,458500
IGIBL,11-Jun-2014,1.59,1.64,1.58,1.62,192500
IGIBL,12-Jun-2014,1.61,1.63,1.56,1.59,220500
IGIBL,13-Jun-2014,1.55,1.61,1.55,1.61,396000
IGIBL,16-Jun-2014,1.55,1.60,1.55,1.60,122500
IGIBL,17-Jun-2014,1.61,1.61,1.53,1.54,351000
IGIBL,18-Jun-2014,1.54,1.54,1.47,1.48,450500
IGIBL,19-Jun-2014,1.47,1.50,1.39,1.45,663500
IGIBL,20-Jun-2014,1.44,1.47,1.42,1.45,299500
IGIBL,23-Jun-2014,1.44,1.55,1.41,1.48,488000
IGIBL,24-Jun-2014,1.50,1.50,1.45,1.45,145000
IGIBL,25-Jun-2014,1.48,1.50,1.41,1.42,164000
IGIBL,26-Jun-2014,1.45,1.48,1.42,1.43,74500
IGIBL,27-Jun-2014,1.44,1.50,1.43,1.45,44500
IGIBL,30-Jun-2014,1.43,1.48,1.43,1.45,48000
IGIBL,01-Jul-2014,1.47,1.47,1.44,1.45,116000
IGIBL,02-Jul-2014,1.44,1.51,1.43,1.49,89000
IGIBL,03-Jul-2014,1.50,1.52,1.50,1.51,2000
IGIBL,04-Jul-2014,1.55,1.55,1.45,1.50,49500
IGIBL,07-Jul-2014,1.50,1.50,1.45,1.50,51500
IGIBL,08-Jul-2014,1.50,1.54,1.45,1.47,193500
IGIBL,09-Jul-2014,1.50,1.55,1.47,1.53,27000
IGIBL,10-Jul-2014,1.55,1.55,1.47,1.50,145000
IGIBL,11-Jul-2014,1.68,1.68,1.45,1.51,92000
IGIBL,14-Jul-2014,1.55,1.55,1.47,1.50,140000
IGIBL,15-Jul-2014,1.50,1.56,1.49,1.52,101000
IGIBL,16-Jul-2014,1.67,1.67,1.47,1.50,70000
IGIBL,17-Jul-2014,1.54,1.57,1.48,1.48,160500
IGIBL,18-Jul-2014,1.54,1.54,1.49,1.50,26500
IGIBL,21-Jul-2014,1.48,1.54,1.45,1.46,69000
IGIBL,22-Jul-2014,1.50,1.52,1.46,1.48,168000
IGIBL,23-Jul-2014,1.62,1.62,1.45,1.48,105000
IGIBL,24-Jul-2014,1.49,1.50,1.46,1.47,69000
IGIBL,28-Jul-2014,1.46,1.47,1.45,1.45,30000
IGIBL,04-Aug-2014,1.57,1.57,1.35,1.37,79500
IGIBL,05-Aug-2014,1.40,1.40,1.34,1.37,305000
IGIBL,06-Aug-2014,1.40,1.42,1.31,1.35,408000
IGIBL,07-Aug-2014,1.36,1.39,1.34,1.35,247000
IGIBL,08-Aug-2014,1.35,1.40,1.33,1.35,164500
IGIBL,11-Aug-2014,1.30,1.39,1.12,1.17,946000
IGIBL,12-Aug-2014,1.20,1.30,1.18,1.23,359000
IGIBL,13-Aug-2014,1.29,1.37,1.23,1.33,158000
IGIBL,15-Aug-2014,1.34,1.39,1.30,1.38,170000
IGIBL,18-Aug-2014,1.30,1.35,1.30,1.33,76000
IGIBL,19-Aug-2014,1.30,1.37,1.30,1.36,374500
IGIBL,20-Aug-2014,1.35,1.37,1.33,1.33,67000
IGIBL,21-Aug-2014,1.38,1.44,1.34,1.35,125000
IGIBL,22-Aug-2014,1.33,1.45,1.31,1.32,142500
IGIBL,25-Aug-2014,1.33,1.35,1.30,1.33,43500
IGIBL,26-Aug-2014,1.34,1.35,1.30,1.30,151000
IGIBL,27-Aug-2014,1.32,1.32,1.27,1.31,10000
IGIBL,28-Aug-2014,1.15,1.32,1.15,1.32,12500
IGIBL,29-Aug-2014,1.39,1.58,1.23,1.33,139000
IGIBL,01-Sep-2014,1.32,1.32,1.30,1.32,142500
IGIBL,02-Sep-2014,1.35,1.35,1.30,1.34,48500
IGIBL,03-Sep-2014,1.40,1.40,1.34,1.34,98000
IGIBL,04-Sep-2014,1.39,1.48,1.31,1.43,220000
IGIBL,05-Sep-2014,1.37,1.49,1.35,1.42,83000
IGIBL,08-Sep-2014,1.36,1.40,1.36,1.40,7000
IGIBL,09-Sep-2014,1.40,1.45,1.33,1.34,65500
IGIBL,10-Sep-2014,1.36,1.37,1.33,1.35,52500
IGIBL,11-Sep-2014,1.33,1.38,1.31,1.38,39500
IGIBL,12-Sep-2014,1.35,1.41,1.35,1.40,60500
IGIBL,15-Sep-2014,1.35,1.50,1.35,1.45,171000
IGIBL,16-Sep-2014,1.45,1.50,1.36,1.43,131000
IGIBL,17-Sep-2014,1.45,1.46,1.32,1.32,112000
IGIBL,18-Sep-2014,1.31,1.44,1.30,1.35,110500
IGIBL,19-Sep-2014,1.40,1.43,1.30,1.38,793000
IGIBL,22-Sep-2014,1.40,1.40,1.36,1.38,28000
IGIBL,23-Sep-2014,1.36,1.37,1.31,1.37,95000
IGIBL,24-Sep-2014,1.37,1.59,1.35,1.38,1659000
IGIBL,25-Sep-2014,1.45,1.50,1.40,1.45,382000
IGIBL,26-Sep-2014,1.46,1.46,1.40,1.41,44000
IGIBL,29-Sep-2014,1.36,1.45,1.35,1.43,116500
IGIBL,30-Sep-2014,1.43,1.54,1.41,1.50,707500
IGIBL,01-Oct-2014,1.49,1.53,1.40,1.43,204000
IGIBL,02-Oct-2014,1.49,1.49,1.45,1.47,117000
IGIBL,03-Oct-2014,1.54,1.54,1.41,1.47,281000
IGIBL,09-Oct-2014,1.45,1.47,1.40,1.45,197000
IGIBL,10-Oct-2014,1.42,1.46,1.40,1.40,301000
IGIBL,13-Oct-2014,1.49,1.49,1.42,1.46,245000
IGIBL,14-Oct-2014,1.47,1.50,1.45,1.45,211000
IGIBL,15-Oct-2014,1.48,1.48,1.40,1.44,306500
IGIBL,16-Oct-2014,1.42,1.48,1.40,1.43,539000
IGIBL,17-Oct-2014,1.44,1.46,1.41,1.44,119500
IGIBL,20-Oct-2014,1.44,1.46,1.42,1.45,349000
IGIBL,21-Oct-2014,1.44,1.47,1.42,1.44,163500
IGIBL,22-Oct-2014,1.46,1.46,1.42,1.46,183000
IGIBL,23-Oct-2014,1.49,1.63,1.49,1.61,988500
IGIBL,24-Oct-2014,1.63,1.73,1.50,1.69,2050500
IGIBL,27-Oct-2014,1.70,1.99,1.70,1.75,2575000
IGIBL,28-Oct-2014,1.70,1.79,1.60,1.62,502500
IGIBL,29-Oct-2014,1.60,1.67,1.55,1.57,264000
IGIBL,30-Oct-2014,1.60,1.61,1.55,1.59,111000
IGIBL,31-Oct-2014,1.55,1.78,1.55,1.71,1156000
IGIBL,05-Nov-2014,1.62,1.84,1.62,1.70,304000
IGIBL,06-Nov-2014,1.75,1.75,1.50,1.63,503500
IGIBL,07-Nov-2014,1.65,1.65,1.58,1.60,459500
IGIBL,10-Nov-2014,1.70,1.70,1.62,1.64,157500
IGIBL,11-Nov-2014,1.68,1.68,1.61,1.62,48500
IGIBL,12-Nov-2014,1.62,1.70,1.62,1.65,192500
IGIBL,13-Nov-2014,1.62,1.66,1.61,1.65,277000
IGIBL,14-Nov-2014,1.62,1.71,1.62,1.70,288500
IGIBL,17-Nov-2014,1.60,1.62,1.57,1.57,195000
IGIBL,18-Nov-2014,1.53,1.56,1.50,1.50,292000
IGIBL,19-Nov-2014,1.50,1.56,1.50,1.50,80000
IGIBL,20-Nov-2014,1.50,1.54,1.42,1.44,146000
IGIBL,21-Nov-2014,1.46,1.55,1.40,1.43,80500
IGIBL,24-Nov-2014,1.50,1.70,1.47,1.58,649500
IGIBL,25-Nov-2014,1.61,1.61,1.48,1.51,41000
IGIBL,26-Nov-2014,1.45,1.58,1.45,1.55,228000
IGIBL,27-Nov-2014,1.58,1.58,1.51,1.56,154500
IGIBL,28-Nov-2014,1.46,1.52,1.46,1.48,85000
IGIBL,01-Dec-2014,1.59,1.60,1.47,1.60,269500
IGIBL,02-Dec-2014,1.60,1.67,1.58,1.65,302000
IGIBL,03-Dec-2014,1.65,1.72,1.65,1.67,749500
IGIBL,04-Dec-2014,1.69,1.80,1.65,1.70,2480500
IGIBL,05-Dec-2014,1.75,1.85,1.73,1.81,1998500
IGIBL,08-Dec-2014,1.80,1.85,1.76,1.76,147000
IGIBL,09-Dec-2014,1.70,1.85,1.70,1.82,510000
