Symbol,Date,Open,High,Low,Close,Volume
IGIHL,01-Jan-2014,163.00,166.50,163.00,164.06,113200
IGIHL,02-Jan-2014,164.97,164.98,160.11,161.09,64300
IGIHL,03-Jan-2014,160.60,160.60,158.70,159.51,100900
IGIHL,06-Jan-2014,159.50,162.80,154.99,155.48,109300
IGIHL,07-Jan-2014,155.98,158.55,155.98,157.00,60400
IGIHL,08-Jan-2014,156.25,164.00,155.00,161.37,228300
IGIHL,09-Jan-2014,162.00,169.43,160.21,169.43,597700
IGIHL,10-Jan-2014,170.00,177.90,166.10,177.12,1057200
IGIHL,13-Jan-2014,177.50,179.00,172.30,172.92,219600
IGIHL,15-Jan-2014,172.55,181.56,172.55,180.35,657200
IGIHL,16-Jan-2014,180.00,185.00,179.00,182.97,323600
IGIHL,17-Jan-2014,182.25,192.11,182.25,192.11,306900
IGIHL,20-Jan-2014,198.09,201.71,196.50,197.74,607800
IGIHL,21-Jan-2014,197.00,198.00,191.00,191.73,153900
IGIHL,22-Jan-2014,192.00,197.40,190.20,191.79,193900
IGIHL,23-Jan-2014,190.01,193.00,185.10,186.41,135000
IGIHL,24-Jan-2014,187.00,190.00,183.00,188.55,160900
IGIHL,27-Jan-2014,186.00,194.80,182.25,192.12,316600
IGIHL,28-Jan-2014,192.10,201.72,191.00,196.10,572700
IGIHL,29-Jan-2014,197.70,205.90,193.00,205.84,398600
IGIHL,30-Jan-2014,209.50,216.13,206.00,213.58,475600
IGIHL,31-Jan-2014,215.49,224.25,214.99,224.25,806800
IGIHL,03-Feb-2014,228.98,228.98,214.00,215.45,268200
IGIHL,04-Feb-2014,214.00,226.21,206.10,224.09,508000
IGIHL,06-Feb-2014,227.00,234.00,223.15,224.86,399700
IGIHL,07-Feb-2014,225.00,225.00,216.75,220.82,90200
IGIHL,10-Feb-2014,220.10,220.51,210.00,217.67,128200
IGIHL,11-Feb-2014,218.98,218.98,211.50,212.96,21700
IGIHL,12-Feb-2014,211.50,218.50,211.50,217.03,219700
IGIHL,13-Feb-2014,218.00,220.80,213.00,213.82,188300
IGIHL,14-Feb-2014,215.00,215.25,205.11,207.38,56900
IGIHL,17-Feb-2014,206.00,208.00,197.02,197.02,255700
IGIHL,18-Feb-2014,193.10,196.99,187.17,190.71,137400
IGIHL,19-Feb-2014,191.60,195.00,182.30,185.63,73000
IGIHL,20-Feb-2014,185.00,186.90,176.35,176.35,86400
IGIHL,21-Feb-2014,173.01,181.00,168.06,176.63,130900
IGIHL,24-Feb-2014,176.50,182.70,176.00,181.73,108600
IGIHL,25-Feb-2014,181.15,183.49,172.65,173.96,154000
IGIHL,26-Feb-2014,169.00,182.00,165.27,177.59,188600
IGIHL,27-Feb-2014,178.05,180.00,172.50,174.85,33100
IGIHL,28-Feb-2014,178.20,183.00,175.00,180.19,123600
IGIHL,03-Mar-2014,185.85,188.48,182.00,187.69,82400
IGIHL,04-Mar-2014,188.00,197.00,185.00,194.31,121800
IGIHL,05-Mar-2014,195.00,196.00,192.51,192.72,55700
IGIHL,06-Mar-2014,194.99,198.00,192.10,197.14,106000
IGIHL,07-Mar-2014,198.00,203.98,195.00,199.63,123900
IGIHL,10-Mar-2014,198.10,201.00,195.00,199.80,62000
IGIHL,11-Mar-2014,199.80,200.00,195.10,198.15,42400
IGIHL,12-Mar-2014,198.90,199.00,191.00,194.48,36700
IGIHL,13-Mar-2014,192.26,193.40,191.01,191.41,14500
IGIHL,14-Mar-2014,190.00,190.40,188.00,188.59,17200
IGIHL,17-Mar-2014,188.40,191.99,188.40,190.94,12200
IGIHL,18-Mar-2014,191.50,196.00,190.50,193.71,55200
IGIHL,19-Mar-2014,194.00,194.00,190.01,193.00,15800
IGIHL,20-Mar-2014,193.00,201.75,193.00,195.52,445300
IGIHL,21-Mar-2014,196.00,196.00,191.00,191.08,34500
IGIHL,24-Mar-2014,193.00,193.00,190.00,190.00,12400
IGIHL,25-Mar-2014,193.00,193.00,189.50,190.79,6400
IGIHL,26-Mar-2014,191.50,193.00,190.00,190.47,22100
IGIHL,27-Mar-2014,190.01,190.60,188.00,189.91,105400
IGIHL,28-Mar-2014,189.00,191.00,185.00,186.00,9500
IGIHL,31-Mar-2014,186.00,186.49,184.00,185.61,40000
IGIHL,01-Apr-2014,188.80,194.89,188.02,194.89,95700
IGIHL,02-Apr-2014,199.00,204.63,197.26,204.63,554600
IGIHL,03-Apr-2014,207.00,212.40,198.16,208.65,1203800
IGIHL,04-Apr-2014,210.50,219.08,210.50,218.45,752400
IGIHL,07-Apr-2014,217.50,221.75,215.00,215.06,370100
IGIHL,08-Apr-2014,213.10,219.90,213.10,216.67,150900
IGIHL,09-Apr-2014,216.50,219.80,214.06,218.56,464600
IGIHL,10-Apr-2014,206.00,206.68,197.00,200.44,188600
IGIHL,11-Apr-2014,202.00,203.00,195.70,199.76,106800
IGIHL,14-Apr-2014,201.90,201.90,196.05,196.79,35600
IGIHL,15-Apr-2014,196.80,200.00,194.00,197.21,87100
IGIHL,16-Apr-2014,197.00,197.00,194.00,194.15,45000
IGIHL,17-Apr-2014,194.01,203.85,192.00,203.85,262100
IGIHL,18-Apr-2014,207.50,210.90,200.00,201.01,178200
IGIHL,21-Apr-2014,201.94,203.80,199.00,200.72,56100
IGIHL,22-Apr-2014,202.00,202.00,194.00,197.00,68400
IGIHL,23-Apr-2014,196.05,200.00,190.00,191.71,191200
IGIHL,24-Apr-2014,192.50,198.50,191.50,197.86,93200
IGIHL,25-Apr-2014,198.45,205.00,198.00,202.97,149600
IGIHL,28-Apr-2014,202.00,204.85,200.00,203.18,229900
IGIHL,29-Apr-2014,201.61,205.00,201.00,202.74,177700
IGIHL,30-Apr-2014,202.00,211.49,201.05,207.69,366300
IGIHL,02-May-2014,207.50,207.95,201.25,204.65,76700
IGIHL,05-May-2014,205.40,214.88,205.40,214.50,693500
IGIHL,06-May-2014,215.01,217.80,208.00,209.38,409700
IGIHL,07-May-2014,210.00,211.00,207.99,208.13,32800
IGIHL,08-May-2014,210.00,215.78,206.21,214.10,98800
IGIHL,09-May-2014,215.99,218.94,214.00,217.28,264500
IGIHL,12-May-2014,217.01,220.20,214.00,214.88,67300
IGIHL,13-May-2014,213.50,220.00,211.50,219.44,407600
