Symbol,Date,Open,High,Low,Close,Volume
IGIL,02-Jan-2014,37.00,38.11,37.00,38.11,1000
IGIL,06-Jan-2014,40.01,40.01,40.01,40.01,1000
IGIL,07-Jan-2014,41.50,41.90,41.50,41.90,1500
IGIL,08-Jan-2014,39.81,41.95,39.81,41.95,6500
IGIL,10-Jan-2014,44.00,44.04,40.00,40.00,2000
IGIL,15-Jan-2014,41.80,41.80,40.00,40.00,1500
IGIL,20-Jan-2014,41.00,41.25,39.00,39.00,5500
IGIL,24-Jan-2014,37.10,40.95,37.10,40.95,1000
IGIL,27-Jan-2014,38.91,42.80,38.91,42.80,4500
IGIL,28-Jan-2014,41.49,41.49,40.90,40.90,3000
IGIL,29-Jan-2014,38.86,41.44,38.86,41.00,3500
IGIL,30-Jan-2014,40.89,40.89,40.89,40.89,1000
IGIL,07-Feb-2014,42.89,42.89,39.00,39.00,11000
IGIL,11-Feb-2014,38.90,38.90,38.90,38.90,500
IGIL,12-Feb-2014,39.00,40.84,39.00,40.84,2500
IGIL,13-Feb-2014,41.50,41.50,41.50,41.50,1500
IGIL,14-Feb-2014,40.51,43.40,40.51,43.40,1000
IGIL,19-Feb-2014,45.40,45.40,45.40,45.40,500
IGIL,20-Feb-2014,43.13,43.13,43.13,43.13,500
IGIL,24-Feb-2014,45.20,45.20,45.20,45.20,500
IGIL,26-Feb-2014,46.90,46.90,46.90,46.90,500
IGIL,03-Mar-2014,47.00,47.00,47.00,47.00,500
IGIL,17-Mar-2014,44.51,46.90,44.51,45.31,1500
IGIL,20-Mar-2014,43.30,43.30,43.05,43.05,1500
IGIL,21-Mar-2014,40.90,40.90,40.90,40.90,1000
IGIL,24-Mar-2014,38.86,38.86,38.86,38.86,500
IGIL,25-Mar-2014,37.25,39.80,37.25,39.80,1000
IGIL,01-Apr-2014,37.81,40.90,37.81,40.90,1000
IGIL,07-Apr-2014,41.99,41.99,41.99,41.99,1000
IGIL,08-Apr-2014,42.95,44.00,42.95,44.00,4000
IGIL,09-Apr-2014,41.80,42.98,41.80,42.66,4000
IGIL,10-Apr-2014,41.00,44.79,41.00,44.79,64000
IGIL,11-Apr-2014,46.99,47.02,44.99,47.01,123000
IGIL,14-Apr-2014,49.36,49.36,49.36,49.36,91000
IGIL,15-Apr-2014,51.82,51.82,51.00,51.82,58500
IGIL,16-Apr-2014,54.41,54.41,54.41,54.41,35000
IGIL,17-Apr-2014,56.90,57.13,56.90,57.13,2500
IGIL,18-Apr-2014,59.98,59.98,59.98,59.98,4500
IGIL,21-Apr-2014,62.97,62.97,56.99,56.99,61000
IGIL,22-Apr-2014,54.41,57.99,54.41,55.50,42000
IGIL,23-Apr-2014,55.90,58.27,55.70,58.27,33500
IGIL,24-Apr-2014,58.00,61.18,58.00,61.18,27000
IGIL,25-Apr-2014,64.23,64.23,63.99,64.23,69000
IGIL,28-Apr-2014,67.44,67.44,66.00,67.44,49000
IGIL,29-Apr-2014,70.00,70.81,67.00,70.81,57500
IGIL,30-Apr-2014,74.35,74.35,74.35,74.35,1500
IGIL,02-May-2014,78.06,78.06,78.06,78.06,5000
IGIL,05-May-2014,81.96,81.96,78.50,81.96,37500
IGIL,06-May-2014,85.55,86.05,80.00,80.00,34500
IGIL,07-May-2014,76.15,81.99,76.00,81.46,34000
IGIL,08-May-2014,84.90,84.90,80.00,81.37,9500
IGIL,09-May-2014,81.25,81.40,78.50,80.87,14000
IGIL,12-May-2014,77.00,84.91,77.00,81.44,18500
IGIL,13-May-2014,80.05,80.49,77.37,79.94,25500
IGIL,14-May-2014,77.00,80.44,77.00,79.06,11500
IGIL,15-May-2014,78.00,78.00,78.00,78.00,1000
IGIL,16-May-2014,78.00,81.90,78.00,81.85,30000
IGIL,19-May-2014,77.76,82.29,77.76,82.25,4500
IGIL,20-May-2014,82.00,82.10,78.65,78.65,1500
IGIL,21-May-2014,80.98,82.50,80.98,82.18,10000
IGIL,22-May-2014,80.10,84.00,80.10,82.00,14000
IGIL,26-May-2014,85.00,85.00,84.95,84.95,6500
IGIL,27-May-2014,81.50,81.50,80.71,81.24,3000
IGIL,28-May-2014,81.00,84.00,81.00,84.00,13500
