Symbol,Date,Open,High,Low,Close,Volume
ILTM,01-Jan-2014,1135.00,1192.01,1135.00,1192.01,450
ILTM,02-Jan-2014,1250.00,1251.00,1220.00,1230.00,400
ILTM,09-Jan-2014,1291.00,1291.00,1291.00,1291.00,50
ILTM,16-Jan-2014,1219.72,1219.72,1219.72,1219.72,100
ILTM,20-Jan-2014,1230.00,1230.00,1230.00,1230.00,50
ILTM,21-Jan-2014,1230.00,1230.00,1230.00,1230.00,100
ILTM,22-Jan-2014,1291.50,1291.50,1250.00,1291.50,1550
ILTM,23-Jan-2014,1356.07,1356.07,1356.07,1356.07,2600
ILTM,24-Jan-2014,1370.00,1423.87,1350.00,1419.43,1550
ILTM,27-Jan-2014,1490.40,1490.40,1489.99,1490.40,650
ILTM,28-Jan-2014,1564.92,1564.92,1564.92,1564.92,500
ILTM,29-Jan-2014,1643.16,1643.16,1643.16,1643.16,100
ILTM,30-Jan-2014,1725.31,1725.31,1698.99,1709.79,4000
ILTM,31-Jan-2014,1745.00,1745.00,1745.00,1745.00,50
ILTM,03-Feb-2014,1700.00,1700.00,1690.00,1700.00,150
ILTM,04-Feb-2014,1620.00,1660.00,1615.00,1660.00,150
ILTM,07-Feb-2014,1577.00,1577.00,1577.00,1577.00,50
ILTM,10-Feb-2014,1498.15,1498.15,1498.15,1498.15,100
ILTM,11-Feb-2014,1423.25,1423.25,1423.25,1423.25,300
ILTM,12-Feb-2014,1353.00,1485.00,1353.00,1353.00,100
ILTM,13-Feb-2014,1325.00,1420.00,1325.00,1420.00,150
ILTM,14-Feb-2014,1490.00,1490.00,1425.00,1425.00,200
ILTM,18-Feb-2014,1341.08,1341.08,1341.08,1341.08,100
ILTM,19-Feb-2014,1274.03,1274.03,1274.03,1274.03,150
ILTM,20-Feb-2014,1320.00,1320.00,1210.33,1210.67,200
ILTM,21-Feb-2014,1271.00,1271.20,1271.00,1271.20,150
ILTM,27-Feb-2014,1207.64,1207.64,1207.64,1207.64,50
ILTM,28-Feb-2014,1200.00,1200.00,1148.00,1148.00,100
ILTM,03-Mar-2014,1090.61,1090.61,1090.60,1090.60,200
ILTM,04-Mar-2014,1036.11,1090.00,1036.11,1036.11,100
ILTM,05-Mar-2014,1087.00,1087.00,1087.00,1087.00,100
ILTM,06-Mar-2014,1105.00,1141.35,1105.00,1105.00,150
ILTM,07-Mar-2014,1160.25,1160.25,1160.25,1160.25,100
ILTM,11-Mar-2014,1105.00,1105.00,1102.24,1102.24,200
ILTM,12-Mar-2014,1060.00,1060.00,1060.00,1060.00,50
ILTM,13-Mar-2014,1007.00,1050.00,1007.00,1025.00,200
ILTM,14-Mar-2014,1076.00,1076.00,1076.00,1076.00,50
ILTM,17-Mar-2014,1061.00,1061.00,1022.20,1022.20,250
ILTM,18-Mar-2014,1030.00,1030.00,1030.00,1030.00,100
ILTM,28-Mar-2014,1011.10,1012.00,1011.10,1011.10,100
ILTM,02-Apr-2014,1000.00,1000.00,1000.00,1000.00,50
ILTM,04-Apr-2014,975.00,975.00,955.00,955.00,150
ILTM,10-Apr-2014,907.50,907.50,907.50,907.50,50
ILTM,14-Apr-2014,895.00,899.99,895.00,899.99,100
ILTM,18-Apr-2014,944.98,944.98,944.98,944.98,200
ILTM,22-Apr-2014,992.22,992.22,992.22,992.22,50
ILTM,02-May-2014,950.00,1035.00,950.00,992.93,1800
ILTM,05-May-2014,980.00,980.00,980.00,980.00,50
ILTM,06-May-2014,1029.00,1029.00,1029.00,1029.00,50
ILTM,09-May-2014,958.73,1030.00,958.73,1030.00,100
ILTM,21-May-2014,970.79,970.79,970.79,970.79,200
ILTM,22-May-2014,922.26,922.26,922.26,922.26,200
ILTM,23-May-2014,876.65,968.00,876.15,906.77,500
ILTM,26-May-2014,861.44,910.00,861.44,894.99,500
ILTM,27-May-2014,850.25,850.26,850.25,850.26,150
ILTM,28-May-2014,850.00,888.00,850.00,860.00,350
ILTM,30-May-2014,898.99,903.00,898.99,903.00,300
ILTM,02-Jun-2014,900.00,900.00,870.00,880.00,600
ILTM,03-Jun-2014,870.01,924.00,870.01,924.00,400
ILTM,04-Jun-2014,900.00,900.00,887.00,887.00,300
ILTM,05-Jun-2014,929.00,929.00,925.00,926.00,250
