Symbol,Date,Open,High,Low,Close,Volume
ISIL,01-Jan-2014,197.41,197.41,197.41,207.80,100
ISIL,03-Jan-2014,197.41,197.41,197.41,207.80,100
ISIL,06-Jan-2014,197.41,202.00,197.41,202.00,400
ISIL,08-Jan-2014,192.00,197.00,192.00,195.00,700
ISIL,10-Jan-2014,199.90,199.90,199.90,199.90,1000
ISIL,16-Jan-2014,190.00,193.00,190.00,193.00,1300
ISIL,17-Jan-2014,199.99,202.65,186.00,202.65,4000
ISIL,20-Jan-2014,212.78,212.78,212.00,212.78,5600
ISIL,21-Jan-2014,223.41,223.41,217.10,223.41,20000
ISIL,22-Jan-2014,232.90,234.58,232.90,234.58,12400
ISIL,23-Jan-2014,246.25,246.30,232.00,232.24,21000
ISIL,24-Jan-2014,240.00,240.00,240.00,240.00,1000
ISIL,28-Jan-2014,228.15,252.00,228.00,239.75,2300
ISIL,31-Jan-2014,228.00,240.00,228.00,240.00,1600
ISIL,03-Feb-2014,230.01,246.50,230.00,243.33,1400
ISIL,07-Feb-2014,231.50,231.50,231.50,231.50,200
ISIL,17-Feb-2014,219.93,239.99,219.93,225.95,3200
ISIL,18-Feb-2014,234.00,234.00,234.00,234.00,500
ISIL,19-Feb-2014,222.60,222.60,222.55,222.59,400
ISIL,24-Feb-2014,211.50,211.51,211.50,211.51,400
ISIL,26-Feb-2014,210.00,210.00,201.00,201.01,400
ISIL,27-Feb-2014,200.00,200.00,200.00,201.01,100
ISIL,03-Mar-2014,192.01,192.01,191.00,191.81,500
ISIL,04-Mar-2014,184.50,184.50,182.22,182.22,500
ISIL,05-Mar-2014,177.00,179.00,173.11,175.67,3100
ISIL,06-Mar-2014,180.00,180.00,180.00,175.67,100
ISIL,11-Mar-2014,184.00,184.00,184.00,175.67,100
ISIL,18-Mar-2014,175.67,175.67,175.67,175.67,100
ISIL,19-Mar-2014,171.00,171.00,171.00,171.00,500
ISIL,21-Mar-2014,165.00,179.55,163.10,163.56,4200
ISIL,24-Mar-2014,160.05,171.73,160.05,171.73,11200
ISIL,25-Mar-2014,180.31,180.31,180.31,180.31,800
ISIL,26-Mar-2014,189.32,189.32,189.32,189.32,1400
ISIL,27-Mar-2014,197.90,198.78,179.86,181.17,22700
ISIL,07-Apr-2014,181.17,181.17,181.17,181.17,100
ISIL,09-Apr-2014,175.00,176.00,174.01,176.00,500
ISIL,06-May-2014,176.00,176.00,176.00,176.00,100
ISIL,14-May-2014,184.00,184.80,184.00,184.70,1000
