Symbol,Date,Open,High,Low,Close,Volume
ITTEFAQ,03-Jul-2017,28.81,30.20,28.69,28.76,6829500
ITTEFAQ,04-Jul-2017,29.29,30.14,28.36,29.86,2439500
ITTEFAQ,05-Jul-2017,29.28,31.28,28.85,30.41,7685000
ITTEFAQ,06-Jul-2017,30.00,31.93,30.00,31.78,4489000
ITTEFAQ,07-Jul-2017,32.99,33.36,32.98,33.36,348000
ITTEFAQ,10-Jul-2017,35.02,35.02,34.00,35.02,3135000
ITTEFAQ,11-Jul-2017,33.27,34.00,33.27,33.27,1844500
ITTEFAQ,12-Jul-2017,32.50,32.90,31.61,32.03,3604000
ITTEFAQ,13-Jul-2017,32.39,32.79,30.43,30.43,1772500
ITTEFAQ,14-Jul-2017,30.40,31.60,28.91,30.64,2082500
ITTEFAQ,17-Jul-2017,30.01,32.17,29.60,32.02,1741500
ITTEFAQ,18-Jul-2017,32.36,33.62,32.36,33.61,1752000
ITTEFAQ,19-Jul-2017,34.28,34.75,32.80,34.47,2493000
ITTEFAQ,20-Jul-2017,34.79,35.50,32.75,32.75,2221500
ITTEFAQ,21-Jul-2017,31.75,34.10,31.30,33.89,1144000
ITTEFAQ,24-Jul-2017,34.00,34.40,33.13,33.39,947500
ITTEFAQ,25-Jul-2017,33.48,34.25,33.02,33.76,1000000
ITTEFAQ,26-Jul-2017,34.05,34.31,33.26,33.57,971500
ITTEFAQ,27-Jul-2017,33.44,35.08,33.43,34.36,1610500
ITTEFAQ,28-Jul-2017,32.66,33.10,32.65,32.65,2937500
ITTEFAQ,31-Jul-2017,32.90,34.10,31.32,31.59,1612000
ITTEFAQ,01-Aug-2017,32.00,32.80,31.63,32.66,1036500
ITTEFAQ,02-Aug-2017,32.95,34.29,32.25,34.29,2581000
ITTEFAQ,03-Aug-2017,34.85,36.00,34.40,36.00,3109500
ITTEFAQ,04-Aug-2017,36.30,36.49,34.81,35.23,1826000
ITTEFAQ,07-Aug-2017,35.00,35.00,33.48,33.64,705000
ITTEFAQ,08-Aug-2017,33.33,34.30,32.80,33.06,369500
ITTEFAQ,09-Aug-2017,32.50,33.70,32.50,33.03,318000
ITTEFAQ,10-Aug-2017,33.20,33.64,32.51,32.59,256500
ITTEFAQ,11-Aug-2017,32.99,33.48,32.65,32.80,191000
ITTEFAQ,15-Aug-2017,32.50,32.98,31.16,31.16,1009000
ITTEFAQ,16-Aug-2017,31.40,32.10,30.80,31.29,273000
ITTEFAQ,17-Aug-2017,31.13,31.70,29.80,30.13,566500
ITTEFAQ,18-Aug-2017,30.16,30.60,29.55,29.95,927500
ITTEFAQ,21-Aug-2017,30.05,30.05,28.46,28.46,454000
ITTEFAQ,22-Aug-2017,28.02,29.69,27.04,28.33,723000
ITTEFAQ,23-Aug-2017,28.05,29.74,28.05,29.74,393500
ITTEFAQ,24-Aug-2017,30.00,31.00,29.65,29.87,429500
ITTEFAQ,25-Aug-2017,29.51,30.94,29.51,30.32,56000
ITTEFAQ,28-Aug-2017,29.06,31.25,29.06,29.66,24000
