Symbol,Date,Open,High,Low,Close,Volume
JGICL,02-Jan-2014,73.00,73.00,73.00,73.00,5000
JGICL,06-Jan-2014,74.99,74.99,73.50,74.00,3000
JGICL,07-Jan-2014,73.00,73.00,73.00,73.00,1000
JGICL,09-Jan-2014,74.74,74.74,74.00,74.00,2000
JGICL,10-Jan-2014,73.00,73.00,73.00,73.00,1000
JGICL,13-Jan-2014,71.43,73.00,71.01,73.00,5000
JGICL,15-Jan-2014,75.70,75.75,74.00,74.00,12500
JGICL,22-Jan-2014,77.70,77.70,77.70,77.70,3500
JGICL,23-Jan-2014,74.00,81.00,74.00,81.00,1500
JGICL,24-Jan-2014,81.00,81.00,81.00,81.00,500
JGICL,28-Jan-2014,80.00,82.00,79.00,82.00,19500
JGICL,29-Jan-2014,80.05,80.05,80.05,80.05,500
JGICL,03-Feb-2014,83.00,83.89,79.52,81.00,5500
JGICL,04-Feb-2014,83.68,83.68,83.68,83.68,500
JGICL,06-Feb-2014,83.99,87.84,82.11,82.51,11500
JGICL,10-Feb-2014,79.05,79.05,79.05,79.05,500
JGICL,12-Feb-2014,82.10,83.00,82.10,83.00,6500
JGICL,13-Feb-2014,86.30,86.30,81.11,84.50,37000
JGICL,14-Feb-2014,85.99,86.10,83.50,83.53,4500
JGICL,17-Feb-2014,84.00,84.10,80.00,80.00,9000
JGICL,18-Feb-2014,83.78,83.78,80.00,80.30,4000
JGICL,19-Feb-2014,80.00,80.00,80.00,80.00,1000
JGICL,20-Feb-2014,77.06,77.06,76.00,76.45,2500
JGICL,21-Feb-2014,79.95,79.95,79.95,79.95,500
JGICL,24-Feb-2014,80.00,80.00,79.90,80.00,3000
JGICL,25-Feb-2014,77.00,80.00,77.00,78.00,2500
JGICL,26-Feb-2014,80.00,80.00,79.70,79.89,2500
JGICL,27-Feb-2014,79.99,81.00,79.99,81.00,4000
JGICL,03-Mar-2014,80.00,81.00,80.00,80.00,4500
JGICL,04-Mar-2014,81.00,81.00,81.00,81.00,500
JGICL,05-Mar-2014,80.00,82.95,80.00,82.18,10500
JGICL,06-Mar-2014,82.00,82.50,81.00,82.50,5500
JGICL,07-Mar-2014,83.00,86.00,82.60,84.00,29500
JGICL,10-Mar-2014,84.50,84.50,84.00,84.00,1500
JGICL,11-Mar-2014,85.00,85.50,84.60,85.01,6500
JGICL,12-Mar-2014,85.00,85.00,84.00,84.00,7500
JGICL,13-Mar-2014,82.01,84.94,82.00,84.94,2000
JGICL,14-Mar-2014,81.50,84.50,81.50,84.00,5000
JGICL,17-Mar-2014,85.00,85.00,84.00,84.00,3000
JGICL,18-Mar-2014,82.50,83.49,82.00,83.00,12500
JGICL,19-Mar-2014,84.49,84.50,84.49,84.50,5000
JGICL,20-Mar-2014,84.00,84.50,83.65,84.00,9500
JGICL,24-Mar-2014,84.00,84.25,84.00,84.00,4000
JGICL,25-Mar-2014,84.00,85.25,84.00,85.15,11000
JGICL,26-Mar-2014,85.99,86.49,85.99,86.20,5000
JGICL,27-Mar-2014,88.00,89.00,86.50,86.50,5000
JGICL,28-Mar-2014,88.39,88.39,88.39,88.39,500
