Symbol,Date,Open,High,Low,Close,Volume
JLICL,02-Jan-2014,164.95,165.00,164.95,165.00,8000
JLICL,03-Jan-2014,165.00,165.00,165.00,165.00,5000
JLICL,07-Jan-2014,159.10,159.10,159.00,159.00,4500
JLICL,08-Jan-2014,166.89,166.89,160.05,161.31,10100
JLICL,09-Jan-2014,161.80,168.00,161.80,166.90,16000
JLICL,10-Jan-2014,166.00,168.50,165.05,165.05,4900
JLICL,15-Jan-2014,167.00,170.00,167.00,169.43,7300
JLICL,16-Jan-2014,170.00,172.50,170.00,172.48,6800
JLICL,17-Jan-2014,171.50,172.99,171.00,172.02,36600
JLICL,20-Jan-2014,171.50,171.50,171.50,171.50,500
JLICL,21-Jan-2014,172.50,174.90,172.50,174.68,8500
JLICL,22-Jan-2014,174.99,176.00,174.90,176.00,21300
JLICL,23-Jan-2014,176.99,179.98,176.99,178.95,24300
JLICL,24-Jan-2014,179.99,180.00,179.00,179.98,13300
JLICL,27-Jan-2014,180.15,184.90,180.10,184.90,2300
JLICL,28-Jan-2014,180.00,183.90,180.00,180.05,7800
JLICL,29-Jan-2014,182.00,182.50,180.00,180.02,3000
JLICL,30-Jan-2014,180.26,182.49,180.00,180.15,2700
JLICL,31-Jan-2014,182.50,182.89,182.50,182.89,1400
JLICL,04-Feb-2014,183.80,183.80,178.00,178.08,7100
JLICL,06-Feb-2014,184.85,184.85,179.00,179.00,2500
JLICL,07-Feb-2014,182.10,182.40,182.10,182.10,800
JLICL,10-Feb-2014,184.80,184.80,179.90,183.58,900
JLICL,11-Feb-2014,181.90,182.00,181.90,181.94,500
JLICL,12-Feb-2014,180.00,182.00,180.00,181.32,3500
JLICL,13-Feb-2014,182.00,182.00,182.00,182.00,500
JLICL,14-Feb-2014,182.00,182.00,180.00,180.00,2300
JLICL,17-Feb-2014,176.00,182.00,175.00,175.69,1200
JLICL,18-Feb-2014,170.10,179.90,170.10,173.00,2500
JLICL,19-Feb-2014,175.00,175.00,175.00,175.00,5600
JLICL,24-Feb-2014,179.90,179.90,179.00,179.00,2200
JLICL,25-Feb-2014,179.00,187.95,174.00,187.95,14200
JLICL,26-Feb-2014,188.00,195.00,186.00,194.05,10900
JLICL,27-Feb-2014,195.75,201.50,195.75,200.00,18700
JLICL,28-Feb-2014,200.00,205.00,200.00,205.00,6700
JLICL,03-Mar-2014,208.00,212.00,206.01,208.01,20600
JLICL,04-Mar-2014,210.00,212.00,205.05,205.05,2800
JLICL,05-Mar-2014,211.00,211.00,209.99,210.00,2200
JLICL,06-Mar-2014,214.99,220.00,210.00,212.24,6400
JLICL,07-Mar-2014,213.00,222.85,213.00,222.71,23900
JLICL,10-Mar-2014,223.00,229.00,222.50,228.04,13900
JLICL,11-Mar-2014,230.25,239.44,230.25,239.44,30200
JLICL,12-Mar-2014,235.25,247.00,235.25,236.11,6900
JLICL,13-Mar-2014,236.00,240.00,225.00,237.75,5900
JLICL,14-Mar-2014,231.10,245.25,231.05,242.44,6200
JLICL,17-Mar-2014,217.00,218.15,210.00,218.15,11200
JLICL,18-Mar-2014,210.00,229.05,210.00,229.00,16300
JLICL,19-Mar-2014,229.00,240.45,229.00,240.45,13200
JLICL,20-Mar-2014,242.15,252.47,242.10,251.24,14800
JLICL,24-Mar-2014,254.99,254.99,241.00,250.00,4300
JLICL,25-Mar-2014,255.00,258.00,240.10,250.65,8400
JLICL,26-Mar-2014,245.00,245.00,243.01,244.01,200
JLICL,27-Mar-2014,244.01,244.01,244.01,244.01,100
JLICL,28-Mar-2014,251.70,251.80,251.70,251.70,1200
JLICL,31-Mar-2014,250.00,254.00,250.00,250.67,10600
JLICL,01-Apr-2014,250.11,250.11,250.00,250.01,3800
JLICL,02-Apr-2014,249.50,250.00,249.50,250.00,3100
JLICL,03-Apr-2014,249.80,259.90,249.80,259.00,6900
JLICL,04-Apr-2014,259.00,265.25,259.00,262.75,10200
JLICL,07-Apr-2014,265.00,267.45,265.00,267.22,4500
JLICL,08-Apr-2014,269.00,280.58,269.00,277.87,14900
JLICL,09-Apr-2014,278.01,287.00,278.00,286.99,2800
JLICL,10-Apr-2014,288.99,295.25,288.00,294.67,11300
JLICL,11-Apr-2014,279.94,300.00,279.94,299.75,7400
JLICL,14-Apr-2014,301.05,312.00,288.00,312.00,13800
JLICL,15-Apr-2014,314.00,327.60,314.00,327.47,13700
JLICL,17-Apr-2014,320.00,320.00,311.50,320.00,1100
JLICL,18-Apr-2014,305.00,305.00,304.00,304.00,9800
JLICL,21-Apr-2014,300.00,302.00,300.00,300.00,1000
JLICL,22-Apr-2014,300.00,301.00,287.00,300.00,5600
JLICL,23-Apr-2014,305.00,305.00,300.05,300.05,4600
JLICL,24-Apr-2014,300.00,307.00,300.00,304.95,6300
JLICL,28-Apr-2014,290.00,290.00,290.00,290.00,100
JLICL,29-Apr-2014,280.00,299.00,276.50,292.82,4800
JLICL,30-Apr-2014,293.00,297.00,293.00,297.00,1100
JLICL,02-May-2014,297.00,297.00,286.00,286.00,1600
JLICL,05-May-2014,285.00,285.00,275.05,280.00,2500
JLICL,06-May-2014,275.05,275.05,266.00,275.00,1600
JLICL,07-May-2014,267.00,273.99,264.00,264.83,2600
JLICL,08-May-2014,255.00,257.45,255.00,255.61,3000
JLICL,09-May-2014,248.00,250.00,245.00,245.03,1500
JLICL,13-May-2014,238.10,254.99,237.00,239.72,2300
JLICL,14-May-2014,235.00,235.00,234.00,234.00,2500
JLICL,15-May-2014,234.00,234.00,234.00,234.00,100
JLICL,16-May-2014,245.00,245.70,245.00,245.70,300
JLICL,19-May-2014,245.00,245.00,245.00,245.00,300
JLICL,20-May-2014,236.06,236.06,232.75,232.75,7500
JLICL,21-May-2014,225.00,234.00,225.00,225.33,1600
JLICL,22-May-2014,221.00,231.00,220.00,230.45,5100
JLICL,23-May-2014,238.99,240.00,238.99,239.94,2200
JLICL,26-May-2014,240.00,250.00,240.00,249.75,1000
JLICL,27-May-2014,250.00,258.90,250.00,258.90,700
JLICL,28-May-2014,259.00,261.00,250.00,255.87,4500
JLICL,29-May-2014,256.00,256.00,256.00,256.00,300
JLICL,30-May-2014,255.00,266.00,255.00,265.69,5000
JLICL,02-Jun-2014,270.00,273.50,270.00,273.25,700
JLICL,03-Jun-2014,275.00,275.00,270.00,275.00,2300
JLICL,04-Jun-2014,278.00,278.00,278.00,278.00,100
JLICL,05-Jun-2014,270.00,288.40,270.00,285.72,3000
JLICL,06-Jun-2014,271.45,297.99,271.45,296.69,2500
JLICL,10-Jun-2014,290.00,294.99,290.00,291.66,300
JLICL,11-Jun-2014,290.00,291.00,290.00,290.00,700
JLICL,12-Jun-2014,281.10,290.00,281.00,290.00,1100
JLICL,13-Jun-2014,292.00,294.95,292.00,294.53,700
JLICL,16-Jun-2014,285.50,286.00,285.00,285.25,2700
JLICL,17-Jun-2014,280.05,283.00,280.00,282.00,3000
JLICL,18-Jun-2014,280.00,280.00,280.00,280.00,200
JLICL,19-Jun-2014,280.00,282.00,276.00,281.77,13700
JLICL,20-Jun-2014,277.00,282.00,277.00,282.00,200
JLICL,23-Jun-2014,290.00,290.00,290.00,290.00,200
JLICL,25-Jun-2014,284.00,284.00,275.50,275.50,6500
JLICL,26-Jun-2014,262.00,287.00,262.00,280.01,3900
JLICL,27-Jun-2014,290.00,293.00,288.00,288.00,5700
JLICL,01-Jul-2014,275.50,297.00,275.50,288.00,3700
JLICL,02-Jul-2014,288.00,290.00,286.00,290.00,1600
JLICL,03-Jul-2014,280.00,284.00,280.00,284.00,3900
JLICL,04-Jul-2014,275.50,290.00,275.50,290.00,200
JLICL,07-Jul-2014,276.00,289.00,275.50,284.00,3800
JLICL,08-Jul-2014,280.00,280.50,280.00,280.50,2500
JLICL,09-Jul-2014,280.00,280.00,280.00,280.00,200
JLICL,10-Jul-2014,275.00,279.00,274.00,276.66,2300
JLICL,11-Jul-2014,288.90,289.00,276.00,276.00,2100
JLICL,14-Jul-2014,280.00,280.00,280.00,280.00,1400
JLICL,15-Jul-2014,280.00,280.00,280.00,280.00,500
JLICL,16-Jul-2014,279.00,279.00,278.01,278.80,1100
JLICL,17-Jul-2014,277.00,280.00,275.00,279.82,8100
JLICL,18-Jul-2014,280.00,281.00,280.00,281.00,300
JLICL,21-Jul-2014,280.01,280.01,280.00,280.00,10100
JLICL,22-Jul-2014,280.01,280.01,280.00,280.00,2000
JLICL,23-Jul-2014,280.25,280.25,280.01,280.13,1000
JLICL,24-Jul-2014,280.01,289.50,276.00,281.00,13000
JLICL,04-Aug-2014,279.80,279.80,272.00,279.80,800
JLICL,05-Aug-2014,280.00,280.00,279.90,280.00,2500
JLICL,06-Aug-2014,280.00,280.00,280.00,280.00,500
JLICL,07-Aug-2014,286.90,286.90,286.90,286.90,200
JLICL,11-Aug-2014,272.56,273.10,272.56,273.05,1400
JLICL,13-Aug-2014,285.00,286.70,280.00,286.70,13700
JLICL,15-Aug-2014,288.00,288.00,288.00,288.00,100
JLICL,18-Aug-2014,280.00,280.00,280.00,280.00,1000
JLICL,20-Aug-2014,272.00,284.00,272.00,277.14,3000
JLICL,21-Aug-2014,280.00,280.00,277.50,280.00,5200
JLICL,22-Aug-2014,270.00,285.00,270.00,270.29,5100
JLICL,25-Aug-2014,278.00,283.00,278.00,280.50,1000
JLICL,28-Aug-2014,270.00,281.00,270.00,281.00,10500
JLICL,02-Sep-2014,282.00,283.00,282.00,283.00,8300
JLICL,03-Sep-2014,270.00,289.70,270.00,289.70,8000
JLICL,04-Sep-2014,285.70,298.00,285.70,298.00,3400
JLICL,05-Sep-2014,299.00,304.00,299.00,302.00,900
JLICL,08-Sep-2014,300.00,302.00,300.00,300.00,15800
JLICL,09-Sep-2014,301.00,301.00,300.00,300.00,3200
JLICL,10-Sep-2014,299.00,300.00,299.00,300.00,2700
JLICL,17-Sep-2014,297.00,301.00,297.00,298.00,2400
JLICL,18-Sep-2014,291.00,291.00,291.00,291.00,300
JLICL,19-Sep-2014,291.00,291.00,291.00,291.00,100
JLICL,22-Sep-2014,295.00,295.00,295.00,295.00,100
JLICL,23-Sep-2014,299.99,300.00,299.00,300.00,2000
JLICL,24-Sep-2014,301.90,301.90,301.90,301.90,100
JLICL,26-Sep-2014,300.00,302.00,300.00,301.75,2300
JLICL,29-Sep-2014,301.00,302.00,300.00,301.00,3600
JLICL,01-Oct-2014,299.00,299.50,299.00,299.44,4300
JLICL,02-Oct-2014,293.00,299.49,293.00,299.49,200
JLICL,03-Oct-2014,299.00,302.75,299.00,300.69,3600
JLICL,10-Oct-2014,301.00,301.50,301.00,301.18,17500
JLICL,13-Oct-2014,290.01,300.00,290.00,300.00,3400
JLICL,15-Oct-2014,299.00,299.00,290.00,293.00,6100
JLICL,17-Oct-2014,290.00,299.75,286.00,299.75,600
JLICL,21-Oct-2014,290.00,299.50,290.00,299.50,700
JLICL,22-Oct-2014,299.70,301.00,299.70,299.96,32800
JLICL,27-Oct-2014,290.01,297.90,290.00,292.00,2800
JLICL,28-Oct-2014,299.70,299.70,290.10,290.37,3100
JLICL,29-Oct-2014,292.00,292.00,292.00,292.00,200
JLICL,30-Oct-2014,293.00,293.00,293.00,293.00,2000
JLICL,31-Oct-2014,299.00,299.70,298.90,299.08,2100
JLICL,05-Nov-2014,295.00,301.00,295.00,300.05,10600
JLICL,06-Nov-2014,299.99,301.00,299.99,301.00,2300
JLICL,07-Nov-2014,300.00,310.25,300.00,310.25,23000
JLICL,10-Nov-2014,311.00,317.00,310.00,317.00,4100
JLICL,12-Nov-2014,316.00,324.90,310.00,322.00,6100
JLICL,13-Nov-2014,327.00,330.25,310.25,314.94,10100
JLICL,14-Nov-2014,315.00,330.68,315.00,330.23,9900
JLICL,17-Nov-2014,333.25,335.25,330.00,335.02,3600
JLICL,18-Nov-2014,338.00,351.77,338.00,350.83,8800
JLICL,19-Nov-2014,345.00,354.50,333.29,354.50,3000
JLICL,20-Nov-2014,355.00,356.00,354.75,355.97,3700
JLICL,21-Nov-2014,360.00,361.75,346.00,361.75,4500
JLICL,24-Nov-2014,359.99,363.75,359.99,363.75,5200
JLICL,25-Nov-2014,358.00,358.00,358.00,358.00,300
JLICL,26-Nov-2014,341.10,354.99,341.00,354.99,600
