Symbol,Date,Open,High,Low,Close,Volume
JOPP,01-Jan-2014,21.35,21.47,21.35,21.47,24500
JOPP,02-Jan-2014,22.54,22.54,22.50,22.54,24000
JOPP,03-Jan-2014,23.50,23.65,22.00,23.10,36500
JOPP,06-Jan-2014,23.48,24.25,21.95,24.25,68500
JOPP,07-Jan-2014,25.46,25.46,25.40,25.46,5500
JOPP,08-Jan-2014,26.73,26.73,26.73,26.73,2500
JOPP,09-Jan-2014,28.06,28.06,25.50,25.94,42500
JOPP,10-Jan-2014,26.88,27.23,26.88,27.23,8500
JOPP,13-Jan-2014,28.59,28.59,27.23,28.59,4500
JOPP,15-Jan-2014,30.01,30.01,30.00,30.01,15500
JOPP,16-Jan-2014,31.51,31.51,31.51,31.51,500
JOPP,17-Jan-2014,33.08,33.08,30.25,32.87,33500
JOPP,20-Jan-2014,33.80,34.51,33.00,34.51,20500
JOPP,21-Jan-2014,36.23,36.23,36.23,36.23,6500
JOPP,22-Jan-2014,38.04,38.04,38.03,38.04,19500
JOPP,23-Jan-2014,39.80,39.94,37.45,39.00,41500
JOPP,24-Jan-2014,37.65,39.89,37.05,37.72,12000
JOPP,27-Jan-2014,35.85,39.60,35.84,39.60,55500
JOPP,28-Jan-2014,41.57,41.58,41.57,41.58,4500
JOPP,29-Jan-2014,43.65,43.65,42.00,43.52,39000
JOPP,30-Jan-2014,42.00,43.00,41.35,41.35,48500
JOPP,31-Jan-2014,40.00,40.00,39.29,39.29,12500
JOPP,03-Feb-2014,37.51,41.25,37.33,41.15,50000
JOPP,04-Feb-2014,40.50,41.73,39.60,40.32,7000
JOPP,06-Feb-2014,38.51,40.14,38.32,38.39,2000
JOPP,07-Feb-2014,39.49,40.30,38.50,39.70,13000
JOPP,10-Feb-2014,38.01,38.01,37.72,37.72,8500
JOPP,11-Feb-2014,36.00,36.80,35.84,36.00,7500
JOPP,12-Feb-2014,35.05,36.00,35.05,35.80,4000
JOPP,13-Feb-2014,34.01,36.99,34.01,36.95,7500
JOPP,14-Feb-2014,35.11,35.98,35.11,35.24,3500
JOPP,17-Feb-2014,33.50,33.50,33.48,33.48,1500
JOPP,18-Feb-2014,32.00,32.00,31.81,31.81,2500
JOPP,19-Feb-2014,32.00,32.00,30.22,30.22,6500
JOPP,20-Feb-2014,28.72,28.72,28.71,28.71,5000
JOPP,21-Feb-2014,27.28,28.74,27.28,27.28,18500
JOPP,24-Feb-2014,25.94,28.49,25.92,26.89,14000
JOPP,25-Feb-2014,26.25,26.25,26.25,26.25,500
