Symbol,Date,Open,High,Low,Close,Volume
JSBL,01-Jan-2014,4.58,4.80,4.58,4.76,2294500
JSBL,02-Jan-2014,4.80,5.05,4.75,4.96,3949500
JSBL,03-Jan-2014,5.04,5.04,4.76,4.81,1049000
JSBL,06-Jan-2014,4.89,5.12,4.86,4.90,3260000
JSBL,07-Jan-2014,4.98,5.00,4.77,4.94,1195500
JSBL,08-Jan-2014,4.99,5.10,4.90,4.95,2344500
JSBL,09-Jan-2014,5.03,5.05,4.81,4.83,952500
JSBL,10-Jan-2014,4.81,4.89,4.75,4.77,423000
JSBL,13-Jan-2014,4.80,4.87,4.60,4.68,910000
JSBL,15-Jan-2014,4.83,4.94,4.69,4.88,1653500
JSBL,16-Jan-2014,4.90,4.95,4.74,4.81,2235500
JSBL,17-Jan-2014,4.81,4.94,4.75,4.88,2206500
JSBL,20-Jan-2014,4.94,5.22,4.86,5.07,5027000
JSBL,21-Jan-2014,5.15,5.17,4.90,4.91,1551000
JSBL,22-Jan-2014,4.91,5.00,4.80,4.86,1325500
JSBL,23-Jan-2014,4.91,4.99,4.80,4.80,1426500
JSBL,24-Jan-2014,4.80,4.89,4.71,4.76,898500
JSBL,27-Jan-2014,4.80,4.80,4.60,4.69,909000
JSBL,28-Jan-2014,4.78,5.00,4.75,4.78,2464500
JSBL,29-Jan-2014,4.84,4.86,4.63,4.65,1516000
JSBL,30-Jan-2014,4.74,4.75,4.57,4.60,2245500
JSBL,31-Jan-2014,4.60,4.65,4.53,4.60,292000
JSBL,03-Feb-2014,4.60,4.72,4.51,4.69,1142000
JSBL,04-Feb-2014,4.63,4.72,4.52,4.55,915500
JSBL,06-Feb-2014,4.65,4.99,4.65,4.91,5496500
JSBL,07-Feb-2014,5.04,5.04,4.66,4.70,1498500
JSBL,10-Feb-2014,4.70,4.70,4.00,4.53,2297500
JSBL,11-Feb-2014,4.58,4.61,4.45,4.59,714500
JSBL,12-Feb-2014,4.64,4.79,4.64,4.73,1085500
JSBL,13-Feb-2014,4.70,4.79,4.61,4.63,535000
