Symbol,Date,Open,High,Low,Close,Volume
JSCLPSA,30-Jul-2021,11.20,11.25,10.00,11.02,1110000
JSCLPSA,02-Aug-2021,11.02,11.02,10.51,10.73,229500
JSCLPSA,03-Aug-2021,10.55,10.60,10.25,10.34,576000
JSCLPSA,04-Aug-2021,10.30,10.80,10.10,10.73,706500
JSCLPSA,05-Aug-2021,10.70,11.15,10.70,11.02,1070000
JSCLPSA,06-Aug-2021,10.99,11.10,10.75,10.79,388000
JSCLPSA,09-Aug-2021,10.66,10.66,10.45,10.50,307500
JSCLPSA,10-Aug-2021,10.50,10.70,10.32,10.38,135500
JSCLPSA,11-Aug-2021,10.40,10.65,10.26,10.34,173000
JSCLPSA,12-Aug-2021,10.30,10.45,10.28,10.30,111000
JSCLPSA,13-Aug-2021,10.25,10.28,10.20,10.22,126000
JSCLPSA,16-Aug-2021,10.20,10.22,9.90,9.93,271500
JSCLPSA,17-Aug-2021,10.20,10.30,9.94,9.96,29500
JSCLPSA,20-Aug-2021,10.44,10.44,9.98,10.17,160500
JSCLPSA,23-Aug-2021,10.00,10.22,10.00,10.07,134500
JSCLPSA,24-Aug-2021,10.00,10.07,10.00,10.05,275000
JSCLPSA,25-Aug-2021,10.20,10.20,10.00,10.00,38000
JSCLPSA,26-Aug-2021,10.16,10.16,9.65,9.70,319500
JSCLPSA,27-Aug-2021,9.61,9.86,9.50,9.58,185000
JSCLPSA,30-Aug-2021,9.50,9.80,9.22,9.49,82000
JSCLPSA,31-Aug-2021,9.65,9.65,9.35,9.50,274000
JSCLPSA,01-Sep-2021,9.59,9.60,9.20,9.53,156000
JSCLPSA,02-Sep-2021,9.55,9.75,9.31,9.48,99000
JSCLPSA,03-Sep-2021,9.30,9.62,9.30,9.56,19000
JSCLPSA,06-Sep-2021,9.31,9.58,9.20,9.32,114500
JSCLPSA,07-Sep-2021,9.45,9.60,9.20,9.47,221500
JSCLPSA,08-Sep-2021,9.30,9.47,9.15,9.30,741500
JSCLPSA,09-Sep-2021,9.11,9.40,9.10,9.23,61500
JSCLPSA,10-Sep-2021,9.10,9.39,9.00,9.00,539000
JSCLPSA,13-Sep-2021,9.27,9.30,8.95,8.96,505500
JSCLPSA,14-Sep-2021,9.18,9.18,9.00,9.00,274000
JSCLPSA,15-Sep-2021,9.00,9.20,8.81,9.00,288000
JSCLPSA,16-Sep-2021,8.90,9.20,8.80,9.02,530500
JSCLPSA,17-Sep-2021,9.02,9.02,9.00,9.00,264000
JSCLPSA,20-Sep-2021,8.90,9.08,8.90,9.03,121000
JSCLPSA,21-Sep-2021,9.16,9.16,8.96,8.96,27500
JSCLPSA,22-Sep-2021,9.10,9.10,8.70,8.81,448000
JSCLPSA,23-Sep-2021,8.75,8.77,8.60,8.71,224000
JSCLPSA,24-Sep-2021,9.71,9.71,8.70,8.71,341500
JSCLPSA,27-Sep-2021,8.72,8.72,8.60,8.70,72500
JSCLPSA,28-Sep-2021,8.95,9.15,8.70,9.12,14500
JSCLPSA,29-Sep-2021,9.00,9.20,8.70,8.85,129500
JSCLPSA,30-Sep-2021,8.99,8.99,8.99,8.99,500
JSCLPSA,01-Oct-2021,8.98,9.20,8.98,9.20,8500
JSCLPSA,04-Oct-2021,9.35,9.35,9.16,9.21,27000
JSCLPSA,05-Oct-2021,9.30,9.30,9.00,9.29,20000
JSCLPSA,06-Oct-2021,9.00,9.29,9.00,9.00,31000
JSCLPSA,07-Oct-2021,9.19,9.25,9.00,9.09,98000
JSCLPSA,08-Oct-2021,9.00,9.15,9.00,9.03,281000
JSCLPSA,11-Oct-2021,9.00,9.21,8.95,9.21,59000
JSCLPSA,12-Oct-2021,9.00,9.14,8.95,9.02,283500
JSCLPSA,13-Oct-2021,9.00,9.02,9.00,9.00,344000
JSCLPSA,14-Oct-2021,9.00,9.16,9.00,9.10,55500
JSCLPSA,15-Oct-2021,9.00,9.70,9.00,9.12,50500
JSCLPSA,18-Oct-2021,9.01,9.02,9.00,9.01,59500
JSCLPSA,20-Oct-2021,9.24,9.24,9.02,9.06,14500
JSCLPSA,21-Oct-2021,9.02,9.05,9.00,9.00,19500
JSCLPSA,22-Oct-2021,9.29,9.29,8.95,8.95,1500
JSCLPSA,25-Oct-2021,9.00,9.00,9.00,8.95,500
JSCLPSA,28-Oct-2021,8.05,9.03,8.00,9.00,60500
JSCLPSA,29-Oct-2021,9.00,9.00,8.81,8.81,77000
JSCLPSA,01-Nov-2021,9.00,9.10,9.00,9.01,61000
JSCLPSA,02-Nov-2021,9.00,9.10,9.00,9.10,21000
JSCLPSA,03-Nov-2021,9.23,9.23,9.01,9.04,37000
JSCLPSA,04-Nov-2021,9.14,9.17,9.01,9.05,22000
JSCLPSA,05-Nov-2021,9.02,9.12,9.00,9.01,157500
JSCLPSA,08-Nov-2021,9.01,9.06,9.00,9.06,11500
JSCLPSA,09-Nov-2021,9.06,9.06,9.00,9.01,118500
JSCLPSA,10-Nov-2021,9.00,9.26,9.00,9.18,151000
JSCLPSA,11-Nov-2021,9.01,9.01,9.00,9.00,16000
JSCLPSA,12-Nov-2021,9.00,9.00,8.90,8.95,28000
JSCLPSA,15-Nov-2021,9.00,9.00,8.95,8.95,40000
JSCLPSA,16-Nov-2021,9.05,9.05,9.00,9.00,22000
JSCLPSA,17-Nov-2021,9.04,9.05,9.00,9.05,16000
JSCLPSA,18-Nov-2021,9.00,9.00,9.00,9.00,87000
JSCLPSA,19-Nov-2021,8.86,8.90,8.85,8.85,6000
JSCLPSA,22-Nov-2021,8.85,8.86,8.85,8.85,2500
JSCLPSA,23-Nov-2021,9.40,9.40,8.70,8.76,14000
JSCLPSA,24-Nov-2021,8.50,8.90,8.50,8.90,2500
JSCLPSA,26-Nov-2021,8.50,9.08,8.40,8.56,69500
JSCLPSA,29-Nov-2021,8.51,8.84,8.50,8.62,2000
JSCLPSA,30-Nov-2021,8.35,8.99,8.35,8.35,1000
JSCLPSA,01-Dec-2021,8.60,8.60,8.50,8.50,10500
JSCLPSA,02-Dec-2021,8.40,8.40,7.81,8.16,82000
JSCLPSA,03-Dec-2021,8.00,8.15,8.00,8.01,282000
JSCLPSA,06-Dec-2021,8.02,8.05,8.00,8.00,72500
JSCLPSA,07-Dec-2021,8.47,8.47,8.00,8.47,11500
JSCLPSA,08-Dec-2021,8.47,8.47,8.47,8.47,500
JSCLPSA,09-Dec-2021,8.00,8.01,8.00,8.00,6000
JSCLPSA,10-Dec-2021,8.00,8.01,8.00,8.00,22000
JSCLPSA,13-Dec-2021,8.25,8.25,8.10,8.10,2000
JSCLPSA,15-Dec-2021,8.80,8.80,8.80,8.80,1000
JSCLPSA,16-Dec-2021,8.99,8.99,8.99,8.99,1000
JSCLPSA,17-Dec-2021,8.07,8.07,8.00,8.04,1000
JSCLPSA,20-Dec-2021,7.99,7.99,7.99,7.99,6000
JSCLPSA,21-Dec-2021,7.89,7.89,7.51,7.58,9500
JSCLPSA,22-Dec-2021,7.51,7.58,7.50,7.53,24000
JSCLPSA,23-Dec-2021,7.57,7.94,7.55,7.89,11000
JSCLPSA,24-Dec-2021,7.55,7.55,7.50,7.50,21500
JSCLPSA,27-Dec-2021,7.89,7.90,7.50,7.50,35500
JSCLPSA,28-Dec-2021,7.50,7.51,7.50,7.50,18000
JSCLPSA,29-Dec-2021,7.51,7.70,7.51,7.51,16000
JSCLPSA,30-Dec-2021,7.50,7.50,7.30,7.50,3500
JSCLPSA,31-Dec-2021,7.51,7.51,7.50,7.50,3000
JSCLPSA,03-Jan-2022,7.51,8.00,7.51,7.91,23500
JSCLPSA,04-Jan-2022,8.00,8.49,8.00,8.10,21000
