Symbol,Date,Open,High,Low,Close,Volume
JSCL,01-Jan-2014,9.25,9.68,9.25,9.57,10882500
JSCL,02-Jan-2014,9.70,10.57,9.60,10.33,36299500
JSCL,03-Jan-2014,10.40,10.45,10.01,10.06,10221500
JSCL,06-Jan-2014,10.20,10.20,9.90,9.96,6868500
JSCL,07-Jan-2014,10.00,10.08,9.76,9.82,5938500
JSCL,08-Jan-2014,9.90,10.18,9.86,9.96,11048000
JSCL,09-Jan-2014,10.15,10.38,10.02,10.06,14228000
JSCL,10-Jan-2014,10.08,10.25,9.87,9.92,8755000
JSCL,13-Jan-2014,9.94,10.19,9.94,9.98,4002500
JSCL,15-Jan-2014,10.15,10.98,10.06,10.98,30673000
JSCL,16-Jan-2014,11.20,11.98,11.00,11.95,44755000
JSCL,17-Jan-2014,12.25,12.55,11.70,12.05,38357500
JSCL,20-Jan-2014,12.23,12.44,12.05,12.17,13607000
JSCL,21-Jan-2014,12.25,12.39,11.85,11.95,10962000
JSCL,22-Jan-2014,11.96,12.17,11.72,11.81,9564500
JSCL,23-Jan-2014,11.95,12.09,11.63,11.72,6495500
JSCL,24-Jan-2014,11.71,11.85,11.45,11.53,4804500
JSCL,27-Jan-2014,11.60,11.80,11.10,11.53,7387000
JSCL,28-Jan-2014,11.76,12.53,11.66,12.53,22474000
JSCL,29-Jan-2014,12.60,12.85,11.65,11.89,31765000
JSCL,30-Jan-2014,12.05,12.13,11.50,11.58,19323500
JSCL,31-Jan-2014,11.60,11.89,11.38,11.44,7517500
JSCL,03-Feb-2014,11.44,12.40,11.44,12.27,22195000
JSCL,04-Feb-2014,12.30,13.27,12.05,13.09,60629000
JSCL,06-Feb-2014,13.27,14.09,13.20,14.09,34446500
JSCL,07-Feb-2014,14.50,14.56,13.09,13.09,46801500
JSCL,10-Feb-2014,12.90,13.85,12.18,13.63,42304000
JSCL,11-Feb-2014,13.60,13.80,12.63,12.80,40843500
JSCL,12-Feb-2014,12.83,13.34,12.67,13.04,21691500
JSCL,13-Feb-2014,13.10,13.28,12.71,12.81,10247000
JSCL,14-Feb-2014,12.91,13.18,12.65,12.69,12772500
JSCL,17-Feb-2014,12.65,12.81,12.00,12.10,9967500
JSCL,18-Feb-2014,12.01,12.28,11.64,11.97,9685500
JSCL,19-Feb-2014,12.14,12.39,11.85,11.91,9328000
JSCL,20-Feb-2014,12.13,12.29,11.90,12.08,9205000
JSCL,21-Feb-2014,12.15,12.60,12.12,12.29,13774500
JSCL,24-Feb-2014,12.30,12.30,11.55,11.66,13646500
JSCL,25-Feb-2014,11.75,11.94,11.46,11.51,5411000
JSCL,26-Feb-2014,11.52,11.76,11.25,11.30,6134000
JSCL,27-Feb-2014,11.48,11.66,10.99,11.08,7444000
JSCL,28-Feb-2014,11.11,11.30,10.08,10.17,18610500
JSCL,03-Mar-2014,9.75,10.43,9.55,10.21,9817000
JSCL,04-Mar-2014,10.25,10.33,9.90,9.96,4544000
JSCL,05-Mar-2014,10.05,10.05,9.80,9.92,3836500
JSCL,06-Mar-2014,10.10,10.30,10.05,10.14,4463000
JSCL,07-Mar-2014,10.17,10.60,10.17,10.36,10084000
JSCL,10-Mar-2014,10.50,10.57,10.29,10.33,4243000
JSCL,11-Mar-2014,10.36,10.85,10.36,10.60,8894500
JSCL,12-Mar-2014,10.75,11.04,10.62,10.69,8474500
JSCL,13-Mar-2014,10.75,11.59,10.75,11.48,20152500
JSCL,14-Mar-2014,11.45,11.50,10.92,11.03,5266500
JSCL,17-Mar-2014,11.19,11.23,10.81,10.84,3260500
JSCL,18-Mar-2014,10.86,10.99,10.77,10.81,2423500
JSCL,19-Mar-2014,10.91,11.09,10.80,10.81,3627500
JSCL,20-Mar-2014,10.89,11.00,10.80,10.84,1166000
JSCL,21-Mar-2014,10.82,11.25,10.82,10.99,7747000
JSCL,24-Mar-2014,11.17,11.23,10.90,10.97,2831500
JSCL,25-Mar-2014,11.00,11.17,10.81,10.94,2346000
JSCL,26-Mar-2014,10.92,11.18,10.90,11.09,3685000
JSCL,27-Mar-2014,11.20,11.48,11.17,11.22,7629500
JSCL,28-Mar-2014,11.35,11.35,11.03,11.07,3946500
JSCL,31-Mar-2014,11.13,11.13,10.91,10.96,1064500
JSCL,01-Apr-2014,11.00,11.25,11.00,11.20,3038500
JSCL,02-Apr-2014,11.26,11.37,11.14,11.23,3846000
JSCL,03-Apr-2014,11.23,11.47,11.18,11.31,7355500
JSCL,04-Apr-2014,11.38,11.74,11.35,11.50,10569000
JSCL,07-Apr-2014,11.65,11.72,11.26,11.31,5271000
JSCL,08-Apr-2014,11.40,11.49,11.20,11.28,4105000
JSCL,09-Apr-2014,11.29,12.09,11.10,11.73,23259500
JSCL,10-Apr-2014,11.78,11.95,11.52,11.87,12903000
JSCL,11-Apr-2014,11.95,12.74,11.90,12.37,44569000
JSCL,14-Apr-2014,12.45,13.36,12.34,13.20,40727500
JSCL,15-Apr-2014,13.34,13.55,12.80,13.04,24963000
JSCL,16-Apr-2014,13.15,13.90,12.94,13.59,33493500
JSCL,17-Apr-2014,13.56,13.88,13.10,13.25,14715500
JSCL,18-Apr-2014,13.34,13.47,12.81,12.90,6624000
JSCL,21-Apr-2014,12.90,13.15,12.61,12.68,6612500
JSCL,22-Apr-2014,12.81,13.02,12.62,12.71,5036000
JSCL,23-Apr-2014,12.70,12.80,11.86,12.00,14555500
JSCL,24-Apr-2014,11.95,12.08,11.20,11.32,9323500
JSCL,25-Apr-2014,11.35,11.46,10.85,11.07,9968000
JSCL,28-Apr-2014,11.20,11.68,11.03,11.15,9573500
JSCL,29-Apr-2014,11.25,11.36,10.76,11.00,5180000
JSCL,30-Apr-2014,11.10,12.00,11.02,12.00,13101500
JSCL,02-May-2014,12.24,12.35,11.75,11.82,9439000
JSCL,05-May-2014,11.80,11.98,11.58,11.68,3546000
JSCL,06-May-2014,11.68,11.95,11.23,11.35,6459000
JSCL,07-May-2014,11.45,11.80,11.40,11.66,8315000
JSCL,08-May-2014,11.79,11.79,11.50,11.56,2373500
JSCL,09-May-2014,11.55,12.37,11.55,12.11,17978000
JSCL,12-May-2014,12.19,12.22,11.61,11.70,4663500
