Symbol,Date,Open,High,Low,Close,Volume
JSGBETF,11-Sep-2023,10.05,10.09,10.05,10.09,155000
JSGBETF,12-Sep-2023,9.97,9.97,9.97,9.97,83000
JSGBETF,13-Sep-2023,9.89,9.89,9.80,9.80,28000
JSGBETF,14-Sep-2023,9.90,10.10,9.90,10.01,860500
JSGBETF,15-Sep-2023,9.89,9.89,9.89,9.89,500
JSGBETF,19-Sep-2023,9.86,9.87,9.86,9.87,15000
JSGBETF,22-Sep-2023,9.89,9.99,9.89,9.99,2905000
JSGBETF,28-Sep-2023,9.91,9.91,9.91,9.91,10000
JSGBETF,04-Oct-2023,10.17,10.17,10.17,10.17,60500
JSGBETF,09-Oct-2023,10.30,10.30,10.30,10.30,42000
JSGBETF,11-Oct-2023,10.47,10.47,10.47,10.47,500
JSGBETF,13-Oct-2023,10.63,10.63,10.63,10.63,35000
JSGBETF,16-Oct-2023,10.71,10.71,10.71,10.71,500
JSGBETF,20-Oct-2023,11.00,11.04,11.00,11.02,450000
JSGBETF,26-Oct-2023,11.40,11.40,11.40,11.40,500
JSGBETF,07-Nov-2023,11.75,11.75,11.75,11.75,4000
JSGBETF,01-Dec-2023,13.53,13.53,13.53,13.53,1000
JSGBETF,05-Dec-2023,13.61,13.61,13.57,13.57,20500
JSGBETF,06-Dec-2023,13.99,14.05,13.99,14.04,356000
JSGBETF,08-Dec-2023,15.10,15.14,15.10,15.14,3000
JSGBETF,11-Dec-2023,15.05,15.05,15.05,15.05,4000
JSGBETF,14-Dec-2023,14.97,14.97,14.97,14.97,1000
JSGBETF,15-Dec-2023,15.10,15.26,15.10,15.26,5500
JSGBETF,22-Dec-2023,14.48,14.70,14.26,14.26,563000
JSGBETF,26-Dec-2023,13.84,13.84,13.84,13.84,14000
JSGBETF,27-Dec-2023,13.86,14.00,13.86,13.96,739500
JSGBETF,04-Jan-2024,14.82,14.82,14.82,14.82,19500
JSGBETF,02-Feb-2024,14.75,14.75,14.75,14.75,3000
JSGBETF,06-Feb-2024,14.84,14.98,14.84,14.98,27000
JSGBETF,07-Feb-2024,14.91,14.91,14.90,14.90,1730500
JSGBETF,13-Feb-2024,14.50,14.50,14.50,14.50,3000
JSGBETF,16-Feb-2024,14.50,14.50,14.41,14.46,12000
JSGBETF,20-Feb-2024,14.47,14.47,14.40,14.40,58000
JSGBETF,23-Feb-2024,13.60,13.62,13.58,13.62,42000
JSGBETF,26-Feb-2024,13.86,13.89,13.82,13.89,33500
JSGBETF,29-Feb-2024,14.25,14.25,14.25,14.25,5000
JSGBETF,01-Mar-2024,14.47,14.47,14.47,14.47,10000
JSGBETF,06-Mar-2024,14.66,14.66,14.66,14.66,1000
JSGBETF,07-Mar-2024,14.45,14.45,14.45,14.45,500
JSGBETF,08-Mar-2024,14.45,14.45,14.45,14.45,295000
JSGBETF,15-Mar-2024,14.47,14.47,14.47,14.47,3000
JSGBETF,20-Mar-2024,14.55,14.55,14.55,14.55,39000
JSGBETF,21-Mar-2024,14.70,14.70,14.70,14.70,500
JSGBETF,25-Mar-2024,15.04,15.04,15.04,15.04,26500
JSGBETF,27-Mar-2024,15.30,15.30,15.30,15.30,2000
JSGBETF,17-Apr-2024,16.50,16.50,16.46,16.46,56500
JSGBETF,19-Apr-2024,16.44,16.44,16.44,16.44,1000
JSGBETF,24-Apr-2024,16.56,16.56,16.56,16.56,1500
JSGBETF,25-Apr-2024,16.71,16.71,16.71,16.71,500
JSGBETF,29-Apr-2024,16.59,16.62,16.59,16.62,1000
JSGBETF,15-May-2024,17.07,17.09,17.05,17.09,300000
JSGBETF,23-May-2024,17.49,17.65,17.39,17.51,4264500
JSGBETF,27-May-2024,17.77,17.77,17.77,17.77,500
JSGBETF,29-May-2024,17.72,17.72,17.69,17.69,1500
JSGBETF,30-May-2024,17.52,17.52,17.52,17.52,3500
JSGBETF,31-May-2024,17.60,17.60,17.60,17.60,500
JSGBETF,04-Jun-2024,17.43,17.43,17.43,17.43,500
JSGBETF,05-Jun-2024,17.24,17.24,17.24,17.24,500
JSGBETF,10-Jun-2024,16.78,16.78,16.78,16.78,6500
JSGBETF,11-Jun-2024,16.60,16.60,16.60,16.60,500
JSGBETF,12-Jun-2024,16.52,16.60,16.52,16.60,1000
JSGBETF,20-Jun-2024,18.50,18.55,18.50,18.55,23000
JSGBETF,24-Jun-2024,18.97,18.99,18.97,18.99,1000
JSGBETF,25-Jun-2024,18.75,18.75,18.75,18.75,1500
JSGBETF,26-Jun-2024,18.77,18.77,18.77,18.77,500
JSGBETF,28-Jun-2024,18.56,18.64,18.56,18.64,7000
JSGBETF,01-Jul-2024,18.94,18.95,18.81,18.82,564500
JSGBETF,02-Jul-2024,19.00,19.03,19.00,19.03,1500
JSGBETF,04-Jul-2024,19.62,19.62,19.35,19.35,1500
JSGBETF,09-Jul-2024,20.06,20.06,20.06,20.06,1000
JSGBETF,10-Jul-2024,19.96,19.96,19.73,19.80,7000
JSGBETF,11-Jul-2024,19.78,19.79,19.78,19.79,1000
JSGBETF,12-Jul-2024,19.80,19.87,19.73,19.87,21000
JSGBETF,15-Jul-2024,20.28,20.28,20.25,20.25,5000
JSGBETF,18-Jul-2024,20.04,20.10,20.04,20.10,15000
JSGBETF,19-Jul-2024,20.00,20.00,19.80,19.80,5500
JSGBETF,22-Jul-2024,19.67,19.67,19.45,19.45,13500
JSGBETF,23-Jul-2024,19.41,19.43,19.39,19.43,1500
JSGBETF,25-Jul-2024,19.73,19.73,19.73,19.73,1000
JSGBETF,26-Jul-2024,19.43,19.43,19.43,19.43,1000
JSGBETF,29-Jul-2024,19.34,19.59,19.34,19.59,2000
JSGBETF,30-Jul-2024,19.50,19.50,19.50,19.50,40500
JSGBETF,31-Jul-2024,19.63,19.63,19.46,19.46,2000
JSGBETF,01-Aug-2024,19.15,19.20,19.15,19.15,3000
JSGBETF,02-Aug-2024,19.32,19.32,19.21,19.21,7500
JSGBETF,05-Aug-2024,19.00,19.00,18.72,18.74,10000
JSGBETF,06-Aug-2024,18.98,18.98,18.87,18.87,4000
JSGBETF,07-Aug-2024,18.90,18.90,18.90,18.90,1000
JSGBETF,08-Aug-2024,18.75,18.75,18.70,18.75,3000
JSGBETF,09-Aug-2024,19.11,19.11,19.11,19.11,5000
JSGBETF,12-Aug-2024,19.18,19.18,19.04,19.04,2000
JSGBETF,13-Aug-2024,18.93,18.93,18.93,18.93,500
JSGBETF,16-Aug-2024,18.86,18.86,18.86,18.86,3500
JSGBETF,19-Aug-2024,18.79,18.82,18.66,18.82,9500
JSGBETF,20-Aug-2024,18.79,18.80,18.70,18.70,22500
JSGBETF,21-Aug-2024,18.91,19.01,18.86,18.86,17500
JSGBETF,22-Aug-2024,18.98,20.02,18.88,18.97,178000
JSGBETF,23-Aug-2024,16.72,16.88,16.72,16.80,5000
JSGBETF,26-Aug-2024,16.80,16.85,16.72,16.80,19000
JSGBETF,27-Aug-2024,16.58,16.59,16.58,16.59,1500
JSGBETF,28-Aug-2024,16.51,16.62,16.49,16.55,93500
JSGBETF,29-Aug-2024,16.50,16.51,16.50,16.51,1500
JSGBETF,30-Aug-2024,16.54,16.54,16.41,16.41,8500
JSGBETF,02-Sep-2024,16.48,16.48,16.34,16.34,5000
JSGBETF,03-Sep-2024,16.20,16.20,16.05,16.05,7000
JSGBETF,05-Sep-2024,16.16,16.27,14.70,14.70,4000
JSGBETF,06-Sep-2024,16.45,16.45,16.43,16.43,7500
JSGBETF,10-Sep-2024,16.39,16.39,16.39,16.39,20000
JSGBETF,11-Sep-2024,16.37,16.37,16.36,16.36,3500
JSGBETF,12-Sep-2024,16.36,16.36,16.36,16.36,1000
JSGBETF,13-Sep-2024,16.45,16.45,16.43,16.44,2500
JSGBETF,16-Sep-2024,16.33,16.33,16.33,16.33,500
JSGBETF,19-Sep-2024,16.85,16.85,16.85,16.85,500
JSGBETF,23-Sep-2024,17.35,17.35,17.34,17.34,13500
JSGBETF,24-Sep-2024,17.51,17.51,17.33,17.37,46000
JSGBETF,25-Sep-2024,17.63,17.63,17.63,17.63,3500
JSGBETF,27-Sep-2024,17.57,17.57,17.49,17.51,4500
JSGBETF,30-Sep-2024,17.29,17.29,17.20,17.20,1500
JSGBETF,02-Oct-2024,17.17,17.17,17.17,17.17,6500
JSGBETF,03-Oct-2024,17.60,17.60,17.57,17.57,3000
JSGBETF,04-Oct-2024,17.69,17.69,17.69,17.69,3000
JSGBETF,07-Oct-2024,17.73,17.99,17.73,17.91,1405000
JSGBETF,08-Oct-2024,18.08,18.08,18.08,18.08,3000
JSGBETF,09-Oct-2024,18.61,18.70,18.61,18.70,3000
JSGBETF,11-Oct-2024,18.55,18.55,18.54,18.54,4500
JSGBETF,14-Oct-2024,18.64,18.64,18.64,18.64,500
JSGBETF,15-Oct-2024,18.70,18.70,18.70,18.70,1000
JSGBETF,16-Oct-2024,18.82,18.82,18.48,18.48,1500
JSGBETF,17-Oct-2024,18.39,18.39,18.39,18.39,1000
JSGBETF,18-Oct-2024,18.34,20.12,18.33,18.33,2500
JSGBETF,21-Oct-2024,18.40,18.42,18.40,18.42,1500
JSGBETF,23-Oct-2024,18.35,18.43,18.35,18.43,2000
JSGBETF,24-Oct-2024,18.49,18.59,18.49,18.59,2500
JSGBETF,25-Oct-2024,18.81,18.89,18.81,18.88,68500
JSGBETF,28-Oct-2024,19.11,19.20,19.01,19.02,563500
JSGBETF,29-Oct-2024,19.23,19.23,19.19,19.19,2500
JSGBETF,30-Oct-2024,21.00,21.00,19.08,21.00,14500
JSGBETF,31-Oct-2024,19.19,19.19,18.70,18.70,27500
JSGBETF,01-Nov-2024,18.50,18.77,18.50,18.77,6000
