Symbol,Date,Open,High,Low,Close,Volume
JVDCPS,19-Mar-2014,10.50,10.50,10.50,10.50,6000
JVDCPS,20-Mar-2014,11.00,11.00,11.00,11.00,5000
JVDCPS,31-Mar-2014,12.00,12.00,12.00,12.00,500
JVDCPS,18-Apr-2014,13.50,13.50,13.50,13.50,5000
JVDCPS,22-Apr-2014,12.75,12.75,12.75,12.75,500
JVDCPS,24-Sep-2014,13.25,13.25,13.25,13.25,1000
JVDCPS,25-Sep-2014,13.75,13.75,13.75,13.75,500
JVDCPS,29-Jun-2015,14.41,14.41,14.41,14.41,2500
JVDCPS,23-Sep-2015,15.41,15.41,15.41,15.41,2500
JVDCPS,29-Sep-2015,16.41,16.41,16.41,16.41,2500
JVDCPS,27-Nov-2015,17.41,17.41,17.41,17.41,2500
JVDCPS,23-Dec-2015,17.50,18.25,17.50,18.25,7500
JVDCPS,29-Feb-2016,19.25,19.25,19.25,19.25,2500
JVDCPS,10-Mar-2016,20.25,20.25,20.25,20.25,2500
JVDCPS,29-Jun-2016,22.94,22.94,22.94,22.94,2500
JVDCPS,30-Jun-2016,21.80,21.80,21.80,21.80,2500
JVDCPS,26-Sep-2016,24.03,24.03,24.03,24.03,2500
JVDCPS,27-Sep-2016,25.00,25.00,25.00,25.00,2500
JVDCPS,29-Nov-2016,26.25,26.25,26.25,26.25,2500
JVDCPS,20-Dec-2016,27.25,27.25,27.25,27.25,1000
JVDCPS,30-Mar-2017,26.25,26.25,26.25,26.25,3000
JVDCPS,31-Mar-2017,27.56,27.56,27.56,27.56,2000
JVDCPS,27-Apr-2017,22.47,22.47,22.47,22.47,500
JVDCPS,03-May-2017,20.00,20.00,20.00,20.00,1000
JVDCPS,05-May-2017,19.00,19.00,19.00,19.00,100000
JVDCPS,18-May-2017,20.00,20.00,20.00,20.00,4000
JVDCPS,07-Jun-2017,21.00,21.00,21.00,21.00,500
JVDCPS,29-Jun-2017,23.15,23.15,23.15,23.15,1500
JVDCPS,30-Jun-2017,24.30,24.30,24.30,24.30,1000
JVDCPS,14-Jul-2017,24.30,24.30,24.30,24.30,2500
JVDCPS,19-Jul-2018,35.62,35.62,35.62,35.62,500
JVDCPS,11-Sep-2019,10.00,10.00,10.00,10.00,500
JVDCPS,29-May-2024,20.00,20.00,20.00,20.00,10
JVDCPS,10-Jun-2024,20.00,20.00,20.00,20.00,15
