Symbol,Date,Open,High,Low,Close,Volume
JVDC,07-Jan-2014,65.50,65.50,62.00,62.00,2500
JVDC,17-Jan-2014,59.50,59.50,59.00,59.33,1500
JVDC,20-Jan-2014,56.50,56.50,56.50,56.50,500
JVDC,21-Jan-2014,55.00,55.00,55.00,55.00,500
JVDC,17-Feb-2014,55.00,55.00,55.00,55.00,500
JVDC,28-Feb-2014,55.00,56.00,55.00,56.00,1500
JVDC,03-Mar-2014,58.50,58.50,58.50,58.50,500
JVDC,04-Mar-2014,61.42,61.42,61.42,61.42,500
JVDC,07-Mar-2014,58.50,58.50,58.50,58.50,500
JVDC,10-Mar-2014,61.00,61.00,61.00,61.00,500
JVDC,11-Mar-2014,63.00,64.05,63.00,64.05,1000
JVDC,12-Mar-2014,67.00,67.00,67.00,67.00,500
JVDC,14-Mar-2014,70.35,70.35,70.00,70.34,3000
JVDC,17-Mar-2014,66.88,73.00,66.85,66.85,9500
JVDC,18-Mar-2014,70.00,70.19,70.00,70.19,7000
JVDC,19-Mar-2014,73.68,73.69,73.68,73.69,2000
JVDC,20-Mar-2014,77.37,77.37,74.00,76.95,30500
JVDC,21-Mar-2014,73.50,74.50,73.50,74.25,3500
JVDC,25-Mar-2014,76.00,76.30,76.00,76.30,1500
JVDC,27-Mar-2014,75.00,75.00,75.00,75.00,500
JVDC,02-Apr-2014,71.30,71.30,71.30,71.30,1000
JVDC,03-Apr-2014,67.74,68.15,67.74,67.74,5000
JVDC,07-Apr-2014,64.45,64.45,64.40,64.43,1000
JVDC,08-Apr-2014,61.21,65.99,61.21,65.99,5000
JVDC,09-Apr-2014,69.28,69.28,69.28,69.28,500
JVDC,14-Apr-2014,65.82,66.00,65.82,66.00,1000
JVDC,17-Apr-2014,63.00,63.00,63.00,63.00,1000
JVDC,29-Apr-2014,66.10,66.10,65.00,65.00,3500
JVDC,30-Apr-2014,62.00,62.00,61.90,61.90,2500
JVDC,02-May-2014,61.00,61.00,61.00,61.00,500
JVDC,09-May-2014,64.00,64.00,64.00,64.00,1000
JVDC,12-May-2014,60.80,60.80,60.80,60.80,500
JVDC,19-May-2014,57.76,57.76,57.76,57.76,1000
JVDC,26-May-2014,60.50,60.50,60.00,60.00,2000
JVDC,12-Jun-2014,57.00,57.00,57.00,57.00,500
