Symbol,Date,Open,High,Low,Close,Volume
KAPCO,01-Jan-2014,61.50,61.92,61.12,61.66,136500
KAPCO,02-Jan-2014,61.90,62.50,61.70,62.41,782000
KAPCO,03-Jan-2014,62.50,63.20,62.49,63.02,309000
KAPCO,06-Jan-2014,62.56,63.67,62.56,63.09,350500
KAPCO,07-Jan-2014,62.70,63.20,62.66,63.18,42500
KAPCO,08-Jan-2014,63.25,63.60,63.20,63.50,119000
KAPCO,09-Jan-2014,63.40,63.89,63.05,63.50,81500
KAPCO,10-Jan-2014,63.07,64.09,63.07,63.76,237500
KAPCO,13-Jan-2014,63.61,64.88,63.61,64.41,94500
KAPCO,15-Jan-2014,64.40,65.10,64.40,64.84,332000
KAPCO,16-Jan-2014,65.00,65.00,64.25,64.52,66500
KAPCO,17-Jan-2014,64.50,64.95,64.11,64.59,77500
KAPCO,20-Jan-2014,64.59,65.50,64.50,64.70,132000
KAPCO,21-Jan-2014,64.40,65.25,64.40,64.50,71500
KAPCO,22-Jan-2014,64.51,65.65,64.30,65.31,100500
KAPCO,23-Jan-2014,65.25,65.73,65.00,65.16,95500
KAPCO,24-Jan-2014,65.65,66.00,65.20,65.52,293500
KAPCO,27-Jan-2014,65.27,65.30,64.50,64.89,252500
KAPCO,28-Jan-2014,65.00,65.00,64.50,64.50,27000
KAPCO,29-Jan-2014,64.30,64.50,64.00,64.17,167000
KAPCO,30-Jan-2014,64.01,64.20,63.75,63.79,91500
KAPCO,31-Jan-2014,63.51,64.39,63.51,64.00,20000
KAPCO,03-Feb-2014,64.89,64.89,64.20,64.40,135000
KAPCO,04-Feb-2014,64.25,64.50,64.20,64.30,25500
KAPCO,06-Feb-2014,64.00,65.50,63.92,65.32,383500
KAPCO,07-Feb-2014,65.01,65.49,64.50,64.70,263500
KAPCO,10-Feb-2014,64.85,64.85,63.00,63.39,379000
KAPCO,11-Feb-2014,63.65,63.70,62.80,63.08,228000
KAPCO,12-Feb-2014,63.15,63.99,63.15,63.48,128000
KAPCO,13-Feb-2014,63.35,63.95,61.50,62.38,172500
KAPCO,14-Feb-2014,62.70,63.62,62.50,63.20,23000
KAPCO,17-Feb-2014,63.20,63.50,62.75,62.89,96500
KAPCO,18-Feb-2014,63.00,63.20,59.75,60.05,645500
KAPCO,19-Feb-2014,59.25,59.25,57.05,57.06,549000
KAPCO,20-Feb-2014,56.00,57.20,55.90,56.85,6379500
KAPCO,21-Feb-2014,56.84,57.60,56.75,56.92,176500
KAPCO,24-Feb-2014,56.91,58.40,56.91,58.07,447500
KAPCO,25-Feb-2014,58.00,58.00,57.50,57.59,492500
KAPCO,26-Feb-2014,57.95,57.95,57.50,57.77,472000
KAPCO,27-Feb-2014,57.60,58.00,57.60,57.91,45000
KAPCO,28-Feb-2014,58.02,58.30,57.75,57.76,181500
KAPCO,03-Mar-2014,58.00,58.50,57.75,58.00,274500
KAPCO,04-Mar-2014,58.01,60.84,58.01,60.39,460500
KAPCO,05-Mar-2014,60.60,62.00,60.60,61.48,115000
KAPCO,06-Mar-2014,61.80,62.70,61.50,62.19,1161000
KAPCO,07-Mar-2014,62.50,63.00,61.91,62.81,189000
KAPCO,10-Mar-2014,63.00,63.90,63.00,63.64,806000
KAPCO,11-Mar-2014,64.00,64.00,60.75,60.96,852500
KAPCO,12-Mar-2014,61.45,61.95,61.00,61.45,347500
KAPCO,13-Mar-2014,59.45,59.45,58.65,59.22,93500
KAPCO,14-Mar-2014,59.10,60.09,59.10,60.00,1358500
KAPCO,17-Mar-2014,60.00,60.15,59.50,60.01,233500
KAPCO,18-Mar-2014,60.09,60.10,59.65,59.80,85500
KAPCO,19-Mar-2014,60.15,60.50,59.50,60.01,247500
KAPCO,20-Mar-2014,60.00,60.05,59.51,59.70,30000
KAPCO,21-Mar-2014,59.52,59.52,58.75,58.84,304500
KAPCO,24-Mar-2014,58.75,59.75,58.30,58.92,677000
KAPCO,25-Mar-2014,59.00,59.50,58.70,59.09,271000
KAPCO,26-Mar-2014,58.70,59.00,58.70,58.98,546000
KAPCO,27-Mar-2014,58.76,59.99,58.66,58.84,719500
KAPCO,28-Mar-2014,59.30,59.80,58.85,58.99,184500
KAPCO,31-Mar-2014,59.29,59.60,59.10,59.48,1642000
KAPCO,01-Apr-2014,60.39,60.50,59.00,59.05,4556500
KAPCO,02-Apr-2014,59.50,59.95,59.20,59.45,177000
KAPCO,03-Apr-2014,59.88,59.99,59.19,59.77,96000
KAPCO,04-Apr-2014,59.51,59.98,59.20,59.81,98000
KAPCO,07-Apr-2014,59.81,60.30,59.15,59.55,47000
KAPCO,08-Apr-2014,59.25,60.29,58.50,60.13,1407000
KAPCO,09-Apr-2014,59.70,61.49,59.67,61.29,717000
KAPCO,10-Apr-2014,61.49,61.70,61.00,61.38,482000
KAPCO,11-Apr-2014,61.48,62.41,60.80,61.25,350500
KAPCO,14-Apr-2014,60.65,62.00,60.65,61.65,270500
KAPCO,15-Apr-2014,62.00,62.00,60.40,60.67,595500
KAPCO,16-Apr-2014,60.36,60.80,60.25,60.49,110500
KAPCO,17-Apr-2014,60.60,60.60,60.05,60.22,66000
KAPCO,18-Apr-2014,60.55,61.00,60.20,60.50,329500
KAPCO,21-Apr-2014,61.00,61.00,59.50,59.74,252000
KAPCO,22-Apr-2014,60.00,61.50,59.90,60.64,272000
KAPCO,23-Apr-2014,61.17,62.00,58.50,59.47,1505000
KAPCO,24-Apr-2014,60.00,60.98,59.65,60.00,142500
KAPCO,25-Apr-2014,60.10,60.20,59.52,59.93,100500
KAPCO,28-Apr-2014,60.00,61.48,60.00,60.40,155000
KAPCO,29-Apr-2014,60.30,60.30,59.50,59.91,219000
KAPCO,30-Apr-2014,60.24,61.90,60.24,61.86,309000
KAPCO,02-May-2014,61.86,61.90,60.75,61.51,232500
KAPCO,05-May-2014,60.80,61.29,60.04,60.33,59500
KAPCO,06-May-2014,60.27,60.50,59.80,59.87,104500
KAPCO,07-May-2014,60.00,60.01,59.70,59.81,359000
KAPCO,08-May-2014,60.20,60.30,59.65,59.97,451500
KAPCO,09-May-2014,60.35,60.50,59.99,60.01,279000
KAPCO,12-May-2014,60.59,60.95,60.20,60.30,345000
KAPCO,13-May-2014,60.39,60.90,59.80,60.57,342000
KAPCO,14-May-2014,60.86,60.90,60.30,60.63,64500
KAPCO,15-May-2014,60.75,60.90,60.05,60.34,90000
KAPCO,16-May-2014,60.21,60.25,59.92,59.99,113500
KAPCO,19-May-2014,60.00,60.50,60.00,60.21,30000
KAPCO,20-May-2014,60.48,60.50,58.00,60.00,1480000
KAPCO,21-May-2014,60.05,60.44,59.50,59.52,111500
KAPCO,22-May-2014,59.37,60.00,59.37,59.56,68000
KAPCO,23-May-2014,59.57,60.00,58.00,59.43,1189500
KAPCO,26-May-2014,59.50,60.50,59.50,59.72,175500
KAPCO,27-May-2014,60.00,60.50,59.63,59.94,308500
KAPCO,28-May-2014,60.01,60.40,59.75,59.82,211000
KAPCO,29-May-2014,60.00,60.00,59.40,59.82,1137000
KAPCO,30-May-2014,60.24,60.25,59.33,59.52,304000
KAPCO,02-Jun-2014,59.70,60.00,59.03,59.49,342500
KAPCO,03-Jun-2014,59.26,59.99,59.06,59.35,57000
KAPCO,04-Jun-2014,59.06,59.50,58.00,59.43,1627000
KAPCO,05-Jun-2014,59.25,59.45,58.85,59.00,188500
KAPCO,06-Jun-2014,59.00,59.65,58.90,59.04,1087000
KAPCO,09-Jun-2014,59.89,59.89,58.20,58.65,1035000
