Symbol,Date,Open,High,Low,Close,Volume
KASBB,01-Jan-2014,1.85,1.95,1.85,1.91,201000
KASBB,02-Jan-2014,1.95,2.05,1.91,1.98,926500
KASBB,03-Jan-2014,2.00,2.04,1.94,1.96,461000
KASBB,06-Jan-2014,1.99,2.03,1.97,1.97,405500
KASBB,07-Jan-2014,2.02,2.03,1.90,1.96,168000
KASBB,08-Jan-2014,2.02,2.02,1.86,1.92,115000
KASBB,09-Jan-2014,1.93,2.03,1.90,2.00,472000
KASBB,10-Jan-2014,1.91,2.03,1.91,2.00,1649500
KASBB,13-Jan-2014,2.00,2.05,1.99,2.04,272000
KASBB,15-Jan-2014,2.04,2.07,2.00,2.02,437000
KASBB,16-Jan-2014,2.01,2.08,1.99,2.03,565500
KASBB,17-Jan-2014,2.03,2.09,1.99,1.99,234000
KASBB,20-Jan-2014,2.03,2.05,2.00,2.01,176500
KASBB,21-Jan-2014,2.00,2.05,1.99,2.00,279000
KASBB,22-Jan-2014,2.03,2.20,1.99,2.19,1400500
KASBB,23-Jan-2014,2.18,2.18,2.00,2.09,871000
KASBB,24-Jan-2014,2.09,2.15,2.05,2.15,372000
KASBB,27-Jan-2014,2.16,2.20,2.01,2.05,541000
KASBB,28-Jan-2014,2.10,2.44,2.10,2.29,7142500
KASBB,29-Jan-2014,2.33,2.33,2.12,2.15,552500
KASBB,30-Jan-2014,2.11,2.13,2.07,2.09,728500
KASBB,31-Jan-2014,2.10,2.15,2.06,2.12,853000
KASBB,03-Feb-2014,2.23,2.23,2.06,2.07,221500
KASBB,04-Feb-2014,2.08,2.08,2.00,2.05,391000
KASBB,06-Feb-2014,2.05,2.12,2.05,2.09,783000
KASBB,07-Feb-2014,2.06,2.15,2.01,2.03,672000
KASBB,10-Feb-2014,2.04,2.09,2.00,2.03,306000
KASBB,11-Feb-2014,2.05,2.10,2.00,2.02,274500
KASBB,12-Feb-2014,2.03,2.09,2.01,2.02,77000
KASBB,13-Feb-2014,2.09,2.09,2.03,2.03,163000
KASBB,14-Feb-2014,2.04,2.09,1.90,1.95,326000
KASBB,17-Feb-2014,1.99,1.99,1.85,1.88,61000
KASBB,18-Feb-2014,1.90,1.93,1.79,1.92,356500
KASBB,19-Feb-2014,1.86,1.90,1.80,1.84,136000
KASBB,20-Feb-2014,1.81,1.88,1.81,1.82,67000
KASBB,21-Feb-2014,1.84,1.90,1.84,1.89,134500
KASBB,24-Feb-2014,1.85,1.89,1.82,1.87,139500
KASBB,25-Feb-2014,1.90,1.90,1.84,1.87,216000
KASBB,26-Feb-2014,1.85,1.88,1.85,1.86,51500
KASBB,27-Feb-2014,1.85,1.85,1.75,1.81,266000
KASBB,28-Feb-2014,1.89,1.89,1.75,1.78,59000
KASBB,03-Mar-2014,1.90,1.90,1.80,1.81,15500
KASBB,04-Mar-2014,1.80,1.90,1.75,1.85,140500
KASBB,05-Mar-2014,1.85,1.90,1.76,1.84,127500
KASBB,06-Mar-2014,1.85,1.89,1.80,1.89,128500
KASBB,07-Mar-2014,1.86,1.90,1.83,1.87,236000
KASBB,10-Mar-2014,1.85,1.89,1.75,1.77,301500
KASBB,11-Mar-2014,1.77,1.88,1.77,1.86,234500
KASBB,12-Mar-2014,1.84,1.88,1.77,1.79,116500
KASBB,13-Mar-2014,1.84,1.84,1.75,1.76,537000
KASBB,14-Mar-2014,1.83,1.83,1.77,1.80,377000
KASBB,17-Mar-2014,1.84,1.84,1.77,1.77,40500
KASBB,18-Mar-2014,1.83,1.83,1.77,1.78,37000
KASBB,19-Mar-2014,1.77,1.83,1.76,1.78,171000
KASBB,20-Mar-2014,1.76,1.80,1.76,1.79,97500
KASBB,21-Mar-2014,1.79,1.79,1.77,1.78,99000
KASBB,24-Mar-2014,1.79,1.89,1.78,1.79,29000
KASBB,25-Mar-2014,1.82,1.82,1.78,1.78,68000
KASBB,26-Mar-2014,1.78,1.80,1.76,1.80,62500
KASBB,27-Mar-2014,1.77,1.97,1.77,1.90,427000
KASBB,28-Mar-2014,1.85,1.93,1.83,1.85,140000
KASBB,31-Mar-2014,1.88,2.05,1.88,1.91,557000
KASBB,01-Apr-2014,1.93,1.97,1.90,1.91,112500
KASBB,02-Apr-2014,1.96,2.07,1.95,2.05,974500
KASBB,03-Apr-2014,2.05,2.28,2.00,2.24,3117000
KASBB,04-Apr-2014,2.24,2.30,2.08,2.12,990500
KASBB,07-Apr-2014,2.10,2.19,2.05,2.14,354000
KASBB,08-Apr-2014,2.18,2.19,2.06,2.12,504000
KASBB,09-Apr-2014,2.15,2.15,2.07,2.13,210500
KASBB,10-Apr-2014,2.14,2.14,2.05,2.12,476000
KASBB,11-Apr-2014,2.08,2.12,2.05,2.09,347000
KASBB,14-Apr-2014,2.02,2.16,2.02,2.08,562000
KASBB,15-Apr-2014,2.10,2.14,2.04,2.10,358500
