Symbol,Date,Open,High,Low,Close,Volume
KHTC,06-Jan-2014,259.94,262.50,259.94,262.50,3100
KHTC,07-Jan-2014,275.50,275.62,270.40,275.62,4800
KHTC,08-Jan-2014,289.00,289.40,285.00,289.00,3600
KHTC,09-Jan-2014,288.99,288.99,275.00,281.25,1100
KHTC,10-Jan-2014,282.00,285.00,268.51,268.51,2100
KHTC,13-Jan-2014,279.99,281.93,279.99,281.93,2300
KHTC,15-Jan-2014,295.00,295.00,285.00,285.00,2000
KHTC,16-Jan-2014,275.01,275.01,275.00,275.00,200
KHTC,22-Jan-2014,275.00,275.00,275.00,275.00,100
KHTC,23-Jan-2014,263.00,265.00,261.25,261.25,1100
KHTC,24-Jan-2014,249.00,249.00,249.00,261.25,100
KHTC,28-Jan-2014,270.00,274.00,250.00,250.00,800
KHTC,29-Jan-2014,240.00,240.00,238.50,239.25,600
KHTC,30-Jan-2014,228.00,228.00,228.00,228.00,400
KHTC,31-Jan-2014,235.00,235.00,235.00,235.00,400
KHTC,04-Feb-2014,223.30,223.30,223.25,223.30,500
KHTC,06-Feb-2014,228.00,230.00,228.00,228.80,600
KHTC,13-Feb-2014,235.00,240.00,235.00,240.00,500
KHTC,14-Feb-2014,250.00,250.00,250.00,250.00,200
KHTC,17-Feb-2014,251.00,262.50,251.00,260.00,800
KHTC,18-Feb-2014,270.00,270.00,265.00,268.75,900
KHTC,21-Feb-2014,272.00,272.00,272.00,272.00,200
KHTC,24-Feb-2014,276.00,276.00,276.00,276.00,100
KHTC,07-Mar-2014,262.20,262.20,262.20,262.20,1200
KHTC,11-Mar-2014,251.00,251.00,249.09,250.73,700
KHTC,20-Mar-2014,245.00,245.00,245.00,245.00,500
KHTC,21-Mar-2014,234.00,234.25,234.00,234.17,300
KHTC,24-Mar-2014,230.00,230.00,230.00,230.00,200
KHTC,25-Mar-2014,232.00,241.50,232.00,241.50,400
KHTC,26-Mar-2014,242.01,253.57,242.01,253.57,1200
KHTC,27-Mar-2014,266.24,266.24,265.99,266.24,2600
KHTC,28-Mar-2014,271.25,273.00,270.00,270.00,700
KHTC,01-Apr-2014,256.52,267.01,256.52,267.01,700
KHTC,03-Apr-2014,278.90,280.36,278.50,279.00,1000
KHTC,04-Apr-2014,271.01,278.50,271.01,276.33,1200
KHTC,07-Apr-2014,271.06,281.74,271.06,281.74,200
KHTC,08-Apr-2014,272.50,272.50,272.50,272.50,100
KHTC,10-Apr-2014,280.00,280.00,280.00,280.00,200
KHTC,11-Apr-2014,293.74,294.00,290.00,291.00,900
KHTC,14-Apr-2014,285.00,285.00,280.00,280.00,400
KHTC,17-Apr-2014,268.00,270.00,266.01,266.01,800
KHTC,18-Apr-2014,277.99,277.99,277.99,277.99,100
KHTC,21-Apr-2014,265.00,265.00,265.00,265.00,400
KHTC,25-Apr-2014,256.00,256.00,256.00,256.00,100
KHTC,28-Apr-2014,260.00,268.80,260.00,268.80,400
KHTC,29-Apr-2014,282.20,282.24,282.20,282.24,800
KHTC,30-Apr-2014,296.35,296.35,296.35,296.35,700
KHTC,02-May-2014,311.16,311.16,290.00,311.16,3300
KHTC,05-May-2014,326.71,326.71,325.50,326.71,3400
KHTC,06-May-2014,343.00,343.04,343.00,343.04,2300
KHTC,07-May-2014,360.19,360.19,360.00,360.19,2600
KHTC,08-May-2014,378.18,378.19,377.00,378.19,2400
KHTC,09-May-2014,397.09,397.09,397.09,397.09,100
KHTC,12-May-2014,416.50,416.94,416.50,416.94,300
KHTC,13-May-2014,437.78,437.78,437.78,437.78,200
KHTC,14-May-2014,459.66,459.66,459.66,459.66,300
KHTC,16-May-2014,501.50,501.50,454.17,454.17,7100
KHTC,19-May-2014,469.98,469.98,440.00,469.98,400
KHTC,20-May-2014,447.00,447.00,446.49,446.49,700
KHTC,21-May-2014,425.00,425.49,425.00,425.49,200
KHTC,22-May-2014,404.22,404.22,404.22,404.22,500
KHTC,23-May-2014,385.00,423.00,384.01,412.50,1500
KHTC,26-May-2014,402.00,402.00,402.00,402.00,100
KHTC,27-May-2014,422.10,422.10,410.10,410.10,400
KHTC,28-May-2014,400.00,400.00,392.00,400.00,1000
KHTC,29-May-2014,399.00,399.00,399.00,399.00,100
KHTC,30-May-2014,390.00,404.50,390.00,404.50,700
KHTC,02-Jun-2014,412.25,412.25,412.25,412.25,300
KHTC,03-Jun-2014,396.30,396.30,391.64,391.64,700
