Symbol,Date,Open,High,Low,Close,Volume
KOHC,01-Jan-2014,98.90,101.99,98.55,100.76,1285500
KOHC,02-Jan-2014,101.40,101.80,100.10,100.30,543000
KOHC,03-Jan-2014,99.51,100.90,98.11,99.31,468000
KOHC,06-Jan-2014,99.05,99.58,97.65,97.94,338000
KOHC,07-Jan-2014,97.31,98.01,95.75,96.55,465000
KOHC,08-Jan-2014,96.50,101.30,96.50,99.61,1942500
KOHC,09-Jan-2014,100.25,104.59,100.00,104.19,2787500
KOHC,10-Jan-2014,104.98,105.50,102.80,103.67,1894500
KOHC,13-Jan-2014,103.70,105.00,103.50,103.58,233000
KOHC,15-Jan-2014,104.00,104.80,102.75,103.19,371000
KOHC,16-Jan-2014,103.50,103.70,101.75,102.08,212500
KOHC,17-Jan-2014,103.30,104.00,102.00,102.82,388000
KOHC,20-Jan-2014,103.50,105.49,103.50,104.94,393000
KOHC,21-Jan-2014,106.00,110.18,105.95,110.18,870500
KOHC,22-Jan-2014,113.00,115.68,113.00,115.68,416500
KOHC,23-Jan-2014,117.50,121.46,116.00,118.75,1568500
KOHC,24-Jan-2014,119.25,120.40,117.00,118.89,755000
KOHC,27-Jan-2014,118.90,119.00,114.00,114.73,466000
KOHC,28-Jan-2014,114.30,115.00,110.00,111.09,471500
KOHC,29-Jan-2014,110.25,114.90,110.00,113.14,641000
KOHC,30-Jan-2014,113.90,116.00,113.10,114.42,386500
KOHC,31-Jan-2014,113.55,120.14,113.55,120.14,1248500
KOHC,03-Feb-2014,122.00,126.14,121.50,122.16,815500
KOHC,04-Feb-2014,121.00,122.00,119.00,119.57,806500
KOHC,06-Feb-2014,119.40,122.49,116.60,118.20,872500
KOHC,07-Feb-2014,118.50,120.20,116.03,117.42,695000
KOHC,10-Feb-2014,117.98,118.40,111.55,113.64,546500
KOHC,11-Feb-2014,116.00,116.00,112.50,113.32,248500
KOHC,12-Feb-2014,114.50,116.50,113.60,115.14,481000
KOHC,13-Feb-2014,115.50,116.47,113.25,113.72,193500
KOHC,14-Feb-2014,114.00,114.50,112.60,113.09,161000
KOHC,17-Feb-2014,115.00,115.25,110.00,110.95,449000
KOHC,18-Feb-2014,110.50,111.69,107.88,108.84,383500
KOHC,19-Feb-2014,110.00,111.00,107.50,107.94,237000
KOHC,20-Feb-2014,107.80,108.20,105.65,106.69,115500
KOHC,21-Feb-2014,108.00,112.00,104.51,110.33,262000
KOHC,24-Feb-2014,112.00,113.70,111.25,111.95,245000
KOHC,25-Feb-2014,111.25,114.00,110.50,111.35,322000
KOHC,26-Feb-2014,112.00,112.00,109.05,109.49,158000
KOHC,27-Feb-2014,109.01,110.25,108.05,109.91,70500
KOHC,28-Feb-2014,110.00,114.30,110.00,113.03,278000
KOHC,03-Mar-2014,114.10,116.50,113.80,115.25,431000
KOHC,04-Mar-2014,115.24,118.96,115.24,117.46,776500
KOHC,05-Mar-2014,117.99,119.90,117.99,118.65,467000
KOHC,06-Mar-2014,119.00,119.75,115.30,116.93,208500
KOHC,07-Mar-2014,118.00,118.00,113.61,116.32,357500
KOHC,10-Mar-2014,116.98,117.40,115.75,116.04,217500
KOHC,11-Mar-2014,116.01,119.70,116.00,118.57,700500
KOHC,12-Mar-2014,119.40,120.99,117.50,118.24,780000
KOHC,13-Mar-2014,119.00,123.90,118.15,123.01,1112000
KOHC,14-Mar-2014,122.01,122.50,120.01,120.35,659000
KOHC,17-Mar-2014,120.00,121.50,117.00,117.43,214500
KOHC,18-Mar-2014,118.00,119.97,117.30,117.64,355500
KOHC,19-Mar-2014,117.25,117.50,116.50,116.64,158500
KOHC,20-Mar-2014,116.51,117.84,114.85,115.19,863500
KOHC,21-Mar-2014,115.60,116.40,112.00,113.62,193500
KOHC,24-Mar-2014,112.00,113.96,112.00,112.06,82000
KOHC,25-Mar-2014,113.25,117.64,112.75,117.28,416000
KOHC,26-Mar-2014,117.00,119.88,117.00,117.76,473500
KOHC,27-Mar-2014,118.00,118.10,115.80,116.11,622500
KOHC,28-Mar-2014,116.99,117.00,115.02,115.35,633500
KOHC,31-Mar-2014,116.00,117.50,116.00,117.02,989500
KOHC,01-Apr-2014,117.48,119.00,117.00,117.26,557000
KOHC,02-Apr-2014,118.40,120.20,117.10,118.08,1595500
KOHC,03-Apr-2014,118.48,119.15,117.01,117.99,934500
KOHC,04-Apr-2014,117.90,117.90,114.00,114.86,708500
KOHC,07-Apr-2014,115.00,116.25,113.50,114.57,497000
KOHC,08-Apr-2014,114.25,114.50,113.25,113.89,496000
KOHC,09-Apr-2014,113.89,116.20,113.60,114.44,980000
KOHC,10-Apr-2014,114.98,115.00,113.50,113.64,645500
KOHC,11-Apr-2014,114.00,115.50,113.01,113.97,674500
KOHC,14-Apr-2014,114.30,114.39,112.50,112.79,701500
KOHC,15-Apr-2014,113.20,118.23,112.20,116.72,1238000
KOHC,16-Apr-2014,117.98,120.00,117.25,119.04,1189000
KOHC,17-Apr-2014,119.20,119.50,115.00,116.41,460000
KOHC,18-Apr-2014,117.50,119.00,115.50,115.75,401500
KOHC,21-Apr-2014,115.90,116.00,114.51,114.72,107000
KOHC,22-Apr-2014,116.00,117.00,115.00,116.43,369000
KOHC,23-Apr-2014,116.50,117.00,115.51,116.04,261000
KOHC,24-Apr-2014,116.40,121.84,115.75,121.76,1576000
KOHC,25-Apr-2014,123.25,124.89,121.10,122.65,1234000
KOHC,28-Apr-2014,122.69,122.70,120.00,120.09,113000
KOHC,29-Apr-2014,119.00,119.00,116.05,117.17,493000
KOHC,30-Apr-2014,118.00,123.02,117.50,122.91,853000
KOHC,02-May-2014,122.95,123.50,120.50,120.86,243500
KOHC,05-May-2014,120.01,122.50,117.00,117.89,312000
KOHC,06-May-2014,117.25,118.35,116.50,117.11,192000
KOHC,07-May-2014,117.99,119.00,117.40,117.49,86000
KOHC,08-May-2014,118.00,119.90,117.80,118.05,466000
KOHC,09-May-2014,118.75,122.41,118.75,119.88,559500
KOHC,12-May-2014,121.00,122.30,119.10,119.95,374000
KOHC,13-May-2014,120.40,121.45,118.06,118.46,248000
KOHC,14-May-2014,119.90,120.35,117.76,118.09,105000
KOHC,15-May-2014,118.25,121.90,118.25,120.44,884500
KOHC,16-May-2014,120.20,122.48,120.00,121.73,314500
KOHC,19-May-2014,122.00,124.00,121.50,123.69,904500
KOHC,20-May-2014,122.00,124.00,121.50,121.92,220500
KOHC,21-May-2014,121.95,122.00,119.50,120.01,195000
KOHC,22-May-2014,120.10,121.00,119.02,119.84,99500
KOHC,23-May-2014,120.75,120.85,117.00,117.22,209500
KOHC,26-May-2014,117.75,118.10,116.25,117.08,202000
KOHC,27-May-2014,117.99,118.50,117.50,117.77,204000
KOHC,28-May-2014,118.50,118.50,116.85,117.05,179500
KOHC,29-May-2014,117.80,118.30,116.50,117.15,714500
KOHC,30-May-2014,117.89,118.00,116.60,117.11,453000
KOHC,02-Jun-2014,116.90,121.00,116.90,118.90,1550500
KOHC,03-Jun-2014,118.90,120.75,117.05,118.19,644000
KOHC,04-Jun-2014,118.00,120.30,117.28,117.85,429000
KOHC,05-Jun-2014,118.75,122.08,118.75,119.89,661000
KOHC,06-Jun-2014,118.60,120.70,118.60,119.23,192500
KOHC,09-Jun-2014,119.50,119.75,118.56,118.66,72000
KOHC,10-Jun-2014,119.00,120.00,118.50,119.49,272500
KOHC,11-Jun-2014,119.70,121.80,119.70,120.54,489000
KOHC,12-Jun-2014,121.00,121.50,120.00,120.26,107000
KOHC,13-Jun-2014,120.87,120.98,119.75,120.07,91500
KOHC,16-Jun-2014,118.50,123.00,118.50,122.34,720500
KOHC,17-Jun-2014,122.35,123.90,120.00,120.58,252000
KOHC,18-Jun-2014,121.98,123.35,120.00,122.48,389500
KOHC,19-Jun-2014,122.31,122.50,119.00,121.24,353000
KOHC,20-Jun-2014,121.49,122.80,121.00,121.95,477500
KOHC,23-Jun-2014,120.10,123.00,119.30,122.78,261000
KOHC,24-Jun-2014,122.70,128.91,121.50,128.91,1783000
KOHC,25-Jun-2014,130.50,132.40,125.27,127.01,1489000
KOHC,26-Jun-2014,126.80,127.25,125.07,126.15,276500
KOHC,27-Jun-2014,126.40,128.85,126.02,126.30,155500
KOHC,30-Jun-2014,127.00,128.49,126.00,127.82,220000
KOHC,01-Jul-2014,127.40,130.00,127.40,128.33,220500
KOHC,02-Jul-2014,128.30,128.75,127.00,127.24,1164700
KOHC,03-Jul-2014,127.90,127.99,126.05,126.77,67500
KOHC,04-Jul-2014,127.47,128.00,126.00,126.63,136400
KOHC,07-Jul-2014,126.63,126.63,125.51,125.89,23900
KOHC,08-Jul-2014,126.00,126.10,125.50,125.52,20800
KOHC,09-Jul-2014,125.90,125.90,124.00,124.97,56100
KOHC,10-Jul-2014,125.00,125.00,123.30,124.00,74200
KOHC,11-Jul-2014,124.00,126.40,123.25,125.56,174700
KOHC,14-Jul-2014,125.00,130.14,125.00,129.22,550900
