Symbol,Date,Open,High,Low,Close,Volume
KOHE,01-Jan-2014,35.70,36.00,34.65,34.91,156000
KOHE,02-Jan-2014,35.00,35.40,34.45,34.98,274000
KOHE,03-Jan-2014,35.05,35.05,34.61,34.65,38000
KOHE,06-Jan-2014,34.70,34.90,34.50,34.52,62000
KOHE,07-Jan-2014,35.18,35.95,34.50,35.80,245500
KOHE,08-Jan-2014,36.00,36.00,35.25,35.56,165000
KOHE,09-Jan-2014,35.40,35.40,34.50,34.92,158000
KOHE,10-Jan-2014,34.70,35.00,34.70,34.85,26000
KOHE,13-Jan-2014,35.00,35.00,34.50,34.71,15000
KOHE,15-Jan-2014,35.00,35.10,34.75,34.91,87000
KOHE,16-Jan-2014,35.49,35.49,34.50,34.80,114500
KOHE,17-Jan-2014,34.95,35.00,34.60,34.80,61500
KOHE,20-Jan-2014,35.40,35.44,34.95,35.27,79000
KOHE,21-Jan-2014,35.08,36.06,35.08,35.34,104500
KOHE,22-Jan-2014,35.50,35.50,34.96,34.96,194000
KOHE,23-Jan-2014,35.02,35.50,35.00,35.20,51500
KOHE,24-Jan-2014,35.05,35.37,34.75,35.16,57000
KOHE,27-Jan-2014,35.30,35.30,34.90,34.90,115500
KOHE,28-Jan-2014,34.95,34.95,34.65,34.66,47000
KOHE,29-Jan-2014,34.55,35.25,34.50,34.90,99500
KOHE,30-Jan-2014,35.13,35.15,34.79,34.94,224000
KOHE,31-Jan-2014,35.00,35.50,34.85,35.00,241000
KOHE,03-Feb-2014,34.70,35.00,34.60,34.62,36000
KOHE,04-Feb-2014,34.60,35.96,34.50,35.62,148000
KOHE,06-Feb-2014,35.99,37.40,35.99,37.39,445500
KOHE,07-Feb-2014,37.27,38.40,37.00,37.29,268000
KOHE,10-Feb-2014,37.00,37.70,36.32,36.53,83500
KOHE,11-Feb-2014,36.65,37.15,36.26,36.83,51000
KOHE,12-Feb-2014,37.99,38.50,36.80,37.41,667500
KOHE,13-Feb-2014,37.31,37.49,36.80,36.93,173500
KOHE,14-Feb-2014,36.90,37.15,36.70,36.70,77500
KOHE,17-Feb-2014,36.40,36.55,36.01,36.36,36500
KOHE,18-Feb-2014,36.02,36.44,35.56,36.23,144000
KOHE,19-Feb-2014,36.50,36.99,35.50,35.62,60500
KOHE,20-Feb-2014,36.39,36.40,35.75,35.83,134000
KOHE,21-Feb-2014,36.15,36.48,35.76,36.29,39000
KOHE,24-Feb-2014,36.50,36.99,36.36,36.79,126000
KOHE,25-Feb-2014,36.51,37.05,36.03,36.97,173500
KOHE,26-Feb-2014,34.15,34.60,34.15,34.20,58000
KOHE,27-Feb-2014,33.90,33.99,33.35,33.45,40000
KOHE,28-Feb-2014,33.80,33.98,33.51,33.62,15500
KOHE,03-Mar-2014,34.40,34.47,33.26,33.57,57000
KOHE,04-Mar-2014,33.20,34.10,33.20,34.03,71000
