Symbol,Date,Open,High,Low,Close,Volume
KOHP,01-Jan-2014,2.85,2.99,2.85,2.91,79500
KOHP,02-Jan-2014,2.99,3.70,2.99,3.47,518500
KOHP,03-Jan-2014,3.50,3.60,3.18,3.42,94000
KOHP,06-Jan-2014,3.20,3.21,3.10,3.21,13000
KOHP,07-Jan-2014,3.31,3.49,3.25,3.27,54000
KOHP,08-Jan-2014,3.40,3.40,3.22,3.30,13500
KOHP,09-Jan-2014,3.25,3.40,3.12,3.12,27000
KOHP,10-Jan-2014,3.29,3.30,3.11,3.11,15000
KOHP,13-Jan-2014,3.10,3.39,3.10,3.31,56000
KOHP,15-Jan-2014,3.40,3.40,3.30,3.30,18000
KOHP,16-Jan-2014,3.40,3.45,3.20,3.38,36000
KOHP,17-Jan-2014,3.30,3.30,3.29,3.29,76000
KOHP,20-Jan-2014,3.30,3.35,3.27,3.30,21500
KOHP,21-Jan-2014,3.30,3.30,3.15,3.19,53000
KOHP,22-Jan-2014,3.20,3.30,3.10,3.12,24500
KOHP,23-Jan-2014,3.15,3.70,3.15,3.52,217000
KOHP,24-Jan-2014,3.40,3.92,3.40,3.77,182000
KOHP,27-Jan-2014,3.75,3.75,3.55,3.60,28500
KOHP,28-Jan-2014,3.46,3.74,3.40,3.45,22000
KOHP,29-Jan-2014,3.40,3.50,3.40,3.45,47000
KOHP,30-Jan-2014,3.40,3.65,3.30,3.50,22500
KOHP,31-Jan-2014,3.40,3.50,3.40,3.50,5500
KOHP,03-Feb-2014,3.30,3.30,3.30,3.30,500
KOHP,04-Feb-2014,3.25,3.50,3.20,3.30,26500
KOHP,06-Feb-2014,3.57,3.60,3.41,3.45,91000
KOHP,07-Feb-2014,3.45,3.84,3.45,3.49,108500
KOHP,10-Feb-2014,3.59,3.59,3.25,3.32,35000
KOHP,11-Feb-2014,3.50,3.50,3.22,3.22,15500
KOHP,12-Feb-2014,3.26,3.48,3.25,3.48,39500
KOHP,13-Feb-2014,3.40,3.87,3.40,3.57,175500
KOHP,14-Feb-2014,3.50,3.80,3.46,3.50,28500
KOHP,17-Feb-2014,3.69,3.78,3.31,3.45,31500
KOHP,18-Feb-2014,3.45,3.50,3.22,3.42,105500
KOHP,19-Feb-2014,3.55,3.55,3.30,3.30,3000
KOHP,20-Feb-2014,3.44,3.50,3.25,3.25,10000
KOHP,21-Feb-2014,3.30,3.44,3.25,3.25,36000
KOHP,24-Feb-2014,3.30,3.39,3.26,3.39,8500
KOHP,25-Feb-2014,3.34,3.39,3.30,3.30,12000
KOHP,26-Feb-2014,3.40,3.40,3.30,3.30,37500
KOHP,27-Feb-2014,3.44,3.44,3.16,3.16,3500
KOHP,03-Mar-2014,3.00,3.68,3.00,3.60,307000
KOHP,04-Mar-2014,3.50,3.60,3.40,3.41,62000
KOHP,05-Mar-2014,3.45,3.45,3.40,3.40,4000
KOHP,06-Mar-2014,3.50,3.50,3.45,3.45,27000
KOHP,07-Mar-2014,3.75,3.80,3.33,3.33,39500
KOHP,10-Mar-2014,3.50,3.65,3.50,3.55,136500
KOHP,11-Mar-2014,3.51,3.60,3.50,3.51,22500
KOHP,12-Mar-2014,3.50,3.60,3.50,3.52,18000
KOHP,13-Mar-2014,3.41,3.49,3.40,3.40,39000
KOHP,18-Mar-2014,3.40,3.45,3.40,3.45,30500
KOHP,20-Mar-2014,3.26,3.26,3.25,3.25,15500
KOHP,21-Mar-2014,3.30,3.40,3.20,3.25,15500
KOHP,24-Mar-2014,3.35,3.35,3.20,3.20,2000
KOHP,27-Mar-2014,3.30,3.30,3.30,3.30,500
KOHP,31-Mar-2014,3.24,3.30,3.10,3.30,31500
KOHP,01-Apr-2014,3.35,3.35,3.15,3.16,25000
KOHP,02-Apr-2014,3.30,3.37,3.26,3.26,4000
KOHP,03-Apr-2014,3.35,3.44,3.35,3.35,21500
KOHP,04-Apr-2014,3.10,3.67,3.10,3.67,6000
KOHP,07-Apr-2014,3.40,3.40,3.30,3.30,2000
KOHP,08-Apr-2014,3.30,3.44,3.25,3.31,39500
KOHP,09-Apr-2014,3.47,3.47,3.47,3.47,1000
KOHP,10-Apr-2014,3.21,3.50,3.21,3.22,14000
KOHP,11-Apr-2014,3.26,3.38,3.14,3.30,8500
KOHP,14-Apr-2014,3.30,3.30,3.30,3.30,20500
KOHP,15-Apr-2014,3.35,3.35,3.25,3.25,1500
KOHP,16-Apr-2014,3.20,3.49,3.11,3.49,25500
KOHP,17-Apr-2014,3.39,3.39,3.23,3.39,3000
KOHP,18-Apr-2014,3.30,3.30,3.02,3.05,54000
KOHP,21-Apr-2014,3.15,3.15,3.06,3.14,12000
KOHP,22-Apr-2014,3.15,3.38,3.13,3.14,30000
KOHP,23-Apr-2014,3.11,3.11,3.08,3.08,6500
KOHP,24-Apr-2014,3.03,3.20,3.03,3.10,15500
KOHP,25-Apr-2014,3.19,3.99,3.17,3.36,182500
KOHP,28-Apr-2014,3.75,3.75,3.50,3.50,25000
KOHP,29-Apr-2014,3.21,3.26,3.21,3.26,6500
KOHP,30-Apr-2014,3.23,3.24,3.23,3.24,2000
KOHP,02-May-2014,3.20,3.20,3.20,3.20,1500
KOHP,05-May-2014,3.20,3.20,3.10,3.15,19000
KOHP,06-May-2014,3.11,3.18,2.94,3.00,61500
KOHP,07-May-2014,3.34,3.34,2.89,2.98,37500
KOHP,08-May-2014,3.05,3.24,3.05,3.23,109000
KOHP,09-May-2014,3.06,3.14,3.06,3.11,2500
KOHP,12-May-2014,3.44,3.44,2.91,3.23,14000
KOHP,13-May-2014,3.00,3.26,2.85,3.26,62000
KOHP,14-May-2014,3.00,3.00,3.00,3.00,6500
KOHP,15-May-2014,3.15,3.15,2.98,2.98,8000
KOHP,16-May-2014,2.97,2.98,2.92,2.95,12000
KOHP,19-May-2014,2.91,2.92,2.90,2.91,21000
KOHP,20-May-2014,2.95,2.95,2.86,2.91,14000
KOHP,21-May-2014,2.92,2.92,2.92,2.92,2000
KOHP,26-May-2014,3.00,3.00,2.93,2.96,23000
KOHP,27-May-2014,2.81,2.99,2.81,2.99,10500
KOHP,28-May-2014,3.00,3.00,3.00,3.00,3500
KOHP,30-May-2014,2.95,2.95,2.95,2.95,1500
KOHP,02-Jun-2014,3.05,3.10,3.02,3.02,28000
KOHP,03-Jun-2014,3.00,3.29,2.75,3.10,37000
KOHP,04-Jun-2014,3.10,3.10,2.99,2.99,2500
KOHP,05-Jun-2014,3.00,3.00,2.96,2.96,9500
KOHP,06-Jun-2014,3.00,3.03,3.00,3.02,3000
KOHP,10-Jun-2014,2.95,3.05,2.95,3.05,5500
KOHP,11-Jun-2014,3.07,3.10,3.00,3.02,24500
KOHP,12-Jun-2014,2.96,2.96,2.96,2.96,6000
KOHP,13-Jun-2014,2.95,3.05,2.91,3.05,6000
KOHP,17-Jun-2014,2.85,3.23,2.85,3.08,5500
KOHP,18-Jun-2014,2.81,2.81,2.80,2.80,11000
KOHP,19-Jun-2014,2.80,2.91,2.75,2.91,24500
KOHP,20-Jun-2014,2.90,2.90,2.70,2.70,6000
KOHP,23-Jun-2014,2.90,2.90,2.90,2.90,1000
KOHP,25-Jun-2014,2.77,2.91,2.65,2.91,7000
KOHP,27-Jun-2014,2.71,3.28,2.71,3.28,4000
KOHP,01-Jul-2014,2.76,2.76,2.76,2.76,19500
KOHP,02-Jul-2014,2.80,2.80,2.71,2.80,2000
KOHP,03-Jul-2014,2.77,2.77,2.77,2.77,1000
KOHP,04-Jul-2014,2.90,2.90,2.60,2.90,1500
KOHP,07-Jul-2014,2.88,2.88,2.69,2.71,9000
KOHP,09-Jul-2014,2.98,2.98,2.72,2.98,20000
KOHP,10-Jul-2014,2.70,2.70,2.70,2.70,6000
KOHP,11-Jul-2014,2.64,2.84,2.61,2.66,6500
KOHP,14-Jul-2014,2.91,2.91,2.91,2.91,1000
KOHP,16-Jul-2014,2.73,2.73,2.70,2.70,3000
KOHP,17-Jul-2014,2.85,2.85,2.65,2.65,9000
KOHP,18-Jul-2014,2.62,2.65,2.61,2.61,13000
KOHP,21-Jul-2014,2.91,2.91,2.62,2.65,10500
KOHP,22-Jul-2014,2.62,2.62,2.62,2.62,500
KOHP,23-Jul-2014,2.70,2.70,2.70,2.70,1500
KOHP,24-Jul-2014,2.64,2.64,2.64,2.64,5000
KOHP,28-Jul-2014,2.63,2.71,2.63,2.71,2000
KOHP,04-Aug-2014,2.61,2.61,2.60,2.60,9000
KOHP,06-Aug-2014,2.73,2.73,2.73,2.73,1000
KOHP,08-Aug-2014,2.62,2.62,2.55,2.55,1000
KOHP,11-Aug-2014,1.80,2.10,1.80,2.05,17000
KOHP,12-Aug-2014,2.15,2.25,2.15,2.25,3000
KOHP,13-Aug-2014,2.39,2.40,2.25,2.25,2500
KOHP,15-Aug-2014,2.25,2.25,2.25,2.25,500
KOHP,18-Aug-2014,2.21,2.21,2.21,2.21,500
KOHP,19-Aug-2014,2.30,2.30,2.30,2.30,1000
KOHP,21-Aug-2014,2.45,2.45,2.12,2.12,5000
KOHP,27-Aug-2014,2.14,2.39,2.14,2.39,7000
KOHP,28-Aug-2014,2.40,2.40,2.40,2.40,80500
KOHP,29-Aug-2014,2.50,2.50,2.50,2.50,2000
KOHP,01-Sep-2014,2.40,2.40,2.40,2.40,4000
KOHP,05-Sep-2014,2.31,2.31,2.30,2.30,4000
KOHP,09-Sep-2014,2.31,2.31,2.31,2.31,500
KOHP,10-Sep-2014,2.30,2.30,2.30,2.30,1000
KOHP,11-Sep-2014,2.25,2.45,2.25,2.45,5000
KOHP,16-Sep-2014,2.45,2.64,2.33,2.64,2000
KOHP,17-Sep-2014,2.40,2.40,2.40,2.40,2000
KOHP,19-Sep-2014,2.50,2.60,2.16,2.50,41500
KOHP,22-Sep-2014,2.50,2.50,2.50,2.50,500
KOHP,23-Sep-2014,2.30,2.40,2.30,2.40,1000
KOHP,25-Sep-2014,2.49,2.49,2.40,2.40,4500
KOHP,26-Sep-2014,2.57,2.64,2.41,2.45,23500
KOHP,29-Sep-2014,2.51,2.51,2.50,2.50,7000
KOHP,01-Oct-2014,2.50,2.50,2.49,2.50,15500
KOHP,02-Oct-2014,2.60,2.90,2.60,2.61,116500
KOHP,03-Oct-2014,2.60,2.79,2.50,2.50,41500
KOHP,09-Oct-2014,2.45,2.55,2.45,2.55,17000
KOHP,10-Oct-2014,2.00,2.60,2.00,2.41,6500
KOHP,13-Oct-2014,2.42,2.50,2.42,2.50,14000
KOHP,14-Oct-2014,2.50,2.84,2.50,2.78,31500
KOHP,15-Oct-2014,2.50,2.50,2.50,2.50,1500
KOHP,16-Oct-2014,2.46,2.46,2.46,2.46,500
KOHP,21-Oct-2014,2.50,2.50,2.50,2.50,2000
KOHP,22-Oct-2014,2.65,2.67,2.60,2.60,5000
KOHP,24-Oct-2014,2.45,2.69,2.45,2.55,6500
KOHP,27-Oct-2014,2.55,2.55,2.55,2.55,15000
KOHP,28-Oct-2014,2.50,2.50,2.40,2.40,4000
KOHP,29-Oct-2014,2.50,2.50,2.50,2.50,40000
KOHP,30-Oct-2014,2.51,2.55,2.50,2.50,50500
KOHP,31-Oct-2014,2.50,2.55,2.50,2.55,23500
KOHP,05-Nov-2014,2.50,2.59,2.50,2.57,5000
KOHP,06-Nov-2014,2.40,2.52,2.40,2.50,8000
KOHP,07-Nov-2014,2.50,2.65,2.50,2.50,28500
KOHP,10-Nov-2014,2.60,2.89,2.60,2.67,25500
KOHP,11-Nov-2014,2.80,2.80,2.74,2.74,6500
KOHP,12-Nov-2014,2.61,2.80,2.61,2.80,17000
KOHP,13-Nov-2014,2.61,3.08,2.61,2.88,452000
KOHP,14-Nov-2014,2.98,3.19,2.85,3.05,84500
KOHP,17-Nov-2014,2.90,3.05,2.90,2.90,15000
KOHP,18-Nov-2014,2.85,2.93,2.76,2.93,12000
KOHP,19-Nov-2014,2.89,3.04,2.75,2.91,139000
KOHP,20-Nov-2014,2.85,3.00,2.85,2.90,29000
KOHP,21-Nov-2014,2.63,3.00,2.63,2.97,6000
KOHP,24-Nov-2014,3.00,3.00,2.98,2.99,2500
KOHP,25-Nov-2014,3.00,3.00,2.80,2.94,13500
KOHP,26-Nov-2014,2.97,3.30,2.86,3.10,556500
KOHP,27-Nov-2014,3.20,3.29,3.00,3.00,39500
KOHP,28-Nov-2014,3.10,3.15,3.05,3.10,32500
KOHP,01-Dec-2014,3.13,3.15,3.10,3.10,20000
KOHP,02-Dec-2014,2.75,3.50,2.75,3.16,52500
KOHP,03-Dec-2014,3.25,3.25,3.25,3.25,10500
KOHP,04-Dec-2014,3.15,3.25,3.12,3.20,10500
KOHP,05-Dec-2014,3.01,3.23,2.91,3.20,52000
KOHP,08-Dec-2014,3.09,3.09,3.00,3.00,16000
