Symbol,Date,Open,High,Low,Close,Volume
KOHTM,01-Jan-2014,22.15,22.15,22.15,22.15,2500
KOHTM,02-Jan-2014,23.25,23.25,22.42,22.70,109000
KOHTM,03-Jan-2014,22.50,22.97,21.57,22.94,53000
KOHTM,06-Jan-2014,23.00,23.01,22.06,22.25,43000
KOHTM,07-Jan-2014,22.50,22.50,21.30,21.70,46500
KOHTM,08-Jan-2014,22.30,22.78,21.75,22.75,77500
KOHTM,09-Jan-2014,23.00,23.10,22.20,22.38,30000
KOHTM,10-Jan-2014,22.15,22.15,21.91,22.00,7500
KOHTM,13-Jan-2014,21.60,21.60,20.90,20.91,14000
KOHTM,15-Jan-2014,20.25,21.90,20.10,21.53,20500
KOHTM,16-Jan-2014,20.51,21.01,20.51,21.00,20000
KOHTM,17-Jan-2014,20.36,21.84,20.00,21.60,15000
KOHTM,20-Jan-2014,21.62,21.95,21.62,21.80,11500
KOHTM,21-Jan-2014,22.25,22.70,22.00,22.31,53500
KOHTM,22-Jan-2014,23.31,23.42,23.00,23.40,120500
KOHTM,23-Jan-2014,24.00,24.57,23.80,24.57,387000
KOHTM,24-Jan-2014,25.30,25.79,24.31,25.79,122500
KOHTM,27-Jan-2014,27.07,27.07,26.05,26.96,130000
KOHTM,28-Jan-2014,27.90,27.90,25.62,25.97,157500
KOHTM,29-Jan-2014,25.00,26.30,25.00,26.10,16500
KOHTM,30-Jan-2014,26.00,26.10,25.01,25.40,59500
KOHTM,31-Jan-2014,25.25,25.25,24.13,24.14,65500
KOHTM,03-Feb-2014,23.65,25.34,23.65,25.34,66000
KOHTM,04-Feb-2014,25.05,26.60,25.05,26.59,73500
KOHTM,06-Feb-2014,26.50,26.50,25.90,26.50,8000
KOHTM,07-Feb-2014,26.00,26.00,25.18,25.19,21500
KOHTM,10-Feb-2014,23.95,23.95,23.95,23.95,500
KOHTM,11-Feb-2014,24.96,24.96,23.15,23.15,2000
KOHTM,12-Feb-2014,24.15,24.30,24.15,24.30,15000
KOHTM,13-Feb-2014,24.50,24.98,24.00,24.00,15500
KOHTM,14-Feb-2014,24.70,24.70,24.70,24.70,1500
KOHTM,17-Feb-2014,24.65,24.65,23.50,23.50,3500
KOHTM,18-Feb-2014,22.35,22.35,22.33,22.35,23500
KOHTM,19-Feb-2014,21.50,21.50,21.26,21.30,3000
KOHTM,20-Feb-2014,20.75,20.75,20.24,20.24,18500
KOHTM,21-Feb-2014,20.25,21.04,20.00,21.02,11000
KOHTM,24-Feb-2014,20.70,21.73,19.97,19.97,23000
KOHTM,25-Feb-2014,19.40,19.40,18.98,19.07,16500
KOHTM,26-Feb-2014,18.15,18.50,18.10,18.50,8500
KOHTM,27-Feb-2014,17.55,18.99,17.55,17.65,3000
KOHTM,28-Feb-2014,18.65,18.65,17.90,17.99,3500
KOHTM,03-Mar-2014,17.50,17.50,17.50,17.50,1500
KOHTM,04-Mar-2014,18.50,18.50,17.90,18.48,18500
KOHTM,05-Mar-2014,18.90,19.48,18.60,19.47,19000
KOHTM,06-Mar-2014,19.99,20.25,19.25,19.25,19000
KOHTM,10-Mar-2014,18.60,19.19,18.50,19.19,2000
KOHTM,11-Mar-2014,18.50,19.49,18.50,19.49,1500
KOHTM,12-Mar-2014,19.00,19.84,18.49,18.63,6500
KOHTM,13-Mar-2014,17.65,19.59,17.65,19.59,25000
KOHTM,17-Mar-2014,19.01,19.83,19.00,19.06,7000
KOHTM,19-Mar-2014,19.25,19.64,19.25,19.64,1500
KOHTM,20-Mar-2014,18.70,18.70,18.70,18.70,1500
KOHTM,21-Mar-2014,18.00,18.49,17.70,17.92,5500
KOHTM,26-Mar-2014,18.00,18.00,18.00,18.00,1500
KOHTM,28-Mar-2014,18.00,18.00,18.00,18.00,500
KOHTM,31-Mar-2014,18.00,18.00,18.00,18.00,1000
KOHTM,01-Apr-2014,18.40,18.40,17.31,17.55,2000
KOHTM,02-Apr-2014,17.45,18.00,17.45,17.45,1000
KOHTM,03-Apr-2014,18.00,18.00,17.60,17.60,50500
KOHTM,04-Apr-2014,18.00,18.00,17.60,18.00,132000
KOHTM,07-Apr-2014,18.30,18.30,18.30,18.30,500
KOHTM,08-Apr-2014,18.00,18.69,18.00,18.69,3500
KOHTM,09-Apr-2014,18.70,19.00,17.90,19.00,23500
KOHTM,10-Apr-2014,18.15,18.15,18.15,18.15,1000
KOHTM,11-Apr-2014,18.15,18.15,18.15,18.15,1500
KOHTM,16-Apr-2014,17.35,17.88,17.15,17.41,8500
KOHTM,17-Apr-2014,17.50,17.50,17.20,17.20,2500
KOHTM,18-Apr-2014,18.00,18.20,17.27,17.45,17000
KOHTM,21-Apr-2014,17.35,17.50,17.35,17.50,1500
KOHTM,23-Apr-2014,16.50,16.55,16.50,16.50,18000
KOHTM,24-Apr-2014,15.65,15.97,15.50,15.72,10500
KOHTM,25-Apr-2014,15.05,15.05,14.75,14.78,6000
KOHTM,28-Apr-2014,14.75,14.75,14.01,14.01,10000
KOHTM,29-Apr-2014,13.75,14.50,13.62,13.62,4000
KOHTM,30-Apr-2014,14.59,14.60,14.59,14.60,2500
KOHTM,02-May-2014,15.39,15.39,14.00,14.75,5500
KOHTM,05-May-2014,14.95,14.99,14.95,14.97,2000
KOHTM,07-May-2014,14.69,14.69,14.40,14.40,4000
KOHTM,08-May-2014,14.10,15.18,14.10,15.00,4500
