Symbol,Date,Open,High,Low,Close,Volume
KOSM,01-Jan-2014,17.00,17.00,17.00,17.00,500
KOSM,02-Jan-2014,17.50,18.00,16.00,17.94,20000
KOSM,03-Jan-2014,16.95,18.86,16.95,17.99,19000
KOSM,06-Jan-2014,18.35,18.97,18.35,18.97,1000
KOSM,07-Jan-2014,18.99,19.95,18.99,19.95,4000
KOSM,08-Jan-2014,19.90,20.74,18.95,18.95,42500
KOSM,09-Jan-2014,19.49,19.90,17.95,18.45,40000
KOSM,10-Jan-2014,17.50,19.45,17.45,17.47,80000
KOSM,13-Jan-2014,17.50,17.50,16.47,16.53,45000
KOSM,15-Jan-2014,15.80,17.47,15.53,16.12,264500
KOSM,16-Jan-2014,17.12,17.12,16.50,17.12,256000
KOSM,17-Jan-2014,17.90,18.12,16.12,16.12,346500
KOSM,20-Jan-2014,16.68,16.68,15.70,16.10,15000
KOSM,21-Jan-2014,16.44,16.49,16.00,16.41,329000
KOSM,22-Jan-2014,16.48,17.32,16.25,16.48,911500
KOSM,23-Jan-2014,16.85,16.85,16.30,16.30,201000
KOSM,24-Jan-2014,16.49,17.10,16.00,16.14,343500
KOSM,27-Jan-2014,16.00,16.25,15.75,16.14,11000
KOSM,28-Jan-2014,16.38,16.38,16.35,16.35,29000
KOSM,29-Jan-2014,16.20,16.74,16.20,16.62,157000
KOSM,30-Jan-2014,16.25,16.60,16.20,16.20,2000
KOSM,31-Jan-2014,16.20,16.60,16.20,16.33,8000
KOSM,03-Feb-2014,16.59,17.00,16.50,16.79,43000
KOSM,04-Feb-2014,16.89,16.89,16.40,16.78,17000
KOSM,06-Feb-2014,16.85,16.89,16.30,16.30,18500
KOSM,07-Feb-2014,16.79,16.79,16.41,16.49,167000
KOSM,10-Feb-2014,16.10,16.49,16.10,16.45,2000
KOSM,11-Feb-2014,16.78,16.78,16.00,16.00,21500
KOSM,12-Feb-2014,16.40,16.40,16.20,16.36,106000
KOSM,13-Feb-2014,16.40,16.40,16.00,16.04,4000
KOSM,14-Feb-2014,16.49,16.52,15.80,16.01,62000
KOSM,17-Feb-2014,16.00,16.10,16.00,16.00,44500
KOSM,18-Feb-2014,16.10,16.29,15.75,16.00,124000
KOSM,19-Feb-2014,16.20,17.00,15.95,16.50,105500
KOSM,20-Feb-2014,17.00,17.00,15.75,15.91,1099000
KOSM,21-Feb-2014,16.59,16.59,15.50,16.25,78000
KOSM,24-Feb-2014,16.89,17.00,16.77,16.80,56500
KOSM,25-Feb-2014,16.75,16.75,15.80,15.83,80500
KOSM,26-Feb-2014,16.20,16.50,15.80,15.85,47500
KOSM,27-Feb-2014,16.00,16.00,15.20,15.20,171500
KOSM,28-Feb-2014,15.99,16.19,14.20,15.10,84000
KOSM,03-Mar-2014,15.20,15.20,14.40,15.00,46500
KOSM,04-Mar-2014,15.00,15.00,15.00,15.00,2000
KOSM,05-Mar-2014,15.90,15.90,15.00,15.00,22500
KOSM,07-Mar-2014,15.05,15.40,14.80,15.40,2500
KOSM,10-Mar-2014,15.01,15.01,14.40,14.94,20000
KOSM,11-Mar-2014,14.78,15.05,14.78,15.05,1500
KOSM,12-Mar-2014,15.00,15.00,14.90,14.90,5000
KOSM,14-Mar-2014,15.15,15.15,15.15,15.15,1000
KOSM,17-Mar-2014,15.28,15.28,15.10,15.10,10500
KOSM,20-Mar-2014,14.20,15.10,14.20,15.10,1500
KOSM,21-Mar-2014,14.40,15.60,14.11,15.60,4500
KOSM,24-Mar-2014,14.70,14.98,14.60,14.98,10500
KOSM,26-Mar-2014,14.95,14.99,14.95,14.99,1000
KOSM,27-Mar-2014,14.50,14.50,14.50,14.50,2000
KOSM,28-Mar-2014,14.98,15.49,14.60,15.49,1500
KOSM,31-Mar-2014,14.50,14.93,14.50,14.93,1500
KOSM,02-Apr-2014,14.10,14.85,14.10,14.85,1000
KOSM,09-Apr-2014,14.10,14.80,14.10,14.80,1000
KOSM,10-Apr-2014,14.05,14.64,13.80,13.80,27000
KOSM,14-Apr-2014,13.50,13.70,13.50,13.50,6000
KOSM,15-Apr-2014,13.50,14.05,13.50,14.05,1000
KOSM,17-Apr-2014,13.97,14.00,13.97,14.00,3000
KOSM,18-Apr-2014,13.75,14.20,13.50,13.89,28500
KOSM,21-Apr-2014,13.15,14.00,13.10,13.10,1500
KOSM,22-Apr-2014,13.75,13.88,13.40,13.58,4500
KOSM,24-Apr-2014,13.00,13.00,13.00,13.00,500
KOSM,25-Apr-2014,13.50,13.74,13.50,13.62,1000
KOSM,28-Apr-2014,12.70,13.69,12.70,13.69,1500
KOSM,02-May-2014,13.50,13.50,12.70,13.49,4500
KOSM,15-May-2014,13.25,13.25,13.25,13.25,500
KOSM,16-May-2014,13.95,14.00,12.25,12.31,29500
KOSM,19-May-2014,12.88,12.88,12.88,12.88,500
KOSM,20-May-2014,13.63,13.63,12.02,12.71,4000
KOSM,21-May-2014,11.80,12.56,11.80,12.55,4500
KOSM,22-May-2014,12.89,12.89,12.89,12.89,1000
KOSM,26-May-2014,12.85,13.89,12.83,13.79,26500
KOSM,27-May-2014,14.35,14.79,14.10,14.79,1385000
KOSM,28-May-2014,15.65,15.79,15.65,15.79,513000
KOSM,29-May-2014,16.69,16.79,16.00,16.79,1655000
KOSM,30-May-2014,17.50,17.79,15.79,17.70,1569500
KOSM,02-Jun-2014,17.69,18.70,17.60,18.64,860500
KOSM,03-Jun-2014,19.00,19.00,18.26,18.50,510000
KOSM,04-Jun-2014,18.99,19.50,18.00,18.21,6172000
KOSM,05-Jun-2014,18.50,19.21,17.97,19.15,11363000
KOSM,06-Jun-2014,20.14,20.15,19.60,20.11,773500
KOSM,09-Jun-2014,20.50,21.11,20.00,21.01,2835500
KOSM,10-Jun-2014,22.00,22.06,21.50,22.04,885500
KOSM,11-Jun-2014,22.95,23.10,22.50,22.83,724000
KOSM,12-Jun-2014,22.89,23.10,22.25,22.51,915000
KOSM,13-Jun-2014,23.00,23.00,22.00,22.89,1095500
KOSM,16-Jun-2014,23.20,23.50,22.50,23.40,454500
KOSM,17-Jun-2014,23.40,23.60,22.85,23.00,417500
KOSM,18-Jun-2014,23.24,23.65,22.60,22.60,302000
KOSM,19-Jun-2014,22.50,22.90,21.65,22.90,367500
KOSM,20-Jun-2014,23.30,23.55,22.50,23.25,321500
KOSM,23-Jun-2014,23.40,24.00,23.00,23.90,368500
KOSM,24-Jun-2014,24.05,24.50,23.99,24.50,353000
KOSM,25-Jun-2014,24.00,25.49,24.00,24.65,449000
KOSM,26-Jun-2014,25.25,25.40,24.51,25.40,475500
KOSM,27-Jun-2014,25.02,25.60,24.90,25.35,257000
KOSM,30-Jun-2014,25.00,25.29,24.50,24.99,105500
KOSM,01-Jul-2014,24.90,25.85,24.25,25.36,207000
KOSM,02-Jul-2014,25.50,25.60,25.11,25.31,111000
KOSM,03-Jul-2014,25.01,25.25,24.25,25.00,103000
KOSM,04-Jul-2014,25.10,25.50,24.35,24.42,56000
KOSM,07-Jul-2014,24.75,24.75,23.90,23.98,121500
KOSM,08-Jul-2014,24.00,24.00,23.80,23.80,52000
KOSM,09-Jul-2014,23.65,24.15,23.25,23.81,93000
KOSM,10-Jul-2014,24.30,24.30,24.00,24.10,52500
KOSM,11-Jul-2014,23.99,23.99,22.90,22.90,64000
KOSM,14-Jul-2014,23.50,23.50,22.33,22.41,86500
KOSM,15-Jul-2014,22.80,22.80,21.29,21.29,90500
KOSM,16-Jul-2014,20.90,21.59,20.23,20.67,187000
KOSM,17-Jul-2014,21.25,21.25,20.00,20.44,25000
KOSM,18-Jul-2014,21.00,21.46,20.50,21.00,57000
KOSM,21-Jul-2014,21.50,21.88,21.00,21.00,38500
KOSM,22-Jul-2014,21.85,21.85,20.30,20.62,37500
KOSM,23-Jul-2014,21.18,21.40,20.50,21.06,78000
KOSM,24-Jul-2014,21.00,21.35,20.75,20.75,39500
KOSM,28-Jul-2014,21.00,21.78,20.65,21.60,46500
KOSM,04-Aug-2014,22.20,22.58,21.30,22.24,391000
KOSM,05-Aug-2014,22.50,22.50,21.55,21.99,84500
KOSM,06-Aug-2014,22.00,22.00,21.45,21.98,28000
KOSM,07-Aug-2014,22.00,22.70,21.20,22.45,377500
KOSM,08-Aug-2014,22.48,22.49,21.33,21.58,129000
KOSM,11-Aug-2014,21.00,21.45,20.70,20.70,7500
KOSM,12-Aug-2014,21.44,21.44,21.00,21.00,15500
KOSM,13-Aug-2014,20.99,20.99,20.99,20.99,100500
KOSM,18-Aug-2014,21.80,21.80,21.00,21.00,1000
KOSM,19-Aug-2014,20.95,20.95,20.95,20.95,101000
KOSM,20-Aug-2014,21.99,21.99,20.99,20.99,1500
KOSM,21-Aug-2014,21.89,21.89,21.00,21.00,81500
KOSM,22-Aug-2014,20.50,21.90,20.50,21.90,6500
KOSM,25-Aug-2014,21.40,22.20,20.91,21.29,35500
KOSM,26-Aug-2014,21.00,22.30,21.00,22.05,26000
KOSM,27-Aug-2014,22.00,22.00,22.00,22.00,1500
KOSM,28-Aug-2014,21.00,21.88,21.00,21.49,8500
KOSM,29-Aug-2014,21.98,22.25,21.02,22.00,14000
KOSM,01-Sep-2014,22.25,22.25,22.25,22.25,11500
KOSM,02-Sep-2014,21.75,22.00,21.16,21.29,16000
KOSM,03-Sep-2014,22.20,22.25,21.15,21.98,19000
KOSM,04-Sep-2014,22.15,22.15,20.89,21.57,8000
KOSM,05-Sep-2014,21.99,21.99,20.61,21.79,2500
KOSM,08-Sep-2014,21.70,21.95,21.70,21.76,24000
KOSM,09-Sep-2014,21.15,21.70,21.15,21.70,13500
KOSM,10-Sep-2014,21.65,21.68,21.64,21.68,33000
KOSM,11-Sep-2014,21.25,21.55,21.00,21.48,64000
KOSM,12-Sep-2014,22.00,22.25,20.50,21.97,353000
KOSM,15-Sep-2014,21.01,22.10,21.00,21.62,80000
KOSM,16-Sep-2014,21.50,21.99,21.30,21.99,477500
KOSM,17-Sep-2014,21.99,22.00,21.99,21.99,6500
KOSM,18-Sep-2014,22.00,22.75,22.00,22.40,41000
KOSM,19-Sep-2014,22.60,23.52,22.05,23.26,222500
KOSM,22-Sep-2014,24.20,24.42,22.70,23.95,163500
KOSM,23-Sep-2014,23.52,24.40,23.25,23.78,174500
KOSM,24-Sep-2014,24.18,24.26,23.75,23.77,196500
KOSM,25-Sep-2014,24.15,24.95,23.25,23.76,147000
KOSM,26-Sep-2014,23.90,24.90,23.50,24.40,674000
KOSM,29-Sep-2014,24.10,25.00,24.00,24.72,677000
KOSM,30-Sep-2014,24.25,25.30,24.00,24.13,96500
KOSM,01-Oct-2014,24.50,24.79,24.01,24.52,204500
KOSM,02-Oct-2014,24.99,25.70,24.50,25.64,253000
KOSM,03-Oct-2014,26.01,26.15,24.76,25.03,133000
KOSM,09-Oct-2014,25.16,25.65,24.51,25.40,45000
KOSM,10-Oct-2014,25.00,25.00,24.13,24.25,217000
KOSM,13-Oct-2014,24.01,25.00,24.00,24.06,68500
KOSM,14-Oct-2014,24.44,24.90,23.26,23.69,168000
KOSM,15-Oct-2014,23.25,24.10,23.00,23.99,104000
KOSM,16-Oct-2014,24.40,24.40,22.86,23.52,122500
KOSM,17-Oct-2014,23.74,23.94,23.00,23.10,248500
KOSM,20-Oct-2014,22.94,23.65,22.50,22.95,106500
KOSM,21-Oct-2014,22.99,23.05,22.99,23.05,16500
KOSM,23-Oct-2014,22.25,23.00,22.25,22.74,187500
KOSM,24-Oct-2014,22.99,23.61,22.00,22.41,160000
KOSM,27-Oct-2014,23.35,23.45,23.00,23.45,34000
KOSM,28-Oct-2014,23.50,24.00,23.50,24.00,97000
KOSM,29-Oct-2014,24.30,24.30,23.30,23.44,74000
KOSM,30-Oct-2014,23.64,23.95,23.64,23.77,55500
KOSM,31-Oct-2014,23.00,23.95,23.00,23.95,27500
KOSM,05-Nov-2014,23.99,24.00,23.12,23.74,56500
KOSM,06-Nov-2014,23.80,23.82,23.70,23.80,102500
KOSM,07-Nov-2014,23.75,24.75,23.75,24.33,2181500
KOSM,10-Nov-2014,24.00,24.74,24.00,24.74,411500
KOSM,11-Nov-2014,24.50,24.60,24.00,24.00,111500
KOSM,12-Nov-2014,24.34,24.58,23.50,23.59,116000
KOSM,13-Nov-2014,23.94,24.09,23.94,24.09,107000
KOSM,14-Nov-2014,24.19,24.40,23.19,24.40,67000
KOSM,17-Nov-2014,24.39,24.75,23.31,24.50,107000
KOSM,18-Nov-2014,24.69,24.90,23.51,24.25,44500
KOSM,19-Nov-2014,23.50,23.94,23.07,23.94,83000
KOSM,20-Nov-2014,23.25,23.78,22.80,22.80,18500
KOSM,21-Nov-2014,23.24,23.94,23.00,23.70,106500
KOSM,24-Nov-2014,23.45,24.87,23.45,23.77,129500
KOSM,25-Nov-2014,24.44,24.44,23.51,23.89,19500
KOSM,26-Nov-2014,23.36,24.06,23.36,24.05,27500
KOSM,27-Nov-2014,24.25,24.25,23.60,23.84,38000
KOSM,28-Nov-2014,24.40,25.03,24.00,24.39,42500
KOSM,01-Dec-2014,24.99,25.00,24.00,24.43,131000
KOSM,02-Dec-2014,24.40,24.65,23.21,23.48,41000
KOSM,03-Dec-2014,23.25,24.00,22.31,22.58,61000
KOSM,04-Dec-2014,22.19,23.00,22.19,23.00,12500
KOSM,05-Dec-2014,23.48,23.48,23.48,23.48,7500
KOSM,08-Dec-2014,23.39,23.95,23.39,23.95,27000
KOSM,09-Dec-2014,23.99,23.99,23.50,23.84,5000
KOSM,10-Dec-2014,23.95,23.96,23.95,23.95,14500
KOSM,11-Dec-2014,23.84,23.84,23.00,23.80,40000
KOSM,12-Dec-2014,24.24,24.25,23.25,24.25,54500
KOSM,16-Dec-2014,23.15,24.20,23.15,24.20,73000
