Symbol,Date,Open,High,Low,Close,Volume
KPUS,13-Jan-2014,8.00,9.00,8.00,9.00,1500
KPUS,16-Oct-2014,12.53,12.53,12.53,12.53,500
KPUS,17-Oct-2014,13.53,13.53,13.53,13.53,500
KPUS,20-Oct-2014,14.53,14.53,14.53,14.53,500
KPUS,21-Oct-2014,15.53,15.53,15.53,15.53,500
KPUS,22-Oct-2014,16.53,16.53,16.53,16.53,500
KPUS,23-Oct-2014,17.53,17.53,17.53,17.53,500
KPUS,24-Oct-2014,18.53,18.53,18.53,18.53,500
KPUS,27-Oct-2014,19.53,19.53,19.53,19.53,500
KPUS,28-Oct-2014,20.53,20.53,20.53,20.53,500
KPUS,29-Oct-2014,21.55,21.55,21.55,21.55,500
KPUS,30-Oct-2014,22.62,22.62,22.62,22.62,500
KPUS,31-Oct-2014,23.75,23.75,23.75,23.75,500
KPUS,05-Nov-2014,24.93,24.93,24.93,24.93,1000
KPUS,10-Nov-2014,24.93,24.93,24.93,24.93,500
KPUS,22-Dec-2014,20.76,20.76,20.76,20.76,1500
KPUS,02-Jan-2015,21.74,21.75,21.74,21.75,1000
KPUS,26-Feb-2015,20.18,20.18,20.18,20.18,1000
KPUS,31-Mar-2015,17.59,18.50,17.59,18.50,2000
KPUS,26-May-2015,19.00,19.50,19.00,19.38,6000
KPUS,01-Jul-2015,19.99,19.99,19.99,19.99,500
KPUS,03-Jul-2015,19.50,19.99,19.50,19.62,2000
KPUS,06-Jul-2015,19.65,19.65,19.35,19.35,2000
KPUS,07-Jul-2015,20.30,20.35,20.30,20.35,3500
KPUS,09-Jul-2015,21.36,21.36,21.36,21.36,1000
KPUS,10-Jul-2015,22.42,22.42,22.42,22.42,500
KPUS,13-Jul-2015,23.54,23.54,23.54,23.54,500
KPUS,16-Jul-2015,23.70,23.70,23.70,23.70,1000
KPUS,22-Jul-2015,24.00,24.88,24.00,24.88,4500
KPUS,23-Jul-2015,25.75,26.12,25.75,26.12,6500
KPUS,24-Jul-2015,27.42,27.42,27.42,27.42,3000
KPUS,27-Jul-2015,28.79,28.79,28.78,28.79,6000
KPUS,28-Jul-2015,29.90,30.22,29.70,30.00,5500
KPUS,29-Jul-2015,31.50,31.50,31.50,31.50,5500
KPUS,30-Jul-2015,33.00,33.07,33.00,33.07,5500
KPUS,31-Jul-2015,34.72,34.72,34.65,34.65,2500
KPUS,03-Aug-2015,35.45,36.38,35.45,36.38,6500
KPUS,04-Aug-2015,37.97,38.19,35.00,37.94,24500
KPUS,05-Aug-2015,38.00,39.49,38.00,38.75,3500
KPUS,06-Aug-2015,37.00,38.50,37.00,38.50,1000
KPUS,07-Aug-2015,39.59,39.65,39.39,39.65,3000
KPUS,10-Aug-2015,41.59,41.60,41.59,41.60,2000
KPUS,11-Aug-2015,41.60,41.60,41.60,41.60,1500
KPUS,13-Aug-2015,39.52,39.52,39.52,39.52,1000
KPUS,18-Aug-2015,37.55,37.55,37.55,37.55,500
KPUS,21-Aug-2015,39.42,39.42,39.42,39.42,500
KPUS,27-Aug-2015,37.45,37.45,37.45,37.45,500
KPUS,04-Apr-2016,15.00,15.00,15.00,15.00,500
KPUS,07-Apr-2016,14.00,14.00,14.00,14.00,500
KPUS,12-Apr-2016,13.10,13.10,13.10,13.10,6000
KPUS,18-Apr-2016,12.10,12.10,12.10,12.10,1000
KPUS,25-Apr-2016,13.00,13.00,13.00,13.00,500
KPUS,26-Apr-2016,14.00,14.00,14.00,14.00,500
KPUS,27-Apr-2016,15.00,15.00,15.00,15.00,500
KPUS,28-Apr-2016,16.00,16.00,16.00,16.00,2000
KPUS,29-Apr-2016,17.00,17.00,17.00,17.00,500
KPUS,02-May-2016,18.00,18.00,18.00,18.00,500
KPUS,03-May-2016,19.00,19.00,19.00,19.00,500
KPUS,04-May-2016,20.00,20.00,20.00,20.00,500
KPUS,05-May-2016,21.00,21.00,21.00,21.00,500
KPUS,06-May-2016,22.05,22.05,22.05,22.05,500
KPUS,09-May-2016,23.15,23.15,23.15,23.15,1500
KPUS,10-May-2016,24.29,24.30,24.29,24.30,1500
