Symbol,Date,Open,High,Low,Close,Volume
KSE-MI30,01-Jan-2014,42487.90,43278.54,42487.90,43235.29,113097400
KSE-MI30,02-Jan-2014,43419.40,43808.77,43386.80,43785.78,108859500
KSE-MI30,03-Jan-2014,43846.80,44011.94,43766.02,43881.42,77942000
KSE-MI30,06-Jan-2014,43980.80,44251.90,43890.30,44009.46,85976000
KSE-MI30,07-Jan-2014,44107.10,44254.98,43748.67,44167.38,119293400
KSE-MI30,08-Jan-2014,44236.20,44461.71,44209.90,44303.19,113303800
KSE-MI30,09-Jan-2014,44451.40,44622.01,44134.59,44264.86,137312700
KSE-MI30,10-Jan-2014,44330.40,44377.64,44038.36,44202.36,66670500
KSE-MI30,13-Jan-2014,44232.80,44412.99,44188.60,44338.81,66751200
KSE-MI30,15-Jan-2014,44500.80,44689.53,44472.13,44472.13,72416700
KSE-MI30,16-Jan-2014,44573.00,44770.64,44314.07,44482.29,89113100
KSE-MI30,17-Jan-2014,44577.50,44719.62,44467.50,44546.32,99712300
KSE-MI30,20-Jan-2014,44701.60,44818.61,44358.58,44684.85,92348500
KSE-MI30,21-Jan-2014,44804.20,44987.92,44762.00,44912.59,73149400
KSE-MI30,22-Jan-2014,44933.60,45117.48,44600.66,44666.37,112876500
KSE-MI30,23-Jan-2014,44722.20,44999.78,44697.40,44776.80,143091800
KSE-MI30,24-Jan-2014,44755.90,44867.08,44444.71,44716.71,92766600
KSE-MI30,27-Jan-2014,44714.30,44807.18,43927.09,44029.61,71222600
KSE-MI30,28-Jan-2014,44086.20,44212.94,43800.47,43857.64,49613000
KSE-MI30,29-Jan-2014,43936.70,43981.21,43514.21,43730.82,60688200
KSE-MI30,30-Jan-2014,43730.80,43832.96,43539.33,43710.26,47837900
KSE-MI30,31-Jan-2014,43784.00,44251.04,43726.90,44186.56,112996400
KSE-MI30,03-Feb-2014,44296.60,44635.13,44296.60,44563.84,83181300
KSE-MI30,04-Feb-2014,44588.50,44606.63,44160.65,44258.64,55532100
KSE-MI30,06-Feb-2014,44362.20,44544.33,44251.37,44399.13,52646000
KSE-MI30,07-Feb-2014,44421.70,44511.52,44032.96,44090.97,55694400
KSE-MI30,10-Feb-2014,44212.70,44255.07,43211.47,43473.85,67821700
KSE-MI30,11-Feb-2014,43545.90,43674.01,43309.94,43439.86,54588700
KSE-MI30,12-Feb-2014,43606.00,44176.85,43596.70,44121.83,68629000
KSE-MI30,13-Feb-2014,44179.20,44353.77,43740.97,43815.50,48245300
KSE-MI30,14-Feb-2014,43793.90,43874.23,43465.45,43496.31,31982600
KSE-MI30,17-Feb-2014,43520.00,43609.43,42955.41,43094.55,36812500
KSE-MI30,18-Feb-2014,43069.80,43264.41,42415.04,42887.69,70717400
KSE-MI30,19-Feb-2014,42881.00,43022.00,42389.24,42434.56,50982600
KSE-MI30,20-Feb-2014,42438.00,42506.77,41959.65,42094.15,43030100
KSE-MI30,21-Feb-2014,42064.50,42454.92,41827.38,42297.43,80190500
KSE-MI30,24-Feb-2014,42446.10,42830.50,42446.10,42590.28,92471000
KSE-MI30,25-Feb-2014,42658.90,42694.10,42465.44,42502.08,52853600
KSE-MI30,26-Feb-2014,42497.30,42702.57,42361.83,42388.30,38545500
KSE-MI30,27-Feb-2014,42436.00,42569.29,42123.46,42311.50,30546900
KSE-MI30,28-Feb-2014,42335.90,43020.99,42295.63,42886.67,66146500
KSE-MI30,03-Mar-2014,43206.50,43411.22,43025.30,43096.14,70596600
KSE-MI30,04-Mar-2014,43156.50,43939.89,42980.43,43924.48,116737900
KSE-MI30,05-Mar-2014,44030.10,44695.81,43877.41,44570.43,109992100
KSE-MI30,06-Mar-2014,44689.30,45089.56,44689.30,44967.32,95744900
KSE-MI30,07-Mar-2014,44986.00,45124.70,44758.96,44903.73,80336000
KSE-MI30,10-Mar-2014,44995.20,45701.06,44885.37,45599.06,89486300
KSE-MI30,11-Mar-2014,45813.60,45888.79,45617.60,45730.45,106509100
KSE-MI30,12-Mar-2014,45777.70,45931.71,45254.85,45343.48,121744900
KSE-MI30,13-Mar-2014,45444.80,45568.76,45264.70,45392.73,100229800
KSE-MI30,14-Mar-2014,45473.10,45722.92,45411.30,45588.55,66004700
KSE-MI30,17-Mar-2014,45739.90,45851.71,45538.42,45587.15,55413100
KSE-MI30,18-Mar-2014,45659.70,45922.50,45616.10,45654.81,41272300
KSE-MI30,19-Mar-2014,45679.99,45823.29,45384.39,45475.96,55741400
KSE-MI30,20-Mar-2014,45547.35,45656.48,45063.78,45210.36,74956200
KSE-MI30,21-Mar-2014,45242.45,45299.15,44464.68,44606.35,50632900
KSE-MI30,24-Mar-2014,44467.00,44467.00,43948.55,44016.53,36428200
KSE-MI30,25-Mar-2014,44124.30,44530.90,44124.30,44420.77,34878100
KSE-MI30,26-Mar-2014,44504.90,44794.01,44486.90,44647.50,35415600
KSE-MI30,27-Mar-2014,44696.60,44995.60,44696.60,44902.84,53435500
KSE-MI30,28-Mar-2014,44962.40,45021.72,44435.27,44488.95,46162200
KSE-MI30,31-Mar-2014,44519.10,44750.04,44416.85,44607.78,45995200
KSE-MI30,01-Apr-2014,44723.40,45412.25,44723.40,45368.34,82099400
KSE-MI30,02-Apr-2014,45550.40,45980.28,45550.40,45918.69,103366500
KSE-MI30,03-Apr-2014,46045.90,46655.28,46045.90,46594.97,161571500
KSE-MI30,04-Apr-2014,46808.40,46859.00,46450.49,46569.72,188440400
KSE-MI30,07-Apr-2014,46641.10,46687.32,46313.05,46529.81,87084500
KSE-MI30,08-Apr-2014,46529.81,46733.74,46426.40,46552.59,97616700
KSE-MI30,09-Apr-2014,46526.20,47002.97,46370.67,46949.79,109050700
KSE-MI30,10-Apr-2014,47125.50,47449.36,47067.70,47316.66,124710700
KSE-MI30,11-Apr-2014,47412.60,47612.24,46931.23,47226.00,86887200
KSE-MI30,14-Apr-2014,47294.80,47434.89,46984.80,47046.31,95323000
KSE-MI30,15-Apr-2014,47109.10,47132.96,46655.92,46795.04,118247300
KSE-MI30,16-Apr-2014,46842.30,47248.93,46795.04,47050.95,87233900
KSE-MI30,17-Apr-2014,47159.90,47338.00,46464.13,46701.96,174983400
KSE-MI30,18-Apr-2014,46833.80,47094.96,46315.71,46407.18,79938400
KSE-MI30,21-Apr-2014,46436.20,46471.58,45929.74,46016.18,53726800
KSE-MI30,22-Apr-2014,46153.90,46454.59,46153.90,46357.46,71571400
KSE-MI30,23-Apr-2014,46443.40,46630.18,45468.96,45741.53,96596700
KSE-MI30,24-Apr-2014,45764.60,45943.76,45443.47,45705.44,68721700
KSE-MI30,25-Apr-2014,45817.00,45981.13,45551.25,45911.21,66915900
KSE-MI30,28-Apr-2014,46049.10,46074.98,45746.78,45774.26,59911900
KSE-MI30,29-Apr-2014,45874.50,45898.63,45129.60,45408.84,67409400
KSE-MI30,30-Apr-2014,45472.40,46160.58,45446.40,46095.26,118548500
KSE-MI30,02-May-2014,46165.90,46476.73,45990.10,46019.82,65136800
KSE-MI30,05-May-2014,46033.70,46122.66,45464.59,45529.91,52522800
KSE-MI30,06-May-2014,45547.35,45574.78,45133.29,45219.01,31273400
KSE-MI30,07-May-2014,45243.76,45503.56,45123.35,45186.74,44610100
KSE-MI30,08-May-2014,45249.80,45542.85,45174.47,45505.43,36826000
KSE-MI30,09-May-2014,45618.10,45796.31,45417.68,45487.58,27056600
KSE-MI30,12-May-2014,45610.32,45749.52,45121.74,45153.69,21234000
KSE-MI30,13-May-2014,45189.63,45414.32,45110.75,45299.28,34504100
KSE-MI30,14-May-2014,45348.92,45660.90,45331.53,45383.19,21550000
KSE-MI30,15-May-2014,45581.04,46080.33,45551.76,45878.36,120912300
KSE-MI30,16-May-2014,46032.62,46208.51,45841.70,45920.10,58793100
KSE-MI30,19-May-2014,45960.75,46138.85,45746.26,46101.45,35894200
KSE-MI30,20-May-2014,46119.73,46214.83,45800.16,45819.24,47372200
KSE-MI30,21-May-2014,45821.37,46073.48,45665.35,45731.26,134307900
KSE-MI30,22-May-2014,45776.40,46026.55,45608.81,45646.05,65731000
