Symbol,Date,Open,High,Low,Close,Volume
KSE-MIALL,18-Nov-2015,15791.68,15867.16,15748.16,15759.05,53069480
KSE-MIALL,19-Nov-2015,15786.38,15810.75,15738.19,15752.41,37070600
KSE-MIALL,20-Nov-2015,15765.82,15791.74,15707.90,15715.49,37508300
KSE-MIALL,23-Nov-2015,15730.18,15754.78,15683.08,15692.46,45173470
KSE-MIALL,24-Nov-2015,15709.90,15769.59,15613.87,15614.69,67557170
KSE-MIALL,25-Nov-2015,15634.02,15637.73,15373.16,15420.97,63393910
KSE-MIALL,26-Nov-2015,15449.58,15521.34,15369.34,15381.33,52745170
KSE-MIALL,27-Nov-2015,15379.61,15390.31,15220.27,15278.61,50978890
KSE-MIALL,30-Nov-2015,15294.25,15305.59,14979.81,15009.80,57840110
KSE-MIALL,01-Dec-2015,15007.99,15091.40,14691.83,14723.64,78401140
KSE-MIALL,02-Dec-2015,14747.27,15038.52,14685.59,15026.57,62502110
KSE-MIALL,03-Dec-2015,15031.62,15127.68,14975.16,15096.91,49512250
KSE-MIALL,04-Dec-2015,15127.75,15234.15,15118.23,15198.81,54124850
KSE-MIALL,07-Dec-2015,15233.81,15380.25,15203.20,15311.86,66938570
KSE-MIALL,08-Dec-2015,15302.88,15413.02,15269.09,15291.30,80974060
KSE-MIALL,09-Dec-2015,15305.03,15436.58,15305.03,15399.19,64510240
KSE-MIALL,10-Dec-2015,15426.95,15496.29,15426.95,15446.75,69278050
KSE-MIALL,11-Dec-2015,15464.23,15474.96,15380.56,15395.69,42110250
KSE-MIALL,14-Dec-2015,15390.78,15390.78,15118.30,15239.12,43111520
KSE-MIALL,15-Dec-2015,15284.57,15364.49,15125.20,15175.97,54148130
KSE-MIALL,16-Dec-2015,15225.44,15315.38,15225.44,15296.99,63020780
KSE-MIALL,17-Dec-2015,15320.00,15502.81,15320.00,15453.86,59981350
KSE-MIALL,18-Dec-2015,15474.49,15501.82,15378.48,15392.66,40035810
KSE-MIALL,21-Dec-2015,15393.66,15406.34,15329.81,15389.82,30757750
KSE-MIALL,22-Dec-2015,15445.21,15484.94,15382.67,15390.64,32268160
KSE-MIALL,23-Dec-2015,15402.35,15442.56,15315.05,15323.91,39971680
KSE-MIALL,28-Dec-2015,15357.47,15448.52,15357.47,15392.08,47519340
KSE-MIALL,29-Dec-2015,15424.25,15527.41,15424.25,15448.28,57396960
KSE-MIALL,30-Dec-2015,15486.29,15506.03,15432.93,15475.04,35480260
KSE-MIALL,31-Dec-2015,15481.13,15486.77,15421.09,15472.83,47493410
KSE-MIALL,01-Jan-2016,15483.28,15681.09,15473.86,15661.09,60944700
KSE-MIALL,04-Jan-2016,15673.95,15693.18,15567.48,15593.68,59563690
KSE-MIALL,05-Jan-2016,15503.50,15611.02,15355.92,15581.17,67984470
KSE-MIALL,06-Jan-2016,15600.97,15693.58,15576.17,15621.43,49387680
KSE-MIALL,07-Jan-2016,15583.40,15646.28,15517.14,15526.49,55820760
KSE-MIALL,08-Jan-2016,15546.50,15573.90,15450.44,15460.36,38567340
KSE-MIALL,11-Jan-2016,15460.95,15469.14,15367.43,15382.40,34618790
KSE-MIALL,12-Jan-2016,15368.12,15382.61,15248.33,15331.70,50719400
KSE-MIALL,13-Jan-2016,15352.73,15440.30,15266.23,15299.27,42896720
KSE-MIALL,14-Jan-2016,15264.19,15264.19,14912.97,14921.49,82670100
KSE-MIALL,15-Jan-2016,14926.57,15020.58,14656.57,14720.27,55486090
KSE-MIALL,18-Jan-2016,14631.23,14631.23,14187.13,14550.61,88265570
KSE-MIALL,19-Jan-2016,14566.97,14844.89,14535.55,14830.23,65924720
KSE-MIALL,20-Jan-2016,14769.31,14769.31,14664.38,14695.36,53890570
KSE-MIALL,21-Jan-2016,14717.41,14843.56,14681.84,14709.46,67741900
KSE-MIALL,22-Jan-2016,14782.84,14850.71,14770.00,14830.81,43251920
KSE-MIALL,25-Jan-2016,14906.32,14976.67,14818.23,14861.59,42432310
KSE-MIALL,26-Jan-2016,14811.37,14904.11,14773.23,14876.56,46462540
KSE-MIALL,27-Jan-2016,14941.61,15020.32,14845.36,14862.86,48129530
KSE-MIALL,28-Jan-2016,14917.65,14946.91,14856.26,14938.05,36823000
KSE-MIALL,29-Jan-2016,14975.71,15065.37,14975.71,14996.59,73505330
KSE-MIALL,01-Feb-2016,15004.26,15157.24,14980.42,15145.88,52885300
KSE-MIALL,02-Feb-2016,15133.77,15195.19,15115.17,15135.04,61032510
KSE-MIALL,03-Feb-2016,15114.54,15198.97,15083.40,15168.42,60099750
KSE-MIALL,04-Feb-2016,15248.18,15383.88,15248.18,15374.61,61361800
KSE-MIALL,08-Feb-2016,15372.90,15498.03,15356.81,15429.95,56028370
KSE-MIALL,09-Feb-2016,15431.56,15431.56,15308.75,15313.59,50451850
KSE-MIALL,10-Feb-2016,15288.60,15342.83,15177.59,15191.37,64169820
KSE-MIALL,11-Feb-2016,15183.14,15232.52,14995.24,15018.61,41631590
KSE-MIALL,12-Feb-2016,15040.02,15079.75,14836.77,14868.30,47969610
KSE-MIALL,15-Feb-2016,14950.01,15077.34,14950.01,15038.73,33098500
KSE-MIALL,16-Feb-2016,15097.56,15120.12,14886.54,14905.81,63236390
KSE-MIALL,17-Feb-2016,14907.96,14907.96,14744.65,14827.52,37197240
KSE-MIALL,18-Feb-2016,14891.98,14924.40,14661.56,14689.20,40369880
KSE-MIALL,19-Feb-2016,14665.37,14667.38,14519.16,14526.28,37316970
