Symbol,Date,Open,High,Low,Close,Volume
KTML,01-Jan-2014,30.25,30.39,29.40,30.08,2855000
KTML,02-Jan-2014,30.40,30.66,29.70,29.71,2467000
KTML,03-Jan-2014,29.80,30.10,28.64,29.24,269500
KTML,06-Jan-2014,29.31,29.59,28.45,28.55,336000
KTML,07-Jan-2014,28.74,29.97,28.00,29.93,1058500
KTML,08-Jan-2014,30.50,30.50,29.00,29.33,2119000
KTML,09-Jan-2014,29.10,29.70,28.00,28.31,3072000
KTML,10-Jan-2014,28.32,28.65,27.50,27.73,342000
KTML,13-Jan-2014,27.80,28.45,27.80,28.10,303500
KTML,15-Jan-2014,28.50,28.50,27.50,27.70,205000
KTML,16-Jan-2014,28.35,28.35,27.46,27.53,168000
KTML,17-Jan-2014,27.55,28.90,26.62,28.26,1654000
KTML,20-Jan-2014,28.75,28.90,28.30,28.61,798000
KTML,21-Jan-2014,28.90,29.70,28.75,29.49,1526000
KTML,22-Jan-2014,29.99,29.99,29.11,29.36,495000
KTML,23-Jan-2014,29.60,30.15,29.00,29.26,1579500
KTML,24-Jan-2014,29.25,29.50,28.75,28.90,1273000
KTML,27-Jan-2014,29.49,29.49,27.46,27.61,814500
KTML,28-Jan-2014,27.60,28.50,27.60,28.26,454500
KTML,29-Jan-2014,28.50,28.98,28.26,28.77,765500
KTML,30-Jan-2014,29.16,29.95,29.01,29.68,1514000
KTML,31-Jan-2014,29.80,30.25,29.50,29.55,1937000
KTML,03-Feb-2014,30.10,30.50,29.57,29.71,1636500
KTML,04-Feb-2014,29.60,29.90,28.70,28.85,421000
KTML,06-Feb-2014,29.05,29.35,28.31,28.48,566000
KTML,07-Feb-2014,28.60,28.79,27.51,27.54,774500
KTML,10-Feb-2014,27.75,27.75,26.17,26.79,1487500
KTML,11-Feb-2014,26.95,27.00,26.10,26.72,844500
KTML,12-Feb-2014,27.10,28.05,27.10,28.05,1783500
KTML,13-Feb-2014,28.40,29.00,27.85,28.05,1224000
KTML,14-Feb-2014,27.62,28.20,26.99,27.01,420000
KTML,17-Feb-2014,26.51,26.99,26.15,26.36,387000
KTML,18-Feb-2014,26.74,27.67,25.90,27.67,1183500
KTML,19-Feb-2014,27.81,29.04,27.70,27.95,892500
KTML,20-Feb-2014,27.52,28.10,27.00,27.04,208500
KTML,21-Feb-2014,27.50,27.81,26.95,27.64,707000
KTML,24-Feb-2014,28.18,28.65,27.40,28.51,634000
KTML,25-Feb-2014,27.78,28.70,27.75,27.92,758000
KTML,26-Feb-2014,27.66,27.66,26.75,26.89,347500
KTML,27-Feb-2014,27.10,27.35,26.70,27.01,472000
KTML,28-Feb-2014,27.00,28.10,27.00,27.90,377500
KTML,03-Mar-2014,28.49,29.29,28.00,28.83,1436500
KTML,04-Mar-2014,28.50,29.55,28.50,29.17,1470000
KTML,05-Mar-2014,29.39,29.39,28.55,28.74,194000
KTML,06-Mar-2014,29.00,30.17,28.85,30.04,4805500
KTML,07-Mar-2014,30.25,30.70,29.30,29.42,5304500
KTML,10-Mar-2014,30.00,30.00,29.00,29.17,759500
KTML,11-Mar-2014,28.89,29.50,28.75,29.02,1482000
KTML,12-Mar-2014,29.00,29.00,28.14,28.28,1188500
KTML,13-Mar-2014,28.50,29.10,27.40,28.03,5642500
KTML,14-Mar-2014,28.75,29.43,28.00,28.44,3575000
KTML,17-Mar-2014,28.90,29.00,27.83,28.03,1313500
KTML,18-Mar-2014,28.00,28.10,27.22,27.45,678500
KTML,19-Mar-2014,27.25,27.80,27.00,27.50,623500
KTML,20-Mar-2014,27.65,28.20,27.01,27.11,698000
KTML,21-Mar-2014,27.36,27.36,26.53,27.01,589500
KTML,24-Mar-2014,27.15,27.20,26.30,26.49,80000
KTML,25-Mar-2014,27.00,27.00,26.60,26.98,146500
KTML,26-Mar-2014,27.20,27.60,27.00,27.27,216000
KTML,27-Mar-2014,27.60,27.60,26.80,26.89,64500
KTML,28-Mar-2014,27.00,27.00,26.05,26.12,190000
KTML,31-Mar-2014,26.70,26.70,25.57,25.63,191500
KTML,01-Apr-2014,25.95,26.50,25.90,26.03,271500
KTML,02-Apr-2014,26.40,26.74,26.00,26.27,499000
KTML,03-Apr-2014,26.49,26.50,26.03,26.24,763000
KTML,04-Apr-2014,26.10,26.10,25.11,25.50,617500
KTML,07-Apr-2014,25.52,25.70,25.40,25.43,101500
KTML,08-Apr-2014,25.43,25.80,25.00,25.32,909000
KTML,09-Apr-2014,25.21,25.35,25.00,25.04,558000
KTML,10-Apr-2014,25.20,25.40,24.70,24.82,324000
KTML,11-Apr-2014,25.00,25.00,24.05,24.20,223000
KTML,14-Apr-2014,24.05,24.05,23.40,23.47,324000
KTML,15-Apr-2014,23.89,24.10,23.40,23.97,718500
KTML,16-Apr-2014,24.15,24.50,23.85,24.06,164000
KTML,17-Apr-2014,23.76,24.24,23.60,23.64,197500
KTML,18-Apr-2014,24.20,24.82,24.20,24.80,933000
KTML,21-Apr-2014,24.60,24.70,24.10,24.22,182500
KTML,22-Apr-2014,24.65,25.43,24.50,25.43,536000
KTML,23-Apr-2014,25.40,26.70,24.90,24.94,408500
KTML,24-Apr-2014,25.00,25.25,24.90,25.01,111500
KTML,25-Apr-2014,24.94,25.39,24.85,25.00,156000
KTML,28-Apr-2014,24.90,25.00,24.38,24.45,268000
KTML,29-Apr-2014,24.88,25.00,24.34,24.86,311000
KTML,30-Apr-2014,24.55,26.09,24.55,25.76,305500
KTML,02-May-2014,25.25,26.99,25.25,26.67,486500
KTML,05-May-2014,26.56,26.80,25.35,25.43,246500
KTML,06-May-2014,25.51,25.51,24.16,24.22,933000
KTML,07-May-2014,23.60,24.50,23.01,23.25,454500
KTML,08-May-2014,23.25,23.74,22.81,23.04,363000
KTML,09-May-2014,23.10,23.50,23.01,23.45,87500
KTML,12-May-2014,23.49,23.75,23.40,23.51,129500
KTML,13-May-2014,23.26,23.74,23.26,23.50,81000
KTML,14-May-2014,23.94,24.35,23.90,23.99,199500
KTML,15-May-2014,24.00,24.65,24.00,24.30,198500
KTML,16-May-2014,25.25,25.50,24.37,25.49,534000
KTML,19-May-2014,25.50,25.50,24.85,25.17,169000
KTML,20-May-2014,25.25,25.25,24.60,24.65,113500
KTML,21-May-2014,24.60,24.80,24.50,24.50,117500
KTML,22-May-2014,24.80,24.89,24.45,24.45,31500
KTML,23-May-2014,24.27,24.40,24.08,24.40,12500
KTML,26-May-2014,24.45,25.25,24.45,25.00,97500
KTML,27-May-2014,25.10,25.35,24.80,24.81,161500
KTML,28-May-2014,24.90,24.90,24.50,24.63,141500
KTML,29-May-2014,24.75,25.05,24.75,25.00,185500
KTML,30-May-2014,25.20,25.25,24.83,24.97,101500
KTML,02-Jun-2014,25.20,25.75,25.02,25.32,306500
KTML,03-Jun-2014,25.70,25.85,24.41,25.64,267000
KTML,04-Jun-2014,26.84,26.92,26.15,26.64,775000
KTML,05-Jun-2014,26.60,26.91,25.80,25.89,208000
KTML,06-Jun-2014,25.75,25.75,24.60,25.39,116500
KTML,09-Jun-2014,24.75,25.25,24.65,24.94,77500
KTML,10-Jun-2014,25.40,25.40,24.71,25.05,63500
KTML,11-Jun-2014,25.96,25.96,24.85,24.96,35500
KTML,12-Jun-2014,25.00,26.15,24.76,25.50,282000
KTML,13-Jun-2014,25.50,25.50,24.80,25.02,793500
KTML,16-Jun-2014,24.99,25.00,24.70,24.74,715000
KTML,17-Jun-2014,24.74,24.80,23.90,23.94,119500
KTML,18-Jun-2014,24.65,24.65,23.62,23.74,72000
KTML,19-Jun-2014,24.00,24.00,23.00,23.09,79500
KTML,20-Jun-2014,23.05,23.45,23.00,23.32,44500
KTML,23-Jun-2014,23.20,24.00,23.00,23.99,108000
KTML,24-Jun-2014,24.00,24.14,23.75,24.00,102500
KTML,25-Jun-2014,23.75,23.98,23.30,23.50,176500
KTML,26-Jun-2014,23.50,23.90,23.50,23.54,87500
KTML,27-Jun-2014,23.88,23.90,23.10,23.69,163000
KTML,30-Jun-2014,23.80,24.00,23.70,23.74,36000
KTML,01-Jul-2014,24.00,24.00,23.70,23.88,4000
KTML,02-Jul-2014,24.20,24.65,24.00,24.20,5045000
KTML,03-Jul-2014,24.35,24.40,23.82,23.90,31500
KTML,04-Jul-2014,23.95,24.00,23.72,23.87,54000
KTML,07-Jul-2014,23.65,23.80,23.50,23.50,120000
KTML,08-Jul-2014,23.00,23.50,23.00,23.37,37500
KTML,09-Jul-2014,24.15,24.15,23.30,23.35,27500
KTML,10-Jul-2014,23.27,23.37,23.00,23.35,64500
KTML,11-Jul-2014,23.20,23.20,23.20,23.20,11000
KTML,14-Jul-2014,23.15,23.55,23.15,23.31,4500
KTML,15-Jul-2014,23.45,23.89,23.45,23.85,63000
KTML,16-Jul-2014,23.50,23.85,23.50,23.65,20000
KTML,17-Jul-2014,23.60,23.85,23.45,23.57,97000
KTML,18-Jul-2014,23.97,24.49,23.70,23.81,176000
KTML,21-Jul-2014,24.10,24.80,24.05,24.70,224000
KTML,22-Jul-2014,24.95,25.20,24.25,24.50,158500
KTML,23-Jul-2014,24.51,24.89,24.25,24.41,56000
KTML,24-Jul-2014,24.49,25.50,24.49,24.85,351500
KTML,28-Jul-2014,24.60,24.60,24.00,24.36,85000
KTML,04-Aug-2014,23.51,24.99,23.17,24.15,45500
KTML,05-Aug-2014,23.57,23.57,23.56,23.56,1000
KTML,06-Aug-2014,23.50,23.50,22.86,22.90,5500
KTML,07-Aug-2014,23.05,23.50,22.74,23.37,64000
KTML,08-Aug-2014,23.20,24.45,23.20,24.15,19500
KTML,11-Aug-2014,25.00,25.00,22.95,22.95,43500
KTML,12-Aug-2014,22.95,23.78,22.61,23.31,29500
KTML,13-Aug-2014,23.80,23.80,22.75,23.00,16500
KTML,15-Aug-2014,23.03,23.50,23.00,23.25,15000
KTML,18-Aug-2014,22.65,23.75,22.65,23.12,28000
KTML,19-Aug-2014,22.55,22.90,22.05,22.20,27000
KTML,20-Aug-2014,22.31,22.65,21.80,22.00,26500
KTML,21-Aug-2014,22.76,22.99,22.00,22.47,37500
KTML,22-Aug-2014,22.24,22.24,22.00,22.00,9500
KTML,25-Aug-2014,22.12,22.12,21.50,21.69,39000
KTML,26-Aug-2014,21.35,21.75,21.30,21.68,33500
KTML,27-Aug-2014,21.00,22.65,21.00,21.89,34000
KTML,28-Aug-2014,20.91,22.35,20.85,21.89,22500
KTML,29-Aug-2014,22.95,22.98,22.02,22.68,123000
KTML,01-Sep-2014,22.50,22.50,21.61,22.29,68500
KTML,02-Sep-2014,23.14,23.15,22.50,23.01,42500
KTML,03-Sep-2014,23.45,24.00,23.34,23.80,111000
KTML,04-Sep-2014,23.50,24.98,23.50,24.61,232000
KTML,05-Sep-2014,24.05,25.00,24.05,24.91,454000
KTML,08-Sep-2014,24.30,24.50,24.10,24.15,33500
KTML,09-Sep-2014,24.20,24.30,24.00,24.01,27000
KTML,10-Sep-2014,23.85,24.15,23.80,23.80,113500
KTML,11-Sep-2014,24.00,24.40,23.85,24.36,159500
KTML,12-Sep-2014,24.70,24.80,23.65,23.85,123500
KTML,15-Sep-2014,23.50,24.50,23.50,24.00,187500
KTML,16-Sep-2014,24.06,24.25,23.90,23.95,247000
KTML,17-Sep-2014,24.09,24.15,23.30,23.45,90000
KTML,18-Sep-2014,23.26,24.35,23.26,23.88,2975000
KTML,19-Sep-2014,23.90,24.25,23.35,23.86,797000
KTML,22-Sep-2014,23.66,23.75,23.55,23.60,458500
KTML,23-Sep-2014,23.56,23.75,23.25,23.30,1121000
KTML,24-Sep-2014,23.31,23.50,23.01,23.11,3518500
KTML,25-Sep-2014,23.29,23.40,23.00,23.29,285500
KTML,26-Sep-2014,23.38,23.84,23.12,23.40,897000
KTML,29-Sep-2014,23.60,23.60,23.02,23.10,226500
KTML,30-Sep-2014,23.05,23.24,23.05,23.19,12000
KTML,01-Oct-2014,23.21,23.60,23.16,23.47,227000
KTML,02-Oct-2014,23.21,23.80,23.01,23.69,259500
KTML,03-Oct-2014,23.90,24.50,23.65,24.37,4531000
KTML,09-Oct-2014,24.60,25.08,24.26,24.63,4223500
KTML,10-Oct-2014,24.85,24.99,24.40,24.77,1612500
KTML,13-Oct-2014,24.83,25.50,24.53,24.86,1832000
KTML,14-Oct-2014,24.99,25.20,24.50,24.56,1570000
KTML,15-Oct-2014,24.48,24.65,24.15,24.40,417500
KTML,16-Oct-2014,24.10,24.80,23.80,23.96,864000
KTML,17-Oct-2014,23.75,25.15,23.75,25.15,3177000
KTML,20-Oct-2014,25.60,26.10,25.25,25.65,2670500
KTML,21-Oct-2014,25.65,26.20,25.40,26.01,1853000
KTML,22-Oct-2014,26.15,26.55,25.00,25.07,2154000
KTML,23-Oct-2014,25.34,26.32,25.00,26.29,2372000
KTML,24-Oct-2014,26.40,26.45,25.76,26.06,1289500
KTML,27-Oct-2014,26.10,26.40,25.85,26.03,886000
KTML,28-Oct-2014,26.24,27.08,26.07,27.01,2238000
KTML,29-Oct-2014,27.20,27.25,25.80,26.04,845000
KTML,30-Oct-2014,26.01,26.06,25.60,25.64,148000
KTML,31-Oct-2014,25.70,26.28,25.65,26.23,680500
KTML,05-Nov-2014,26.30,27.30,26.01,27.15,1299000
KTML,06-Nov-2014,27.34,27.40,26.85,27.30,522500
KTML,07-Nov-2014,27.48,28.49,26.75,28.25,2401000
KTML,10-Nov-2014,28.29,28.39,27.20,27.43,660000
KTML,11-Nov-2014,27.21,27.99,27.00,27.14,881000
KTML,12-Nov-2014,27.20,28.10,27.20,27.64,1066000
KTML,13-Nov-2014,27.41,27.75,26.76,26.89,517000
KTML,14-Nov-2014,27.31,27.70,27.20,27.42,577500
KTML,17-Nov-2014,27.89,28.70,27.75,28.26,1752500
KTML,18-Nov-2014,28.30,28.55,28.00,28.15,1479000
KTML,19-Nov-2014,28.15,28.54,27.65,28.02,523500
KTML,20-Nov-2014,28.00,28.00,26.81,27.15,973500
KTML,21-Nov-2014,26.50,27.30,26.50,27.06,1005500
KTML,24-Nov-2014,27.11,27.80,26.70,27.04,644000
KTML,25-Nov-2014,26.75,27.50,26.75,27.24,337000
KTML,26-Nov-2014,27.30,27.67,27.20,27.34,176000
KTML,27-Nov-2014,27.50,27.74,27.05,27.49,348000
KTML,28-Nov-2014,27.50,28.86,27.20,28.86,2108000
KTML,01-Dec-2014,28.82,30.30,28.65,30.30,2391000
KTML,02-Dec-2014,30.98,31.50,30.00,30.14,879000
KTML,03-Dec-2014,30.50,31.64,30.30,31.64,1176000
KTML,04-Dec-2014,32.72,33.08,32.00,32.55,2516500
KTML,05-Dec-2014,32.50,33.40,31.60,31.76,287000
KTML,08-Dec-2014,31.60,31.88,31.10,31.27,424000
KTML,09-Dec-2014,31.20,32.83,30.80,32.83,1577500
KTML,10-Dec-2014,33.65,33.89,32.52,32.68,2225000
KTML,11-Dec-2014,33.50,34.31,33.40,34.31,1076500
KTML,12-Dec-2014,34.99,36.02,34.90,35.99,1874000
KTML,15-Dec-2014,36.25,36.90,34.80,35.14,1048000
KTML,16-Dec-2014,35.50,35.55,33.39,33.45,773500
KTML,17-Dec-2014,33.15,34.50,31.90,31.97,549000
KTML,18-Dec-2014,32.75,33.56,32.52,33.56,458000
KTML,19-Dec-2014,34.70,34.70,33.56,34.09,380000
KTML,22-Dec-2014,34.20,35.09,34.01,34.80,401000
KTML,23-Dec-2014,35.26,36.20,34.60,35.94,896500
KTML,24-Dec-2014,35.55,36.65,34.50,34.59,930500
KTML,26-Dec-2014,34.55,35.60,34.40,35.17,237000
KTML,29-Dec-2014,35.50,35.50,33.98,34.11,346500
KTML,30-Dec-2014,34.31,35.11,34.20,34.36,454500
KTML,31-Dec-2014,34.99,35.40,34.40,35.05,611000
KTML,01-Jan-2015,35.70,36.80,35.70,36.80,638000
KTML,02-Jan-2015,37.49,38.64,37.27,38.55,1779000
KTML,05-Jan-2015,38.10,39.25,37.00,38.26,1721500
