Symbol,Date,Open,High,Low,Close,Volume
LSECL,24-May-2024,9.00,9.00,9.00,9.00,11690
LSECL,27-May-2024,8.00,8.00,8.00,8.00,53458
LSECL,29-May-2024,7.00,7.00,7.00,7.00,22067
LSECL,30-May-2024,6.00,6.00,6.00,6.00,126351
LSECL,31-May-2024,5.00,5.55,5.00,5.00,4008132
LSECL,03-Jun-2024,4.56,5.00,4.54,4.63,1219921
LSECL,04-Jun-2024,4.75,4.84,4.01,4.37,430921
LSECL,05-Jun-2024,4.31,4.43,4.13,4.21,202784
LSECL,06-Jun-2024,4.13,4.35,3.95,4.00,514890
LSECL,07-Jun-2024,3.85,4.25,3.80,4.15,278448
LSECL,10-Jun-2024,4.30,4.30,3.90,3.91,193474
LSECL,11-Jun-2024,4.10,4.10,3.45,3.53,505071
LSECL,12-Jun-2024,3.53,3.66,3.40,3.48,288845
LSECL,13-Jun-2024,3.59,3.59,3.10,3.42,126777
LSECL,14-Jun-2024,3.30,3.54,3.12,3.41,278367
LSECL,20-Jun-2024,3.56,3.56,3.40,3.43,83420
LSECL,21-Jun-2024,3.61,3.61,3.30,3.31,158772
LSECL,24-Jun-2024,3.19,3.35,3.05,3.14,181221
LSECL,25-Jun-2024,3.14,3.25,3.02,3.08,274102
LSECL,26-Jun-2024,3.14,3.55,3.10,3.21,333272
LSECL,27-Jun-2024,3.30,3.34,3.18,3.21,119101
LSECL,28-Jun-2024,3.30,3.30,3.10,3.12,191612
LSECL,01-Jul-2024,3.27,3.97,3.10,3.74,809118
LSECL,02-Jul-2024,3.61,4.60,3.61,4.49,2024533
LSECL,03-Jul-2024,4.22,4.94,4.13,4.33,1540094
LSECL,04-Jul-2024,4.35,4.88,4.21,4.39,1176028
LSECL,05-Jul-2024,4.50,5.25,4.30,4.37,3196331
LSECL,08-Jul-2024,4.50,4.59,3.60,4.21,241197
LSECL,09-Jul-2024,4.01,4.29,3.90,3.96,557670
LSECL,10-Jul-2024,4.18,4.18,3.75,3.81,215440
LSECL,11-Jul-2024,4.09,4.09,3.41,3.44,302011
LSECL,12-Jul-2024,3.77,4.03,3.21,3.39,190906
LSECL,15-Jul-2024,3.59,3.59,3.30,3.36,186183
LSECL,18-Jul-2024,3.36,3.50,3.20,3.30,114464
LSECL,19-Jul-2024,3.34,3.44,3.15,3.24,343618
LSECL,22-Jul-2024,3.32,3.34,3.20,3.25,60486
LSECL,23-Jul-2024,3.30,3.30,3.18,3.22,103230
LSECL,24-Jul-2024,3.30,3.39,3.15,3.24,240050
LSECL,25-Jul-2024,3.39,3.39,3.11,3.19,270128
LSECL,26-Jul-2024,3.16,3.49,3.02,3.13,552582
LSECL,29-Jul-2024,3.11,3.29,2.93,3.02,455010
LSECL,30-Jul-2024,3.05,3.19,3.00,3.00,216942
LSECL,31-Jul-2024,3.00,3.29,3.00,3.20,974112
LSECL,01-Aug-2024,3.12,3.30,2.85,2.99,497547
LSECL,02-Aug-2024,3.18,3.18,2.82,2.94,115864
LSECL,05-Aug-2024,3.09,3.11,2.98,3.00,130911
LSECL,06-Aug-2024,2.97,3.20,2.97,3.16,592036
LSECL,07-Aug-2024,3.05,3.58,3.05,3.23,1344450
LSECL,08-Aug-2024,3.29,3.44,3.10,3.16,252527
LSECL,09-Aug-2024,3.29,3.29,3.10,3.13,82478
LSECL,12-Aug-2024,3.22,3.22,3.07,3.07,111144
LSECL,13-Aug-2024,3.02,3.25,3.00,3.04,311720
LSECL,15-Aug-2024,3.02,3.19,2.98,3.00,344502
