Symbol,Date,Open,High,Low,Close,Volume
LSEVL,27-Jun-2023,9.00,9.00,9.00,9.00,500
LSEVL,03-Jul-2023,8.00,9.00,8.00,8.00,62000
LSEVL,04-Jul-2023,7.00,7.00,7.00,7.00,1000
LSEVL,05-Jul-2023,6.00,6.50,6.00,6.01,258500
LSEVL,06-Jul-2023,5.61,6.09,5.01,5.10,545000
LSEVL,07-Jul-2023,5.10,6.00,4.50,4.63,1112500
LSEVL,10-Jul-2023,4.51,5.14,4.51,5.06,174500
LSEVL,11-Jul-2023,5.11,5.48,5.11,5.25,241000
LSEVL,12-Jul-2023,5.21,5.69,5.20,5.47,81500
LSEVL,13-Jul-2023,5.69,6.47,5.35,6.47,623500
LSEVL,14-Jul-2023,6.65,7.15,6.47,6.52,85000
LSEVL,17-Jul-2023,6.55,7.52,6.53,6.91,266000
LSEVL,18-Jul-2023,7.09,7.50,6.80,7.00,48000
LSEVL,19-Jul-2023,7.24,7.24,6.98,7.00,13000
LSEVL,20-Jul-2023,6.60,7.45,6.58,6.96,29000
LSEVL,21-Jul-2023,6.90,6.90,6.90,6.90,5000
LSEVL,24-Jul-2023,6.90,6.94,6.90,6.94,1500
LSEVL,25-Jul-2023,6.90,7.50,6.90,6.92,101000
LSEVL,26-Jul-2023,7.00,7.00,6.70,6.90,9500
LSEVL,27-Jul-2023,6.76,7.35,6.55,6.59,100500
LSEVL,31-Jul-2023,6.75,6.75,6.55,6.55,6000
LSEVL,01-Aug-2023,6.75,6.99,6.75,6.90,11000
LSEVL,02-Aug-2023,6.89,6.99,6.89,6.93,2000
LSEVL,03-Aug-2023,6.41,6.50,6.30,6.30,124500
LSEVL,07-Aug-2023,5.95,6.00,5.95,6.00,1000
LSEVL,08-Aug-2023,6.05,6.30,6.00,6.00,25000
LSEVL,09-Aug-2023,6.00,6.50,6.00,6.47,41500
LSEVL,10-Aug-2023,6.50,6.80,6.50,6.78,6000
LSEVL,11-Aug-2023,6.65,6.65,6.65,6.65,5000
LSEVL,15-Aug-2023,6.97,6.97,6.45,6.58,10500
LSEVL,16-Aug-2023,6.74,7.00,6.30,6.77,19000
LSEVL,17-Aug-2023,6.80,6.90,6.50,6.52,109000
LSEVL,18-Aug-2023,7.00,7.25,6.50,6.54,107000
LSEVL,22-Aug-2023,6.25,6.80,6.25,6.50,10000
LSEVL,23-Aug-2023,5.99,6.79,5.99,6.78,74000
LSEVL,24-Aug-2023,6.60,6.60,6.60,6.60,500
LSEVL,25-Aug-2023,6.51,6.51,6.50,6.50,80000
LSEVL,28-Aug-2023,6.50,6.51,6.50,6.50,57500
LSEVL,29-Aug-2023,6.25,6.25,6.25,6.25,1000
LSEVL,30-Aug-2023,6.75,6.79,6.25,6.37,104500
LSEVL,31-Aug-2023,7.20,7.20,6.36,6.36,46000
LSEVL,01-Sep-2023,6.85,6.95,6.50,6.94,53500
LSEVL,04-Sep-2023,7.39,7.40,6.65,6.65,22000
LSEVL,12-Sep-2023,6.36,6.75,6.10,6.39,15500
