Symbol,Date,Open,High,Low,Close,Volume
LUCK,01-Jan-2014,301.90,312.00,301.88,310.60,275100
LUCK,02-Jan-2014,311.99,322.95,311.00,321.67,643800
LUCK,03-Jan-2014,323.50,325.99,316.35,317.60,218700
LUCK,06-Jan-2014,317.99,321.49,315.00,316.43,122100
LUCK,07-Jan-2014,316.50,317.45,309.53,314.79,249300
LUCK,08-Jan-2014,314.00,317.80,311.00,312.82,478800
LUCK,09-Jan-2014,314.73,318.75,314.02,317.00,281600
LUCK,10-Jan-2014,316.95,317.00,315.00,315.38,53000
LUCK,13-Jan-2014,316.97,317.50,315.00,315.44,190900
LUCK,15-Jan-2014,316.00,316.50,309.15,310.20,236400
LUCK,16-Jan-2014,311.50,312.00,308.00,308.59,154900
LUCK,17-Jan-2014,309.00,314.80,306.20,307.24,254500
LUCK,20-Jan-2014,309.49,312.85,306.00,309.53,220800
LUCK,21-Jan-2014,310.00,315.10,309.00,313.86,712500
LUCK,22-Jan-2014,315.00,317.80,313.86,316.52,199100
LUCK,23-Jan-2014,317.99,323.50,315.00,317.06,1184400
LUCK,24-Jan-2014,316.01,316.75,313.26,314.26,344600
LUCK,27-Jan-2014,315.00,315.00,300.05,301.01,1310600
LUCK,28-Jan-2014,298.00,304.00,295.27,296.63,410200
LUCK,29-Jan-2014,298.50,303.50,295.00,301.79,633800
LUCK,30-Jan-2014,301.01,302.60,299.01,301.12,171000
LUCK,31-Jan-2014,301.99,311.01,301.00,309.75,1042700
LUCK,03-Feb-2014,311.00,314.00,310.00,310.72,1844300
LUCK,04-Feb-2014,309.50,311.00,306.01,307.45,300700
LUCK,06-Feb-2014,309.49,312.50,309.02,310.47,239900
LUCK,07-Feb-2014,310.00,311.00,306.75,308.69,118500
LUCK,10-Feb-2014,308.50,308.99,297.00,306.47,448800
LUCK,11-Feb-2014,306.50,308.95,304.90,305.78,40300
LUCK,12-Feb-2014,307.50,311.50,307.00,309.48,293600
LUCK,13-Feb-2014,308.66,311.94,300.00,305.12,241500
LUCK,14-Feb-2014,306.50,306.88,302.01,303.19,179100
LUCK,17-Feb-2014,305.75,306.75,302.00,302.57,195100
LUCK,18-Feb-2014,301.00,305.95,301.00,303.71,309100
LUCK,19-Feb-2014,306.00,306.00,302.99,303.61,95900
LUCK,20-Feb-2014,303.00,303.51,300.01,300.73,174300
LUCK,21-Feb-2014,302.00,311.85,296.00,300.94,301800
LUCK,24-Feb-2014,302.11,305.20,302.00,302.23,48900
LUCK,25-Feb-2014,302.25,308.90,297.01,307.24,267100
LUCK,26-Feb-2014,308.25,313.00,303.01,308.56,385900
LUCK,27-Feb-2014,308.30,313.50,306.61,313.10,254500
LUCK,28-Feb-2014,314.50,328.25,311.85,325.77,1048400
LUCK,03-Mar-2014,326.00,331.00,324.00,329.27,646400
LUCK,04-Mar-2014,325.40,338.00,325.00,330.49,1399900
LUCK,05-Mar-2014,331.10,333.00,328.15,331.49,676500
LUCK,06-Mar-2014,332.00,338.90,331.50,334.70,678300
LUCK,07-Mar-2014,334.00,336.90,329.00,330.55,224500
LUCK,10-Mar-2014,332.50,338.99,331.00,337.90,240700
LUCK,11-Mar-2014,338.00,343.00,338.00,338.85,648700
LUCK,12-Mar-2014,340.00,344.99,339.00,340.30,608600
LUCK,13-Mar-2014,342.50,344.99,338.06,340.13,598100
LUCK,14-Mar-2014,341.00,342.50,339.60,340.22,298600
LUCK,17-Mar-2014,340.40,344.00,338.06,338.89,311700
LUCK,18-Mar-2014,339.95,340.88,336.50,337.85,714600
LUCK,19-Mar-2014,337.03,338.00,329.21,330.06,721600
LUCK,20-Mar-2014,330.00,335.50,322.00,324.04,1657300
LUCK,21-Mar-2014,324.00,326.00,318.00,318.64,822200
LUCK,24-Mar-2014,318.50,319.00,312.00,313.07,469800
LUCK,25-Mar-2014,314.99,315.10,309.25,311.48,1794400
LUCK,26-Mar-2014,312.00,316.25,311.00,312.74,714500
LUCK,27-Mar-2014,314.45,320.40,312.00,314.88,2486600
LUCK,28-Mar-2014,315.00,316.43,312.50,313.14,207100
LUCK,31-Mar-2014,314.95,320.60,311.50,316.95,608000
LUCK,01-Apr-2014,318.75,332.79,318.00,332.79,1987200
LUCK,02-Apr-2014,335.90,349.00,335.89,343.46,2338200
LUCK,03-Apr-2014,345.00,360.63,342.55,358.02,2231600
LUCK,04-Apr-2014,363.01,367.00,350.80,352.42,1395200
LUCK,07-Apr-2014,353.00,355.95,350.00,352.93,492200
LUCK,08-Apr-2014,355.00,355.50,349.00,350.89,517100
LUCK,09-Apr-2014,348.03,366.50,345.00,364.23,853700
LUCK,10-Apr-2014,365.40,369.99,363.51,364.54,768000
LUCK,11-Apr-2014,367.50,367.88,360.99,363.60,773100
LUCK,14-Apr-2014,362.89,364.90,358.19,359.47,129400
LUCK,15-Apr-2014,360.00,364.00,355.00,359.21,702200
LUCK,16-Apr-2014,361.11,373.00,360.10,369.08,1086300
LUCK,17-Apr-2014,369.88,372.42,356.00,359.52,992600
LUCK,18-Apr-2014,359.50,363.62,355.00,357.26,226900
LUCK,21-Apr-2014,357.26,358.50,354.01,354.75,52900
LUCK,22-Apr-2014,357.00,364.99,357.00,360.87,205700
LUCK,23-Apr-2014,361.20,365.00,352.50,354.77,785300
LUCK,24-Apr-2014,353.50,363.00,350.00,361.74,400700
LUCK,25-Apr-2014,360.99,363.39,357.00,359.94,549500
LUCK,28-Apr-2014,359.99,361.98,358.02,359.52,44300
LUCK,29-Apr-2014,359.00,359.00,347.10,350.46,330600
LUCK,30-Apr-2014,354.50,362.00,352.00,355.70,333700
LUCK,02-May-2014,356.99,359.05,354.00,356.13,102800
LUCK,05-May-2014,357.99,359.00,354.00,356.23,180200
LUCK,06-May-2014,356.00,356.00,350.00,350.64,136800
LUCK,07-May-2014,350.60,354.00,349.00,350.13,481000
LUCK,08-May-2014,351.50,352.00,348.50,349.97,621000
LUCK,09-May-2014,351.44,351.50,348.00,348.88,71000
LUCK,12-May-2014,350.00,350.50,345.52,346.02,57400
LUCK,13-May-2014,346.00,349.00,343.53,344.83,194200
LUCK,14-May-2014,343.50,346.95,342.50,343.04,179900
LUCK,15-May-2014,344.50,360.00,344.50,355.04,903700
LUCK,16-May-2014,357.88,358.00,350.01,352.26,173000
LUCK,19-May-2014,352.30,357.00,351.10,352.88,117000
LUCK,20-May-2014,352.55,353.80,350.00,350.05,49100
LUCK,21-May-2014,350.00,352.50,347.00,350.37,108200
