Symbol,Date,Open,High,Low,Close,Volume
MACFL,01-Jan-2014,21.30,22.00,21.20,21.80,123000
MACFL,02-Jan-2014,21.41,21.85,20.71,20.82,61500
MACFL,03-Jan-2014,20.50,21.00,20.50,20.94,35000
MACFL,06-Jan-2014,21.20,21.70,20.82,21.05,134500
MACFL,07-Jan-2014,20.80,20.97,20.40,20.53,20000
MACFL,08-Jan-2014,20.45,20.45,20.18,20.28,18000
MACFL,09-Jan-2014,20.40,21.29,20.00,21.29,148500
MACFL,10-Jan-2014,21.50,22.35,21.30,22.35,405500
MACFL,13-Jan-2014,23.29,23.35,21.80,22.11,173000
MACFL,15-Jan-2014,22.11,22.30,21.01,21.42,119000
MACFL,16-Jan-2014,21.74,21.85,21.00,21.10,54000
MACFL,17-Jan-2014,21.25,22.15,21.25,21.58,114500
MACFL,20-Jan-2014,21.50,21.50,20.90,21.25,42500
MACFL,21-Jan-2014,21.49,22.31,21.49,22.31,305000
MACFL,22-Jan-2014,22.98,23.42,22.55,23.42,274500
MACFL,23-Jan-2014,23.90,24.59,23.75,24.59,126500
MACFL,24-Jan-2014,25.75,25.75,23.61,24.31,207500
MACFL,27-Jan-2014,23.85,23.95,23.20,23.36,36000
MACFL,28-Jan-2014,23.20,24.05,22.51,23.04,49000
MACFL,29-Jan-2014,23.35,23.35,22.25,22.50,30500
MACFL,30-Jan-2014,22.05,22.85,22.05,22.59,27000
MACFL,31-Jan-2014,22.60,23.71,22.50,23.71,76500
MACFL,03-Feb-2014,24.40,24.40,23.30,23.55,121500
MACFL,04-Feb-2014,23.21,23.49,23.10,23.25,21500
MACFL,06-Feb-2014,23.05,23.98,22.96,23.01,63500
MACFL,07-Feb-2014,22.85,22.98,22.30,22.63,34500
MACFL,10-Feb-2014,22.89,22.89,21.51,21.79,36500
MACFL,11-Feb-2014,21.40,21.73,21.22,21.22,6500
MACFL,12-Feb-2014,20.80,22.00,20.80,21.70,35500
MACFL,13-Feb-2014,21.90,21.90,21.50,21.71,34500
MACFL,14-Feb-2014,21.45,21.45,21.32,21.33,4500
MACFL,17-Feb-2014,20.81,20.95,20.27,20.27,50500
MACFL,18-Feb-2014,20.24,20.24,19.30,19.75,48000
MACFL,19-Feb-2014,19.99,19.99,19.52,19.55,2000
MACFL,20-Feb-2014,19.45,19.90,19.40,19.65,17500
MACFL,21-Feb-2014,19.85,19.85,18.85,19.31,15000
MACFL,24-Feb-2014,19.73,19.73,18.86,18.94,20000
MACFL,25-Feb-2014,19.25,19.25,18.51,18.51,8000
MACFL,26-Feb-2014,18.65,19.00,17.51,18.50,111000
MACFL,27-Feb-2014,18.75,19.50,18.75,19.00,26500
MACFL,28-Feb-2014,19.00,19.50,19.00,19.00,66000
MACFL,03-Mar-2014,19.35,19.80,19.00,19.34,112000
MACFL,04-Mar-2014,18.75,18.88,18.34,18.54,144500
MACFL,05-Mar-2014,18.11,18.81,18.11,18.60,6500
MACFL,06-Mar-2014,18.74,19.25,18.74,19.10,50000
MACFL,07-Mar-2014,19.00,19.35,19.00,19.32,92000
MACFL,10-Mar-2014,19.65,19.94,19.65,19.75,33000
MACFL,11-Mar-2014,19.36,20.25,19.36,20.20,65000
MACFL,12-Mar-2014,20.00,20.50,19.85,19.85,62000
MACFL,13-Mar-2014,19.80,19.80,19.75,19.78,1000
MACFL,14-Mar-2014,19.65,20.00,19.65,19.75,120500
MACFL,17-Mar-2014,20.00,20.50,20.00,20.00,62000
MACFL,18-Mar-2014,20.25,20.99,19.75,20.76,100500
MACFL,19-Mar-2014,21.00,21.79,20.50,21.79,300000
MACFL,20-Mar-2014,22.40,22.87,21.80,21.87,414000
MACFL,21-Mar-2014,22.00,22.25,21.60,21.65,75500
MACFL,24-Mar-2014,21.80,21.80,21.20,21.50,10500
MACFL,25-Mar-2014,21.88,21.90,21.15,21.32,9000
MACFL,26-Mar-2014,21.01,21.01,20.50,20.60,59500
MACFL,27-Mar-2014,21.25,21.25,20.35,20.61,19500
MACFL,28-Mar-2014,20.50,20.50,19.58,19.67,81500
MACFL,31-Mar-2014,19.72,19.95,19.25,19.35,33500
MACFL,01-Apr-2014,19.51,20.35,19.50,20.35,37500
MACFL,02-Apr-2014,21.36,21.36,20.75,21.36,179500
MACFL,03-Apr-2014,21.50,21.89,20.90,21.02,48500
MACFL,04-Apr-2014,21.50,21.50,21.00,21.17,42500
MACFL,07-Apr-2014,20.70,20.70,20.65,20.65,1500
MACFL,08-Apr-2014,20.52,21.00,20.52,20.82,25000
MACFL,09-Apr-2014,20.61,21.20,20.61,21.02,62000
MACFL,10-Apr-2014,21.00,21.35,21.00,21.00,43000
MACFL,11-Apr-2014,21.74,21.80,21.01,21.46,38500
MACFL,14-Apr-2014,21.39,21.50,21.00,21.13,40500
MACFL,15-Apr-2014,21.00,21.30,21.00,21.21,194000
MACFL,16-Apr-2014,21.00,21.49,21.00,21.15,93000
MACFL,17-Apr-2014,20.75,20.95,20.50,20.88,21000
MACFL,18-Apr-2014,20.80,20.95,20.60,20.60,13500
MACFL,21-Apr-2014,20.60,21.00,20.55,20.70,13000
MACFL,22-Apr-2014,20.70,20.70,20.55,20.55,6000
MACFL,23-Apr-2014,20.00,20.55,20.00,20.55,26000
MACFL,25-Apr-2014,20.45,20.45,20.45,20.45,4500
MACFL,28-Apr-2014,20.50,20.50,20.10,20.10,3500
MACFL,29-Apr-2014,19.90,20.10,19.70,20.00,21500
MACFL,30-Apr-2014,19.53,21.00,19.52,20.39,107000
MACFL,02-May-2014,19.75,19.75,19.38,19.38,42000
MACFL,05-May-2014,19.02,19.02,18.38,18.39,47000
MACFL,06-May-2014,18.45,18.45,17.55,17.99,26000
MACFL,07-May-2014,18.33,18.33,17.80,18.13,8500
MACFL,08-May-2014,17.75,17.80,17.59,17.80,3500
MACFL,09-May-2014,18.20,18.30,17.80,17.80,5500
MACFL,13-May-2014,17.80,17.90,17.75,17.75,5500
MACFL,14-May-2014,18.00,18.15,17.75,17.80,43000
MACFL,15-May-2014,17.55,18.00,17.55,17.90,5000
MACFL,16-May-2014,17.80,18.14,17.80,18.14,2000
MACFL,19-May-2014,18.00,18.00,17.75,17.95,34000
MACFL,20-May-2014,18.00,18.10,17.85,18.00,6000
MACFL,22-May-2014,17.75,18.00,17.75,18.00,2000
MACFL,23-May-2014,17.61,17.99,17.61,17.99,2000
MACFL,26-May-2014,17.55,17.55,17.00,17.41,11500
MACFL,27-May-2014,17.40,17.41,17.40,17.40,2500
MACFL,28-May-2014,17.45,17.45,17.40,17.45,17000
MACFL,29-May-2014,17.46,17.50,17.30,17.50,5000
MACFL,02-Jun-2014,17.60,17.60,17.50,17.53,8000
MACFL,03-Jun-2014,17.60,17.60,17.10,17.10,19000
MACFL,05-Jun-2014,17.13,17.13,17.11,17.11,4000
