Symbol,Date,Open,High,Low,Close,Volume
MACTER,27-Oct-2017,240.68,240.68,240.68,240.68,1500
MACTER,03-Nov-2017,303.94,303.94,303.94,303.94,500
MACTER,06-Nov-2017,317.10,319.13,298.01,319.13,5000
MACTER,07-Nov-2017,334.00,334.00,334.00,334.00,1000
MACTER,10-Nov-2017,367.54,367.54,343.00,367.17,11000
MACTER,13-Nov-2017,369.00,372.00,355.00,355.02,3000
MACTER,14-Nov-2017,337.27,338.00,337.27,337.27,3500
MACTER,15-Nov-2017,320.55,320.55,320.41,320.41,4500
MACTER,16-Nov-2017,304.39,320.00,304.39,304.40,2500
MACTER,23-Nov-2017,291.00,291.00,291.00,291.00,500
MACTER,28-Nov-2017,291.00,291.00,291.00,291.00,500
MACTER,04-Dec-2017,277.00,299.00,277.00,291.66,1500
MACTER,06-Dec-2017,277.10,277.10,277.10,277.10,500
MACTER,11-Dec-2017,263.25,263.25,263.25,263.25,500
MACTER,13-Dec-2017,248.24,248.24,248.24,248.24,5000
MACTER,20-Dec-2017,235.83,235.83,235.83,235.83,500
MACTER,22-Dec-2017,235.00,235.00,235.00,235.00,500
MACTER,27-Dec-2017,223.25,223.25,223.25,223.25,500
MACTER,01-Jan-2018,223.25,223.25,223.25,223.25,200
MACTER,02-Jan-2018,234.40,234.40,223.00,223.00,400
MACTER,03-Jan-2018,220.00,225.00,216.00,225.00,1100
MACTER,04-Jan-2018,233.90,233.90,230.00,230.00,500
MACTER,08-Jan-2018,225.00,241.50,225.00,241.40,1300
MACTER,09-Jan-2018,241.40,241.40,241.40,241.40,100
MACTER,11-Jan-2018,250.00,250.00,230.01,231.50,1600
MACTER,12-Jan-2018,240.00,240.00,240.00,240.00,600
MACTER,15-Jan-2018,231.24,231.24,230.00,230.00,2400
MACTER,17-Jan-2018,221.00,235.00,218.50,231.67,1500
MACTER,22-Jan-2018,225.00,235.00,225.00,235.00,3600
MACTER,23-Jan-2018,225.00,230.00,225.00,229.39,1800
MACTER,24-Jan-2018,229.99,229.99,229.99,229.99,200
MACTER,25-Jan-2018,225.00,238.00,225.00,238.00,1700
MACTER,26-Jan-2018,235.00,235.00,235.00,235.00,200
MACTER,29-Jan-2018,225.00,225.00,225.00,225.00,500
MACTER,30-Jan-2018,224.00,224.00,224.00,224.00,700
MACTER,31-Jan-2018,235.00,235.00,226.00,234.50,3600
MACTER,01-Feb-2018,242.49,244.00,236.00,244.00,2300
MACTER,02-Feb-2018,256.00,256.20,240.00,256.20,2700
MACTER,06-Feb-2018,269.00,269.01,269.00,269.01,4600
MACTER,07-Feb-2018,282.46,282.46,282.46,282.46,500
MACTER,08-Feb-2018,296.58,296.58,296.58,296.58,3100
MACTER,09-Feb-2018,299.00,307.00,295.00,298.58,2900
MACTER,12-Feb-2018,295.00,300.00,285.00,285.03,2800
MACTER,13-Feb-2018,285.00,289.00,281.10,285.20,1000
MACTER,14-Feb-2018,280.00,284.80,272.00,280.00,700
MACTER,15-Feb-2018,272.00,272.00,271.00,271.00,300
MACTER,16-Feb-2018,280.00,283.99,280.00,283.00,500
MACTER,19-Feb-2018,281.00,281.00,280.00,280.00,200
MACTER,20-Feb-2018,271.10,278.90,270.00,278.90,400
MACTER,21-Feb-2018,276.00,276.00,275.05,275.05,800
MACTER,23-Feb-2018,279.00,279.00,279.00,279.00,300
MACTER,26-Feb-2018,265.06,274.00,265.06,274.00,600
MACTER,27-Feb-2018,270.00,270.00,270.00,270.00,100
MACTER,28-Feb-2018,265.00,265.00,265.00,265.00,200
MACTER,02-Mar-2018,274.50,274.50,274.50,274.50,100
MACTER,05-Mar-2018,265.00,265.00,265.00,265.00,200
MACTER,15-Mar-2018,260.00,260.00,255.00,255.00,300
MACTER,16-Mar-2018,250.00,250.00,250.00,250.00,200
MACTER,19-Mar-2018,239.00,249.00,237.51,243.26,500
MACTER,20-Mar-2018,240.00,250.00,240.00,249.90,800
MACTER,22-Mar-2018,238.45,245.00,238.45,245.00,400
MACTER,27-Mar-2018,237.00,237.00,235.26,235.98,400
MACTER,28-Mar-2018,240.00,240.00,240.00,240.00,200
MACTER,29-Mar-2018,240.00,240.00,240.00,240.00,100
MACTER,30-Mar-2018,230.00,230.00,230.00,230.00,700
MACTER,02-Apr-2018,240.00,240.00,230.01,230.34,700
MACTER,03-Apr-2018,240.00,240.00,233.00,233.00,600
MACTER,04-Apr-2018,235.00,240.00,235.00,236.47,2500
MACTER,05-Apr-2018,236.47,236.47,236.47,236.47,100
MACTER,06-Apr-2018,235.00,240.00,235.00,240.00,900
MACTER,09-Apr-2018,235.00,245.00,235.00,245.00,600
MACTER,10-Apr-2018,234.00,234.00,233.01,233.51,200
MACTER,12-Apr-2018,240.00,240.00,240.00,240.00,300
MACTER,16-Apr-2018,240.00,240.00,240.00,240.00,100
MACTER,18-Apr-2018,244.89,244.89,235.00,239.95,200
MACTER,19-Apr-2018,230.01,233.00,230.00,231.50,600
MACTER,23-Apr-2018,231.50,231.50,231.50,231.50,100
MACTER,25-Apr-2018,227.00,230.00,227.00,230.00,900
MACTER,26-Apr-2018,237.00,240.00,237.00,240.00,600
MACTER,27-Apr-2018,240.00,240.00,240.00,240.00,100
MACTER,30-Apr-2018,230.50,230.50,230.50,230.50,200
MACTER,02-May-2018,222.00,231.00,222.00,230.55,900
MACTER,03-May-2018,225.00,225.00,225.00,225.00,300
MACTER,04-May-2018,214.00,234.90,214.00,227.45,300
MACTER,07-May-2018,227.45,227.45,227.45,227.45,100
MACTER,08-May-2018,220.00,220.00,217.00,217.51,800
MACTER,14-May-2018,206.00,224.90,205.31,205.50,2800
MACTER,16-May-2018,205.50,205.50,205.50,205.50,100
MACTER,17-May-2018,195.25,200.00,195.25,200.00,500
MACTER,24-May-2018,200.00,200.00,190.00,200.00,1700
MACTER,28-May-2018,201.00,204.00,201.00,202.50,2400
MACTER,29-May-2018,210.00,212.62,210.00,212.62,400
MACTER,30-May-2018,223.25,223.25,223.25,223.25,300
MACTER,01-Jun-2018,232.50,232.50,212.61,222.56,200
MACTER,04-Jun-2018,229.99,229.99,224.99,227.49,200
MACTER,06-Jun-2018,220.00,220.00,220.00,220.00,300
MACTER,07-Jun-2018,219.90,220.00,219.90,220.00,600
MACTER,11-Jun-2018,209.00,209.25,209.00,209.08,400
MACTER,12-Jun-2018,199.00,217.00,198.63,208.00,1300
MACTER,27-Jun-2018,208.00,208.00,208.00,208.00,100
MACTER,29-Jun-2018,200.00,200.00,200.00,200.00,600
MACTER,09-Jul-2018,200.00,200.00,200.00,200.00,300
MACTER,27-Jul-2018,190.01,209.00,190.01,199.51,300
MACTER,30-Jul-2018,205.00,208.99,205.00,207.00,200
MACTER,09-Aug-2018,200.00,200.00,200.00,200.00,500
MACTER,10-Aug-2018,195.01,195.01,190.01,192.51,400
MACTER,16-Aug-2018,199.49,199.50,199.49,199.50,200
MACTER,27-Aug-2018,191.00,191.00,191.00,191.00,7400
MACTER,28-Aug-2018,190.00,190.00,190.00,190.00,300
MACTER,29-Aug-2018,199.00,199.50,199.00,199.50,900
MACTER,30-Aug-2018,199.50,199.50,199.50,199.50,2100
MACTER,03-Sep-2018,195.00,200.00,195.00,197.50,200
MACTER,04-Sep-2018,190.01,200.00,187.63,187.82,3500
MACTER,11-Sep-2018,187.82,187.82,187.82,187.82,100
MACTER,17-Sep-2018,180.00,180.00,178.43,178.43,500
MACTER,18-Sep-2018,175.00,187.34,175.00,187.34,6000
MACTER,19-Sep-2018,191.00,192.00,191.00,191.50,1000
MACTER,26-Sep-2018,185.00,185.00,182.00,184.10,1000
MACTER,27-Sep-2018,180.00,180.00,180.00,180.00,500
MACTER,28-Sep-2018,180.00,189.00,180.00,186.40,1500
MACTER,02-Oct-2018,186.40,186.40,186.40,186.40,100
MACTER,03-Oct-2018,177.08,177.50,177.08,177.50,300
MACTER,04-Oct-2018,170.00,184.50,168.63,182.05,2500
MACTER,05-Oct-2018,172.95,173.45,172.95,173.45,600
MACTER,08-Oct-2018,164.78,164.78,164.78,164.78,200
MACTER,09-Oct-2018,156.55,156.55,156.55,156.55,600
