Symbol,Date,Open,High,Low,Close,Volume
MCBAH,02-Jan-2014,15.00,15.25,14.99,15.14,171000
MCBAH,03-Jan-2014,15.15,15.50,15.15,15.50,10500
MCBAH,06-Jan-2014,15.01,15.20,15.00,15.06,34000
MCBAH,07-Jan-2014,15.10,15.28,15.10,15.28,9000
MCBAH,08-Jan-2014,15.01,15.50,14.93,14.99,133000
MCBAH,09-Jan-2014,14.99,15.06,14.99,15.06,19500
MCBAH,10-Jan-2014,15.33,15.37,15.29,15.34,8500
MCBAH,13-Jan-2014,14.60,16.00,14.60,15.97,33000
MCBAH,15-Jan-2014,15.51,15.95,15.51,15.94,41500
MCBAH,16-Jan-2014,15.55,15.75,15.50,15.50,10000
MCBAH,17-Jan-2014,15.80,15.80,15.50,15.51,7500
MCBAH,20-Jan-2014,15.50,15.89,15.10,15.29,67000
MCBAH,21-Jan-2014,15.52,15.52,15.10,15.10,5500
MCBAH,22-Jan-2014,15.45,15.50,15.45,15.50,5000
MCBAH,23-Jan-2014,15.30,15.51,15.25,15.27,8000
MCBAH,24-Jan-2014,15.19,15.48,15.06,15.11,11500
MCBAH,27-Jan-2014,15.27,15.50,15.27,15.40,7500
MCBAH,28-Jan-2014,15.41,15.88,15.41,15.83,28500
MCBAH,29-Jan-2014,15.95,16.10,15.75,15.99,71000
MCBAH,30-Jan-2014,15.70,15.85,15.55,15.82,14500
MCBAH,31-Jan-2014,16.00,16.15,16.00,16.00,68500
MCBAH,03-Feb-2014,16.40,17.00,16.00,17.00,97500
MCBAH,04-Feb-2014,17.45,17.45,16.75,17.00,18500
MCBAH,06-Feb-2014,16.99,17.95,16.60,17.40,137500
MCBAH,07-Feb-2014,16.51,16.98,16.49,16.74,5000
MCBAH,10-Feb-2014,16.02,16.02,15.74,15.76,72000
MCBAH,12-Feb-2014,15.50,16.65,15.50,16.62,36500
MCBAH,13-Feb-2014,16.65,16.65,15.95,16.51,44000
MCBAH,14-Feb-2014,16.49,16.94,16.13,16.50,13500
MCBAH,17-Feb-2014,16.90,16.90,16.21,16.25,22500
MCBAH,18-Feb-2014,16.02,16.30,16.00,16.28,694000
MCBAH,19-Feb-2014,16.30,16.30,16.15,16.30,23000
MCBAH,20-Feb-2014,15.01,15.45,15.01,15.32,6500
MCBAH,24-Feb-2014,15.01,15.40,15.01,15.40,3000
MCBAH,25-Feb-2014,15.01,15.05,15.01,15.05,1500
MCBAH,26-Feb-2014,15.01,15.01,15.01,15.01,1000
MCBAH,27-Feb-2014,15.01,15.01,14.50,14.50,13000
MCBAH,03-Mar-2014,14.99,14.99,14.99,14.99,500
