Symbol,Date,Open,High,Low,Close,Volume
MCBIM,04-Sep-2023,24.25,24.25,24.24,24.24,1500
MCBIM,05-Sep-2023,24.11,24.45,24.11,24.39,12500
MCBIM,06-Sep-2023,24.20,24.46,24.20,24.34,12000
MCBIM,07-Sep-2023,24.12,24.60,24.11,24.30,12500
MCBIM,08-Sep-2023,24.48,24.50,24.20,24.50,15000
MCBIM,11-Sep-2023,24.40,24.40,24.25,24.30,7000
MCBIM,12-Sep-2023,24.25,24.84,24.20,24.25,16500
MCBIM,13-Sep-2023,24.36,24.36,24.30,24.30,1500
MCBIM,14-Sep-2023,24.30,24.60,24.25,24.30,7000
MCBIM,15-Sep-2023,24.87,24.88,24.40,24.52,26500
MCBIM,18-Sep-2023,24.80,24.80,24.40,24.78,21500
MCBIM,19-Sep-2023,24.88,25.27,24.88,25.01,24000
MCBIM,20-Sep-2023,25.49,26.44,25.49,26.02,77500
MCBIM,21-Sep-2023,25.36,25.50,25.11,25.50,17500
MCBIM,22-Sep-2023,25.73,25.98,25.60,25.70,29500
MCBIM,25-Sep-2023,26.00,26.00,25.56,25.75,2000
MCBIM,26-Sep-2023,26.00,26.40,25.99,26.31,61000
MCBIM,27-Sep-2023,26.49,26.90,26.40,26.40,45500
MCBIM,28-Sep-2023,26.50,26.50,26.10,26.42,55000
MCBIM,02-Oct-2023,26.90,27.48,26.26,26.95,26500
MCBIM,03-Oct-2023,26.80,27.30,26.45,26.96,105000
MCBIM,04-Oct-2023,27.24,27.25,27.00,27.00,19500
MCBIM,05-Oct-2023,27.45,27.45,26.50,26.52,40500
MCBIM,06-Oct-2023,26.50,27.40,26.50,26.98,29500
MCBIM,09-Oct-2023,26.99,27.34,26.80,27.10,19000
MCBIM,10-Oct-2023,27.45,28.00,27.20,27.99,98500
MCBIM,11-Oct-2023,27.40,28.30,27.11,28.10,57000
MCBIM,12-Oct-2023,22.80,23.79,22.79,23.10,38500
MCBIM,13-Oct-2023,21.38,23.24,21.37,23.18,42000
MCBIM,16-Oct-2023,22.85,22.86,22.78,22.80,6000
MCBIM,17-Oct-2023,22.90,23.00,22.75,22.75,2500
MCBIM,18-Oct-2023,22.75,23.05,22.70,23.05,12500
MCBIM,19-Oct-2023,22.70,23.10,22.70,23.01,107000
MCBIM,20-Oct-2023,23.00,23.51,22.71,23.50,107000
MCBIM,23-Oct-2023,23.50,23.80,23.50,23.50,5000
MCBIM,24-Oct-2023,23.55,24.47,23.55,24.47,27000
MCBIM,25-Oct-2023,24.00,24.00,23.51,23.99,3000
MCBIM,26-Oct-2023,23.52,23.54,23.52,23.54,1500
MCBIM,27-Oct-2023,23.53,23.53,23.03,23.03,35000
