Symbol,Date,Open,High,Low,Close,Volume
MDTL,01-Jan-2014,2.80,3.15,2.80,3.02,3903000
MDTL,02-Jan-2014,3.02,3.12,2.99,3.02,879500
MDTL,03-Jan-2014,3.00,3.10,2.91,2.94,530500
MDTL,06-Jan-2014,3.06,3.06,2.86,2.90,422500
MDTL,07-Jan-2014,2.91,3.00,2.86,2.88,381500
MDTL,08-Jan-2014,2.86,3.14,2.86,2.96,1410000
MDTL,09-Jan-2014,3.05,3.12,2.91,3.09,2189500
MDTL,10-Jan-2014,3.15,3.48,3.15,3.30,5775500
MDTL,13-Jan-2014,3.45,3.45,3.23,3.29,898000
MDTL,15-Jan-2014,3.16,3.33,3.15,3.20,685000
MDTL,16-Jan-2014,3.12,3.46,3.10,3.41,2450000
MDTL,17-Jan-2014,3.50,3.67,3.41,3.47,3987500
MDTL,20-Jan-2014,3.48,3.49,3.28,3.32,577500
MDTL,21-Jan-2014,3.30,3.41,3.20,3.23,506500
MDTL,22-Jan-2014,3.28,3.32,3.15,3.20,567000
MDTL,23-Jan-2014,3.17,3.27,3.14,3.24,908500
MDTL,24-Jan-2014,3.29,3.30,3.11,3.17,294500
MDTL,27-Jan-2014,3.20,3.89,3.15,3.74,18068500
MDTL,28-Jan-2014,3.75,3.88,3.46,3.56,2577000
MDTL,29-Jan-2014,3.60,3.60,3.28,3.37,3826500
MDTL,30-Jan-2014,3.30,3.65,3.20,3.44,1206500
MDTL,31-Jan-2014,3.36,3.63,3.30,3.40,762500
MDTL,03-Feb-2014,3.37,3.42,3.31,3.35,578500
MDTL,04-Feb-2014,3.25,3.58,3.21,3.41,1541000
MDTL,06-Feb-2014,3.30,3.55,3.30,3.52,811000
MDTL,07-Feb-2014,3.50,3.76,3.42,3.49,3364000
MDTL,10-Feb-2014,3.50,3.50,3.26,3.30,1596000
MDTL,11-Feb-2014,3.34,3.42,3.15,3.22,1356500
MDTL,12-Feb-2014,3.27,3.35,3.25,3.30,827000
MDTL,13-Feb-2014,3.31,3.37,3.25,3.26,635500
MDTL,14-Feb-2014,3.26,3.32,3.19,3.20,278000
MDTL,17-Feb-2014,3.17,3.20,3.01,3.04,604500
MDTL,18-Feb-2014,3.06,3.20,2.95,3.17,591500
MDTL,19-Feb-2014,3.10,3.25,3.05,3.07,400500
MDTL,20-Feb-2014,3.05,3.15,3.00,3.07,267500
MDTL,21-Feb-2014,3.01,3.27,3.01,3.20,906000
MDTL,24-Feb-2014,3.13,3.27,3.11,3.12,100500
MDTL,25-Feb-2014,3.12,3.16,3.06,3.06,150500
MDTL,26-Feb-2014,3.00,3.15,2.97,3.04,1182500
MDTL,27-Feb-2014,2.98,3.04,2.80,2.86,1349000
MDTL,28-Feb-2014,2.90,2.90,2.80,2.81,422000
MDTL,03-Mar-2014,2.85,2.85,2.75,2.77,173000
MDTL,04-Mar-2014,2.94,2.94,2.70,2.72,551000
MDTL,05-Mar-2014,2.73,2.83,2.73,2.77,192000
MDTL,06-Mar-2014,2.80,2.95,2.80,2.81,344500
MDTL,07-Mar-2014,2.80,2.88,2.73,2.79,202500
MDTL,10-Mar-2014,2.88,2.88,2.68,2.73,521000
MDTL,11-Mar-2014,2.75,2.79,2.69,2.74,501500
MDTL,12-Mar-2014,2.76,2.85,2.70,2.76,932000
MDTL,13-Mar-2014,2.85,2.85,2.74,2.75,333000
MDTL,14-Mar-2014,2.75,2.80,2.73,2.73,284500
MDTL,17-Mar-2014,2.72,2.78,2.69,2.71,484500
MDTL,18-Mar-2014,2.72,2.82,2.72,2.77,191500
MDTL,19-Mar-2014,3.30,3.44,3.14,3.20,5457000
MDTL,20-Mar-2014,3.20,3.20,3.00,3.00,735000
MDTL,21-Mar-2014,3.01,3.08,3.00,3.04,994500
MDTL,24-Mar-2014,3.02,3.10,2.94,3.00,348500
MDTL,25-Mar-2014,2.95,3.08,2.95,3.00,173000
MDTL,26-Mar-2014,3.05,3.05,2.95,2.97,330500
MDTL,27-Mar-2014,2.99,3.00,2.73,2.84,912500
MDTL,28-Mar-2014,2.90,3.00,2.83,2.99,430000
MDTL,31-Mar-2014,3.00,3.04,2.95,2.96,140500
MDTL,01-Apr-2014,3.03,3.03,2.94,2.98,323500
MDTL,02-Apr-2014,3.00,3.05,2.90,2.98,246500
MDTL,03-Apr-2014,2.94,2.99,2.92,2.95,343000
MDTL,04-Apr-2014,2.91,3.15,2.91,3.13,1263500
MDTL,07-Apr-2014,3.17,3.17,3.05,3.06,264500
MDTL,08-Apr-2014,3.00,3.29,3.00,3.16,1494000
MDTL,09-Apr-2014,3.18,3.20,3.08,3.15,503500
MDTL,10-Apr-2014,3.18,3.20,3.08,3.10,338500
MDTL,11-Apr-2014,3.00,3.14,3.00,3.05,526500
MDTL,14-Apr-2014,3.01,3.09,2.99,3.03,535500
MDTL,15-Apr-2014,3.05,3.19,2.96,3.09,456000
MDTL,16-Apr-2014,3.05,3.34,3.03,3.20,3572000
MDTL,17-Apr-2014,3.27,3.27,3.07,3.15,1090000
MDTL,18-Apr-2014,3.14,3.14,3.05,3.10,146500
MDTL,21-Apr-2014,3.23,3.23,3.05,3.07,173000
MDTL,22-Apr-2014,3.10,3.20,3.02,3.05,405500
MDTL,23-Apr-2014,3.10,3.17,3.01,3.04,258000
MDTL,24-Apr-2014,3.01,3.12,2.99,3.07,441500
MDTL,25-Apr-2014,3.00,3.15,3.00,3.04,479000
MDTL,28-Apr-2014,3.08,3.08,2.89,2.93,295000
MDTL,29-Apr-2014,2.84,2.96,2.83,2.85,680500
MDTL,30-Apr-2014,2.85,3.00,2.82,2.94,312000
MDTL,02-May-2014,2.91,3.00,2.80,2.85,153000
MDTL,05-May-2014,2.87,2.94,2.85,2.86,166500
MDTL,06-May-2014,2.91,2.91,2.80,2.80,532500
MDTL,07-May-2014,2.79,2.86,2.70,2.77,1062000
MDTL,08-May-2014,2.81,2.85,2.79,2.85,165000
MDTL,09-May-2014,2.87,2.87,2.81,2.81,94500
MDTL,12-May-2014,2.81,2.90,2.80,2.80,126500
MDTL,13-May-2014,2.78,2.84,2.75,2.76,260500
MDTL,14-May-2014,2.77,2.85,2.76,2.79,99500
MDTL,15-May-2014,2.76,2.98,2.76,2.85,343000
MDTL,16-May-2014,2.94,2.94,2.80,2.81,190500
MDTL,19-May-2014,2.78,2.88,2.78,2.82,80000
MDTL,20-May-2014,2.81,2.84,2.75,2.80,125500
MDTL,21-May-2014,2.81,2.81,2.78,2.78,98000
MDTL,22-May-2014,2.78,2.80,2.75,2.76,134000
MDTL,23-May-2014,2.77,2.84,2.75,2.78,134500
MDTL,26-May-2014,2.77,2.80,2.75,2.77,85500
MDTL,27-May-2014,2.75,2.80,2.75,2.77,160500
MDTL,28-May-2014,2.77,2.84,2.75,2.75,294500
MDTL,29-May-2014,2.79,2.85,2.77,2.81,409500
MDTL,30-May-2014,2.82,2.87,2.76,2.80,109500
MDTL,02-Jun-2014,2.77,2.83,2.74,2.76,553000
MDTL,03-Jun-2014,2.75,2.80,2.50,2.67,381000
MDTL,04-Jun-2014,2.71,2.75,2.65,2.70,129500
MDTL,05-Jun-2014,2.72,2.76,2.67,2.73,263500
MDTL,06-Jun-2014,2.71,2.78,2.70,2.73,174000
MDTL,09-Jun-2014,2.80,2.80,2.55,2.70,413000
MDTL,10-Jun-2014,2.66,2.78,2.65,2.70,109500
MDTL,11-Jun-2014,2.74,2.78,2.69,2.74,246500
MDTL,12-Jun-2014,2.72,2.72,2.68,2.70,70500
MDTL,13-Jun-2014,2.70,2.73,2.60,2.65,237000
MDTL,16-Jun-2014,2.63,2.70,2.60,2.62,650500
MDTL,17-Jun-2014,2.65,2.67,2.60,2.62,477000
MDTL,18-Jun-2014,2.64,2.64,2.59,2.59,239000
MDTL,19-Jun-2014,2.64,2.65,2.50,2.58,455000
MDTL,20-Jun-2014,2.55,2.67,2.55,2.63,156000
MDTL,23-Jun-2014,2.60,2.60,2.50,2.58,68000
MDTL,24-Jun-2014,2.62,2.63,2.57,2.57,65500
MDTL,25-Jun-2014,2.54,2.58,2.51,2.53,186000
MDTL,26-Jun-2014,2.60,2.60,2.53,2.55,51000
MDTL,27-Jun-2014,2.55,2.63,2.50,2.55,173500
MDTL,30-Jun-2014,2.58,2.60,2.55,2.59,141500
MDTL,01-Jul-2014,2.49,2.63,2.49,2.61,6000
MDTL,02-Jul-2014,2.60,2.60,2.50,2.52,493500
MDTL,03-Jul-2014,2.51,2.52,2.40,2.48,114500
MDTL,04-Jul-2014,2.46,2.48,2.43,2.44,39500
MDTL,07-Jul-2014,2.44,2.47,2.36,2.42,113000
MDTL,08-Jul-2014,2.38,2.48,2.37,2.44,151500
MDTL,09-Jul-2014,2.45,2.50,2.43,2.45,78000
MDTL,10-Jul-2014,2.43,2.43,2.20,2.41,44000
MDTL,11-Jul-2014,2.50,2.60,2.41,2.48,72500
MDTL,14-Jul-2014,2.50,2.51,2.50,2.50,12500
MDTL,15-Jul-2014,2.52,2.52,2.40,2.43,69000
MDTL,16-Jul-2014,2.50,2.50,2.44,2.44,8000
MDTL,17-Jul-2014,2.43,2.48,2.40,2.42,246500
MDTL,18-Jul-2014,2.41,2.45,2.40,2.41,66000
MDTL,21-Jul-2014,2.33,2.49,2.33,2.41,164500
MDTL,22-Jul-2014,2.45,2.45,2.40,2.40,130000
MDTL,23-Jul-2014,2.40,2.40,2.40,2.40,13000
MDTL,24-Jul-2014,2.30,2.38,2.30,2.32,179500
MDTL,28-Jul-2014,2.37,2.38,2.20,2.36,127000
MDTL,04-Aug-2014,2.20,2.30,2.15,2.18,193000
MDTL,05-Aug-2014,2.22,2.30,2.22,2.28,12000
MDTL,06-Aug-2014,2.38,2.38,2.15,2.17,39500
MDTL,07-Aug-2014,2.34,2.34,2.18,2.19,35000
MDTL,08-Aug-2014,2.18,2.22,2.18,2.20,60000
MDTL,11-Aug-2014,2.01,2.01,1.70,1.81,1047500
MDTL,12-Aug-2014,1.99,1.99,1.86,1.96,257000
MDTL,13-Aug-2014,1.97,2.10,1.97,2.05,246500
MDTL,15-Aug-2014,2.10,2.15,2.05,2.13,95000
MDTL,18-Aug-2014,2.13,2.13,2.04,2.09,102000
MDTL,19-Aug-2014,2.01,2.12,2.01,2.08,39500
MDTL,20-Aug-2014,2.10,2.14,2.06,2.07,88500
MDTL,21-Aug-2014,2.18,2.18,2.03,2.07,184000
MDTL,22-Aug-2014,2.06,2.17,2.00,2.06,52000
MDTL,25-Aug-2014,2.05,2.08,2.00,2.03,128500
MDTL,26-Aug-2014,2.00,2.04,2.00,2.00,104000
MDTL,27-Aug-2014,2.00,2.05,2.00,2.00,63000
