Symbol,Date,Open,High,Low,Close,Volume
MEHT,01-Jan-2014,219.30,219.39,219.00,219.30,2400
MEHT,03-Jan-2014,221.00,229.80,218.00,223.90,300
MEHT,08-Jan-2014,218.25,218.25,218.00,218.13,300
MEHT,15-Jan-2014,216.00,220.00,216.00,218.00,3200
MEHT,20-Jan-2014,208.00,220.00,208.00,214.00,1200
MEHT,21-Jan-2014,210.00,210.00,205.00,207.50,1200
MEHT,22-Jan-2014,198.00,205.00,198.00,205.00,1000
MEHT,03-Feb-2014,194.75,194.75,194.75,194.75,500
MEHT,07-Feb-2014,185.25,189.00,185.25,187.25,300
MEHT,10-Feb-2014,180.00,185.00,180.00,180.00,2200
MEHT,12-Feb-2014,189.00,189.00,189.00,180.00,100
MEHT,14-Feb-2014,171.00,171.00,171.00,180.00,100
MEHT,26-Feb-2014,171.50,171.50,171.50,171.50,600
MEHT,27-Feb-2014,162.93,162.93,162.93,171.50,100
MEHT,28-Feb-2014,162.93,165.00,162.93,164.00,1700
MEHT,04-Mar-2014,155.80,168.00,155.80,156.91,3200
MEHT,05-Mar-2014,155.00,155.25,155.00,155.13,300
MEHT,06-Mar-2014,154.00,160.00,147.50,160.00,2200
MEHT,11-Mar-2014,152.00,152.00,152.00,152.00,800
MEHT,12-Mar-2014,144.50,154.00,144.50,144.50,400
MEHT,13-Mar-2014,145.00,145.16,145.00,145.05,1600
MEHT,17-Mar-2014,151.00,151.00,151.00,151.00,200
MEHT,18-Mar-2014,151.00,151.00,151.00,151.00,100
MEHT,19-Mar-2014,145.00,145.00,143.50,143.50,400
MEHT,21-Mar-2014,144.00,144.00,143.25,143.63,200
MEHT,24-Mar-2014,145.25,145.25,145.25,145.25,200
MEHT,27-Mar-2014,145.00,149.00,145.00,145.80,1000
MEHT,02-Apr-2014,145.80,145.80,145.80,145.80,100
MEHT,08-Apr-2014,141.56,151.00,141.56,149.00,2000
MEHT,14-Apr-2014,142.00,145.00,141.60,141.60,1700
MEHT,17-Apr-2014,138.00,138.00,137.25,137.25,500
MEHT,18-Apr-2014,144.00,144.00,141.00,142.00,1100
MEHT,22-Apr-2014,137.50,137.50,137.50,137.50,500
MEHT,25-Apr-2014,135.50,135.50,135.50,135.50,200
MEHT,28-Apr-2014,142.00,142.00,142.00,142.00,500
MEHT,30-Apr-2014,141.00,149.10,138.40,149.10,1100
MEHT,02-May-2014,151.90,153.80,151.90,153.80,400
MEHT,05-May-2014,148.50,149.00,147.00,148.75,2300
MEHT,08-May-2014,148.75,148.75,148.75,148.75,100
MEHT,09-May-2014,156.00,156.18,156.00,156.16,3000
MEHT,12-May-2014,149.25,163.90,149.25,163.90,600
MEHT,14-May-2014,172.00,172.09,172.00,172.05,200
MEHT,16-May-2014,177.77,180.65,177.77,180.65,1400
MEHT,19-May-2014,189.00,189.65,189.00,189.43,2900
MEHT,20-May-2014,195.00,198.90,195.00,197.46,1000
MEHT,21-May-2014,206.99,207.00,206.80,206.90,300
MEHT,22-May-2014,216.00,216.00,209.00,209.00,800
MEHT,23-May-2014,217.00,219.00,217.00,218.99,4900
MEHT,26-May-2014,212.00,227.49,211.00,215.83,800
MEHT,27-May-2014,216.00,216.00,206.00,206.50,500
MEHT,28-May-2014,206.50,214.00,197.00,202.45,2600
MEHT,29-May-2014,197.01,197.02,192.50,192.75,2500
MEHT,30-May-2014,200.90,202.38,200.90,202.38,9200
