Symbol,Date,Open,High,Low,Close,Volume
MERITR2,27-Oct-2021,1.01,1.01,1.01,1.01,2260000
MERITR2,28-Oct-2021,2.01,2.01,1.02,2.01,31830000
MERITR2,29-Oct-2021,1.86,2.48,1.85,2.01,27011000
MERITR2,01-Nov-2021,2.02,2.10,1.50,1.72,12978000
MERITR2,02-Nov-2021,1.76,1.88,1.55,1.61,7273500
MERITR2,03-Nov-2021,1.53,1.70,1.35,1.37,7442000
MERITR2,04-Nov-2021,1.38,1.38,1.03,1.10,11241000
MERITR2,05-Nov-2021,1.10,1.39,1.00,1.27,9195500
MERITR2,08-Nov-2021,1.28,1.37,1.15,1.16,7004500
MERITR2,09-Nov-2021,1.16,1.22,0.99,1.05,6770000
MERITR2,10-Nov-2021,1.01,1.12,1.00,1.01,2350000
MERITR2,11-Nov-2021,1.01,1.01,0.78,0.79,9708000
MERITR2,12-Nov-2021,0.80,0.80,0.49,0.52,5669500
MERITR2,15-Nov-2021,0.43,0.49,0.35,0.38,5690000
MERITR2,16-Nov-2021,0.47,0.47,0.30,0.33,6983500
MERITR2,17-Nov-2021,0.31,0.46,0.26,0.37,12155500
MERITR2,18-Nov-2021,0.32,0.37,0.01,0.05,42181500
