Symbol,Date,Open,High,Low,Close,Volume
META,13-Sep-2022,106.50,106.50,106.50,106.50,500
META,14-Sep-2022,114.48,114.48,113.10,114.48,173500
META,15-Sep-2022,123.05,123.06,121.06,123.06,144500
META,16-Sep-2022,29.07,29.07,25.03,25.03,464000
META,19-Sep-2022,23.16,23.85,23.16,23.16,34000
META,20-Sep-2022,21.43,21.43,21.43,21.43,16000
META,21-Sep-2022,19.83,19.83,19.83,19.83,6500
META,22-Sep-2022,18.35,18.98,18.35,18.36,129500
META,23-Sep-2022,19.19,19.73,18.31,19.71,197000
META,26-Sep-2022,20.40,20.50,19.30,19.41,74500
META,27-Sep-2022,19.51,19.85,18.90,19.02,39000
META,28-Sep-2022,17.60,18.65,17.60,17.60,235000
META,29-Sep-2022,16.50,16.95,16.28,16.28,707000
META,30-Sep-2022,16.50,16.50,15.06,15.06,290000
META,03-Oct-2022,14.76,15.48,13.94,14.49,782500
META,04-Oct-2022,14.26,14.73,14.10,14.34,32500
META,05-Oct-2022,14.15,14.68,13.51,13.84,188500
META,06-Oct-2022,14.19,14.87,14.10,14.87,600500
META,07-Oct-2022,15.50,15.89,14.14,14.30,777000
META,10-Oct-2022,14.25,14.25,13.41,13.53,456000
META,11-Oct-2022,13.53,14.20,13.25,13.92,315000
META,12-Oct-2022,13.80,14.00,13.40,13.50,93000
META,13-Oct-2022,13.70,13.70,13.20,13.41,36500
META,14-Oct-2022,13.49,13.58,13.25,13.32,40000
META,17-Oct-2022,13.13,14.32,13.13,14.31,1401500
META,18-Oct-2022,14.45,14.50,13.50,13.54,340000
META,19-Oct-2022,13.55,13.55,13.20,13.27,279500
META,20-Oct-2022,13.21,13.50,13.21,13.27,262500
META,21-Oct-2022,13.11,13.40,12.61,12.74,682500
META,24-Oct-2022,12.85,12.95,12.40,12.50,115000
META,25-Oct-2022,12.60,12.60,11.80,11.87,243000
META,26-Oct-2022,11.75,11.75,10.91,10.98,77000
META,27-Oct-2022,11.19,11.20,10.20,10.79,134000
META,28-Oct-2022,10.97,10.99,10.32,10.89,73500
META,31-Oct-2022,10.98,11.89,10.92,11.00,908000
META,01-Nov-2022,11.00,11.00,10.20,10.30,445500
META,02-Nov-2022,10.25,10.79,10.00,10.23,1021000
META,03-Nov-2022,10.45,10.50,10.02,10.09,288500
META,04-Nov-2022,10.00,10.40,9.75,10.02,275000
META,07-Nov-2022,10.25,10.65,10.00,10.28,875500
META,08-Nov-2022,10.39,10.40,10.00,10.16,88500
META,10-Nov-2022,10.10,11.16,10.10,10.77,858000
META,11-Nov-2022,10.55,11.70,10.30,11.19,411000
META,14-Nov-2022,11.34,11.95,11.00,11.47,432000
META,15-Nov-2022,11.50,11.84,11.15,11.35,203500
META,16-Nov-2022,11.50,12.10,11.50,11.72,486500
META,17-Nov-2022,11.65,11.75,11.50,11.53,258500
META,18-Nov-2022,11.36,11.36,11.00,11.01,57000
META,21-Nov-2022,11.18,11.30,11.01,11.06,26500
META,22-Nov-2022,11.01,11.38,10.80,10.83,80500
META,23-Nov-2022,10.75,10.90,10.65,10.73,35000
META,24-Nov-2022,10.80,10.97,10.70,10.81,27500
META,25-Nov-2022,10.93,10.95,9.81,10.49,132500
META,28-Nov-2022,10.15,10.25,9.90,10.00,63500
META,29-Nov-2022,10.00,10.13,9.70,10.13,80500
