Symbol,Date,Open,High,Low,Close,Volume
MFFL,01-Jan-2014,734.50,734.50,720.00,734.50,2350
MFFL,02-Jan-2014,769.00,771.22,745.00,750.44,20750
MFFL,03-Jan-2014,758.00,758.00,725.00,725.51,6300
MFFL,06-Jan-2014,700.10,723.00,700.10,706.87,2800
MFFL,07-Jan-2014,704.00,705.00,698.00,700.50,1200
MFFL,08-Jan-2014,695.15,735.52,695.15,735.52,2650
MFFL,09-Jan-2014,772.29,772.29,761.00,761.00,8800
MFFL,10-Jan-2014,770.00,799.05,761.00,799.05,5700
MFFL,13-Jan-2014,839.00,839.00,835.00,839.00,12700
MFFL,15-Jan-2014,880.95,880.95,839.00,880.95,5000
MFFL,16-Jan-2014,920.00,924.99,920.00,924.99,2350
MFFL,17-Jan-2014,971.23,971.23,967.00,971.22,9450
MFFL,20-Jan-2014,1009.00,1015.00,922.66,988.34,10100
MFFL,21-Jan-2014,1010.00,1010.00,966.50,997.44,3000
MFFL,22-Jan-2014,810.00,831.54,810.00,831.54,2500
MFFL,23-Jan-2014,873.11,873.11,851.00,873.11,700
MFFL,24-Jan-2014,916.76,916.76,890.00,916.00,2300
MFFL,27-Jan-2014,917.00,947.99,895.00,898.33,2300
MFFL,28-Jan-2014,855.00,875.00,853.60,853.60,1150
MFFL,29-Jan-2014,830.00,830.00,810.92,810.92,650
MFFL,30-Jan-2014,770.38,770.38,770.38,770.38,350
MFFL,31-Jan-2014,731.87,731.87,731.87,731.87,450
MFFL,03-Feb-2014,695.28,760.00,695.28,750.00,2550
MFFL,04-Feb-2014,714.00,750.00,713.00,730.00,1500
MFFL,06-Feb-2014,730.00,730.00,693.50,693.62,3050
MFFL,07-Feb-2014,709.00,709.00,660.00,666.67,300
MFFL,10-Feb-2014,635.10,640.00,633.34,633.34,1850
MFFL,11-Feb-2014,633.00,639.99,622.00,631.50,650
MFFL,12-Feb-2014,660.00,660.00,640.00,652.13,450
MFFL,13-Feb-2014,654.90,654.90,654.90,654.90,50
MFFL,14-Feb-2014,650.00,650.00,650.00,650.00,50
MFFL,17-Feb-2014,618.00,619.00,618.00,618.04,1450
MFFL,18-Feb-2014,591.00,591.00,587.14,587.14,600
MFFL,19-Feb-2014,582.00,582.00,582.00,582.00,100
MFFL,20-Feb-2014,580.00,590.00,552.90,560.00,1350
MFFL,21-Feb-2014,567.00,581.90,565.00,565.00,400
MFFL,24-Feb-2014,570.00,586.00,567.10,584.66,300
MFFL,25-Feb-2014,578.00,585.00,578.00,585.00,600
MFFL,26-Feb-2014,585.00,585.00,585.00,585.00,150
