Symbol,Date,Open,High,Low,Close,Volume
MFL,13-Feb-2018,27.30,27.30,27.10,27.30,2493000
MFL,14-Feb-2018,27.94,28.49,26.85,27.03,6590500
MFL,15-Feb-2018,27.19,27.40,25.85,26.22,3267500
MFL,16-Feb-2018,26.45,26.85,26.17,26.65,1086000
MFL,19-Feb-2018,26.51,27.98,26.50,27.50,6801500
MFL,20-Feb-2018,27.70,27.70,26.40,27.41,2121500
MFL,21-Feb-2018,28.00,28.78,27.50,28.78,8106000
MFL,22-Feb-2018,28.70,29.72,28.51,29.09,6847500
MFL,23-Feb-2018,29.25,29.44,27.70,28.49,3436500
MFL,26-Feb-2018,29.05,29.20,27.72,27.95,2295000
MFL,27-Feb-2018,27.99,29.34,27.81,28.99,3881500
MFL,28-Feb-2018,29.99,30.30,29.45,29.63,4298500
MFL,01-Mar-2018,29.71,29.97,28.80,29.00,2475500
MFL,02-Mar-2018,29.20,30.33,29.10,30.06,3579500
MFL,05-Mar-2018,30.30,30.60,29.60,29.81,1544500
MFL,06-Mar-2018,29.89,30.45,29.81,30.22,2336500
MFL,07-Mar-2018,31.00,31.73,30.50,31.60,12791000
MFL,08-Mar-2018,31.99,32.20,30.80,31.50,6091500
MFL,09-Mar-2018,31.50,31.68,30.05,30.31,1603000
MFL,12-Mar-2018,30.64,31.20,30.50,30.58,942500
MFL,13-Mar-2018,30.52,31.84,30.40,31.66,1575500
MFL,14-Mar-2018,31.80,33.24,31.65,32.87,6873000
MFL,15-Mar-2018,33.31,34.51,33.25,34.51,4767500
MFL,16-Mar-2018,35.30,35.31,33.50,33.76,3191000
MFL,19-Mar-2018,34.10,35.44,33.95,35.44,2569000
MFL,20-Mar-2018,36.15,37.21,36.00,37.21,2750000
MFL,21-Mar-2018,38.50,39.07,38.26,39.07,3358500
MFL,22-Mar-2018,40.00,41.02,39.75,41.02,2887500
MFL,26-Mar-2018,42.48,43.07,40.90,41.55,4666500
MFL,27-Mar-2018,41.80,42.15,39.19,39.30,4132500
MFL,28-Mar-2018,39.39,41.26,38.36,41.21,5272000
MFL,29-Mar-2018,41.20,42.15,40.30,40.50,2620500
MFL,30-Mar-2018,40.30,40.74,39.26,39.45,1315500
MFL,02-Apr-2018,39.60,41.25,38.59,40.06,1911500
MFL,03-Apr-2018,40.20,40.80,38.85,39.01,1278000
MFL,04-Apr-2018,39.24,39.84,38.65,39.04,1578500
MFL,05-Apr-2018,39.49,39.50,38.35,38.58,799500
MFL,06-Apr-2018,39.05,39.60,38.56,38.84,2578000
MFL,09-Apr-2018,39.25,40.45,38.90,39.36,3143500
MFL,10-Apr-2018,39.80,40.00,38.85,39.52,2097000
MFL,11-Apr-2018,40.00,40.65,39.50,39.60,3393000
MFL,12-Apr-2018,39.80,40.75,39.02,39.61,3198500
MFL,13-Apr-2018,39.70,41.59,39.70,41.59,4550000
MFL,16-Apr-2018,42.50,43.66,41.85,42.41,6748500
MFL,17-Apr-2018,42.50,42.50,41.55,41.69,1606000
MFL,18-Apr-2018,41.97,42.70,41.74,42.15,2643000
MFL,19-Apr-2018,42.20,43.24,40.50,41.65,2970500
MFL,20-Apr-2018,41.88,41.94,41.00,41.59,888500
MFL,23-Apr-2018,41.52,43.16,41.02,42.82,2878000
MFL,24-Apr-2018,43.05,44.96,43.01,44.96,4539500
MFL,25-Apr-2018,45.51,46.45,44.00,45.19,4953500
MFL,26-Apr-2018,45.00,45.10,42.94,42.94,1936000
MFL,27-Apr-2018,40.80,42.25,40.80,41.17,10978500
MFL,30-Apr-2018,41.80,41.80,39.25,39.96,3228000
MFL,02-May-2018,40.30,41.49,39.62,40.37,2490000
MFL,03-May-2018,40.69,40.69,38.40,38.63,1069500
MFL,04-May-2018,38.89,39.00,37.31,37.70,1504000
MFL,07-May-2018,37.79,39.58,37.79,39.48,1684000
MFL,08-May-2018,40.10,40.30,37.52,38.02,2168000
MFL,09-May-2018,38.00,38.15,36.32,37.56,1537000
MFL,10-May-2018,37.56,38.80,37.56,38.03,1065500
MFL,11-May-2018,38.20,38.50,37.55,38.14,707500
MFL,14-May-2018,38.01,38.01,36.24,36.30,959000
MFL,15-May-2018,36.80,37.55,35.56,37.37,1602500
MFL,16-May-2018,37.60,38.50,37.59,37.87,1035500
MFL,17-May-2018,37.90,38.36,37.75,37.86,248500
MFL,18-May-2018,38.20,38.20,37.10,37.51,98500
MFL,21-May-2018,37.99,37.99,36.61,36.86,146000
MFL,22-May-2018,37.20,38.70,37.20,38.70,1554000
MFL,23-May-2018,39.45,40.63,39.10,40.63,4020500
MFL,24-May-2018,41.00,42.00,40.40,41.21,2614000
MFL,25-May-2018,41.00,41.09,40.00,40.40,595500
MFL,28-May-2018,40.00,41.80,39.60,40.22,1103000
MFL,29-May-2018,40.59,41.00,40.11,40.49,1667000
MFL,30-May-2018,40.35,40.50,39.60,39.85,1079000
MFL,31-May-2018,39.78,41.40,39.78,40.68,2025000
MFL,01-Jun-2018,40.60,40.90,40.00,40.47,270500
MFL,04-Jun-2018,40.60,41.85,40.38,40.82,1036500
MFL,05-Jun-2018,41.00,41.43,40.50,40.59,746500
MFL,06-Jun-2018,40.79,41.19,39.75,39.97,587000
MFL,07-Jun-2018,39.80,40.94,38.80,38.97,1933500
MFL,11-Jun-2018,40.00,40.91,39.25,39.44,1969500
MFL,12-Jun-2018,39.74,40.00,37.47,37.48,1769500
MFL,13-Jun-2018,38.19,38.40,37.20,37.76,438000
MFL,14-Jun-2018,37.90,38.50,37.90,38.13,970500
MFL,19-Jun-2018,38.44,39.00,38.37,38.54,389000
MFL,20-Jun-2018,38.40,39.26,38.01,38.31,675000
MFL,21-Jun-2018,38.00,38.75,37.35,37.98,619000
MFL,22-Jun-2018,38.00,38.30,36.31,36.53,456000
