Symbol,Date,Open,High,Low,Close,Volume
MFTM,01-Jan-2014,5.45,5.60,5.10,5.60,873500
MFTM,02-Jan-2014,6.27,6.60,5.70,6.55,1247500
MFTM,03-Jan-2014,6.80,6.97,5.90,5.97,524500
MFTM,06-Jan-2014,5.99,6.70,5.63,6.53,569500
MFTM,07-Jan-2014,6.75,7.53,6.75,7.53,787000
MFTM,08-Jan-2014,7.90,8.53,7.75,8.50,1161500
MFTM,09-Jan-2014,8.90,9.40,8.00,8.59,1373000
MFTM,10-Jan-2014,8.30,9.59,8.20,9.57,1261000
MFTM,13-Jan-2014,9.98,9.98,9.15,9.44,238500
MFTM,15-Jan-2014,9.05,9.40,8.50,8.57,369000
MFTM,16-Jan-2014,8.50,8.60,7.70,8.29,534500
MFTM,17-Jan-2014,8.02,8.64,7.96,8.02,195000
MFTM,20-Jan-2014,8.20,8.20,7.55,7.85,148000
MFTM,21-Jan-2014,7.65,8.49,7.65,8.12,324500
MFTM,22-Jan-2014,8.25,8.80,8.04,8.44,433000
MFTM,23-Jan-2014,8.41,9.30,8.25,8.68,928000
MFTM,24-Jan-2014,8.76,8.76,8.10,8.35,181500
MFTM,27-Jan-2014,8.39,8.39,7.68,7.71,145500
MFTM,28-Jan-2014,7.71,8.15,7.60,7.94,85000
MFTM,29-Jan-2014,7.60,8.10,7.50,7.60,105500
MFTM,30-Jan-2014,7.65,8.04,7.62,7.78,87500
MFTM,31-Jan-2014,7.70,7.94,7.40,7.51,39000
MFTM,03-Feb-2014,7.75,8.00,7.20,7.30,76500
MFTM,04-Feb-2014,7.33,7.33,6.60,6.73,99000
MFTM,06-Feb-2014,6.55,6.90,6.30,6.51,146000
MFTM,07-Feb-2014,6.31,6.60,6.30,6.49,60000
MFTM,10-Feb-2014,6.40,6.40,5.86,5.96,59500
MFTM,11-Feb-2014,5.62,6.29,5.62,6.00,26000
MFTM,12-Feb-2014,6.40,7.00,6.40,6.77,232500
MFTM,13-Feb-2014,7.11,7.14,6.51,6.61,17500
MFTM,14-Feb-2014,6.65,6.65,6.05,6.07,9000
MFTM,17-Feb-2014,5.99,5.99,5.49,5.49,17000
MFTM,18-Feb-2014,5.00,5.42,4.80,5.04,70500
MFTM,19-Feb-2014,5.39,5.60,5.05,5.46,75500
MFTM,20-Feb-2014,5.42,5.60,5.30,5.30,29500
MFTM,21-Feb-2014,5.20,5.50,5.20,5.37,16500
MFTM,24-Feb-2014,5.50,5.50,5.40,5.40,11500
MFTM,25-Feb-2014,5.30,5.40,5.20,5.23,42500
MFTM,26-Feb-2014,5.15,5.15,4.95,5.01,13000
MFTM,27-Feb-2014,4.75,5.00,4.75,5.00,7500
MFTM,28-Feb-2014,4.36,4.50,4.25,4.26,33000
MFTM,03-Mar-2014,4.01,4.20,4.00,4.15,73500
MFTM,04-Mar-2014,4.40,4.45,4.00,4.41,21000
MFTM,05-Mar-2014,4.60,4.75,4.35,4.75,54500
MFTM,06-Mar-2014,5.00,5.75,4.85,5.61,207000
MFTM,07-Mar-2014,5.80,6.42,5.75,5.83,132500
MFTM,10-Mar-2014,5.89,5.89,5.12,5.15,59000
MFTM,11-Mar-2014,5.35,5.39,4.80,4.92,57500
MFTM,12-Mar-2014,4.81,4.90,4.60,4.85,22000
MFTM,13-Mar-2014,4.84,4.90,4.55,4.60,33000
MFTM,14-Mar-2014,4.85,5.13,4.65,4.85,65500
MFTM,17-Mar-2014,5.00,5.34,5.00,5.25,74000
MFTM,18-Mar-2014,5.25,5.25,4.70,4.73,95500
MFTM,19-Mar-2014,4.76,4.80,4.50,4.53,38500
MFTM,20-Mar-2014,4.54,4.68,4.54,4.62,100000
MFTM,21-Mar-2014,4.50,4.51,4.50,4.51,7500
MFTM,24-Mar-2014,4.40,4.59,4.40,4.44,15500
MFTM,25-Mar-2014,4.73,4.73,4.40,4.59,46500
MFTM,26-Mar-2014,4.40,4.50,4.00,4.34,80500
MFTM,27-Mar-2014,4.25,4.39,4.16,4.30,51500
MFTM,28-Mar-2014,4.70,4.74,4.00,4.13,40500
MFTM,31-Mar-2014,4.10,4.38,4.10,4.30,4500
MFTM,01-Apr-2014,4.59,4.89,4.20,4.65,84500
MFTM,02-Apr-2014,4.77,4.77,4.55,4.70,11000
MFTM,03-Apr-2014,4.50,4.88,4.40,4.42,27500
MFTM,04-Apr-2014,4.30,4.57,4.27,4.42,60500
MFTM,07-Apr-2014,4.30,4.40,4.25,4.26,34000
MFTM,08-Apr-2014,4.39,4.70,4.29,4.48,85000
MFTM,09-Apr-2014,4.55,4.55,4.38,4.38,7500
MFTM,10-Apr-2014,4.10,4.55,4.02,4.09,24500
MFTM,11-Apr-2014,4.06,4.14,3.80,4.13,38000
MFTM,14-Apr-2014,4.00,4.13,4.00,4.07,21500
MFTM,15-Apr-2014,4.10,4.21,4.02,4.19,10500
MFTM,16-Apr-2014,4.26,4.26,4.00,4.15,22500
MFTM,17-Apr-2014,4.00,4.20,4.00,4.09,15000
MFTM,18-Apr-2014,4.50,4.85,4.40,4.48,206500
MFTM,21-Apr-2014,4.26,4.36,4.12,4.30,17000
MFTM,22-Apr-2014,4.25,4.40,4.11,4.33,7000
MFTM,23-Apr-2014,4.00,4.43,4.00,4.29,18000
MFTM,25-Apr-2014,3.97,4.15,3.88,3.95,24000
MFTM,28-Apr-2014,3.96,4.11,3.90,4.00,33000
MFTM,29-Apr-2014,3.90,4.00,3.90,3.99,4500
MFTM,30-Apr-2014,3.99,4.05,3.50,3.93,54000
MFTM,02-May-2014,3.70,3.72,3.70,3.70,35000
MFTM,05-May-2014,4.00,4.00,3.70,3.70,15500
MFTM,08-May-2014,3.20,3.80,3.20,3.64,4500
MFTM,12-May-2014,3.65,3.80,3.65,3.75,4000
MFTM,13-May-2014,3.99,3.99,3.50,3.62,11500
MFTM,14-May-2014,3.64,3.64,3.40,3.44,16000
MFTM,15-May-2014,3.45,3.77,3.45,3.60,15000
MFTM,16-May-2014,3.70,4.30,3.70,4.26,199500
MFTM,19-May-2014,4.01,4.35,4.00,4.15,50500
MFTM,20-May-2014,4.00,4.15,4.00,4.02,10000
MFTM,21-May-2014,4.02,4.10,4.00,4.00,5000
MFTM,22-May-2014,4.04,4.24,4.00,4.00,8500
MFTM,23-May-2014,3.80,4.00,3.80,3.95,7000
MFTM,26-May-2014,4.00,4.05,3.85,3.88,19000
MFTM,27-May-2014,3.85,3.95,3.85,3.95,8000
MFTM,28-May-2014,3.76,3.95,3.75,3.85,20500
MFTM,29-May-2014,3.99,4.24,3.99,4.02,23000
MFTM,30-May-2014,3.87,3.87,3.87,3.87,1500
MFTM,02-Jun-2014,4.00,4.03,3.82,3.83,3000
MFTM,03-Jun-2014,3.90,3.90,3.67,3.90,18000
MFTM,04-Jun-2014,4.25,4.69,4.17,4.37,315000
MFTM,05-Jun-2014,4.60,4.60,4.03,4.04,23500
MFTM,06-Jun-2014,4.00,4.28,3.60,4.02,55000
MFTM,10-Jun-2014,3.91,4.05,3.90,3.90,2000
MFTM,11-Jun-2014,4.00,4.20,4.00,4.20,1500
MFTM,12-Jun-2014,4.00,4.51,4.00,4.05,276000
MFTM,13-Jun-2014,4.07,4.25,4.02,4.10,98500
MFTM,16-Jun-2014,3.82,4.00,3.82,4.00,3000
MFTM,17-Jun-2014,4.01,4.06,3.80,3.81,17000
MFTM,18-Jun-2014,3.80,4.00,3.75,3.88,20000
MFTM,19-Jun-2014,3.80,3.80,3.55,3.56,29500
MFTM,23-Jun-2014,3.30,3.98,3.00,3.50,94500
MFTM,24-Jun-2014,3.50,3.64,3.40,3.50,11000
MFTM,25-Jun-2014,3.51,3.55,3.37,3.54,45500
MFTM,26-Jun-2014,3.36,3.50,3.35,3.50,13500
MFTM,27-Jun-2014,3.40,3.40,3.35,3.35,5500
MFTM,30-Jun-2014,3.40,3.40,3.40,3.40,1000
MFTM,01-Jul-2014,3.50,3.60,3.50,3.60,1500
MFTM,02-Jul-2014,3.50,3.50,3.40,3.40,7500
MFTM,03-Jul-2014,3.40,3.40,3.35,3.35,2000
MFTM,04-Jul-2014,3.30,3.30,3.30,3.30,4500
MFTM,07-Jul-2014,3.25,3.31,3.25,3.31,7500
MFTM,08-Jul-2014,3.35,3.35,3.30,3.33,31000
MFTM,09-Jul-2014,3.32,3.45,3.30,3.45,16500
