Symbol,Date,Open,High,Low,Close,Volume
MIRKS,01-Jan-2014,41.50,43.00,41.50,43.00,8000
MIRKS,03-Jan-2014,41.33,42.01,41.30,42.00,55000
MIRKS,06-Jan-2014,42.50,42.50,42.00,42.00,18000
MIRKS,07-Jan-2014,43.00,43.00,41.92,41.92,18000
MIRKS,08-Jan-2014,42.25,43.90,42.25,43.90,2000
MIRKS,09-Jan-2014,42.99,43.25,42.99,43.03,53000
MIRKS,10-Jan-2014,42.50,42.50,42.50,42.50,1000
MIRKS,13-Jan-2014,43.15,44.62,43.15,44.62,46000
MIRKS,15-Jan-2014,46.85,46.85,46.85,46.85,6000
MIRKS,16-Jan-2014,49.19,49.19,49.19,49.19,1000
MIRKS,17-Jan-2014,51.64,51.64,51.64,51.64,1500
MIRKS,20-Jan-2014,54.22,54.22,52.50,54.22,194500
MIRKS,21-Jan-2014,56.93,56.93,56.93,56.93,15000
MIRKS,22-Jan-2014,59.77,59.77,59.77,59.77,1000
MIRKS,23-Jan-2014,62.75,62.75,62.75,62.75,500
MIRKS,24-Jan-2014,65.88,65.88,65.88,65.88,121000
MIRKS,27-Jan-2014,69.17,69.17,62.59,63.65,185500
MIRKS,28-Jan-2014,65.00,65.00,60.47,60.47,52500
MIRKS,29-Jan-2014,57.51,57.51,57.45,57.45,9500
MIRKS,30-Jan-2014,54.58,60.32,54.58,57.33,303500
MIRKS,31-Jan-2014,57.00,58.50,57.00,58.00,19000
MIRKS,03-Feb-2014,58.00,60.00,56.10,56.87,23500
MIRKS,04-Feb-2014,56.00,59.49,56.00,57.05,14000
MIRKS,06-Feb-2014,58.00,59.45,57.00,57.53,12500
MIRKS,07-Feb-2014,56.13,60.40,56.12,59.50,17000
MIRKS,10-Feb-2014,57.03,58.53,56.53,56.53,39500
MIRKS,11-Feb-2014,53.75,58.50,53.75,57.40,203500
MIRKS,12-Feb-2014,59.99,60.27,59.00,60.27,212000
MIRKS,13-Feb-2014,63.00,63.28,61.10,62.19,226000
MIRKS,14-Feb-2014,62.50,62.50,59.09,59.09,26000
MIRKS,17-Feb-2014,56.14,56.14,56.14,56.14,8500
MIRKS,18-Feb-2014,53.61,56.85,53.34,55.08,42500
MIRKS,19-Feb-2014,55.00,56.50,54.25,55.40,17500
MIRKS,20-Feb-2014,55.40,55.43,55.39,55.41,3000
MIRKS,21-Feb-2014,57.49,57.49,56.00,57.20,6500
MIRKS,24-Feb-2014,58.50,59.85,57.90,59.57,46500
MIRKS,25-Feb-2014,61.35,61.35,59.00,59.14,30500
MIRKS,26-Feb-2014,61.00,61.00,59.00,60.00,15000
