Symbol,Date,Open,High,Low,Close,Volume
MODAMR,04-Nov-2021,2.43,2.43,1.75,1.90,11957500
MODAMR,05-Nov-2021,1.85,2.00,1.66,1.76,3190000
MODAMR,08-Nov-2021,1.76,1.90,1.46,1.51,3952500
MODAMR,09-Nov-2021,1.46,1.47,1.02,1.26,2143500
MODAMR,10-Nov-2021,1.19,1.30,0.98,1.02,1775000
MODAMR,11-Nov-2021,1.10,1.19,1.02,1.03,1221000
MODAMR,12-Nov-2021,1.00,1.00,0.75,0.82,1964500
MODAMR,15-Nov-2021,0.70,1.26,0.70,0.89,3297000
MODAMR,16-Nov-2021,0.90,0.97,0.70,0.72,1834500
MODAMR,17-Nov-2021,0.85,0.85,0.54,0.58,1506500
MODAMR,18-Nov-2021,0.62,0.67,0.45,0.62,3514000
MODAMR,19-Nov-2021,0.65,0.73,0.45,0.59,4376500
MODAMR,22-Nov-2021,0.61,0.61,0.35,0.38,2862000
MODAMR,23-Nov-2021,0.42,0.42,0.20,0.22,3044500
MODAMR,24-Nov-2021,0.23,0.24,0.12,0.14,2468000
MODAMR,25-Nov-2021,0.15,0.15,0.04,0.06,5296000
MODAMR,26-Nov-2021,0.04,0.11,0.01,0.02,13246000
