Symbol,Date,Open,High,Low,Close,Volume
MODAM,01-Jan-2014,1.75,1.75,1.56,1.60,89500
MODAM,02-Jan-2014,1.75,1.79,1.65,1.73,53000
MODAM,03-Jan-2014,1.73,2.39,1.73,2.02,295500
MODAM,06-Jan-2014,2.02,2.50,1.91,1.95,292500
MODAM,07-Jan-2014,2.00,2.02,2.00,2.00,37000
MODAM,08-Jan-2014,2.00,2.00,1.86,1.90,18000
MODAM,09-Jan-2014,1.99,2.14,1.99,2.13,36500
MODAM,10-Jan-2014,2.15,2.15,2.15,2.15,10000
MODAM,13-Jan-2014,2.20,2.20,2.00,2.09,13500
MODAM,15-Jan-2014,2.10,2.20,2.10,2.17,29000
MODAM,16-Jan-2014,2.21,2.25,2.11,2.20,29000
MODAM,21-Jan-2014,2.10,2.10,2.10,2.10,3500
MODAM,22-Jan-2014,2.05,2.07,2.05,2.06,6000
MODAM,23-Jan-2014,2.01,2.49,2.01,2.38,50500
MODAM,24-Jan-2014,2.02,2.06,2.02,2.06,1500
MODAM,27-Jan-2014,2.11,2.11,2.10,2.10,6500
MODAM,28-Jan-2014,2.13,3.10,2.13,3.10,942500
MODAM,29-Jan-2014,3.40,3.75,2.66,2.80,469000
MODAM,30-Jan-2014,3.19,3.19,2.72,2.75,11500
MODAM,31-Jan-2014,2.88,2.90,2.60,2.78,13000
MODAM,03-Feb-2014,2.30,2.74,2.25,2.67,16000
MODAM,04-Feb-2014,2.65,2.65,2.35,2.50,44000
MODAM,06-Feb-2014,2.55,2.79,2.53,2.66,141000
MODAM,07-Feb-2014,2.99,3.66,2.99,3.43,1764500
MODAM,10-Feb-2014,3.48,3.48,2.80,2.94,287500
MODAM,11-Feb-2014,2.90,3.10,2.90,3.02,83500
MODAM,12-Feb-2014,3.20,3.40,2.95,3.02,117500
MODAM,13-Feb-2014,3.14,3.14,2.55,2.76,135500
MODAM,14-Feb-2014,2.69,2.80,2.45,2.50,198500
MODAM,17-Feb-2014,2.50,2.68,2.40,2.68,7000
MODAM,18-Feb-2014,2.28,2.59,2.25,2.54,84000
MODAM,19-Feb-2014,2.89,2.89,2.36,2.54,9500
MODAM,20-Feb-2014,2.91,2.92,2.33,2.45,38500
MODAM,21-Feb-2014,2.75,2.75,2.50,2.53,16500
MODAM,24-Feb-2014,2.56,2.74,2.56,2.69,9000
MODAM,25-Feb-2014,2.70,2.71,2.56,2.70,3500
MODAM,26-Feb-2014,2.77,2.77,2.62,2.70,328500
MODAM,27-Feb-2014,2.70,2.85,2.68,2.80,108500
