Symbol,Date,Open,High,Low,Close,Volume
MQTM,01-Jan-2014,32.98,32.98,32.98,32.98,9000
MQTM,02-Jan-2014,34.62,34.62,34.62,34.62,12000
MQTM,03-Jan-2014,36.35,36.35,33.00,36.31,398000
MQTM,06-Jan-2014,38.12,38.12,37.10,38.12,245500
MQTM,07-Jan-2014,39.43,39.90,38.30,38.66,144500
MQTM,08-Jan-2014,39.75,40.59,38.10,38.27,108500
MQTM,09-Jan-2014,38.02,38.02,36.36,36.40,137000
MQTM,10-Jan-2014,36.30,36.90,34.60,34.80,66500
MQTM,13-Jan-2014,34.00,36.00,34.00,35.18,49500
MQTM,15-Jan-2014,35.89,36.93,35.80,36.93,65000
MQTM,16-Jan-2014,38.49,38.60,36.00,36.10,108500
MQTM,17-Jan-2014,36.00,37.40,36.00,37.00,43000
MQTM,20-Jan-2014,37.30,38.00,36.80,37.42,24500
MQTM,21-Jan-2014,37.85,39.29,37.85,39.29,96000
MQTM,22-Jan-2014,41.00,41.25,40.40,41.25,107000
MQTM,23-Jan-2014,42.75,42.75,39.20,39.40,79000
MQTM,24-Jan-2014,38.31,39.99,38.25,39.99,4000
MQTM,27-Jan-2014,38.15,38.99,38.00,38.00,114500
MQTM,28-Jan-2014,38.00,38.00,37.50,37.56,15000
MQTM,29-Jan-2014,36.50,37.00,36.00,36.23,16000
MQTM,30-Jan-2014,35.90,37.00,35.25,36.96,15500
MQTM,31-Jan-2014,36.30,37.45,35.21,35.54,17500
MQTM,03-Feb-2014,36.00,36.95,36.00,36.60,8500
MQTM,04-Feb-2014,36.70,36.99,36.70,36.70,6000
MQTM,06-Feb-2014,36.00,36.00,34.90,36.00,5000
MQTM,07-Feb-2014,35.50,36.00,35.25,35.50,54000
MQTM,10-Feb-2014,35.00,35.00,33.80,33.80,96500
MQTM,11-Feb-2014,33.30,33.30,33.00,33.13,3000
MQTM,12-Feb-2014,34.00,34.78,34.00,34.75,32500
MQTM,13-Feb-2014,35.00,35.00,33.30,33.60,12500
MQTM,17-Feb-2014,32.75,32.75,32.50,32.50,21500
MQTM,18-Feb-2014,32.00,33.00,30.88,32.76,32000
MQTM,19-Feb-2014,33.79,33.79,33.79,33.79,500
MQTM,20-Feb-2014,34.00,34.00,32.15,32.88,23500
MQTM,21-Feb-2014,33.50,33.50,33.50,33.50,500
MQTM,24-Feb-2014,33.99,33.99,31.85,31.85,109000
MQTM,25-Feb-2014,30.55,30.55,30.26,30.26,130000
MQTM,26-Feb-2014,29.50,29.50,28.75,28.79,20000
MQTM,27-Feb-2014,27.70,28.50,27.36,27.44,49500
MQTM,28-Feb-2014,27.00,28.00,26.80,27.61,11500
MQTM,03-Mar-2014,27.05,27.50,26.75,27.21,53500
MQTM,04-Mar-2014,27.01,28.57,27.01,28.57,17500
MQTM,05-Mar-2014,29.25,29.50,28.49,29.07,7500
MQTM,06-Mar-2014,29.45,29.50,29.00,29.25,11500
MQTM,10-Mar-2014,28.10,28.50,27.80,28.06,9500
MQTM,11-Mar-2014,27.70,28.00,27.55,27.55,8000
MQTM,12-Mar-2014,26.50,27.00,26.20,26.45,28000
MQTM,13-Mar-2014,26.90,26.90,26.55,26.55,1500
MQTM,14-Mar-2014,26.95,27.00,26.25,26.81,12000
MQTM,17-Mar-2014,27.00,27.43,26.70,27.39,6000
MQTM,18-Mar-2014,27.10,27.10,27.03,27.03,1000
MQTM,19-Mar-2014,27.80,27.88,26.90,27.47,2500
MQTM,21-Mar-2014,27.01,27.01,27.01,27.01,1000
MQTM,24-Mar-2014,26.21,26.21,26.20,26.20,1500
MQTM,25-Mar-2014,26.70,26.89,26.25,26.74,5500
MQTM,26-Mar-2014,27.35,27.35,26.99,26.99,1500
MQTM,27-Mar-2014,27.35,27.46,26.50,26.50,3500
MQTM,28-Mar-2014,26.11,26.11,25.18,25.20,103500
MQTM,31-Mar-2014,26.10,26.20,26.00,26.00,2000
MQTM,01-Apr-2014,26.20,26.20,26.20,26.20,2000
MQTM,02-Apr-2014,26.40,26.90,26.40,26.61,5000
MQTM,03-Apr-2014,27.35,27.45,26.70,27.20,6000
MQTM,04-Apr-2014,27.45,27.45,27.00,27.00,1000
MQTM,07-Apr-2014,27.00,27.00,27.00,27.00,1000
MQTM,08-Apr-2014,27.00,27.90,27.00,27.30,9500
MQTM,09-Apr-2014,27.00,27.00,26.50,26.87,7000
MQTM,10-Apr-2014,26.51,27.00,26.51,26.90,4500
MQTM,11-Apr-2014,26.60,27.25,26.25,26.27,3000
MQTM,14-Apr-2014,27.30,27.39,26.01,26.06,4000
MQTM,15-Apr-2014,25.31,25.40,25.00,25.03,6000
MQTM,16-Apr-2014,24.95,25.50,24.95,25.50,4500
MQTM,17-Apr-2014,25.00,25.05,24.50,25.05,17000
MQTM,18-Apr-2014,25.95,26.30,25.95,26.30,37500
MQTM,21-Apr-2014,27.50,27.50,26.01,26.01,6000
MQTM,22-Apr-2014,25.75,25.75,25.75,25.75,1000
MQTM,23-Apr-2014,26.00,26.00,26.00,26.00,500
MQTM,24-Apr-2014,25.15,25.15,24.70,24.70,13000
MQTM,25-Apr-2014,23.47,23.47,23.47,23.47,3500
MQTM,28-Apr-2014,22.30,24.40,22.30,22.62,25000
MQTM,29-Apr-2014,23.75,23.75,21.70,22.00,5500
MQTM,30-Apr-2014,22.80,22.85,22.80,22.84,3500
MQTM,02-May-2014,22.31,23.65,21.80,21.80,10500
MQTM,05-May-2014,22.88,22.88,21.50,21.50,5000
MQTM,07-May-2014,22.50,22.50,20.60,21.78,8000
MQTM,09-May-2014,21.40,21.40,21.40,21.40,1000
MQTM,12-May-2014,21.99,21.99,21.00,21.42,4000
MQTM,13-May-2014,21.77,21.80,21.00,21.40,8000
MQTM,14-May-2014,21.80,21.80,21.80,21.80,500
MQTM,15-May-2014,21.60,21.60,20.75,21.04,15500
MQTM,16-May-2014,21.00,22.09,21.00,22.09,12000
MQTM,19-May-2014,22.50,23.19,22.00,23.19,19500
MQTM,20-May-2014,23.75,23.75,22.55,22.90,2000
MQTM,21-May-2014,22.55,23.35,22.55,22.94,6500
MQTM,22-May-2014,22.90,22.90,22.85,22.85,10500
MQTM,23-May-2014,22.85,23.74,22.00,22.30,34000
MQTM,26-May-2014,22.59,23.10,22.40,23.10,4000
MQTM,27-May-2014,23.00,23.00,23.00,23.00,2000
MQTM,28-May-2014,22.75,22.75,22.75,22.75,500
MQTM,29-May-2014,22.99,23.88,22.99,23.20,10500
MQTM,30-May-2014,22.80,22.80,22.55,22.56,3500
MQTM,02-Jun-2014,23.00,23.00,22.75,22.75,7000
MQTM,03-Jun-2014,23.00,23.00,22.15,22.50,5500
MQTM,04-Jun-2014,23.50,23.62,23.00,23.61,30000
MQTM,06-Jun-2014,22.65,22.80,22.43,22.43,4500
MQTM,09-Jun-2014,21.91,21.91,21.91,21.91,500
MQTM,10-Jun-2014,22.50,22.50,22.50,22.50,1500
MQTM,11-Jun-2014,22.85,22.85,22.70,22.70,1500
MQTM,12-Jun-2014,22.89,23.25,22.60,22.68,4000
MQTM,13-Jun-2014,22.70,22.70,22.51,22.52,2500
MQTM,17-Jun-2014,22.25,22.30,21.55,21.60,5000
MQTM,19-Jun-2014,20.90,21.00,20.90,21.00,4000
MQTM,20-Jun-2014,22.00,22.00,22.00,22.00,1000
MQTM,23-Jun-2014,20.90,22.24,20.90,22.24,11000
MQTM,24-Jun-2014,21.36,22.00,21.36,22.00,7000
MQTM,25-Jun-2014,21.31,21.31,21.01,21.29,15500
MQTM,26-Jun-2014,21.00,21.15,21.00,21.15,1500
MQTM,27-Jun-2014,21.25,21.40,21.25,21.40,4500
MQTM,30-Jun-2014,21.90,22.00,21.75,21.75,3500
MQTM,01-Jul-2014,21.66,22.00,21.58,22.00,2500
MQTM,02-Jul-2014,22.25,22.25,21.15,21.27,4500
MQTM,03-Jul-2014,21.75,21.99,21.60,21.73,5000
MQTM,04-Jul-2014,21.51,21.51,21.51,21.51,1000
MQTM,09-Jul-2014,21.15,21.15,21.10,21.10,1000
MQTM,11-Jul-2014,21.25,21.25,21.25,21.25,1000
MQTM,14-Jul-2014,20.35,21.70,20.35,21.25,1500
MQTM,15-Jul-2014,21.15,21.15,21.15,21.15,1000
MQTM,16-Jul-2014,20.60,20.90,20.60,20.65,5000
MQTM,17-Jul-2014,21.50,21.50,21.00,21.49,1500
MQTM,18-Jul-2014,20.75,21.10,20.75,21.10,2500
MQTM,23-Jul-2014,21.00,21.00,21.00,21.00,1000
MQTM,28-Jul-2014,20.75,20.75,20.75,20.75,500
MQTM,04-Aug-2014,19.72,19.80,19.72,19.72,11500
MQTM,06-Aug-2014,18.76,19.05,18.76,19.02,3500
MQTM,07-Aug-2014,19.02,19.02,19.02,19.02,500
