Symbol,Date,Open,High,Low,Close,Volume
MSCL,13-Jun-2018,20.88,20.88,20.88,20.88,2000
MSCL,14-Jun-2018,21.92,21.92,21.92,21.92,3000
MSCL,19-Jun-2018,23.01,23.01,23.01,23.01,2500
MSCL,20-Jun-2018,24.16,24.16,24.16,24.16,3000
MSCL,21-Jun-2018,25.36,25.36,25.36,25.36,2500
MSCL,22-Jun-2018,26.62,26.62,26.62,26.62,4000
MSCL,25-Jun-2018,27.95,27.95,25.31,27.95,272500
MSCL,26-Jun-2018,27.50,29.24,27.50,27.80,8000
MSCL,27-Jun-2018,26.51,26.51,26.50,26.50,5000
MSCL,28-Jun-2018,25.18,25.18,25.18,25.18,500
MSCL,29-Jun-2018,23.93,24.94,23.93,24.44,19000
MSCL,02-Jul-2018,23.50,23.50,23.22,23.39,8500
MSCL,03-Jul-2018,22.26,24.55,22.26,23.98,13000
MSCL,04-Jul-2018,23.98,23.98,23.98,23.98,5000
MSCL,05-Jul-2018,22.79,23.94,22.79,23.93,9500
MSCL,06-Jul-2018,24.25,24.40,24.25,24.35,2000
MSCL,09-Jul-2018,23.15,23.15,23.15,23.15,13000
MSCL,10-Jul-2018,23.75,23.78,23.75,23.77,1000
MSCL,11-Jul-2018,24.39,24.39,24.39,24.39,2000
MSCL,12-Jul-2018,23.20,23.20,23.18,23.18,1500
MSCL,13-Jul-2018,22.03,22.03,22.03,22.03,4000
MSCL,16-Jul-2018,20.93,21.74,20.93,21.57,23500
MSCL,17-Jul-2018,22.45,22.48,22.45,22.48,2000
MSCL,18-Jul-2018,23.35,23.40,21.36,21.36,18000
MSCL,19-Jul-2018,20.37,21.73,20.30,21.71,42500
MSCL,23-Jul-2018,21.99,21.99,21.99,21.99,500
MSCL,24-Jul-2018,21.55,21.55,21.45,21.45,1000
MSCL,30-Jul-2018,20.40,21.80,20.40,21.52,2500
MSCL,31-Jul-2018,20.45,21.45,20.45,21.45,46000
MSCL,02-Aug-2018,20.46,21.35,20.40,21.35,4000
MSCL,03-Aug-2018,20.29,20.29,20.29,20.29,23000
MSCL,06-Aug-2018,19.65,21.09,19.55,21.09,6000
MSCL,07-Aug-2018,20.45,20.45,20.04,20.04,15500
MSCL,08-Aug-2018,19.99,21.04,19.35,20.64,107000
MSCL,09-Aug-2018,20.00,20.10,19.90,20.00,30500
MSCL,13-Aug-2018,20.48,20.48,19.30,19.35,5500
MSCL,15-Aug-2018,19.70,19.80,19.21,19.21,2000
MSCL,16-Aug-2018,20.08,20.08,20.08,20.08,2000
