Symbol,Date,Open,High,Low,Close,Volume
MTIL,01-Jan-2014,4.48,5.20,4.20,4.99,957500
MTIL,02-Jan-2014,5.10,5.99,5.10,5.63,899000
MTIL,03-Jan-2014,5.50,5.52,5.10,5.25,196500
MTIL,06-Jan-2014,5.44,6.25,5.44,6.23,584000
MTIL,07-Jan-2014,6.60,7.23,6.60,7.23,403500
MTIL,08-Jan-2014,7.70,8.23,7.70,8.23,168500
MTIL,09-Jan-2014,9.23,9.23,7.50,7.99,883000
MTIL,10-Jan-2014,7.60,8.84,7.11,7.86,283500
MTIL,13-Jan-2014,8.00,8.50,7.55,7.69,153500
MTIL,15-Jan-2014,7.99,8.50,7.81,8.12,229000
MTIL,16-Jan-2014,8.01,8.01,7.24,7.66,120500
MTIL,17-Jan-2014,7.60,7.60,7.30,7.47,68500
MTIL,20-Jan-2014,7.26,7.80,7.26,7.41,62000
MTIL,21-Jan-2014,7.40,7.72,7.40,7.53,81500
MTIL,22-Jan-2014,7.55,7.80,7.40,7.68,77000
MTIL,23-Jan-2014,7.40,7.85,7.40,7.55,26000
MTIL,24-Jan-2014,7.30,7.80,7.25,7.74,46500
MTIL,27-Jan-2014,7.84,7.84,7.05,7.10,35500
MTIL,28-Jan-2014,7.50,7.50,7.16,7.21,12000
MTIL,29-Jan-2014,7.30,7.44,6.85,7.01,34500
MTIL,30-Jan-2014,7.00,7.14,6.80,6.99,47500
MTIL,31-Jan-2014,7.10,7.10,6.75,6.76,41500
MTIL,03-Feb-2014,6.56,6.69,6.25,6.43,31500
MTIL,04-Feb-2014,6.10,6.25,6.00,6.15,21500
MTIL,06-Feb-2014,6.05,6.20,5.75,5.79,12500
MTIL,07-Feb-2014,6.00,6.00,5.11,5.23,13000
MTIL,10-Feb-2014,5.25,5.29,4.34,4.72,123000
MTIL,11-Feb-2014,4.70,4.75,4.46,4.51,34000
MTIL,12-Feb-2014,4.25,5.10,4.25,5.04,31500
MTIL,13-Feb-2014,5.06,5.10,4.90,4.95,23000
MTIL,14-Feb-2014,4.98,4.98,4.47,4.49,14000
MTIL,17-Feb-2014,4.85,4.85,4.00,4.35,34000
MTIL,18-Feb-2014,4.00,4.80,4.00,4.55,85000
MTIL,19-Feb-2014,4.65,5.09,4.65,4.70,56500
MTIL,20-Feb-2014,4.99,5.00,4.70,4.71,14000
MTIL,21-Feb-2014,4.60,4.60,4.15,4.45,10500
MTIL,24-Feb-2014,4.74,4.90,4.51,4.51,5500
MTIL,25-Feb-2014,4.50,4.50,4.00,4.42,28500
MTIL,26-Feb-2014,4.03,4.35,4.01,4.35,13500
MTIL,28-Feb-2014,4.00,4.40,3.95,4.40,13000
MTIL,03-Mar-2014,4.90,4.90,4.25,4.25,13500
MTIL,04-Mar-2014,4.15,4.45,4.15,4.45,2000
MTIL,05-Mar-2014,4.21,4.21,4.20,4.20,2500
MTIL,06-Mar-2014,4.48,5.20,4.45,4.90,206500
MTIL,07-Mar-2014,5.15,5.20,4.77,4.82,72000
MTIL,10-Mar-2014,4.80,4.80,4.40,4.50,14000
MTIL,11-Mar-2014,4.74,4.74,4.50,4.50,15500
MTIL,12-Mar-2014,4.30,4.30,4.05,4.23,10500
MTIL,13-Mar-2014,4.20,4.40,4.20,4.20,6000
MTIL,14-Mar-2014,4.50,4.60,4.20,4.41,20500
