Symbol,Date,Open,High,Low,Close,Volume
MTL,01-Jan-2014,485.30,485.50,482.00,483.52,9700
MTL,02-Jan-2014,487.00,496.50,484.15,484.68,18600
MTL,03-Jan-2014,487.75,488.00,485.00,485.27,51400
MTL,06-Jan-2014,489.00,489.00,484.51,486.03,3200
MTL,07-Jan-2014,485.50,495.00,484.20,490.80,21600
MTL,08-Jan-2014,496.00,515.34,492.00,515.34,56300
MTL,09-Jan-2014,529.99,534.00,515.00,518.30,50000
MTL,10-Jan-2014,519.90,519.90,510.00,512.21,11100
MTL,13-Jan-2014,514.90,514.90,506.05,507.98,20700
MTL,15-Jan-2014,509.00,512.00,509.00,510.16,19300
MTL,16-Jan-2014,513.00,513.00,505.00,507.00,23600
MTL,17-Jan-2014,507.10,507.10,491.00,499.49,57800
MTL,20-Jan-2014,495.00,496.00,487.00,493.70,55400
MTL,21-Jan-2014,493.10,495.50,490.00,491.41,18400
MTL,22-Jan-2014,490.00,494.50,488.00,488.85,20400
MTL,23-Jan-2014,487.01,487.90,475.00,479.81,114800
MTL,24-Jan-2014,472.00,479.00,472.00,477.19,23500
MTL,27-Jan-2014,475.00,484.00,475.00,480.00,16400
MTL,28-Jan-2014,482.00,482.00,477.10,477.84,13000
MTL,29-Jan-2014,475.21,475.21,463.00,465.04,47500
MTL,30-Jan-2014,464.99,464.99,453.00,454.25,28400
MTL,31-Jan-2014,458.99,469.98,458.00,462.85,30500
MTL,03-Feb-2014,455.00,469.95,455.00,465.04,68700
MTL,04-Feb-2014,465.00,469.50,462.25,464.39,20200
MTL,06-Feb-2014,466.00,480.00,465.00,473.46,58600
MTL,07-Feb-2014,482.00,484.98,473.00,473.61,11000
MTL,10-Feb-2014,479.99,482.00,472.00,473.02,13300
MTL,11-Feb-2014,477.00,481.01,474.00,478.85,10100
MTL,12-Feb-2014,480.00,483.00,478.00,481.08,56000
MTL,13-Feb-2014,484.99,487.00,478.00,479.05,45600
MTL,14-Feb-2014,479.00,483.00,477.02,478.34,5700
MTL,17-Feb-2014,479.10,479.89,469.99,470.12,64200
MTL,18-Feb-2014,474.75,474.99,469.05,473.99,16500
MTL,19-Feb-2014,473.05,486.88,473.00,477.07,55000
MTL,20-Feb-2014,475.20,479.00,472.11,475.22,35300
MTL,21-Feb-2014,475.00,476.40,474.11,475.46,3200
MTL,24-Feb-2014,475.00,475.00,472.20,474.68,7000
MTL,25-Feb-2014,476.00,482.00,475.00,480.78,21600
MTL,26-Feb-2014,480.10,485.00,480.00,483.89,14600
MTL,27-Feb-2014,485.00,487.00,477.10,485.98,15000
MTL,28-Feb-2014,486.00,486.00,483.22,485.00,4700
MTL,03-Mar-2014,484.00,484.50,480.00,480.82,21400
MTL,04-Mar-2014,481.00,481.00,478.01,479.00,10800
MTL,05-Mar-2014,479.88,486.00,479.15,484.01,35000
MTL,06-Mar-2014,478.51,478.51,468.00,471.97,10100
MTL,07-Mar-2014,470.00,472.00,467.50,469.08,8600
MTL,10-Mar-2014,465.03,470.00,465.00,469.60,8300
MTL,11-Mar-2014,471.30,473.00,470.00,470.67,6000
MTL,12-Mar-2014,470.00,472.00,470.00,471.00,5600
MTL,13-Mar-2014,472.00,472.50,470.00,470.00,5900
MTL,14-Mar-2014,469.10,475.00,467.00,468.51,21100
MTL,17-Mar-2014,470.00,472.00,470.00,470.17,11700
MTL,18-Mar-2014,471.00,472.00,469.11,470.00,10600
MTL,19-Mar-2014,470.00,470.00,468.55,468.70,2700
MTL,20-Mar-2014,468.70,472.00,468.70,469.14,5800
MTL,21-Mar-2014,470.48,470.48,467.00,469.00,7000
MTL,24-Mar-2014,469.00,469.00,464.15,466.50,10000
MTL,25-Mar-2014,460.20,465.50,460.00,465.00,6600
MTL,26-Mar-2014,463.00,465.50,463.00,465.07,7200
MTL,27-Mar-2014,465.50,468.00,465.50,467.06,5200
MTL,28-Mar-2014,465.40,467.00,461.02,462.80,5900
MTL,31-Mar-2014,466.00,466.97,462.01,465.94,11900
MTL,01-Apr-2014,467.00,467.00,465.00,466.00,18100
MTL,02-Apr-2014,467.99,468.00,465.00,465.51,3600
MTL,03-Apr-2014,465.00,466.00,462.00,464.65,18600
MTL,04-Apr-2014,464.99,465.00,463.10,464.58,8100
MTL,07-Apr-2014,464.00,469.00,464.00,467.77,11900
MTL,08-Apr-2014,468.99,471.00,468.00,469.21,13900
MTL,09-Apr-2014,471.29,471.30,469.26,470.38,11200
MTL,10-Apr-2014,470.00,473.00,468.00,471.17,17800
MTL,11-Apr-2014,470.00,470.00,465.00,465.22,19900
MTL,14-Apr-2014,465.25,469.00,465.00,465.05,8800
MTL,15-Apr-2014,465.00,465.50,464.00,464.03,8600
MTL,16-Apr-2014,465.90,466.70,465.50,465.75,4500
MTL,17-Apr-2014,460.30,466.00,460.22,461.82,17200
MTL,18-Apr-2014,462.06,466.00,462.05,465.00,10800
MTL,21-Apr-2014,465.00,468.00,462.00,465.02,2700
MTL,22-Apr-2014,468.00,469.00,466.50,466.51,3800
MTL,23-Apr-2014,467.96,470.00,466.00,467.99,8500
MTL,24-Apr-2014,465.00,467.99,465.00,465.00,4100
MTL,25-Apr-2014,467.00,467.79,445.00,447.12,48300
MTL,28-Apr-2014,447.12,460.00,447.12,451.93,5900
MTL,29-Apr-2014,456.00,458.00,453.00,457.31,15600
MTL,30-Apr-2014,455.00,460.00,454.00,457.01,4500
MTL,02-May-2014,459.99,459.99,456.01,458.00,3500
MTL,05-May-2014,455.50,460.00,455.50,457.10,6400
MTL,06-May-2014,460.00,461.01,458.02,460.63,9200
MTL,07-May-2014,460.00,460.00,459.00,459.00,2600
MTL,08-May-2014,460.00,463.00,459.90,462.05,20500
MTL,09-May-2014,459.60,464.80,459.00,461.49,3900
MTL,12-May-2014,462.00,483.99,461.00,468.20,23800
MTL,13-May-2014,476.00,484.50,473.50,479.82,27100
MTL,14-May-2014,479.50,483.00,478.40,480.06,11900
MTL,15-May-2014,480.50,481.99,477.25,478.31,12100
MTL,16-May-2014,475.25,478.00,474.00,476.88,6600
MTL,19-May-2014,475.00,480.00,474.00,477.65,17400
MTL,20-May-2014,480.00,485.25,480.00,484.30,17500
MTL,21-May-2014,480.15,498.00,480.15,494.73,59300
MTL,22-May-2014,495.25,503.99,493.00,494.36,40800
MTL,23-May-2014,495.50,496.88,493.50,494.16,39200
MTL,26-May-2014,495.00,503.00,494.00,495.01,17900
MTL,27-May-2014,491.00,495.00,487.00,488.13,19400
MTL,28-May-2014,487.02,489.00,481.55,483.66,5400
MTL,29-May-2014,488.00,490.00,479.50,481.62,7900
MTL,30-May-2014,480.26,484.00,475.00,475.38,28900
MTL,02-Jun-2014,480.00,496.00,480.00,491.39,25300
MTL,03-Jun-2014,490.00,494.00,467.00,485.67,26900
MTL,04-Jun-2014,509.95,509.95,509.95,509.95,12400
MTL,05-Jun-2014,534.00,535.00,522.00,524.93,131800
MTL,06-Jun-2014,526.99,528.00,515.01,517.27,19200
MTL,09-Jun-2014,519.99,519.99,510.00,510.46,12500
MTL,10-Jun-2014,509.90,510.00,500.00,504.03,19000
MTL,11-Jun-2014,501.01,510.00,500.00,501.27,19100
MTL,12-Jun-2014,500.01,503.90,498.50,499.25,19000
MTL,13-Jun-2014,501.00,508.00,500.02,501.34,4100
MTL,16-Jun-2014,507.00,516.00,505.00,508.58,30500
MTL,17-Jun-2014,511.50,511.50,499.00,502.15,24900
MTL,18-Jun-2014,501.00,506.00,498.25,502.72,17900
MTL,19-Jun-2014,499.00,501.00,493.00,495.00,7100
MTL,20-Jun-2014,497.00,497.00,494.00,494.40,6200
MTL,23-Jun-2014,496.00,499.51,486.00,495.65,6800
MTL,24-Jun-2014,496.00,504.99,496.00,500.00,17600
MTL,25-Jun-2014,500.00,505.00,496.00,497.86,7900
MTL,26-Jun-2014,501.75,504.00,500.00,500.00,1500
MTL,27-Jun-2014,500.00,500.00,490.00,493.51,3500
MTL,30-Jun-2014,494.00,501.00,493.50,499.13,14400
MTL,01-Jul-2014,495.00,498.00,494.00,494.45,10200
MTL,02-Jul-2014,497.00,497.50,492.00,496.25,2800
MTL,03-Jul-2014,498.00,498.00,496.00,498.00,600
MTL,04-Jul-2014,499.99,500.00,499.00,499.00,2000
MTL,07-Jul-2014,500.00,500.00,499.00,499.00,1300
MTL,08-Jul-2014,492.80,499.00,492.00,493.63,1700
MTL,09-Jul-2014,493.06,495.00,493.00,493.00,700
MTL,10-Jul-2014,492.00,495.00,491.10,495.00,900
MTL,11-Jul-2014,497.99,497.99,494.10,495.50,1500
MTL,14-Jul-2014,497.00,497.00,496.01,496.26,2500
MTL,15-Jul-2014,497.10,497.10,493.00,493.37,4700
MTL,16-Jul-2014,494.00,494.00,491.00,493.00,7100
MTL,17-Jul-2014,492.10,500.00,491.10,496.67,8300
MTL,18-Jul-2014,496.00,496.00,493.00,493.14,2200
MTL,21-Jul-2014,497.30,497.30,493.55,493.55,2700
MTL,22-Jul-2014,495.00,513.49,495.00,496.46,7300
MTL,23-Jul-2014,499.95,502.00,495.00,496.30,4100
MTL,24-Jul-2014,499.95,502.00,497.00,500.58,4000
MTL,28-Jul-2014,495.00,500.00,495.00,499.95,2300
MTL,04-Aug-2014,490.01,499.88,483.00,485.19,9000
MTL,05-Aug-2014,493.50,493.50,486.01,488.00,2600
MTL,06-Aug-2014,487.00,487.00,484.00,485.10,5800
MTL,07-Aug-2014,485.00,488.70,484.00,487.86,6000
MTL,08-Aug-2014,487.00,487.99,485.00,487.24,4500
MTL,11-Aug-2014,480.00,481.50,465.00,479.13,29300
MTL,12-Aug-2014,480.00,485.90,480.00,482.33,4600
MTL,13-Aug-2014,484.99,490.00,484.99,485.00,3200
MTL,15-Aug-2014,489.98,493.00,485.03,490.33,5900
MTL,18-Aug-2014,489.00,500.50,488.00,494.26,10800
MTL,19-Aug-2014,485.30,485.30,484.01,485.00,1800
MTL,20-Aug-2014,488.00,488.00,486.00,486.00,1300
MTL,21-Aug-2014,499.00,500.00,490.00,490.96,13200
MTL,22-Aug-2014,490.01,494.50,490.00,494.50,500
MTL,25-Aug-2014,490.00,490.00,488.00,488.00,1400
MTL,26-Aug-2014,488.00,490.50,485.00,489.75,6600
MTL,27-Aug-2014,481.00,490.00,480.00,490.00,1900
MTL,28-Aug-2014,485.00,491.00,485.00,490.00,3300
MTL,29-Aug-2014,481.78,495.00,481.00,486.97,5100
MTL,01-Sep-2014,487.07,487.07,484.00,484.79,7400
MTL,02-Sep-2014,485.00,492.00,485.00,488.07,10600
MTL,03-Sep-2014,490.81,499.95,490.81,498.22,8100
MTL,04-Sep-2014,497.00,501.51,496.00,497.56,13000
MTL,05-Sep-2014,499.50,515.00,498.11,499.44,29400
MTL,08-Sep-2014,505.00,507.20,500.05,504.92,12000
MTL,09-Sep-2014,509.90,518.00,509.00,511.91,28400
MTL,10-Sep-2014,516.75,516.75,505.10,511.58,19700
MTL,11-Sep-2014,512.00,516.99,490.10,505.29,101900
MTL,12-Sep-2014,505.00,521.49,502.10,519.03,83700
MTL,15-Sep-2014,522.01,527.00,518.00,522.05,32900
MTL,16-Sep-2014,524.98,524.98,516.01,518.60,11600
MTL,17-Sep-2014,517.50,524.99,517.50,523.26,50700
MTL,18-Sep-2014,527.00,527.50,523.05,525.12,67100
MTL,19-Sep-2014,525.00,545.00,523.55,532.01,265300
MTL,22-Sep-2014,540.00,540.00,533.00,535.00,13300
MTL,23-Sep-2014,538.00,553.00,536.00,545.45,244600
MTL,24-Sep-2014,545.00,564.99,543.12,557.12,223800
MTL,25-Sep-2014,562.90,563.50,548.00,550.51,66600
MTL,26-Sep-2014,544.00,554.98,540.00,547.70,57300
MTL,29-Sep-2014,547.07,562.98,547.07,551.99,118500
MTL,30-Sep-2014,558.90,558.90,551.00,553.16,16400
MTL,01-Oct-2014,555.00,580.81,551.00,578.56,294700
MTL,02-Oct-2014,589.00,606.00,580.50,584.83,233000
MTL,03-Oct-2014,583.99,585.00,575.00,582.53,10100
MTL,09-Oct-2014,588.00,588.00,578.00,581.74,8600
MTL,10-Oct-2014,585.00,585.00,572.00,577.00,20300
MTL,13-Oct-2014,571.00,581.50,565.00,577.21,16900
MTL,14-Oct-2014,582.90,606.07,582.90,592.83,249800
MTL,15-Oct-2014,594.80,610.00,590.00,605.39,292700
MTL,16-Oct-2014,608.99,635.65,605.00,635.65,666400
MTL,17-Oct-2014,648.00,650.00,628.00,632.25,370600
MTL,20-Oct-2014,627.00,631.00,614.01,616.33,36700
MTL,21-Oct-2014,612.00,612.00,585.52,589.28,155600
MTL,22-Oct-2014,574.00,596.05,574.00,590.87,98700
MTL,23-Oct-2014,592.00,603.00,590.11,599.54,44300
MTL,24-Oct-2014,601.00,623.00,600.11,619.22,156300
MTL,27-Oct-2014,620.00,629.99,610.00,617.46,327000
MTL,28-Oct-2014,618.50,620.00,612.25,616.56,146200
MTL,29-Oct-2014,613.00,615.00,596.50,605.72,21800
MTL,30-Oct-2014,600.00,600.00,592.50,593.70,8900
