Symbol,Date,Open,High,Low,Close,Volume
MUBT,01-Jan-2014,6.55,7.30,6.45,7.30,165500
MUBT,02-Jan-2014,8.30,8.30,6.95,7.51,396000
MUBT,03-Jan-2014,7.80,7.95,7.50,7.80,17500
MUBT,06-Jan-2014,7.01,7.25,6.91,7.05,37000
MUBT,07-Jan-2014,6.95,7.60,6.95,7.42,19500
MUBT,08-Jan-2014,7.50,8.00,7.50,7.96,36500
MUBT,09-Jan-2014,7.90,8.50,7.51,7.84,47000
MUBT,10-Jan-2014,7.84,7.99,7.80,7.80,3000
MUBT,13-Jan-2014,8.80,8.80,7.71,7.71,5000
MUBT,15-Jan-2014,7.65,7.65,7.55,7.55,2500
MUBT,16-Jan-2014,7.60,7.60,7.25,7.25,5000
MUBT,20-Jan-2014,6.80,7.00,6.76,7.00,2000
MUBT,21-Jan-2014,7.00,7.00,6.70,7.00,5000
MUBT,22-Jan-2014,6.66,7.00,6.66,7.00,3500
MUBT,23-Jan-2014,7.16,7.55,7.15,7.28,9000
MUBT,27-Jan-2014,6.65,6.65,6.65,7.28,2000
MUBT,28-Jan-2014,7.04,7.04,6.90,6.90,2500
MUBT,29-Jan-2014,6.96,7.13,6.75,7.13,3500
MUBT,30-Jan-2014,6.21,8.13,6.21,8.13,125500
MUBT,31-Jan-2014,8.49,8.79,7.36,8.07,43500
MUBT,03-Feb-2014,8.01,8.01,8.00,8.00,13000
MUBT,11-Feb-2014,8.80,8.88,7.00,7.09,5000
MUBT,12-Feb-2014,7.09,7.55,7.05,7.05,3500
MUBT,17-Feb-2014,6.10,6.13,6.10,6.13,3000
MUBT,20-Feb-2014,6.50,6.50,6.50,6.50,500
MUBT,24-Feb-2014,7.19,7.19,5.80,6.05,8500
MUBT,25-Feb-2014,6.01,6.01,6.01,6.05,500
MUBT,26-Feb-2014,5.35,5.66,5.07,5.07,14000
MUBT,27-Feb-2014,4.50,4.80,4.07,4.80,3000
MUBT,28-Feb-2014,4.22,4.60,4.22,4.22,2500
MUBT,03-Mar-2014,3.40,5.22,3.40,4.61,43000
MUBT,04-Mar-2014,5.00,5.00,4.80,4.90,2500
MUBT,05-Mar-2014,5.10,5.10,5.10,5.10,500
MUBT,06-Mar-2014,6.00,6.10,5.75,6.10,29500
MUBT,07-Mar-2014,6.89,6.89,5.43,6.39,3500
MUBT,10-Mar-2014,7.10,7.10,6.49,6.49,2000
MUBT,11-Mar-2014,6.98,6.98,5.71,6.42,3000
MUBT,12-Mar-2014,6.89,6.89,5.75,5.75,4000
MUBT,14-Mar-2014,6.70,6.70,5.75,5.75,3000
MUBT,18-Mar-2014,4.90,5.28,4.83,5.09,8000
MUBT,20-Mar-2014,5.76,5.79,5.76,5.78,2000
MUBT,08-Apr-2014,6.65,6.69,5.98,5.98,3000
MUBT,09-Apr-2014,5.05,5.13,5.00,5.13,2000
MUBT,10-Apr-2014,5.00,6.13,5.00,5.17,15000
MUBT,11-Apr-2014,5.85,5.85,5.85,5.85,3000
MUBT,14-Apr-2014,5.75,5.80,5.75,5.80,2000
MUBT,17-Apr-2014,4.85,4.85,4.80,4.80,1000
MUBT,18-Apr-2014,5.10,5.40,5.00,5.07,13500
MUBT,23-Apr-2014,5.04,5.11,5.04,5.11,1000
MUBT,25-Apr-2014,4.40,4.80,4.40,4.80,2500
MUBT,30-Apr-2014,4.70,4.70,4.61,4.61,3500
MUBT,05-May-2014,4.65,4.65,4.65,4.65,1000
MUBT,06-May-2014,4.60,4.90,4.20,4.30,19000
MUBT,08-May-2014,4.60,4.60,4.50,4.50,6500
MUBT,12-May-2014,4.41,4.41,4.40,4.41,6000
MUBT,15-May-2014,4.50,4.50,4.45,4.50,8500
MUBT,16-May-2014,4.30,5.40,4.30,5.40,2500
MUBT,26-May-2014,4.50,4.60,4.40,4.60,6000
MUBT,28-May-2014,5.59,5.59,4.90,4.90,1000
MUBT,29-May-2014,4.90,4.90,4.85,4.85,6000
MUBT,30-May-2014,4.75,4.75,4.75,4.75,1000
MUBT,04-Jun-2014,5.20,5.20,5.20,5.20,500
MUBT,05-Jun-2014,4.30,4.30,4.30,4.30,500
MUBT,13-Jun-2014,4.45,4.45,4.45,4.45,1000
MUBT,16-Jun-2014,4.21,4.21,4.21,4.21,500
MUBT,25-Jun-2014,4.16,4.16,4.16,4.16,500
MUBT,09-Jul-2014,4.40,4.40,4.40,4.40,500
MUBT,14-Jul-2014,4.99,4.99,4.99,4.99,500
MUBT,20-Aug-2014,4.03,4.04,4.03,4.04,1000
MUBT,03-Sep-2014,3.50,3.75,3.45,3.75,2500
MUBT,04-Sep-2014,3.45,4.75,3.30,4.20,122000
MUBT,05-Sep-2014,4.01,4.01,4.00,4.00,1000
MUBT,08-Sep-2014,3.50,4.48,3.50,4.00,33500
MUBT,10-Sep-2014,4.00,4.00,4.00,4.00,1000
MUBT,11-Sep-2014,3.65,4.50,3.65,3.89,7500
MUBT,12-Sep-2014,4.00,4.89,4.00,4.89,41000
MUBT,15-Sep-2014,5.75,5.89,5.64,5.89,12000
MUBT,16-Sep-2014,6.88,6.89,6.10,6.89,45500
MUBT,17-Sep-2014,7.88,7.89,7.50,7.89,41500
MUBT,18-Sep-2014,8.80,8.89,8.25,8.89,85500
MUBT,19-Sep-2014,9.70,9.75,7.89,7.89,177000
MUBT,22-Sep-2014,7.40,7.40,6.89,6.89,26000
MUBT,23-Sep-2014,5.91,6.70,5.89,6.09,56500
MUBT,24-Sep-2014,5.40,6.20,5.40,6.20,9500
MUBT,26-Sep-2014,6.25,6.44,6.19,6.44,3500
MUBT,30-Sep-2014,5.61,6.35,5.60,6.08,6500
MUBT,01-Oct-2014,6.55,6.55,6.55,6.55,500
MUBT,02-Oct-2014,5.55,6.47,5.55,6.13,3000
MUBT,03-Oct-2014,5.35,5.98,5.35,5.98,1500
MUBT,13-Oct-2014,6.00,6.30,5.50,5.50,6000
MUBT,15-Oct-2014,6.25,6.25,6.25,6.25,500
MUBT,16-Oct-2014,6.40,6.48,6.40,6.48,3000
MUBT,27-Oct-2014,6.70,6.70,6.70,6.70,500
MUBT,28-Oct-2014,5.80,5.99,5.70,5.70,6000
MUBT,29-Oct-2014,4.93,4.93,4.93,4.93,2000
MUBT,30-Oct-2014,4.12,4.79,4.00,4.63,10000
MUBT,31-Oct-2014,5.24,5.24,5.24,5.24,500
MUBT,06-Nov-2014,4.30,4.99,4.30,4.47,4500
MUBT,07-Nov-2014,5.00,5.46,5.00,5.39,3500
MUBT,10-Nov-2014,5.60,5.60,5.60,5.60,500
MUBT,11-Nov-2014,5.70,5.70,5.70,5.70,1000
MUBT,12-Nov-2014,5.95,6.10,5.95,6.10,6000
MUBT,13-Nov-2014,5.80,5.80,5.50,5.50,5500
MUBT,14-Nov-2014,6.20,6.20,6.20,6.20,500
MUBT,19-Nov-2014,5.21,5.87,5.20,5.54,3000
MUBT,20-Nov-2014,4.63,4.63,4.63,4.63,2500
MUBT,21-Nov-2014,5.49,5.49,5.49,5.49,500
MUBT,25-Nov-2014,5.00,5.40,5.00,5.10,5500
MUBT,27-Nov-2014,5.01,5.01,5.00,5.00,1000
MUBT,01-Dec-2014,5.09,6.00,5.09,6.00,55000
MUBT,02-Dec-2014,6.25,6.25,5.95,6.20,40500
MUBT,03-Dec-2014,6.18,6.20,5.41,5.41,3000
MUBT,04-Dec-2014,5.31,5.50,5.31,5.37,4500
MUBT,08-Dec-2014,5.99,6.09,5.99,6.09,1000
MUBT,16-Dec-2014,6.00,6.00,5.21,5.25,21000
MUBT,17-Dec-2014,5.97,5.97,5.97,5.97,500
MUBT,18-Dec-2014,5.90,5.90,5.90,5.90,1000
MUBT,24-Dec-2014,5.03,5.03,5.02,5.02,1500
MUBT,29-Dec-2014,5.64,5.64,5.64,5.64,500
MUBT,02-Jan-2015,5.25,6.64,5.25,6.64,108000
MUBT,05-Jan-2015,7.34,7.34,6.01,6.02,7000
MUBT,06-Jan-2015,5.30,6.10,5.30,5.69,27000
MUBT,07-Jan-2015,5.70,5.70,5.70,5.70,1000
MUBT,08-Jan-2015,6.00,6.05,6.00,6.04,1500
MUBT,13-Jan-2015,5.41,6.00,5.41,6.00,2500
MUBT,20-Jan-2015,6.35,6.35,6.00,6.00,1000
MUBT,30-Jan-2015,6.00,6.00,6.00,6.00,500
MUBT,02-Feb-2015,5.50,5.50,5.00,5.25,2000
MUBT,03-Feb-2015,5.25,5.25,5.25,5.25,500
MUBT,04-Feb-2015,5.00,5.00,5.00,5.00,500
MUBT,06-Feb-2015,5.20,5.20,5.00,5.00,2500
MUBT,10-Feb-2015,4.50,5.00,4.50,5.00,7000
MUBT,11-Feb-2015,5.00,5.00,5.00,5.00,2000
MUBT,12-Feb-2015,4.85,4.85,4.82,4.82,1500
MUBT,17-Feb-2015,4.60,4.60,4.60,4.60,500
MUBT,18-Feb-2015,4.85,4.85,4.60,4.60,1000
MUBT,19-Feb-2015,4.30,4.60,4.30,4.45,1000
MUBT,10-Mar-2015,4.00,4.00,4.00,4.00,2500
