Symbol,Date,Open,High,Low,Close,Volume
MUGHAL,16-Apr-2015,37.48,37.48,37.48,37.48,500
MUGHAL,17-Apr-2015,39.35,39.35,39.35,39.35,1000
MUGHAL,20-Apr-2015,41.31,41.31,41.31,41.31,500
MUGHAL,21-Apr-2015,43.00,43.37,41.61,43.37,5473000
MUGHAL,22-Apr-2015,44.00,45.53,43.75,45.53,3013500
MUGHAL,23-Apr-2015,47.40,47.75,45.50,45.92,3076500
MUGHAL,24-Apr-2015,46.40,46.75,44.80,45.12,1082500
MUGHAL,27-Apr-2015,45.29,45.29,42.87,44.51,1760500
MUGHAL,28-Apr-2015,44.90,46.40,44.85,45.12,2057000
MUGHAL,29-Apr-2015,45.30,46.99,44.80,45.56,2127500
MUGHAL,30-Apr-2015,45.84,46.30,45.25,45.40,1163500
MUGHAL,04-May-2015,45.94,45.94,44.50,44.81,570500
MUGHAL,05-May-2015,44.63,44.71,43.56,43.87,619500
MUGHAL,06-May-2015,44.40,44.70,43.60,43.75,383000
MUGHAL,07-May-2015,44.00,45.93,43.00,45.93,2271000
MUGHAL,08-May-2015,47.00,48.22,46.65,48.22,2872000
MUGHAL,11-May-2015,47.70,48.40,45.81,45.81,4162000
MUGHAL,12-May-2015,45.60,47.80,45.00,47.36,2653500
MUGHAL,13-May-2015,47.02,47.85,46.55,46.92,1090500
MUGHAL,14-May-2015,47.33,49.26,47.33,48.50,3643500
MUGHAL,15-May-2015,48.50,50.50,47.90,49.75,3077000
MUGHAL,18-May-2015,50.45,50.60,47.54,48.38,2852500
MUGHAL,19-May-2015,48.50,50.79,47.50,50.44,7826000
MUGHAL,20-May-2015,50.00,50.60,48.70,49.18,3082000
MUGHAL,21-May-2015,48.99,49.29,47.80,48.11,713500
MUGHAL,22-May-2015,48.40,48.48,47.10,47.21,503000
MUGHAL,25-May-2015,47.49,48.60,46.60,48.24,1142500
MUGHAL,26-May-2015,48.10,48.10,47.11,47.52,213500
MUGHAL,27-May-2015,47.10,48.30,47.02,47.57,641000
MUGHAL,28-May-2015,47.43,49.20,47.40,48.15,2208500
MUGHAL,29-May-2015,48.45,48.50,47.50,47.61,714500
MUGHAL,01-Jun-2015,47.25,48.03,47.25,47.93,282000
MUGHAL,02-Jun-2015,48.00,49.15,47.99,48.32,1072000
MUGHAL,03-Jun-2015,48.50,49.08,48.02,48.40,1014500
MUGHAL,04-Jun-2015,48.48,49.49,48.14,49.10,2484500
MUGHAL,05-Jun-2015,49.25,51.55,48.55,51.45,4158000
MUGHAL,08-Jun-2015,49.75,54.02,49.30,54.02,3115500
MUGHAL,09-Jun-2015,54.90,55.69,53.80,54.02,2335000
MUGHAL,10-Jun-2015,54.39,54.60,53.05,53.22,791000
MUGHAL,11-Jun-2015,53.65,54.65,52.79,53.05,1182500
MUGHAL,12-Jun-2015,52.77,53.50,51.80,51.97,1023500
MUGHAL,15-Jun-2015,52.40,53.80,51.92,52.87,1432000
MUGHAL,16-Jun-2015,52.70,52.70,51.86,52.11,385500
MUGHAL,17-Jun-2015,51.81,54.00,51.81,52.35,1132500
MUGHAL,18-Jun-2015,52.75,53.49,52.50,52.95,674500
MUGHAL,19-Jun-2015,53.09,53.25,52.01,52.17,154000
MUGHAL,22-Jun-2015,51.84,51.84,50.30,50.64,255500
MUGHAL,23-Jun-2015,51.25,51.70,50.60,51.21,305500
MUGHAL,24-Jun-2015,51.63,52.40,51.28,52.02,491500
MUGHAL,25-Jun-2015,52.12,52.42,51.10,51.51,549000
MUGHAL,26-Jun-2015,51.55,52.74,51.50,52.09,475000
MUGHAL,29-Jun-2015,51.75,53.70,51.75,53.57,355500
MUGHAL,30-Jun-2015,53.10,56.24,53.10,56.24,878500
MUGHAL,01-Jul-2015,57.35,59.05,56.70,58.30,2773500
MUGHAL,02-Jul-2015,58.45,59.75,58.00,58.32,1180000
MUGHAL,03-Jul-2015,58.10,60.48,58.00,60.00,1160000
