Symbol,Date,Open,High,Low,Close,Volume
MUREB,01-Jan-2014,392.10,399.00,391.00,397.33,9300
MUREB,02-Jan-2014,390.00,399.00,390.00,398.47,3300
MUREB,03-Jan-2014,404.00,418.39,404.00,418.39,42600
MUREB,06-Jan-2014,439.30,439.30,439.00,439.30,66800
MUREB,07-Jan-2014,461.26,461.26,442.00,461.26,100900
MUREB,08-Jan-2014,478.00,484.32,468.99,484.32,147100
MUREB,09-Jan-2014,508.53,508.53,505.00,508.53,106800
MUREB,10-Jan-2014,533.95,533.95,533.95,533.95,15000
MUREB,13-Jan-2014,560.64,560.64,560.64,560.64,30700
MUREB,15-Jan-2014,588.67,588.67,588.67,588.67,7600
MUREB,16-Jan-2014,618.10,618.10,618.10,618.10,57600
MUREB,17-Jan-2014,649.00,649.00,649.00,649.00,24700
MUREB,20-Jan-2014,681.45,681.45,681.45,681.45,8400
MUREB,21-Jan-2014,715.52,715.52,715.52,715.52,2200
MUREB,22-Jan-2014,751.29,751.29,681.00,751.29,118900
MUREB,23-Jan-2014,788.85,788.85,761.00,788.85,119300
MUREB,24-Jan-2014,828.29,828.29,805.00,828.29,57500
MUREB,27-Jan-2014,855.00,869.70,835.00,869.70,58400
MUREB,28-Jan-2014,900.00,913.18,871.00,910.97,87000
MUREB,29-Jan-2014,930.00,930.00,865.50,869.75,1700
MUREB,30-Jan-2014,830.10,913.23,829.00,843.00,95900
MUREB,31-Jan-2014,810.00,850.00,800.85,801.23,22600
MUREB,03-Feb-2014,775.00,841.29,775.00,841.29,48700
MUREB,04-Feb-2014,810.01,870.00,810.00,863.99,59100
MUREB,06-Feb-2014,885.00,907.18,885.00,886.45,40600
MUREB,07-Feb-2014,914.99,929.00,870.00,903.69,14500
MUREB,10-Feb-2014,890.00,890.00,858.51,858.51,7800
MUREB,11-Feb-2014,825.00,825.00,815.59,822.62,4100
MUREB,12-Feb-2014,851.95,852.00,810.00,815.29,3300
MUREB,13-Feb-2014,800.00,800.00,774.53,774.53,3600
MUREB,14-Feb-2014,813.00,813.25,735.81,739.94,5900
MUREB,17-Feb-2014,710.00,710.00,702.95,703.00,800
MUREB,18-Feb-2014,668.10,668.10,667.85,667.85,2300
MUREB,19-Feb-2014,634.46,695.00,634.46,636.00,5700
MUREB,20-Feb-2014,605.01,605.01,604.20,604.20,2900
MUREB,21-Feb-2014,573.99,600.00,573.99,590.59,22000
MUREB,24-Feb-2014,610.00,620.11,580.00,583.36,5100
MUREB,25-Feb-2014,569.00,609.50,569.00,586.50,4000
MUREB,26-Feb-2014,565.50,615.82,565.50,615.82,6100
MUREB,27-Feb-2014,645.00,646.61,639.00,646.61,8300
MUREB,28-Feb-2014,678.90,678.94,660.00,678.94,6200
MUREB,03-Mar-2014,690.01,712.88,690.01,698.39,14900
MUREB,04-Mar-2014,698.00,698.00,680.00,680.00,1100
MUREB,05-Mar-2014,695.00,714.00,680.00,713.84,14900
MUREB,06-Mar-2014,726.00,749.53,695.05,745.25,111400
MUREB,07-Mar-2014,749.99,782.51,749.99,782.47,48600
MUREB,10-Mar-2014,790.00,815.00,780.00,780.00,9600
MUREB,11-Mar-2014,785.00,785.00,780.00,780.00,8500
MUREB,12-Mar-2014,750.01,750.01,741.00,743.73,6000
MUREB,13-Mar-2014,723.00,723.00,706.56,709.21,3200
MUREB,14-Mar-2014,725.00,725.00,695.00,715.00,1100
MUREB,17-Mar-2014,720.00,750.75,720.00,729.70,13100
MUREB,18-Mar-2014,724.00,748.50,724.00,739.50,900
MUREB,19-Mar-2014,750.00,755.00,725.00,725.00,8600
MUREB,20-Mar-2014,725.00,725.00,725.00,725.00,200
MUREB,21-Mar-2014,700.00,729.00,700.00,705.00,1300
MUREB,24-Mar-2014,700.01,715.00,700.00,700.00,1100
MUREB,25-Mar-2014,710.00,720.00,700.00,701.00,15000
MUREB,26-Mar-2014,715.00,736.05,713.00,735.81,17700
MUREB,27-Mar-2014,770.00,770.00,719.00,744.00,4700
MUREB,28-Mar-2014,750.00,780.98,746.00,774.41,101300
MUREB,31-Mar-2014,789.00,813.00,755.00,799.14,24300
MUREB,01-Apr-2014,814.98,838.40,814.90,820.00,7000
MUREB,02-Apr-2014,829.50,829.50,801.00,804.20,3800
MUREB,03-Apr-2014,820.00,830.00,765.05,768.79,5600
MUREB,04-Apr-2014,735.00,784.99,732.00,755.00,6300
MUREB,07-Apr-2014,750.00,769.00,727.05,769.00,1900
MUREB,08-Apr-2014,770.00,770.00,745.01,745.51,1500
MUREB,09-Apr-2014,742.00,745.00,731.00,734.67,900
MUREB,10-Apr-2014,745.00,745.00,730.00,730.83,1700
MUREB,11-Apr-2014,725.00,747.00,695.00,720.00,3400
MUREB,14-Apr-2014,735.00,735.00,699.00,699.00,2500
MUREB,15-Apr-2014,700.00,700.00,700.00,700.00,400
MUREB,16-Apr-2014,700.00,709.99,690.00,700.00,2600
MUREB,17-Apr-2014,700.00,700.00,680.01,699.97,3000
MUREB,18-Apr-2014,720.00,720.00,665.11,665.93,3100
MUREB,21-Apr-2014,665.00,665.00,665.00,665.00,200
MUREB,22-Apr-2014,668.00,674.99,660.00,667.00,1700
MUREB,23-Apr-2014,640.01,640.01,633.65,633.65,2500
MUREB,24-Apr-2014,633.00,633.00,633.00,633.00,100
MUREB,25-Apr-2014,664.64,664.64,601.35,602.77,6900
MUREB,28-Apr-2014,575.01,605.00,572.64,574.39,14000
MUREB,29-Apr-2014,565.00,565.00,546.00,555.00,3800
MUREB,30-Apr-2014,560.00,582.60,560.00,582.60,2400
