Symbol,Date,Open,High,Low,Close,Volume
MWMP,08-May-2014,3.99,3.99,3.99,3.99,252000
MWMP,09-May-2014,4.99,4.99,4.30,4.46,1424500
MWMP,12-May-2014,4.50,4.51,3.51,3.75,162500
MWMP,13-May-2014,3.70,3.70,3.43,3.54,36500
MWMP,14-May-2014,3.51,3.51,3.40,3.45,23500
MWMP,15-May-2014,3.45,3.69,3.41,3.45,15500
MWMP,16-May-2014,3.50,3.60,3.15,3.38,23000
MWMP,19-May-2014,3.31,3.35,3.21,3.30,13000
MWMP,20-May-2014,3.49,3.49,3.30,3.30,6500
MWMP,21-May-2014,3.22,3.40,3.22,3.35,4000
MWMP,22-May-2014,3.20,3.20,3.15,3.15,3500
MWMP,23-May-2014,3.14,3.39,3.12,3.22,22000
MWMP,26-May-2014,3.35,3.45,3.16,3.28,14500
MWMP,27-May-2014,3.21,3.60,3.20,3.41,24500
MWMP,28-May-2014,3.26,3.46,3.26,3.46,1500
MWMP,29-May-2014,3.54,3.54,3.31,3.39,33000
MWMP,30-May-2014,3.40,3.49,3.30,3.33,17500
MWMP,02-Jun-2014,3.20,3.21,3.20,3.21,15500
MWMP,03-Jun-2014,3.13,3.14,3.12,3.12,30000
MWMP,05-Jun-2014,3.15,3.20,3.10,3.10,7500
MWMP,06-Jun-2014,3.06,3.21,3.01,3.06,21000
MWMP,09-Jun-2014,3.10,3.10,3.10,3.10,500
MWMP,10-Jun-2014,3.11,3.11,3.10,3.10,18000
MWMP,11-Jun-2014,3.15,3.20,3.15,3.16,27000
MWMP,12-Jun-2014,3.15,3.99,3.15,3.73,70000
MWMP,13-Jun-2014,3.36,3.36,3.20,3.30,54000
MWMP,16-Jun-2014,3.20,3.60,3.20,3.32,6000
MWMP,17-Jun-2014,3.30,3.30,3.25,3.25,1000
MWMP,18-Jun-2014,3.20,3.20,3.15,3.20,9000
MWMP,19-Jun-2014,3.10,3.10,3.08,3.08,5000
MWMP,24-Jun-2014,3.16,3.16,3.15,3.15,1000
MWMP,25-Jun-2014,3.10,3.10,3.10,3.10,1000
MWMP,27-Jun-2014,3.05,3.09,3.02,3.02,7500
MWMP,30-Jun-2014,3.05,3.06,3.05,3.06,12000
MWMP,01-Jul-2014,3.10,3.10,3.08,3.10,5000
MWMP,02-Jul-2014,3.11,3.11,2.80,2.80,24000
MWMP,04-Jul-2014,2.91,2.91,2.90,2.90,4000
MWMP,07-Jul-2014,2.95,3.10,2.91,3.10,5500
MWMP,08-Jul-2014,3.06,3.06,3.06,3.06,500
MWMP,09-Jul-2014,3.07,3.07,3.07,3.07,500
MWMP,10-Jul-2014,3.01,3.20,3.01,3.18,3000
MWMP,15-Jul-2014,3.01,3.01,3.01,3.01,1000
MWMP,16-Jul-2014,3.01,3.01,3.00,3.00,5000
MWMP,21-Jul-2014,3.00,3.00,2.90,2.90,7500
MWMP,28-Jul-2014,2.80,2.99,2.80,2.99,7500
MWMP,04-Aug-2014,2.90,2.90,2.90,2.90,500
MWMP,11-Aug-2014,2.56,2.56,2.50,2.50,6000
MWMP,13-Aug-2014,2.75,2.96,2.65,2.65,3000
MWMP,18-Aug-2014,2.80,2.80,2.80,2.80,3000
MWMP,19-Aug-2014,2.55,3.02,2.55,3.01,1500
MWMP,20-Aug-2014,2.99,2.99,2.99,2.99,1000
MWMP,21-Aug-2014,3.00,3.00,2.53,2.63,46000
MWMP,26-Aug-2014,2.60,2.60,2.60,2.60,500
MWMP,27-Aug-2014,2.75,2.75,2.75,2.75,500
MWMP,28-Aug-2014,2.52,2.53,2.52,2.53,1000
