Symbol,Date,Open,High,Low,Close,Volume
MZNP-ETF,06-Oct-2020,10.07,10.17,10.00,10.09,75000
MZNP-ETF,07-Oct-2020,10.18,10.36,10.16,10.30,44000
MZNP-ETF,08-Oct-2020,10.43,10.48,10.21,10.48,139000
MZNP-ETF,09-Oct-2020,10.45,10.60,10.45,10.60,3000
MZNP-ETF,12-Oct-2020,10.56,10.63,10.23,10.35,117500
MZNP-ETF,13-Oct-2020,10.31,10.34,10.22,10.22,45500
MZNP-ETF,14-Oct-2020,10.36,10.36,10.34,10.34,11500
MZNP-ETF,15-Oct-2020,10.40,10.40,10.30,10.30,34500
MZNP-ETF,16-Oct-2020,10.30,10.30,10.20,10.25,58500
MZNP-ETF,19-Oct-2020,10.37,10.38,10.36,10.37,16000
MZNP-ETF,20-Oct-2020,10.48,10.48,10.47,10.47,1000
MZNP-ETF,21-Oct-2020,10.49,10.60,10.49,10.50,85000
MZNP-ETF,22-Oct-2020,10.60,10.95,10.55,10.95,9500
MZNP-ETF,23-Oct-2020,10.61,10.61,10.56,10.57,12000
MZNP-ETF,26-Oct-2020,10.70,10.73,10.70,10.72,42000
MZNP-ETF,27-Oct-2020,10.75,10.80,10.55,10.61,27000
MZNP-ETF,28-Oct-2020,10.62,10.62,10.58,10.58,6000
MZNP-ETF,29-Oct-2020,10.38,10.39,10.07,10.26,118000
MZNP-ETF,02-Nov-2020,10.10,10.26,9.94,10.26,102500
MZNP-ETF,03-Nov-2020,10.26,10.75,10.23,10.74,22500
MZNP-ETF,04-Nov-2020,10.60,10.60,10.30,10.40,32500
MZNP-ETF,05-Nov-2020,10.45,10.50,10.45,10.49,59500
MZNP-ETF,06-Nov-2020,10.49,10.49,10.40,10.40,26000
MZNP-ETF,09-Nov-2020,10.40,10.49,10.40,10.49,7500
MZNP-ETF,10-Nov-2020,10.65,10.65,10.40,10.40,9500
MZNP-ETF,11-Nov-2020,10.35,10.55,10.34,10.45,6500
MZNP-ETF,12-Nov-2020,10.48,10.48,10.32,10.42,6000
MZNP-ETF,13-Nov-2020,10.20,11.20,10.00,10.66,17000
MZNP-ETF,16-Nov-2020,11.45,11.45,10.18,10.20,33500
MZNP-ETF,17-Nov-2020,10.10,10.33,10.10,10.16,10000
MZNP-ETF,18-Nov-2020,10.33,10.33,10.10,10.21,10500
MZNP-ETF,19-Nov-2020,10.21,10.50,10.21,10.24,13000
MZNP-ETF,20-Nov-2020,10.20,11.00,10.12,10.16,38500
MZNP-ETF,23-Nov-2020,9.97,10.03,9.93,9.93,39000
MZNP-ETF,24-Nov-2020,10.00,10.01,10.00,10.01,15500
MZNP-ETF,26-Nov-2020,10.31,10.31,10.20,10.31,16500
MZNP-ETF,27-Nov-2020,10.26,10.46,10.26,10.46,8000
MZNP-ETF,30-Nov-2020,10.16,10.20,10.16,10.20,21500
MZNP-ETF,01-Dec-2020,10.31,10.36,10.28,10.28,10500
MZNP-ETF,02-Dec-2020,10.40,10.75,10.35,10.61,17500
MZNP-ETF,03-Dec-2020,10.56,10.56,10.45,10.50,7500
MZNP-ETF,04-Dec-2020,10.45,10.51,10.26,10.49,20500
MZNP-ETF,07-Dec-2020,10.30,10.45,10.27,10.28,26000
MZNP-ETF,08-Dec-2020,10.25,10.49,10.25,10.45,9500
MZNP-ETF,09-Dec-2020,10.33,10.43,10.33,10.43,15500
MZNP-ETF,10-Dec-2020,10.25,10.31,10.20,10.26,13500
MZNP-ETF,11-Dec-2020,10.21,10.36,10.21,10.34,5000
MZNP-ETF,14-Dec-2020,10.40,10.60,10.36,10.58,46500
MZNP-ETF,15-Dec-2020,10.50,10.70,10.50,10.54,28500
MZNP-ETF,16-Dec-2020,10.65,10.65,10.50,10.50,12000
MZNP-ETF,17-Dec-2020,10.43,10.70,10.43,10.52,42500
MZNP-ETF,18-Dec-2020,10.45,10.60,10.44,10.54,70500
MZNP-ETF,21-Dec-2020,10.40,10.71,10.40,10.50,22500
MZNP-ETF,22-Dec-2020,10.63,10.63,10.50,10.50,6000
MZNP-ETF,23-Dec-2020,10.40,11.28,10.40,11.05,28500
MZNP-ETF,24-Dec-2020,10.75,10.75,10.70,10.70,25000
MZNP-ETF,28-Dec-2020,10.64,10.99,10.51,10.89,27000
MZNP-ETF,29-Dec-2020,10.74,10.79,10.60,10.60,47000
MZNP-ETF,30-Dec-2020,10.66,10.73,10.66,10.73,22000
MZNP-ETF,31-Dec-2020,10.72,10.72,10.65,10.66,5500
MZNP-ETF,01-Jan-2021,10.75,11.10,10.62,10.84,40500
MZNP-ETF,04-Jan-2021,10.82,11.65,10.82,11.40,40000
MZNP-ETF,05-Jan-2021,11.21,11.57,11.21,11.56,279000
MZNP-ETF,06-Jan-2021,11.82,11.82,11.65,11.74,17500
MZNP-ETF,07-Jan-2021,11.86,11.86,11.40,11.41,17000
MZNP-ETF,08-Jan-2021,11.82,12.00,11.82,11.86,19500
MZNP-ETF,11-Jan-2021,11.86,12.04,11.86,11.90,26500
MZNP-ETF,12-Jan-2021,11.75,12.00,11.75,11.90,2000
MZNP-ETF,13-Jan-2021,12.20,12.20,11.80,11.97,67000
MZNP-ETF,14-Jan-2021,12.50,12.50,11.10,11.21,160000
MZNP-ETF,15-Jan-2021,11.25,11.45,11.15,11.21,51000
MZNP-ETF,18-Jan-2021,11.79,11.79,11.00,11.02,47500
MZNP-ETF,19-Jan-2021,11.20,11.20,10.92,11.10,30500
MZNP-ETF,20-Jan-2021,10.71,11.65,10.71,11.09,45500
MZNP-ETF,21-Jan-2021,11.01,11.05,11.01,11.05,7500
MZNP-ETF,22-Jan-2021,11.00,11.09,10.25,11.05,101000
MZNP-ETF,25-Jan-2021,11.10,11.20,10.92,11.11,41500
MZNP-ETF,26-Jan-2021,11.09,11.13,11.06,11.12,5500
