Symbol,Date,Open,High,Low,Close,Volume
MZNPETF,26-Jul-2021,10.43,10.43,10.30,10.33,24000
MZNPETF,27-Jul-2021,10.40,10.40,10.25,10.26,167000
MZNPETF,28-Jul-2021,10.31,10.35,10.16,10.23,165000
MZNPETF,29-Jul-2021,10.25,10.25,10.06,10.20,120500
MZNPETF,30-Jul-2021,10.15,10.22,10.05,10.07,150000
MZNPETF,02-Aug-2021,10.07,10.20,10.07,10.12,95500
MZNPETF,03-Aug-2021,10.29,10.29,10.08,10.16,83000
MZNPETF,04-Aug-2021,10.16,10.29,10.12,10.14,43500
MZNPETF,05-Aug-2021,10.10,10.24,10.07,10.08,122500
MZNPETF,06-Aug-2021,10.09,10.19,10.01,10.05,130000
MZNPETF,09-Aug-2021,10.04,10.08,9.90,9.93,224500
MZNPETF,10-Aug-2021,9.92,9.99,9.85,9.95,136000
MZNPETF,11-Aug-2021,10.00,10.00,9.86,9.90,67000
MZNPETF,12-Aug-2021,9.92,9.98,9.86,9.88,51500
MZNPETF,13-Aug-2021,10.29,10.29,9.80,9.85,107000
MZNPETF,16-Aug-2021,9.89,9.89,9.75,9.79,168500
MZNPETF,17-Aug-2021,9.96,9.96,9.82,9.86,33000
MZNPETF,20-Aug-2021,9.99,9.99,9.83,9.94,18000
MZNPETF,23-Aug-2021,10.14,10.14,9.95,10.08,53500
MZNPETF,24-Aug-2021,10.45,10.45,10.00,10.03,55000
MZNPETF,25-Aug-2021,10.06,10.06,9.94,9.95,28000
MZNPETF,26-Aug-2021,10.00,10.00,9.75,9.84,39000
MZNPETF,27-Aug-2021,9.91,9.91,9.73,9.75,228000
MZNPETF,30-Aug-2021,9.89,9.95,9.75,9.95,36500
MZNPETF,31-Aug-2021,10.16,10.16,9.80,9.90,42000
MZNPETF,01-Sep-2021,10.00,10.00,9.92,9.96,81000
MZNPETF,02-Sep-2021,10.09,10.15,9.85,9.90,25000
MZNPETF,03-Sep-2021,9.82,9.90,9.16,9.83,68000
MZNPETF,06-Sep-2021,9.95,9.95,9.79,9.81,68000
MZNPETF,07-Sep-2021,9.70,9.80,9.69,9.71,86500
MZNPETF,08-Sep-2021,9.98,9.98,9.48,9.57,157000
MZNPETF,09-Sep-2021,9.55,9.75,9.50,9.58,88500
MZNPETF,10-Sep-2021,9.53,9.89,9.52,9.71,43500
