Symbol,Date,Open,High,Low,Close,Volume
MZSM,01-Jan-2014,4.00,4.25,4.00,4.15,26000
MZSM,02-Jan-2014,4.11,4.12,4.00,4.10,11500
MZSM,03-Jan-2014,3.80,4.00,3.50,3.72,43000
MZSM,06-Jan-2014,3.53,3.70,3.53,3.70,30500
MZSM,07-Jan-2014,3.60,3.66,3.50,3.50,7000
MZSM,08-Jan-2014,3.70,3.74,3.55,3.73,14500
MZSM,09-Jan-2014,3.70,3.79,3.60,3.70,67500
MZSM,10-Jan-2014,3.51,3.79,3.51,3.79,1500
MZSM,13-Jan-2014,3.85,4.79,3.85,4.79,1135000
MZSM,15-Jan-2014,5.09,5.60,4.90,5.18,1184000
MZSM,16-Jan-2014,5.00,5.00,4.35,4.39,199500
MZSM,17-Jan-2014,4.26,5.20,4.21,4.40,803500
MZSM,20-Jan-2014,4.50,4.69,4.31,4.49,81500
MZSM,21-Jan-2014,4.50,4.50,4.26,4.43,62000
MZSM,22-Jan-2014,4.50,4.54,4.40,4.43,65500
MZSM,23-Jan-2014,4.50,4.93,4.45,4.57,634000
MZSM,24-Jan-2014,4.41,4.76,4.40,4.49,128500
MZSM,27-Jan-2014,4.21,4.34,4.19,4.20,49000
MZSM,28-Jan-2014,4.10,4.30,4.10,4.12,132500
MZSM,29-Jan-2014,4.49,4.69,3.93,3.98,119500
MZSM,30-Jan-2014,3.70,4.10,3.70,4.05,64500
MZSM,31-Jan-2014,3.90,4.25,3.90,4.10,68000
MZSM,03-Feb-2014,4.09,4.10,3.80,3.84,33500
MZSM,04-Feb-2014,3.81,4.00,3.81,3.95,23500
MZSM,06-Feb-2014,4.00,4.20,4.00,4.08,57000
MZSM,07-Feb-2014,4.20,4.20,3.90,4.00,27000
MZSM,10-Feb-2014,3.66,3.90,3.65,3.88,26500
MZSM,11-Feb-2014,3.66,3.87,3.66,3.77,6500
MZSM,12-Feb-2014,3.77,3.95,3.67,3.95,16000
MZSM,13-Feb-2014,3.81,4.09,3.81,3.95,7500
MZSM,14-Feb-2014,3.80,3.97,3.75,3.82,9000
MZSM,17-Feb-2014,3.71,3.75,3.46,3.63,13000
MZSM,18-Feb-2014,3.52,3.84,3.50,3.50,2000
MZSM,19-Feb-2014,3.61,3.61,3.49,3.50,12500
MZSM,20-Feb-2014,3.79,3.80,3.50,3.51,19500
MZSM,21-Feb-2014,3.60,3.60,3.60,3.60,18500
MZSM,24-Feb-2014,3.50,3.55,3.50,3.52,25000
MZSM,25-Feb-2014,3.50,3.50,3.41,3.42,12500
MZSM,26-Feb-2014,3.51,3.55,3.37,3.55,19000
MZSM,27-Feb-2014,3.32,3.45,3.30,3.45,76500
MZSM,28-Feb-2014,3.39,3.39,3.39,3.39,500
MZSM,03-Mar-2014,3.25,3.40,3.20,3.36,17000
MZSM,04-Mar-2014,3.20,3.35,3.20,3.23,32000
MZSM,05-Mar-2014,3.39,3.39,3.35,3.39,15000
MZSM,06-Mar-2014,3.25,3.40,3.16,3.38,112500
MZSM,07-Mar-2014,3.40,3.75,3.40,3.58,180500
MZSM,10-Mar-2014,3.63,3.99,3.63,3.67,141500
MZSM,11-Mar-2014,3.70,4.19,3.40,3.45,600000
MZSM,12-Mar-2014,3.41,3.41,3.41,3.41,1000
MZSM,13-Mar-2014,3.44,3.44,3.30,3.30,132500
MZSM,14-Mar-2014,3.40,3.43,3.36,3.37,8000
MZSM,17-Mar-2014,3.27,3.39,3.27,3.32,4500
MZSM,18-Mar-2014,3.30,3.35,3.30,3.35,1500
MZSM,19-Mar-2014,3.38,3.40,3.38,3.40,8000
MZSM,20-Mar-2014,3.30,3.32,3.30,3.30,6000
MZSM,21-Mar-2014,3.26,3.36,3.20,3.36,19000
MZSM,24-Mar-2014,3.25,3.25,3.20,3.21,11000
MZSM,25-Mar-2014,3.30,3.33,3.25,3.33,2000
MZSM,26-Mar-2014,3.30,3.30,3.24,3.24,3000
MZSM,27-Mar-2014,3.26,3.27,3.21,3.27,6000
MZSM,28-Mar-2014,3.37,3.38,3.25,3.30,9500
MZSM,31-Mar-2014,3.25,3.25,3.25,3.25,25000
MZSM,02-Apr-2014,3.20,3.25,3.20,3.21,34000
MZSM,03-Apr-2014,3.25,3.25,3.17,3.20,52000
MZSM,04-Apr-2014,3.23,3.50,3.20,3.30,46500
MZSM,07-Apr-2014,3.21,3.30,3.21,3.30,28500
MZSM,08-Apr-2014,3.36,3.41,3.24,3.26,30000
MZSM,09-Apr-2014,3.39,3.40,3.25,3.30,4500
MZSM,10-Apr-2014,3.39,3.40,3.25,3.25,16500
MZSM,11-Apr-2014,3.23,3.23,3.23,3.23,2000
MZSM,14-Apr-2014,3.22,3.38,3.21,3.36,12500
MZSM,15-Apr-2014,3.27,3.34,3.25,3.34,3000
MZSM,16-Apr-2014,3.44,3.44,3.26,3.26,8000
MZSM,17-Apr-2014,3.28,3.28,3.22,3.22,16000
MZSM,21-Apr-2014,3.34,3.34,3.24,3.24,2500
MZSM,22-Apr-2014,3.25,3.38,3.22,3.30,8000
MZSM,24-Apr-2014,3.21,3.23,3.21,3.23,4000
MZSM,28-Apr-2014,3.21,3.21,3.20,3.20,15000
MZSM,29-Apr-2014,3.13,3.13,3.13,3.13,2500
MZSM,30-Apr-2014,3.22,3.22,3.19,3.19,1000
MZSM,02-May-2014,3.15,3.70,3.15,3.50,33500
MZSM,05-May-2014,3.55,3.60,3.20,3.20,12500
MZSM,06-May-2014,3.16,3.16,3.16,3.16,500
MZSM,08-May-2014,3.17,3.17,3.16,3.16,3500
MZSM,09-May-2014,3.35,3.35,3.34,3.35,3000
MZSM,12-May-2014,3.21,3.33,3.15,3.15,8000
MZSM,13-May-2014,3.15,3.20,3.10,3.11,26500
MZSM,14-May-2014,3.11,3.25,2.97,3.00,182000
MZSM,15-May-2014,3.04,3.04,2.95,2.99,13500
MZSM,16-May-2014,2.90,3.00,2.85,2.90,23500
MZSM,19-May-2014,3.00,3.05,2.93,3.01,26500
MZSM,20-May-2014,3.09,3.30,3.02,3.10,39500
MZSM,21-May-2014,3.24,3.30,3.00,3.00,75000
MZSM,22-May-2014,3.03,3.09,3.01,3.06,18500
MZSM,23-May-2014,3.10,3.25,3.00,3.24,59500
MZSM,26-May-2014,3.29,3.29,3.29,3.29,500
MZSM,27-May-2014,3.24,3.24,2.93,3.04,48000
MZSM,28-May-2014,2.93,3.00,2.90,3.00,40500
MZSM,29-May-2014,3.00,3.00,2.95,2.95,12000
MZSM,30-May-2014,2.99,2.99,2.95,2.96,22000
MZSM,02-Jun-2014,2.83,2.95,2.80,2.82,31500
MZSM,03-Jun-2014,2.90,2.94,2.70,2.75,33500
MZSM,04-Jun-2014,2.70,2.89,2.70,2.79,28000
MZSM,05-Jun-2014,2.89,2.89,2.75,2.75,5000
MZSM,09-Jun-2014,2.60,2.78,2.60,2.78,5000
MZSM,10-Jun-2014,3.15,3.35,2.81,2.98,5000
MZSM,11-Jun-2014,2.95,2.95,2.84,2.95,1000
MZSM,12-Jun-2014,2.76,2.87,2.76,2.76,1000
MZSM,13-Jun-2014,2.81,2.89,2.81,2.89,1000
MZSM,16-Jun-2014,2.81,2.81,2.76,2.76,1000
MZSM,17-Jun-2014,2.88,2.90,2.85,2.88,9000
MZSM,18-Jun-2014,2.90,2.90,2.90,2.90,3000
MZSM,19-Jun-2014,2.77,2.80,2.70,2.80,55000
MZSM,23-Jun-2014,2.60,2.80,2.60,2.80,2500
MZSM,24-Jun-2014,2.85,2.85,2.85,2.85,4000
MZSM,25-Jun-2014,2.84,2.84,2.71,2.75,15000
MZSM,26-Jun-2014,2.99,3.25,2.80,2.81,20000
MZSM,27-Jun-2014,2.71,2.71,2.70,2.70,7000
MZSM,30-Jun-2014,2.75,2.75,2.75,2.75,3000
MZSM,01-Jul-2014,2.71,2.94,2.70,2.94,12000
MZSM,07-Jul-2014,2.76,2.76,2.76,2.76,2000
MZSM,09-Jul-2014,2.70,2.70,2.70,2.70,4000
MZSM,10-Jul-2014,3.48,3.48,2.66,2.66,5000
MZSM,11-Jul-2014,3.09,3.09,2.61,3.09,2000
MZSM,15-Jul-2014,3.45,3.45,2.69,3.45,2000
MZSM,16-Jul-2014,2.87,3.30,2.75,2.86,117000
MZSM,18-Jul-2014,2.70,2.80,2.70,2.80,1500
MZSM,21-Jul-2014,2.80,2.80,2.80,2.80,1000
MZSM,23-Jul-2014,2.75,2.75,2.75,2.75,500
MZSM,24-Jul-2014,2.75,2.75,2.75,2.75,2000
MZSM,04-Aug-2014,2.65,2.70,2.65,2.70,6500
MZSM,05-Aug-2014,2.66,3.00,2.66,3.00,233000
MZSM,06-Aug-2014,2.76,2.76,2.76,2.76,5000
MZSM,07-Aug-2014,2.66,2.66,2.66,2.66,1000
MZSM,08-Aug-2014,2.68,2.99,2.68,2.99,3000
MZSM,11-Aug-2014,2.60,2.60,2.13,2.33,96000
MZSM,12-Aug-2014,2.40,2.60,2.40,2.60,1500
MZSM,13-Aug-2014,2.46,2.55,2.46,2.55,2500
MZSM,15-Aug-2014,2.65,2.65,2.45,2.45,9000
MZSM,18-Aug-2014,2.60,2.75,2.60,2.75,98000
MZSM,19-Aug-2014,2.68,2.68,2.68,2.68,1000
MZSM,22-Aug-2014,2.50,2.55,2.50,2.53,14500
MZSM,25-Aug-2014,2.56,2.56,2.56,2.56,3000
MZSM,26-Aug-2014,2.70,2.75,2.55,2.55,73000
MZSM,27-Aug-2014,2.75,2.99,2.58,2.87,82000
MZSM,29-Aug-2014,2.85,2.85,2.80,2.80,1000
