Symbol,Date,Open,High,Low,Close,Volume
NAGC,01-Jan-2014,93.49,94.09,93.49,94.09,7000
NAGC,02-Jan-2014,98.65,98.79,98.25,98.25,8000
NAGC,03-Jan-2014,103.11,103.16,103.10,103.11,2500
NAGC,06-Jan-2014,102.98,102.98,97.96,98.50,25500
NAGC,07-Jan-2014,95.50,95.75,93.59,93.61,14500
NAGC,08-Jan-2014,96.00,98.29,96.00,98.29,8000
NAGC,09-Jan-2014,99.95,101.00,97.00,97.50,16000
NAGC,10-Jan-2014,93.10,99.98,93.10,96.54,1000
NAGC,13-Jan-2014,95.00,96.50,95.00,95.50,8500
NAGC,15-Jan-2014,95.00,96.50,95.00,96.25,3500
NAGC,16-Jan-2014,92.05,98.42,91.60,98.36,6000
NAGC,17-Jan-2014,95.00,97.88,95.00,97.88,1500
NAGC,21-Jan-2014,99.00,99.00,99.00,99.00,2000
NAGC,22-Jan-2014,98.00,103.95,98.00,103.90,23000
NAGC,23-Jan-2014,104.00,108.70,104.00,107.26,10000
NAGC,24-Jan-2014,106.90,109.99,106.90,109.10,13500
NAGC,27-Jan-2014,107.00,107.99,106.50,107.96,5500
NAGC,28-Jan-2014,106.10,111.75,105.00,105.12,13000
NAGC,29-Jan-2014,104.10,105.45,102.00,102.00,3500
NAGC,30-Jan-2014,97.50,99.40,97.00,99.10,6500
NAGC,03-Feb-2014,101.00,104.05,101.00,103.00,8500
NAGC,04-Feb-2014,99.30,99.30,99.25,99.25,1000
NAGC,06-Feb-2014,102.00,102.00,102.00,99.25,1000
NAGC,10-Feb-2014,94.29,97.90,94.29,97.90,4000
NAGC,11-Feb-2014,96.00,96.00,96.00,96.00,1000
NAGC,12-Feb-2014,93.10,93.10,93.10,93.10,500
NAGC,14-Feb-2014,94.00,94.00,94.00,94.00,500
NAGC,17-Feb-2014,90.20,90.20,89.30,89.31,4000
NAGC,18-Feb-2014,85.10,85.10,85.00,85.00,1500
NAGC,19-Feb-2014,85.00,85.00,82.60,83.43,2000
NAGC,20-Feb-2014,85.50,85.50,85.50,85.50,500
NAGC,21-Feb-2014,84.50,86.00,84.00,84.00,3500
NAGC,24-Feb-2014,83.00,83.00,83.00,83.00,1000
NAGC,25-Feb-2014,85.75,86.75,83.00,83.00,5000
NAGC,05-Mar-2014,83.00,83.00,83.00,83.00,500
NAGC,06-Mar-2014,83.00,83.00,83.00,83.00,1500
NAGC,07-Mar-2014,83.00,83.00,82.00,82.00,1500
NAGC,10-Mar-2014,81.10,82.00,79.25,79.47,9500
NAGC,11-Mar-2014,76.30,77.70,75.50,76.95,9000
NAGC,12-Mar-2014,73.30,73.50,73.11,73.15,5500
NAGC,13-Mar-2014,70.55,71.15,70.50,70.59,32000
NAGC,14-Mar-2014,73.70,74.11,73.70,74.11,1500
NAGC,17-Mar-2014,75.25,75.25,73.75,73.75,3500
NAGC,18-Mar-2014,71.50,72.50,71.50,71.61,8500
NAGC,19-Mar-2014,71.25,71.25,70.50,70.50,4000
NAGC,20-Mar-2014,70.00,70.00,69.50,69.50,6500
NAGC,21-Mar-2014,69.45,70.00,69.45,70.00,2000
NAGC,24-Mar-2014,71.49,73.49,71.49,73.49,5500
NAGC,25-Mar-2014,71.25,72.50,71.25,71.25,2500
NAGC,26-Mar-2014,70.06,70.06,70.06,70.06,500
NAGC,27-Mar-2014,70.06,70.06,70.06,70.06,500
NAGC,28-Mar-2014,73.49,73.49,69.50,69.50,8000
NAGC,01-Apr-2014,72.95,72.97,72.80,72.83,2000
NAGC,02-Apr-2014,71.10,71.10,71.10,71.10,10000
NAGC,03-Apr-2014,71.50,71.70,71.30,71.30,4000
NAGC,07-Apr-2014,71.80,71.80,71.80,71.80,1000
NAGC,09-Apr-2014,73.90,73.90,70.60,70.60,5500
NAGC,10-Apr-2014,70.75,70.75,70.00,70.01,5500
NAGC,14-Apr-2014,70.00,70.00,70.00,70.00,1000
NAGC,15-Apr-2014,67.00,67.25,67.00,67.18,3500
NAGC,16-Apr-2014,67.00,67.00,67.00,67.00,500
NAGC,18-Apr-2014,70.35,70.35,69.00,69.00,2000
NAGC,21-Apr-2014,69.25,69.25,69.00,69.01,3000
NAGC,22-Apr-2014,69.00,69.00,69.00,69.00,500
NAGC,23-Apr-2014,69.00,69.00,68.99,69.00,3000
NAGC,24-Apr-2014,66.10,67.00,65.55,65.55,5500
NAGC,25-Apr-2014,63.00,63.00,62.30,62.32,4000
NAGC,29-Apr-2014,59.50,59.50,59.26,59.38,2000
NAGC,30-Apr-2014,59.50,62.34,59.50,62.34,3000
NAGC,12-May-2014,65.00,65.00,65.00,65.00,500
NAGC,13-May-2014,62.01,63.50,62.01,62.38,2000
NAGC,14-May-2014,62.00,63.00,62.00,63.00,2000
NAGC,16-May-2014,63.00,66.15,63.00,66.15,3500
NAGC,19-May-2014,66.99,66.99,66.99,66.99,500
NAGC,26-May-2014,67.10,67.10,67.00,67.00,1000
NAGC,27-May-2014,67.00,67.00,67.00,67.00,500
NAGC,29-May-2014,67.10,69.99,67.10,69.99,8000
NAGC,30-May-2014,69.52,69.52,69.52,69.52,500
NAGC,02-Jun-2014,69.25,69.25,69.00,69.00,2000
NAGC,03-Jun-2014,69.99,71.99,69.02,69.02,6000
NAGC,04-Jun-2014,70.99,72.47,70.99,72.47,7500
NAGC,06-Jun-2014,70.00,70.00,70.00,70.00,1500
NAGC,09-Jun-2014,70.00,70.00,70.00,70.00,1000
NAGC,10-Jun-2014,68.05,68.05,68.01,68.01,2000
NAGC,11-Jun-2014,69.58,71.41,69.58,70.72,5000
NAGC,12-Jun-2014,70.10,70.10,70.01,70.01,1500
NAGC,13-Jun-2014,72.00,72.00,72.00,72.00,2000
NAGC,16-Jun-2014,70.01,70.11,70.01,70.11,1500
NAGC,17-Jun-2014,69.00,69.00,68.01,68.01,1500
NAGC,18-Jun-2014,69.85,69.85,69.85,69.85,500
NAGC,19-Jun-2014,67.01,67.01,67.00,67.01,1000
NAGC,20-Jun-2014,68.00,68.00,68.00,68.00,500
NAGC,26-Jun-2014,69.99,69.99,69.99,69.99,1000
NAGC,30-Jun-2014,69.01,69.01,69.01,69.01,2500
NAGC,02-Jul-2014,70.49,70.49,70.49,70.49,500
NAGC,11-Jul-2014,69.01,69.01,69.01,69.01,500
NAGC,15-Jul-2014,70.49,71.00,70.00,70.00,2000
NAGC,18-Jul-2014,72.49,72.50,72.49,72.50,1000
NAGC,21-Jul-2014,71.00,71.00,71.00,71.00,1000
NAGC,22-Jul-2014,70.01,70.01,70.00,70.00,1500
NAGC,28-Jul-2014,71.00,71.00,71.00,71.00,1000
NAGC,04-Aug-2014,68.10,70.00,68.10,70.00,1000
NAGC,05-Aug-2014,70.00,70.00,70.00,70.00,500
NAGC,06-Aug-2014,71.00,71.00,71.00,71.00,500
NAGC,08-Aug-2014,69.00,69.00,69.00,69.00,500
NAGC,11-Aug-2014,66.01,66.01,65.55,65.55,6000
NAGC,12-Aug-2014,66.00,66.50,66.00,66.00,4000
NAGC,13-Aug-2014,66.50,69.00,66.25,68.95,11000
NAGC,21-Aug-2014,69.40,69.50,67.00,67.00,3000
NAGC,22-Aug-2014,66.50,66.50,66.50,66.50,2500
NAGC,28-Aug-2014,64.00,65.10,64.00,65.10,1000
NAGC,04-Sep-2014,65.54,67.99,65.54,67.49,2000
NAGC,08-Sep-2014,68.10,68.50,68.10,68.22,3500
NAGC,09-Sep-2014,68.60,70.35,67.00,67.92,10000
NAGC,10-Sep-2014,70.35,71.25,70.35,71.25,6000
NAGC,11-Sep-2014,73.50,74.81,73.50,74.81,8000
NAGC,12-Sep-2014,78.00,78.00,73.50,77.46,14500
NAGC,15-Sep-2014,77.50,77.89,76.00,77.86,5000
NAGC,18-Sep-2014,75.10,77.99,75.00,77.34,19000
NAGC,22-Sep-2014,76.90,76.90,74.90,74.94,8500
NAGC,23-Sep-2014,73.00,74.98,71.20,74.93,12500
NAGC,24-Sep-2014,72.00,74.92,72.00,74.80,15500
NAGC,25-Sep-2014,74.10,78.00,73.00,77.36,86500
NAGC,26-Sep-2014,79.00,80.75,79.00,80.75,9000
NAGC,10-Oct-2014,79.00,79.50,77.25,79.26,3500
NAGC,13-Oct-2014,80.00,80.00,80.00,80.00,2000
NAGC,14-Oct-2014,78.50,78.50,76.00,78.40,6500
NAGC,15-Oct-2014,77.00,77.00,77.00,77.00,500
NAGC,16-Oct-2014,73.52,75.52,73.52,75.52,2000
NAGC,17-Oct-2014,76.20,76.20,76.10,76.10,1000
NAGC,20-Oct-2014,73.01,73.55,73.01,73.55,2500
NAGC,21-Oct-2014,74.48,74.50,74.48,74.49,1000
NAGC,22-Oct-2014,71.90,71.90,65.30,65.30,2000
NAGC,23-Oct-2014,67.99,68.50,67.99,68.50,2000
NAGC,24-Oct-2014,66.15,67.10,66.15,67.03,2000
NAGC,28-Oct-2014,66.31,66.48,66.10,66.48,1500
NAGC,30-Oct-2014,65.00,66.50,65.00,66.50,1500
NAGC,31-Oct-2014,66.20,66.20,66.20,66.20,500
NAGC,05-Nov-2014,66.75,67.00,66.60,67.00,3500
NAGC,07-Nov-2014,67.99,68.00,67.00,67.00,2000
NAGC,10-Nov-2014,68.00,68.49,68.00,68.49,1500
NAGC,12-Nov-2014,69.00,70.00,69.00,70.00,8000
NAGC,13-Nov-2014,70.00,70.00,70.00,70.00,500
NAGC,14-Nov-2014,71.00,71.00,71.00,71.00,1500
NAGC,19-Nov-2014,70.70,70.70,70.70,70.70,500
NAGC,20-Nov-2014,67.50,67.50,67.50,67.50,1000
NAGC,21-Nov-2014,67.50,67.50,67.50,67.50,500
NAGC,26-Nov-2014,65.50,65.50,65.50,65.50,1000
NAGC,27-Nov-2014,65.50,65.50,65.50,65.50,6500
NAGC,02-Dec-2014,65.50,65.50,65.50,65.50,500
NAGC,04-Dec-2014,66.00,66.00,65.50,65.50,1000
NAGC,05-Dec-2014,68.00,68.77,68.00,68.77,2000
NAGC,09-Dec-2014,71.00,72.20,71.00,72.20,7000
NAGC,12-Dec-2014,72.00,72.00,72.00,72.00,3000
NAGC,16-Dec-2014,70.25,70.25,70.00,70.00,3000
NAGC,17-Dec-2014,67.00,67.00,66.50,66.63,2000
NAGC,24-Dec-2014,65.00,65.00,65.00,65.00,500
NAGC,29-Dec-2014,64.25,64.25,63.50,63.50,7500
NAGC,30-Dec-2014,62.00,62.00,60.33,62.00,7000
NAGC,01-Jan-2015,65.00,65.10,65.00,65.10,1500
NAGC,05-Jan-2015,62.25,62.25,62.25,62.25,1500
NAGC,06-Jan-2015,65.20,65.20,65.20,65.20,2000
NAGC,07-Jan-2015,67.70,68.00,65.00,65.00,2500
NAGC,08-Jan-2015,63.00,65.00,63.00,65.00,2000
NAGC,13-Jan-2015,65.00,65.00,65.00,65.00,500
NAGC,14-Jan-2015,67.00,68.10,67.00,68.10,1500
NAGC,16-Jan-2015,65.75,65.75,65.75,65.75,1000
NAGC,19-Jan-2015,68.50,68.90,68.50,68.90,2500
NAGC,21-Jan-2015,71.75,71.75,71.75,71.75,1000
NAGC,27-Jan-2015,68.70,70.00,68.70,70.00,2000
NAGC,29-Jan-2015,67.25,68.00,66.75,66.75,5000
NAGC,02-Feb-2015,65.50,69.50,65.00,69.50,11500
NAGC,03-Feb-2015,68.00,68.00,68.00,68.00,3000
NAGC,04-Feb-2015,67.00,67.00,67.00,67.00,500
NAGC,10-Feb-2015,66.00,66.25,66.00,66.25,1000
NAGC,11-Feb-2015,66.50,66.50,66.00,66.15,3500
NAGC,12-Feb-2015,62.90,65.00,62.90,65.00,3000
NAGC,13-Feb-2015,68.00,68.00,68.00,68.00,2000
NAGC,24-Feb-2015,65.25,68.75,64.60,64.60,17500
