Symbol,Date,Open,High,Low,Close,Volume
NBF,02-Jan-2014,5.50,5.50,5.50,5.50,14000
NBF,03-Jan-2014,5.60,5.60,5.60,5.60,20000
NBF,10-Jan-2014,5.80,5.80,5.80,5.80,500
NBF,17-Jan-2014,5.00,5.47,5.00,5.46,74000
NBF,21-Jan-2014,6.00,6.00,6.00,6.00,5000
NBF,22-Jan-2014,6.00,6.35,6.00,6.00,115000
NBF,29-Jan-2014,5.75,5.75,5.75,5.75,5000
NBF,30-Jan-2014,5.75,6.00,5.50,6.00,31000
NBF,31-Jan-2014,5.51,5.51,5.50,5.50,600000
NBF,03-Feb-2014,6.00,6.00,6.00,6.00,16500
NBF,12-Feb-2014,6.50,6.50,6.50,6.50,5000
NBF,13-Feb-2014,6.50,6.50,6.40,6.50,2720500
NBF,18-Feb-2014,5.50,5.50,5.50,5.50,500
NBF,10-Mar-2014,5.30,5.30,5.30,5.30,500
NBF,11-Mar-2014,5.90,6.30,5.90,6.30,56500
NBF,17-Mar-2014,6.30,6.30,6.30,6.30,2000
NBF,20-Mar-2014,5.42,5.42,5.30,5.35,4000
NBF,21-Mar-2014,5.60,6.00,4.70,4.94,37500
NBF,24-Mar-2014,5.49,5.50,5.49,5.50,6000
NBF,01-Apr-2014,5.89,5.90,5.89,5.90,5000
NBF,03-Apr-2014,6.22,6.24,6.19,6.20,221000
NBF,04-Apr-2014,6.05,6.05,5.20,5.27,19500
NBF,07-Apr-2014,5.49,5.49,5.06,5.11,26000
NBF,08-Apr-2014,5.97,6.00,5.38,5.38,43000
NBF,10-Apr-2014,5.50,5.50,5.01,5.19,65000
NBF,11-Apr-2014,5.21,5.64,4.71,5.38,62500
NBF,14-Apr-2014,5.99,5.99,5.99,5.99,500
NBF,15-Apr-2014,5.60,5.60,5.40,5.47,5000
NBF,17-Apr-2014,5.49,5.70,5.49,5.64,7500
NBF,18-Apr-2014,5.61,5.70,5.21,5.59,32500
NBF,21-Apr-2014,5.70,5.73,5.70,5.73,3000
NBF,23-Apr-2014,5.80,5.81,5.80,5.80,3500
NBF,24-Apr-2014,5.78,5.91,5.78,5.90,123500
NBF,28-Apr-2014,6.02,6.02,6.00,6.01,68000
NBF,29-Apr-2014,6.01,6.01,6.00,6.00,10000
NBF,30-Apr-2014,5.40,5.40,5.36,5.37,3500
NBF,08-May-2014,5.87,5.87,5.87,5.87,500
NBF,09-May-2014,5.15,5.15,5.15,5.15,2000
NBF,14-May-2014,5.90,5.99,4.50,5.10,27500
NBF,16-May-2014,5.53,5.80,5.15,5.22,29500
NBF,20-May-2014,5.25,5.80,5.25,5.33,28500
NBF,21-May-2014,5.80,5.90,5.80,5.90,12000
NBF,22-May-2014,6.25,6.51,6.00,6.36,148000
NBF,23-May-2014,6.02,6.02,6.02,6.02,8000
NBF,27-May-2014,6.01,6.01,6.00,6.00,53000
NBF,28-May-2014,6.05,6.05,6.00,6.00,101500
NBF,29-May-2014,6.00,6.00,6.00,6.00,127000
NBF,30-May-2014,6.01,6.05,6.00,6.05,12000
NBF,03-Jun-2014,6.05,6.05,6.04,6.04,22500
NBF,05-Jun-2014,5.50,5.50,5.50,5.50,500
NBF,11-Jun-2014,5.12,6.00,5.12,6.00,2000
NBF,13-Jun-2014,5.26,6.10,5.26,5.99,810500
NBF,16-Jun-2014,6.29,6.51,5.15,5.79,203000
NBF,17-Jun-2014,5.81,6.00,5.80,6.00,83500
NBF,18-Jun-2014,6.01,6.01,5.00,5.67,119000
NBF,19-Jun-2014,5.70,5.70,5.12,5.40,100000
NBF,20-Jun-2014,5.76,6.25,5.24,5.48,137500
NBF,24-Jun-2014,5.99,5.99,5.99,5.99,500
NBF,26-Jun-2014,6.00,6.00,6.00,6.00,5500
NBF,27-Jun-2014,6.00,6.00,6.00,6.00,2500
NBF,01-Jul-2014,5.23,5.23,5.22,5.23,10000
NBF,02-Jul-2014,5.75,5.97,5.01,5.22,30500
NBF,03-Jul-2014,5.50,5.50,5.50,5.50,500
NBF,04-Jul-2014,5.99,6.00,5.99,6.00,19500
NBF,07-Jul-2014,6.00,6.00,5.75,5.75,3000
NBF,09-Jul-2014,5.75,6.19,5.06,6.19,160000
NBF,10-Jul-2014,6.00,6.00,6.00,6.00,24000
NBF,15-Jul-2014,6.36,6.50,6.36,6.50,10000
NBF,16-Jul-2014,6.50,6.50,6.50,6.50,8000
NBF,17-Jul-2014,6.45,6.50,6.45,6.50,12000
NBF,22-Jul-2014,6.50,6.50,6.50,6.50,30000
NBF,23-Jul-2014,6.50,6.50,5.66,5.66,4500
NBF,07-Aug-2014,4.67,6.00,4.67,5.80,3500
NBF,08-Aug-2014,6.01,6.01,6.01,6.01,1000
NBF,15-Aug-2014,6.25,6.26,6.25,6.26,4500
NBF,18-Aug-2014,6.50,6.50,6.45,6.45,25000
NBF,20-Aug-2014,6.49,6.49,6.49,6.49,50000
NBF,21-Aug-2014,7.00,7.00,7.00,7.00,75000
NBF,27-Aug-2014,6.79,6.79,6.79,6.79,500
NBF,01-Sep-2014,6.75,6.75,6.75,6.75,77000
NBF,02-Sep-2014,7.00,7.00,7.00,7.00,50000
NBF,03-Sep-2014,6.95,7.00,6.95,6.95,238000
NBF,04-Sep-2014,7.00,7.00,7.00,7.00,105000
NBF,05-Sep-2014,6.90,6.94,6.80,6.90,187000
NBF,08-Sep-2014,6.90,7.00,6.89,6.89,229000
NBF,09-Sep-2014,6.85,6.85,6.85,6.85,23000
NBF,10-Sep-2014,6.74,7.00,6.74,6.92,608500
