Symbol,Date,Open,High,Low,Close,Volume
NBPG-ETF,06-Oct-2020,10.08,10.12,10.00,10.03,4989500
NBPG-ETF,07-Oct-2020,10.10,10.18,10.10,10.15,10500
NBPG-ETF,09-Oct-2020,10.40,10.40,10.21,10.21,1000
NBPG-ETF,12-Oct-2020,10.49,10.49,10.35,10.42,7000
NBPG-ETF,13-Oct-2020,10.25,10.25,10.25,10.25,5000
NBPG-ETF,14-Oct-2020,10.27,10.27,10.27,10.27,1000
NBPG-ETF,15-Oct-2020,10.35,10.35,10.35,10.35,500
NBPG-ETF,16-Oct-2020,10.25,10.25,10.20,10.20,19500
NBPG-ETF,20-Oct-2020,10.46,10.46,10.46,10.46,500
NBPG-ETF,21-Oct-2020,10.40,10.40,10.40,10.40,1000
NBPG-ETF,23-Oct-2020,10.29,10.29,10.29,10.29,500
NBPG-ETF,27-Oct-2020,10.42,10.42,10.42,10.42,2000
NBPG-ETF,29-Oct-2020,10.05,10.05,10.00,10.00,2500
NBPG-ETF,02-Nov-2020,9.96,9.98,9.90,9.96,13500
NBPG-ETF,03-Nov-2020,10.13,10.13,10.13,10.13,1500
NBPG-ETF,04-Nov-2020,10.10,10.10,10.10,10.10,9000
NBPG-ETF,09-Nov-2020,10.39,10.39,10.39,10.39,1000
NBPG-ETF,11-Nov-2020,10.33,10.33,10.33,10.33,1000
NBPG-ETF,12-Nov-2020,10.40,10.40,10.28,10.28,3000
NBPG-ETF,18-Nov-2020,10.37,10.37,10.37,10.37,10000
NBPG-ETF,19-Nov-2020,10.05,10.05,10.05,10.05,2000
NBPG-ETF,26-Nov-2020,10.64,10.64,10.31,10.41,9500
NBPG-ETF,27-Nov-2020,10.40,10.40,10.40,10.40,1000
NBPG-ETF,30-Nov-2020,10.40,10.40,10.40,10.40,10000
NBPG-ETF,02-Dec-2020,10.40,10.40,10.40,10.40,500
NBPG-ETF,03-Dec-2020,10.50,10.50,10.46,10.50,4000
NBPG-ETF,14-Dec-2020,10.60,10.60,10.60,10.60,20000
NBPG-ETF,15-Dec-2020,10.99,10.99,10.99,10.99,500
NBPG-ETF,18-Dec-2020,10.80,10.80,10.80,10.80,4500
NBPG-ETF,29-Dec-2020,10.73,10.73,10.73,10.73,11000
NBPG-ETF,30-Dec-2020,10.62,10.95,10.62,10.95,4500
NBPG-ETF,04-Jan-2021,11.50,11.55,11.50,11.55,2500
NBPG-ETF,05-Jan-2021,11.44,11.44,11.44,11.44,1000
NBPG-ETF,06-Jan-2021,11.10,11.58,11.10,11.30,2000
NBPG-ETF,11-Jan-2021,11.84,11.84,11.84,11.84,2500
NBPG-ETF,13-Jan-2021,11.83,11.83,11.83,11.83,10000
NBPG-ETF,14-Jan-2021,11.50,11.75,11.50,11.75,1500
NBPG-ETF,18-Jan-2021,11.50,11.65,11.18,11.65,3500
NBPG-ETF,26-Jan-2021,11.58,11.58,11.58,11.58,500
NBPG-ETF,28-Jan-2021,11.60,11.60,11.60,11.60,500
NBPG-ETF,02-Feb-2021,11.38,11.62,11.38,11.52,52000
NBPG-ETF,03-Feb-2021,11.50,11.50,11.50,11.50,13500
NBPG-ETF,04-Feb-2021,11.50,11.66,11.50,11.66,10500
NBPG-ETF,08-Feb-2021,11.31,11.31,11.31,11.31,1500
NBPG-ETF,09-Feb-2021,11.52,11.52,11.51,11.52,30000
NBPG-ETF,10-Feb-2021,11.57,11.58,11.52,11.58,51000
NBPG-ETF,12-Feb-2021,11.41,11.58,11.41,11.41,2000
NBPG-ETF,16-Feb-2021,11.52,11.52,11.52,11.52,20000
NBPG-ETF,18-Feb-2021,11.43,11.43,11.43,11.43,20000
NBPG-ETF,19-Feb-2021,11.45,11.47,11.45,11.47,2500
NBPG-ETF,22-Feb-2021,11.47,11.47,11.35,11.35,20500
NBPG-ETF,23-Feb-2021,11.40,11.40,11.35,11.35,20000
NBPG-ETF,24-Feb-2021,11.25,11.25,11.25,11.25,10000
NBPG-ETF,25-Feb-2021,11.45,11.60,11.45,11.56,8000
NBPG-ETF,26-Feb-2021,11.40,11.40,11.38,11.38,2500
NBPG-ETF,01-Mar-2021,11.55,11.55,11.37,11.37,12000
NBPG-ETF,04-Mar-2021,11.42,11.42,11.37,11.42,20500
NBPG-ETF,10-Mar-2021,11.32,11.32,11.32,11.32,5000
NBPG-ETF,11-Mar-2021,11.00,11.00,10.90,10.90,1000
NBPG-ETF,17-Mar-2021,11.35,11.35,11.35,11.35,3000
NBPG-ETF,29-Mar-2021,11.61,12.20,11.15,11.15,16500
NBPG-ETF,31-Mar-2021,11.24,11.24,11.24,11.24,2500
